picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  293, nerr =    0p/   4r, time steps =    5, qsz =    2, switch = on, t =     2932 ms, ax =  0.5011, ay = -0.6629, az =  9.8236, gx =  0.1106 rad/s, gy = -0.0004 rad/s, gz = -0.0342 rad/s, rpm_pitch =  0.0000, rpm_roll = -374.9666, I_w_pitch =  6.5030 A, I_w_roll = 16.5167 A, theta_pitch = -53.25656mrad, theta_roll_comp = -71.9036 mrad, theta_setpoint = -16.4521 mrad, 
msg =  442, nerr =    8p/  10r, time steps =    5, qsz =    2, switch = on, t =     4422 ms, ax =  0.5119, ay = -0.3524, az =  9.8644, gx =  0.0010 rad/s, gy = -0.0040 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.8930, I_w_pitch =  6.8107 A, I_w_roll =  4.0949 A, theta_pitch = -54.34864mrad, theta_roll_comp = -29.9971 mrad, theta_setpoint = -39.3787 mrad, 
msg =  443, nerr =    8p/  10r, time steps =    5, qsz =    4, switch = on, t =     4432 ms, ax =  0.5286, ay = -0.3344, az =  9.8512, gx =  0.0024 rad/s, gy = -0.0038 rad/s, gz = -0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.8930, I_w_pitch =  6.8088 A, I_w_roll =  4.5955 A, theta_pitch = -54.37174mrad, theta_roll_comp = -30.0272 mrad, theta_setpoint = -39.3787 mrad, 
msg =  444, nerr =    8p/  11r, time steps =    5, qsz =    2, switch = on, t =     4442 ms, ax =  0.5370, ay = -0.3752, az =  9.8104, gx =  0.0026 rad/s, gy = -0.0038 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8142 A, I_w_roll =  4.7963 A, theta_pitch = -54.40789mrad, theta_roll_comp = -30.0635 mrad, theta_setpoint = -39.8006 mrad, 
msg =  445, nerr =    8p/  11r, time steps =    5, qsz =    2, switch = on, t =     4452 ms, ax =  0.5478, ay = -0.3788, az =  9.8272, gx =  0.0024 rad/s, gy = -0.0033 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7994 A, I_w_roll =  4.7265 A, theta_pitch = -54.45128mrad, theta_roll_comp = -30.1215 mrad, theta_setpoint = -39.8006 mrad, 
msg =  446, nerr =    8p/  11r, time steps =    5, qsz =    2, switch = on, t =     4462 ms, ax =  0.5406, ay = -0.4064, az =  9.8548, gx =  0.0031 rad/s, gy = -0.0033 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8055 A, I_w_roll =  4.9314 A, theta_pitch = -54.49171mrad, theta_roll_comp = -30.1917 mrad, theta_setpoint = -39.8006 mrad, 
msg =  447, nerr =    8p/  11r, time steps =    5, qsz =    2, switch = on, t =     4472 ms, ax =  0.5286, ay = -0.4279, az =  9.8608, gx =  0.0058 rad/s, gy = -0.0033 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8099 A, I_w_roll =  5.8330 A, theta_pitch = -54.52103mrad, theta_roll_comp = -30.2679 mrad, theta_setpoint = -39.8006 mrad, 
msg =  448, nerr =    8p/  11r, time steps =    5, qsz =    2, switch = on, t =     4482 ms, ax =  0.5262, ay = -0.4196, az =  9.8632, gx =  0.0079 rad/s, gy = -0.0032 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8077 A, I_w_roll =  6.5559 A, theta_pitch = -54.54219mrad, theta_roll_comp = -30.3250 mrad, theta_setpoint = -39.8006 mrad, 
msg =  449, nerr =    8p/  11r, time steps =    5, qsz =    2, switch = on, t =     4492 ms, ax =  0.5238, ay = -0.4303, az =  9.8452, gx =  0.0094 rad/s, gy = -0.0026 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7888 A, I_w_roll =  7.0520 A, theta_pitch = -54.55775mrad, theta_roll_comp = -30.3662 mrad, theta_setpoint = -39.8006 mrad, 
msg =  450, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = on, t =     4502 ms, ax =  0.5286, ay = -0.3764, az =  9.8284, gx =  0.0088 rad/s, gy = -0.0020 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7639 A, I_w_roll =  6.8603 A, theta_pitch = -54.56951mrad, theta_roll_comp = -30.3795 mrad, theta_setpoint = -39.8006 mrad, 
msg =  451, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = on, t =     4512 ms, ax =  0.5310, ay = -0.4004, az =  9.8404, gx =  0.0094 rad/s, gy = -0.0012 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7331 A, I_w_roll =  7.0465 A, theta_pitch = -54.57746mrad, theta_roll_comp = -30.3800 mrad, theta_setpoint = -39.8006 mrad, 
msg =  452, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = on, t =     4522 ms, ax =  0.5334, ay = -0.2985, az =  9.8691, gx =  0.0104 rad/s, gy = -0.0008 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7176 A, I_w_roll =  7.4402 A, theta_pitch = -54.58075mrad, theta_roll_comp = -30.3278 mrad, theta_setpoint = -39.8006 mrad, 
msg =  453, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = on, t =     4532 ms, ax =  0.5214, ay = -0.2949, az =  9.8656, gx =  0.0131 rad/s, gy = -0.0010 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7278 A, I_w_roll =  8.4207 A, theta_pitch = -54.57763mrad, theta_roll_comp = -30.2068 mrad, theta_setpoint = -39.8006 mrad, 
msg =  454, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = on, t =     4542 ms, ax =  0.5238, ay = -0.2865, az =  9.8620, gx =  0.0159 rad/s, gy = -0.0012 rad/s, gz = -0.0124 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7324 A, I_w_roll =  9.4606 A, theta_pitch = -54.57235mrad, theta_roll_comp = -30.0538 mrad, theta_setpoint = -39.8006 mrad, 
msg =  455, nerr =    8p/  12r, time steps =    5, qsz =    2, switch = on, t =     4552 ms, ax =  0.5226, ay = -0.2889, az =  9.8416, gx =  0.0164 rad/s, gy = -0.0017 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7536 A, I_w_roll =  9.7149 A, theta_pitch = -54.57171mrad, theta_roll_comp = -29.8840 mrad, theta_setpoint = -39.8006 mrad, 
msg =  456, nerr =    9p/  12r, time steps =    5, qsz =    2, switch = on, t =     4562 ms, ax =  0.5143, ay = -0.2721, az =  9.8392, gx =  0.0163 rad/s, gy = -0.0012 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7314 A, I_w_roll =  9.7392 A, theta_pitch = -54.56621mrad, theta_roll_comp = -29.7067 mrad, theta_setpoint = -39.8006 mrad, 
msg =  457, nerr =    9p/  12r, time steps =    5, qsz =    2, switch = on, t =     4572 ms, ax =  0.4987, ay = -0.2757, az =  9.8452, gx =  0.0151 rad/s, gy = -0.0012 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7284 A, I_w_roll =  9.3896 A, theta_pitch = -54.54580mrad, theta_roll_comp = -29.5321 mrad, theta_setpoint = -39.8006 mrad, 
msg =  458, nerr =    9p/  12r, time steps =    5, qsz =    2, switch = on, t =     4582 ms, ax =  0.4843, ay = -0.2781, az =  9.8691, gx =  0.0152 rad/s, gy = -0.0012 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7230 A, I_w_roll =  9.5024 A, theta_pitch = -54.50969mrad, theta_roll_comp = -29.3667 mrad, theta_setpoint = -39.8006 mrad, 
msg =  459, nerr =    9p/  12r, time steps =    5, qsz =    2, switch = on, t =     4592 ms, ax =  0.4855, ay = -0.2553, az =  9.8656, gx =  0.0160 rad/s, gy = -0.0018 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7438 A, I_w_roll =  9.8541 A, theta_pitch = -54.47094mrad, theta_roll_comp = -29.1866 mrad, theta_setpoint = -39.8006 mrad, 
msg =  460, nerr =    9p/  12r, time steps =    5, qsz =    2, switch = on, t =     4602 ms, ax =  0.4927, ay = -0.3225, az =  9.8140, gx =  0.0162 rad/s, gy = -0.0022 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7557 A, I_w_roll =  9.9632 A, theta_pitch = -54.44375mrad, theta_roll_comp = -29.0304 mrad, theta_setpoint = -39.8006 mrad, 
msg =  461, nerr =    9p/  12r, time steps =    5, qsz =    2, switch = on, t =     4612 ms, ax =  0.4987, ay = -0.0767, az =  9.8991, gx =  0.0187 rad/s, gy = -0.0034 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8016 A, I_w_roll = 10.9565 A, theta_pitch = -54.43054mrad, theta_roll_comp = -28.7606 mrad, theta_setpoint = -39.8006 mrad, 
msg =  462, nerr =   10p/  13r, time steps =    5, qsz =    2, switch = on, t =     4622 ms, ax =  0.5250, ay = -0.3356, az =  9.8068, gx =  0.0154 rad/s, gy = -0.0038 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8194 A, I_w_roll =  9.8862 A, theta_pitch = -54.44275mrad, theta_roll_comp = -28.5236 mrad, theta_setpoint = -39.8006 mrad, 
msg =  463, nerr =   10p/  13r, time steps =    5, qsz =    2, switch = on, t =     4632 ms, ax =  0.5131, ay = -0.2326, az =  9.8140, gx =  0.0180 rad/s, gy = -0.0025 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7684 A, I_w_roll = 10.8849 A, theta_pitch = -54.45760mrad, theta_roll_comp = -28.3572 mrad, theta_setpoint = -39.8006 mrad, 
msg =  464, nerr =   10p/  13r, time steps =    5, qsz =    2, switch = on, t =     4642 ms, ax =  0.5023, ay = -0.1343, az =  9.8691, gx =  0.0138 rad/s, gy = -0.0032 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7949 A, I_w_roll =  9.4965 A, theta_pitch = -54.45643mrad, theta_roll_comp = -28.0999 mrad, theta_setpoint = -39.8006 mrad, 
msg =  465, nerr =   10p/  13r, time steps =    5, qsz =    2, switch = on, t =     4652 ms, ax =  0.5155, ay = -0.3608, az =  9.7948, gx =  0.0144 rad/s, gy = -0.0032 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7956 A, I_w_roll =  9.7939 A, theta_pitch = -54.46121mrad, theta_roll_comp = -27.9388 mrad, theta_setpoint = -39.8006 mrad, 
msg =  466, nerr =   10p/  13r, time steps =    5, qsz =    2, switch = on, t =     4662 ms, ax =  0.4735, ay =  0.0000, az =  9.8703, gx =  0.0114 rad/s, gy = -0.0029 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7829 A, I_w_roll =  8.8166 A, theta_pitch = -54.44757mrad, theta_roll_comp = -27.7023 mrad, theta_setpoint = -39.8006 mrad, 
msg =  467, nerr =   10p/  13r, time steps =    5, qsz =    2, switch = on, t =     4672 ms, ax =  0.5191, ay = -0.2050, az =  9.9003, gx =  0.0139 rad/s, gy = -0.0026 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7702 A, I_w_roll =  9.8188 A, theta_pitch = -54.43396mrad, theta_roll_comp = -27.4107 mrad, theta_setpoint = -39.8006 mrad, 
msg =  468, nerr =   10p/  14r, time steps =    5, qsz =    2, switch = on, t =     4682 ms, ax =  0.5083, ay = -0.0551, az =  9.8847, gx =  0.0163 rad/s, gy = -0.0037 rad/s, gz =  0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8137 A, I_w_roll = 10.7774 A, theta_pitch = -54.43999mrad, theta_roll_comp = -27.1112 mrad, theta_setpoint = -39.8006 mrad, 
msg =  469, nerr =   10p/  14r, time steps =    5, qsz =    2, switch = on, t =     4692 ms, ax =  0.5550, ay = -0.2517, az =  9.9039, gx =  0.0221 rad/s, gy = -0.0046 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8563 A, I_w_roll = 12.9491 A, theta_pitch = -54.47569mrad, theta_roll_comp = -26.8085 mrad, theta_setpoint = -39.8006 mrad, 
msg =  470, nerr =   10p/  14r, time steps =    5, qsz =    2, switch = on, t =     4702 ms, ax =  0.5238, ay = -0.3416, az =  9.8272, gx =  0.0264 rad/s, gy = -0.0054 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8959 A, I_w_roll = 14.5234 A, theta_pitch = -54.52645mrad, theta_roll_comp = -26.6011 mrad, theta_setpoint = -39.8006 mrad, 
msg =  471, nerr =   10p/  14r, time steps =    5, qsz =    2, switch = on, t =     4712 ms, ax =  0.5155, ay = -0.5131, az =  9.7936, gx =  0.0264 rad/s, gy = -0.0049 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8799 A, I_w_roll = 14.5590 A, theta_pitch = -54.56148mrad, theta_roll_comp = -26.5120 mrad, theta_setpoint = -39.8006 mrad, 
msg =  472, nerr =   11p/  14r, time steps =    5, qsz =    2, switch = on, t =     4722 ms, ax =  0.5083, ay = -0.5910, az =  9.7840, gx =  0.0268 rad/s, gy = -0.0044 rad/s, gz = -0.0264 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8619 A, I_w_roll = 14.6850 A, theta_pitch = -54.58404mrad, theta_roll_comp = -26.5465 mrad, theta_setpoint = -39.8006 mrad, 
msg =  473, nerr =   11p/  14r, time steps =    5, qsz =    2, switch = on, t =     4732 ms, ax =  0.4843, ay = -0.6149, az =  9.8572, gx =  0.0248 rad/s, gy = -0.0033 rad/s, gz = -0.0201 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.8187 A, I_w_roll = 13.9497 A, theta_pitch = -54.58007mrad, theta_roll_comp = -26.6372 mrad, theta_setpoint = -39.8006 mrad, 
msg =  474, nerr =   11p/  14r, time steps =    5, qsz =    2, switch = on, t =     4742 ms, ax =  0.5083, ay = -0.6197, az =  9.8811, gx =  0.0288 rad/s, gy = -0.0025 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7847 A, I_w_roll = 15.3124 A, theta_pitch = -54.56623mrad, theta_roll_comp = -26.7258 mrad, theta_setpoint = -39.8006 mrad, 
msg =  475, nerr =   11p/  14r, time steps =    5, qsz =    2, switch = on, t =     4752 ms, ax =  0.5179, ay = -0.5886, az =  9.8739, gx =  0.0351 rad/s, gy = -0.0026 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7899 A, I_w_roll = 17.4944 A, theta_pitch = -54.56553mrad, theta_roll_comp = -26.7467 mrad, theta_setpoint = -39.8006 mrad, 
msg =  476, nerr =   11p/  14r, time steps =    5, qsz =    2, switch = on, t =     4762 ms, ax =  0.3057, ay = -0.4519, az =  9.6534, gx =  0.0299 rad/s, gy = -0.0012 rad/s, gz =  0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7142 A, I_w_roll = 15.7021 A, theta_pitch = -54.45115mrad, theta_roll_comp = -26.6835 mrad, theta_setpoint = -39.8006 mrad, 
msg =  477, nerr =   11p/  14r, time steps =    5, qsz =    2, switch = on, t =     4772 ms, ax =  0.6953, ay = -0.5274, az =  9.7984, gx =  0.0351 rad/s, gy = -0.0028 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7781 A, I_w_roll = 17.5548 A, theta_pitch = -54.45150mrad, theta_roll_comp = -26.5956 mrad, theta_setpoint = -39.8006 mrad, 
msg =  478, nerr =   12p/  14r, time steps =    5, qsz =    2, switch = on, t =     4782 ms, ax =  0.4124, ay = -0.1654, az =  9.7984, gx =  0.0276 rad/s, gy = -0.0012 rad/s, gz = -0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.7186 A, I_w_roll = 15.0391 A, theta_pitch = -54.48053mrad, theta_roll_comp = -26.3604 mrad, theta_setpoint = -39.8006 mrad, 
msg =  479, nerr =   12p/  14r, time steps =    5, qsz =    2, switch = on, t =     4792 ms, ax =  0.4519, ay = -0.2098, az =  9.8859, gx =  0.0309 rad/s, gy =  0.0031 rad/s, gz = -0.0222 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.1751, I_w_pitch =  6.5308 A, I_w_roll = 16.3499 A, theta_pitch = -54.36495mrad, theta_roll_comp = -25.9960 mrad, theta_setpoint = -39.8006 mrad, 
msg =  480, nerr =   12p/  14r, time steps =    5, qsz =    2, switch = on, t =     4802 ms, ax =  0.5982, ay =  0.1091, az = 10.0070, gx =  0.0355 rad/s, gy =  0.0010 rad/s, gz = -0.0241 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6113 A, I_w_roll = 18.5755 A, theta_pitch = -54.33348mrad, theta_roll_comp = -25.4451 mrad, theta_setpoint = -40.8522 mrad, 
msg =  481, nerr =   12p/  14r, time steps =    5, qsz =    2, switch = on, t =     4812 ms, ax =  0.4867, ay = -0.1546, az =  9.8548, gx =  0.0403 rad/s, gy = -0.0009 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6857 A, I_w_roll = 20.4934 A, theta_pitch = -54.33250mrad, theta_roll_comp = -24.8445 mrad, theta_setpoint = -40.8522 mrad, 
msg =  482, nerr =   12p/  15r, time steps =    5, qsz =    2, switch = on, t =     4822 ms, ax =  0.5095, ay =  0.1594, az =  9.8751, gx =  0.0409 rad/s, gy =  0.0000 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6433 A, I_w_roll = 20.9925 A, theta_pitch = -54.29848mrad, theta_roll_comp = -24.1794 mrad, theta_setpoint = -40.8522 mrad, 
msg =  483, nerr =   12p/  15r, time steps =    5, qsz =    2, switch = on, t =     4832 ms, ax =  0.4687, ay = -0.1271, az =  9.8248, gx =  0.0372 rad/s, gy =  0.0004 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6198 A, I_w_roll = 19.9416 A, theta_pitch = -54.24793mrad, theta_roll_comp = -23.5444 mrad, theta_setpoint = -40.8522 mrad, 
msg =  484, nerr =   12p/  15r, time steps =    5, qsz =    2, switch = on, t =     4842 ms, ax =  0.4579, ay =  0.0695, az =  9.8284, gx =  0.0287 rad/s, gy =  0.0014 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.5704 A, I_w_roll = 17.1741 A, theta_pitch = -54.16710mrad, theta_roll_comp = -23.0065 mrad, theta_setpoint = -40.8522 mrad, 
msg =  485, nerr =   12p/  15r, time steps =    5, qsz =    2, switch = on, t =     4852 ms, ax =  0.5023, ay =  0.1043, az =  9.8320, gx =  0.0224 rad/s, gy =  0.0014 rad/s, gz = -0.0192 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.5605 A, I_w_roll = 15.2121 A, theta_pitch = -54.10152mrad, theta_roll_comp = -22.4355 mrad, theta_setpoint = -40.8522 mrad, 
msg =  486, nerr =   12p/  15r, time steps =    5, qsz =    2, switch = on, t =     4862 ms, ax =  0.4567, ay =  0.0084, az =  9.8656, gx =  0.0208 rad/s, gy =  0.0006 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.5827 A, I_w_roll = 14.8496 A, theta_pitch = -54.03609mrad, theta_roll_comp = -21.9436 mrad, theta_setpoint = -40.8522 mrad, 
msg =  487, nerr =   12p/  15r, time steps =    5, qsz =    2, switch = on, t =     4872 ms, ax =  0.4723, ay =  0.2122, az =  9.9495, gx =  0.0202 rad/s, gy = -0.0002 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6037 A, I_w_roll = 14.8324 A, theta_pitch = -53.96336mrad, theta_roll_comp = -21.4043 mrad, theta_setpoint = -40.8522 mrad, 
msg =  488, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4882 ms, ax =  0.4819, ay =  0.0444, az =  9.8200, gx =  0.0233 rad/s, gy = -0.0012 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6336 A, I_w_roll = 16.1725 A, theta_pitch = -53.91405mrad, theta_roll_comp = -20.8501 mrad, theta_setpoint = -40.8522 mrad, 
msg =  489, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4892 ms, ax =  0.4208, ay =  0.1055, az =  9.8152, gx =  0.0176 rad/s, gy = -0.0013 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6286 A, I_w_roll = 14.3639 A, theta_pitch = -53.84509mrad, theta_roll_comp = -20.3618 mrad, theta_setpoint = -40.8522 mrad, 
msg =  490, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4902 ms, ax =  0.4663, ay =  0.1331, az =  9.8332, gx =  0.0114 rad/s, gy = -0.0022 rad/s, gz = -0.0162 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6557 A, I_w_roll = 12.3603 A, theta_pitch = -53.77750mrad, theta_roll_comp = -19.8948 mrad, theta_setpoint = -40.8522 mrad, 
msg =  491, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4912 ms, ax =  0.4591, ay =  0.0336, az =  9.7481, gx =  0.0040 rad/s, gy = -0.0024 rad/s, gz = -0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6547 A, I_w_roll =  9.9389 A, theta_pitch = -53.73500mrad, theta_roll_comp = -19.5403 mrad, theta_setpoint = -40.8522 mrad, 
msg =  492, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4922 ms, ax =  0.4507, ay =  0.1127, az =  9.8823, gx = -0.0018 rad/s, gy = -0.0021 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6362 A, I_w_roll =  8.0005 A, theta_pitch = -53.68272mrad, theta_roll_comp = -19.2599 mrad, theta_setpoint = -40.8522 mrad, 
msg =  493, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4932 ms, ax =  0.4771, ay =  0.1091, az =  9.8883, gx = -0.0017 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6836 A, I_w_roll =  8.1616 A, theta_pitch = -53.64381mrad, theta_roll_comp = -18.9736 mrad, theta_setpoint = -40.8522 mrad, 
msg =  494, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4942 ms, ax =  0.5250, ay =  0.2110, az =  9.8200, gx = -0.0035 rad/s, gy = -0.0033 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.6793 A, I_w_roll =  7.6400 A, theta_pitch = -53.65050mrad, theta_roll_comp = -18.6463 mrad, theta_setpoint = -40.8522 mrad, 
msg =  495, nerr =   12p/  16r, time steps =    5, qsz =    2, switch = on, t =     4952 ms, ax =  0.5454, ay =  0.1726, az =  9.8691, gx = -0.0059 rad/s, gy = -0.0054 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.7722 A, I_w_roll =  6.9335 A, theta_pitch = -53.70176mrad, theta_roll_comp = -18.3156 mrad, theta_setpoint = -40.8522 mrad, 
msg =  496, nerr =   13p/  16r, time steps =    5, qsz =    2, switch = on, t =     4962 ms, ax =  0.5346, ay =  0.1486, az =  9.7744, gx = -0.0110 rad/s, gy = -0.0057 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.7930 A, I_w_roll =  5.2659 A, theta_pitch = -53.76923mrad, theta_roll_comp = -18.0571 mrad, theta_setpoint = -40.8522 mrad, 
msg =  497, nerr =   13p/  16r, time steps =    5, qsz =    2, switch = on, t =     4972 ms, ax =  0.5334, ay =  0.2062, az =  9.8356, gx = -0.0198 rad/s, gy = -0.0044 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.7481 A, I_w_roll =  2.2724 A, theta_pitch = -53.82519mrad, theta_roll_comp = -17.8512 mrad, theta_setpoint = -40.8522 mrad, 
msg =  498, nerr =   13p/  16r, time steps =    5, qsz =    2, switch = on, t =     4982 ms, ax =  0.5167, ay =  0.2421, az =  9.9243, gx = -0.0226 rad/s, gy = -0.0044 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.7534 A, I_w_roll =  1.3708 A, theta_pitch = -53.86063mrad, theta_roll_comp = -17.6584 mrad, theta_setpoint = -40.8522 mrad, 
msg =  499, nerr =   13p/  16r, time steps =    5, qsz =    2, switch = on, t =     4992 ms, ax =  0.5670, ay = -0.1522, az =  9.9171, gx = -0.0218 rad/s, gy = -0.0052 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = 13.5695, I_w_pitch =  6.7938 A, I_w_roll =  1.6456 A, theta_pitch = -53.91687mrad, theta_roll_comp = -17.6706 mrad, theta_setpoint = -40.8522 mrad, 
msg =  500, nerr =   13p/  16r, time steps =    5, qsz =    2, switch = on, t =     5002 ms, ax =  0.4675, ay =  0.1498, az =  9.8679, gx = -0.0186 rad/s, gy = -0.0060 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = 104.0107, I_w_pitch =  6.8311 A, I_w_roll =  5.0302 A, theta_pitch = -53.95232mrad, theta_roll_comp = -17.6850 mrad, theta_setpoint = -46.5319 mrad, 
