picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12614, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126142 ms, ax =  0.5047, ay = -0.2290, az =  9.8440, gx = -0.0013 rad/s, gy = -0.0022 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8736 A, I_w_roll =  3.4493 A, theta_pitch = -55.23019mrad, theta_roll_comp = -30.2516 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12615, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126152 ms, ax =  0.5035, ay = -0.2206, az =  9.8428, gx = -0.0017 rad/s, gy = -0.0022 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8709 A, I_w_roll =  3.3332 A, theta_pitch = -55.21183mrad, theta_roll_comp = -30.1923 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12616, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126162 ms, ax =  0.5035, ay = -0.2158, az =  9.8452, gx = -0.0018 rad/s, gy = -0.0025 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8789 A, I_w_roll =  3.3117 A, theta_pitch = -55.19449mrad, theta_roll_comp = -30.1295 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12617, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126172 ms, ax =  0.5023, ay = -0.2110, az =  9.8416, gx = -0.0021 rad/s, gy = -0.0025 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8765 A, I_w_roll =  3.2445 A, theta_pitch = -55.17793mrad, theta_roll_comp = -30.0646 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12618, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126182 ms, ax =  0.5059, ay = -0.2182, az =  9.8404, gx = -0.0025 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8851 A, I_w_roll =  3.1283 A, theta_pitch = -55.16452mrad, theta_roll_comp = -30.0056 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12619, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126192 ms, ax =  0.5071, ay = -0.2170, az =  9.8368, gx = -0.0031 rad/s, gy = -0.0028 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8837 A, I_w_roll =  2.9154 A, theta_pitch = -55.15489mrad, theta_roll_comp = -29.9552 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12620, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126202 ms, ax =  0.5131, ay = -0.2194, az =  9.8404, gx = -0.0037 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8828 A, I_w_roll =  2.7463 A, theta_pitch = -55.14920mrad, theta_roll_comp = -29.9120 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12621, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126212 ms, ax =  0.5143, ay = -0.2266, az =  9.8392, gx = -0.0042 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8825 A, I_w_roll =  2.5729 A, theta_pitch = -55.14692mrad, theta_roll_comp = -29.8794 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12622, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126222 ms, ax =  0.5191, ay = -0.2314, az =  9.8368, gx = -0.0045 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8826 A, I_w_roll =  2.4886 A, theta_pitch = -55.14791mrad, theta_roll_comp = -29.8572 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12623, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126232 ms, ax =  0.5202, ay = -0.2338, az =  9.8308, gx = -0.0047 rad/s, gy = -0.0030 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8941 A, I_w_roll =  2.4017 A, theta_pitch = -55.15344mrad, theta_roll_comp = -29.8414 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12624, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126242 ms, ax =  0.5238, ay = -0.2338, az =  9.8332, gx = -0.0050 rad/s, gy = -0.0026 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8792 A, I_w_roll =  2.3132 A, theta_pitch = -55.16060mrad, theta_roll_comp = -29.8297 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12625, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126252 ms, ax =  0.5191, ay = -0.2290, az =  9.8356, gx = -0.0051 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8853 A, I_w_roll =  2.2715 A, theta_pitch = -55.16553mrad, theta_roll_comp = -29.8173 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12626, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126262 ms, ax =  0.5143, ay = -0.2326, az =  9.8392, gx = -0.0054 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8853 A, I_w_roll =  2.1825 A, theta_pitch = -55.16602mrad, theta_roll_comp = -29.8067 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12627, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126272 ms, ax =  0.5143, ay = -0.2314, az =  9.8344, gx = -0.0053 rad/s, gy = -0.0026 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8796 A, I_w_roll =  2.2327 A, theta_pitch = -55.16359mrad, theta_roll_comp = -29.7978 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12628, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126282 ms, ax =  0.5095, ay = -0.2385, az =  9.8380, gx = -0.0055 rad/s, gy = -0.0026 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8788 A, I_w_roll =  2.1414 A, theta_pitch = -55.15805mrad, theta_roll_comp = -29.7930 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12629, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126292 ms, ax =  0.5059, ay = -0.2421, az =  9.8332, gx = -0.0054 rad/s, gy = -0.0024 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8665 A, I_w_roll =  2.1875 A, theta_pitch = -55.14694mrad, theta_roll_comp = -29.7943 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12630, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126302 ms, ax =  0.5047, ay = -0.2445, az =  9.8368, gx = -0.0057 rad/s, gy = -0.0025 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8697 A, I_w_roll =  2.0923 A, theta_pitch = -55.13308mrad, theta_roll_comp = -29.7994 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12631, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126312 ms, ax =  0.5059, ay = -0.2397, az =  9.8404, gx = -0.0058 rad/s, gy = -0.0026 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8732 A, I_w_roll =  2.0435 A, theta_pitch = -55.12058mrad, theta_roll_comp = -29.8048 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12632, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126322 ms, ax =  0.5035, ay = -0.2361, az =  9.8404, gx = -0.0059 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8822 A, I_w_roll =  1.9959 A, theta_pitch = -55.10944mrad, theta_roll_comp = -29.8072 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12633, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126332 ms, ax =  0.5095, ay = -0.2397, az =  9.8440, gx = -0.0059 rad/s, gy = -0.0029 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8810 A, I_w_roll =  1.9947 A, theta_pitch = -55.10163mrad, theta_roll_comp = -29.8104 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12634, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126342 ms, ax =  0.5095, ay = -0.2433, az =  9.8380, gx = -0.0057 rad/s, gy = -0.0030 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8857 A, I_w_roll =  2.0857 A, theta_pitch = -55.09752mrad, theta_roll_comp = -29.8159 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12635, nerr =  704p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126352 ms, ax =  0.5107, ay = -0.2469, az =  9.8428, gx = -0.0057 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8962 A, I_w_roll =  2.0826 A, theta_pitch = -55.09615mrad, theta_roll_comp = -29.8237 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12636, nerr =  705p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126362 ms, ax =  0.5107, ay = -0.2505, az =  9.8476, gx = -0.0058 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9016 A, I_w_roll =  2.0312 A, theta_pitch = -55.09705mrad, theta_roll_comp = -29.8356 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12637, nerr =  705p/ 666r, time steps =    5, qsz =    2, switch = off, t =   126372 ms, ax =  0.5119, ay = -0.2505, az =  9.8440, gx = -0.0058 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8965 A, I_w_roll =  2.0255 A, theta_pitch = -55.09848mrad, theta_roll_comp = -29.8498 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12638, nerr =  705p/ 667r, time steps =    5, qsz =    2, switch = off, t =   126382 ms, ax =  0.5155, ay = -0.2505, az =  9.8488, gx = -0.0058 rad/s, gy = -0.0036 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9079 A, I_w_roll =  2.0199 A, theta_pitch = -55.10315mrad, theta_roll_comp = -29.8637 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12639, nerr =  705p/ 667r, time steps =    5, qsz =    2, switch = off, t =   126392 ms, ax =  0.5179, ay = -0.2589, az =  9.8404, gx = -0.0057 rad/s, gy = -0.0038 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9201 A, I_w_roll =  2.0594 A, theta_pitch = -55.11357mrad, theta_roll_comp = -29.8815 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12640, nerr =  705p/ 667r, time steps =    5, qsz =    2, switch = off, t =   126402 ms, ax =  0.5131, ay = -0.2673, az =  9.8440, gx = -0.0059 rad/s, gy = -0.0037 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9162 A, I_w_roll =  1.9554 A, theta_pitch = -55.12296mrad, theta_roll_comp = -29.9085 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12641, nerr =  705p/ 667r, time steps =    5, qsz =    2, switch = off, t =   126412 ms, ax =  0.5202, ay = -0.2613, az =  9.8380, gx = -0.0057 rad/s, gy = -0.0037 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9177 A, I_w_roll =  2.0378 A, theta_pitch = -55.13345mrad, theta_roll_comp = -29.9356 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12642, nerr =  706p/ 667r, time steps =    5, qsz =    2, switch = off, t =   126422 ms, ax =  0.5179, ay = -0.2625, az =  9.8356, gx = -0.0057 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9142 A, I_w_roll =  2.0283 A, theta_pitch = -55.14535mrad, theta_roll_comp = -29.9592 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12643, nerr =  706p/ 667r, time steps =    5, qsz =    2, switch = off, t =   126432 ms, ax =  0.5250, ay = -0.2613, az =  9.8404, gx = -0.0054 rad/s, gy = -0.0029 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8891 A, I_w_roll =  2.1128 A, theta_pitch = -55.15568mrad, theta_roll_comp = -29.9810 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12644, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126442 ms, ax =  0.5286, ay = -0.2613, az =  9.8428, gx = -0.0053 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8909 A, I_w_roll =  2.1518 A, theta_pitch = -55.16798mrad, theta_roll_comp = -30.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12645, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126452 ms, ax =  0.5262, ay = -0.2625, az =  9.8392, gx = -0.0050 rad/s, gy = -0.0028 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8874 A, I_w_roll =  2.2380 A, theta_pitch = -55.17985mrad, theta_roll_comp = -30.0175 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12646, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126462 ms, ax =  0.5286, ay = -0.2637, az =  9.8368, gx = -0.0049 rad/s, gy = -0.0029 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8946 A, I_w_roll =  2.2780 A, theta_pitch = -55.19207mrad, theta_roll_comp = -30.0341 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12647, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126472 ms, ax =  0.5262, ay = -0.2661, az =  9.8380, gx = -0.0049 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8910 A, I_w_roll =  2.2709 A, theta_pitch = -55.20386mrad, theta_roll_comp = -30.0519 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12648, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126482 ms, ax =  0.5179, ay = -0.2625, az =  9.8428, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9026 A, I_w_roll =  2.3580 A, theta_pitch = -55.21049mrad, theta_roll_comp = -30.0670 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12649, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126492 ms, ax =  0.5155, ay = -0.2637, az =  9.8452, gx = -0.0049 rad/s, gy = -0.0029 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8976 A, I_w_roll =  2.2592 A, theta_pitch = -55.21220mrad, theta_roll_comp = -30.0812 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12650, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126502 ms, ax =  0.5155, ay = -0.2613, az =  9.8524, gx = -0.0047 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8975 A, I_w_roll =  2.3003 A, theta_pitch = -55.21189mrad, theta_roll_comp = -30.0948 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12651, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126512 ms, ax =  0.5143, ay = -0.2589, az =  9.8608, gx = -0.0046 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8919 A, I_w_roll =  2.3431 A, theta_pitch = -55.20981mrad, theta_roll_comp = -30.1043 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12652, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126522 ms, ax =  0.5119, ay = -0.2613, az =  9.8548, gx = -0.0045 rad/s, gy = -0.0025 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8803 A, I_w_roll =  2.3864 A, theta_pitch = -55.20380mrad, theta_roll_comp = -30.1126 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12653, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126532 ms, ax =  0.5047, ay = -0.2577, az =  9.8536, gx = -0.0046 rad/s, gy = -0.0026 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8840 A, I_w_roll =  2.3368 A, theta_pitch = -55.19254mrad, theta_roll_comp = -30.1201 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12654, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126542 ms, ax =  0.5023, ay = -0.2541, az =  9.8476, gx = -0.0043 rad/s, gy = -0.0028 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8872 A, I_w_roll =  2.4288 A, theta_pitch = -55.17824mrad, theta_roll_comp = -30.1233 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12655, nerr =  706p/ 668r, time steps =    5, qsz =    2, switch = off, t =   126552 ms, ax =  0.5107, ay = -0.2541, az =  9.8380, gx = -0.0042 rad/s, gy = -0.0026 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8803 A, I_w_roll =  2.4755 A, theta_pitch = -55.16779mrad, theta_roll_comp = -30.1230 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12656, nerr =  706p/ 669r, time steps =    5, qsz =    2, switch = off, t =   126562 ms, ax =  0.5143, ay = -0.2493, az =  9.8416, gx = -0.0042 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8850 A, I_w_roll =  2.4769 A, theta_pitch = -55.16358mrad, theta_roll_comp = -30.1195 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12657, nerr =  706p/ 669r, time steps =    5, qsz =    2, switch = off, t =   126572 ms, ax =  0.5107, ay = -0.2457, az =  9.8404, gx = -0.0042 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8789 A, I_w_roll =  2.4799 A, theta_pitch = -55.15899mrad, theta_roll_comp = -30.1118 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12658, nerr =  706p/ 669r, time steps =    5, qsz =    2, switch = off, t =   126582 ms, ax =  0.5071, ay = -0.2517, az =  9.8380, gx = -0.0041 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8885 A, I_w_roll =  2.5292 A, theta_pitch = -55.15172mrad, theta_roll_comp = -30.1051 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12659, nerr =  706p/ 669r, time steps =    5, qsz =    2, switch = off, t =   126592 ms, ax =  0.5167, ay = -0.2553, az =  9.8416, gx = -0.0034 rad/s, gy = -0.0025 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8718 A, I_w_roll =  2.7647 A, theta_pitch = -55.14709mrad, theta_roll_comp = -30.0991 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12660, nerr =  706p/ 669r, time steps =    5, qsz =    2, switch = off, t =   126602 ms, ax =  0.5179, ay = -0.2565, az =  9.8320, gx = -0.0035 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8771 A, I_w_roll =  2.7204 A, theta_pitch = -55.14670mrad, theta_roll_comp = -30.0932 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12661, nerr =  706p/ 669r, time steps =    5, qsz =    2, switch = off, t =   126612 ms, ax =  0.5179, ay = -0.2565, az =  9.8296, gx = -0.0035 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8881 A, I_w_roll =  2.7222 A, theta_pitch = -55.14921mrad, theta_roll_comp = -30.0886 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12662, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126622 ms, ax =  0.5131, ay = -0.2565, az =  9.8356, gx = -0.0035 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9046 A, I_w_roll =  2.7240 A, theta_pitch = -55.15236mrad, theta_roll_comp = -30.0841 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12663, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126632 ms, ax =  0.5238, ay = -0.2541, az =  9.8404, gx = -0.0037 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9004 A, I_w_roll =  2.6795 A, theta_pitch = -55.15991mrad, theta_roll_comp = -30.0789 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12664, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126642 ms, ax =  0.5226, ay = -0.2601, az =  9.8440, gx = -0.0033 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8857 A, I_w_roll =  2.8212 A, theta_pitch = -55.16879mrad, theta_roll_comp = -30.0742 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12665, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126652 ms, ax =  0.5226, ay = -0.2601, az =  9.8440, gx = -0.0030 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8867 A, I_w_roll =  2.9165 A, theta_pitch = -55.17511mrad, theta_roll_comp = -30.0691 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12666, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126662 ms, ax =  0.5191, ay = -0.2613, az =  9.8464, gx = -0.0029 rad/s, gy = -0.0026 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8819 A, I_w_roll =  2.9656 A, theta_pitch = -55.17863mrad, theta_roll_comp = -30.0627 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12667, nerr =  706p/ 670r, time steps =    5, qsz =    3, switch = off, t =   126672 ms, ax =  0.5179, ay = -0.2661, az =  9.8488, gx = -0.0029 rad/s, gy = -0.0029 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8928 A, I_w_roll =  2.9672 A, theta_pitch = -55.18049mrad, theta_roll_comp = -30.0588 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12668, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126682 ms, ax =  0.5155, ay = -0.2601, az =  9.8524, gx = -0.0029 rad/s, gy = -0.0029 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8930 A, I_w_roll =  2.9692 A, theta_pitch = -55.18153mrad, theta_roll_comp = -30.0539 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12669, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126692 ms, ax =  0.5131, ay = -0.2625, az =  9.8368, gx = -0.0028 rad/s, gy = -0.0032 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9037 A, I_w_roll =  3.0185 A, theta_pitch = -55.18192mrad, theta_roll_comp = -30.0470 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12670, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126702 ms, ax =  0.5131, ay = -0.2601, az =  9.8356, gx = -0.0029 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9093 A, I_w_roll =  2.9746 A, theta_pitch = -55.18355mrad, theta_roll_comp = -30.0403 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12671, nerr =  706p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126712 ms, ax =  0.5071, ay = -0.2577, az =  9.8284, gx = -0.0028 rad/s, gy = -0.0030 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8983 A, I_w_roll =  3.0248 A, theta_pitch = -55.18136mrad, theta_roll_comp = -30.0312 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12672, nerr =  707p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126722 ms, ax =  0.5023, ay = -0.2589, az =  9.8368, gx = -0.0029 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8915 A, I_w_roll =  2.9820 A, theta_pitch = -55.17176mrad, theta_roll_comp = -30.0219 mrad, theta_setpoint = -40.0000 mrad, 
