picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -5.5459, rpm_roll = -0.0000, I_w_pitch = -3.5804 A, I_w_roll = -18.7697 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  203, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4062 ms, ax =  0.1726, ay = -0.5226, az =  9.9303, gx =  0.0090 rad/s, gy =  0.0078 rad/s, gz =  0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6493 A, I_w_roll = -4.2488 A, theta_pitch = -23.06454mrad, theta_roll_comp = -58.4680 mrad, theta_setpoint = -40.0000 mrad, 
msg =  204, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4082 ms, ax =  0.1642, ay = -0.5083, az =  9.9231, gx =  0.0074 rad/s, gy =  0.0074 rad/s, gz =  0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6241 A, I_w_roll = -4.6895 A, theta_pitch = -22.78995mrad, theta_roll_comp = -58.1719 mrad, theta_setpoint = -40.0000 mrad, 
msg =  205, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4102 ms, ax =  0.1690, ay = -0.4939, az =  9.9483, gx =  0.0055 rad/s, gy =  0.0074 rad/s, gz =  0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5840 A, I_w_roll = -5.2294 A, theta_pitch = -22.52265mrad, theta_roll_comp = -57.8903 mrad, theta_setpoint = -40.0000 mrad, 
msg =  206, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4122 ms, ax =  0.1510, ay = -0.4735, az =  9.9579, gx =  0.0032 rad/s, gy =  0.0067 rad/s, gz =  0.0128 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5712 A, I_w_roll = -5.9144 A, theta_pitch = -22.25983mrad, theta_roll_comp = -57.6222 mrad, theta_setpoint = -40.0000 mrad, 
msg =  207, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4142 ms, ax =  0.1391, ay = -0.4723, az =  9.9674, gx =  0.0010 rad/s, gy =  0.0056 rad/s, gz =  0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5723 A, I_w_roll = -6.6084 A, theta_pitch = -21.98265mrad, theta_roll_comp = -57.3766 mrad, theta_setpoint = -40.0000 mrad, 
msg =  208, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4162 ms, ax =  0.1055, ay = -0.4819, az =  9.9854, gx =  0.0014 rad/s, gy =  0.0043 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.5826 A, I_w_roll = -6.3831 A, theta_pitch = -21.69613mrad, theta_roll_comp = -57.1628 mrad, theta_setpoint = -40.0000 mrad, 
msg =  209, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4182 ms, ax =  0.0863, ay = -0.5358, az =  9.9543, gx =  0.0011 rad/s, gy =  0.0015 rad/s, gz = -0.0272 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6495 A, I_w_roll = -6.4150 A, theta_pitch = -21.39702mrad, theta_roll_comp = -57.0095 mrad, theta_setpoint = -40.0000 mrad, 
msg =  210, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4202 ms, ax =  0.0827, ay = -0.5574, az =  9.9207, gx = -0.0017 rad/s, gy = -0.0008 rad/s, gz = -0.0471 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7019 A, I_w_roll = -7.3838 A, theta_pitch = -21.14221mrad, theta_roll_comp = -56.9848 mrad, theta_setpoint = -40.0000 mrad, 
msg =  211, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4222 ms, ax =  0.0683, ay = -0.5742, az =  9.9459, gx =  0.0016 rad/s, gy = -0.0024 rad/s, gz = -0.0497 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7301 A, I_w_roll = -6.2084 A, theta_pitch = -20.90428mrad, theta_roll_comp = -56.9592 mrad, theta_setpoint = -40.0000 mrad, 
msg =  212, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4242 ms, ax =  0.0671, ay = -0.5658, az =  9.9543, gx =  0.0024 rad/s, gy = -0.0026 rad/s, gz = -0.0361 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7045 A, I_w_roll = -5.9184 A, theta_pitch = -20.66298mrad, theta_roll_comp = -56.9333 mrad, theta_setpoint = -40.0000 mrad, 
msg =  213, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4262 ms, ax =  0.0683, ay = -0.5490, az =  9.9507, gx = -0.0026 rad/s, gy = -0.0024 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6608 A, I_w_roll = -7.6830 A, theta_pitch = -20.44260mrad, theta_roll_comp = -56.9172 mrad, theta_setpoint = -40.0000 mrad, 
msg =  214, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4282 ms, ax =  0.0947, ay = -0.5358, az =  9.9399, gx = -0.0031 rad/s, gy = -0.0029 rad/s, gz =  0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6543 A, I_w_roll = -7.8667 A, theta_pitch = -20.25722mrad, theta_roll_comp = -56.9105 mrad, theta_setpoint = -40.0000 mrad, 
msg =  215, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4302 ms, ax =  0.1175, ay = -0.5226, az =  9.9387, gx = -0.0035 rad/s, gy = -0.0036 rad/s, gz =  0.0188 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6611 A, I_w_roll = -8.0097 A, theta_pitch = -20.12487mrad, theta_roll_comp = -56.9184 mrad, theta_setpoint = -40.0000 mrad, 
msg =  216, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4322 ms, ax =  0.1379, ay = -0.4963, az =  9.9471, gx = -0.0074 rad/s, gy = -0.0040 rad/s, gz =  0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6667 A, I_w_roll = -9.3628 A, theta_pitch = -20.05579mrad, theta_roll_comp = -56.9225 mrad, theta_setpoint = -40.0000 mrad, 
msg =  217, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4342 ms, ax =  0.1426, ay = -0.4843, az =  9.9519, gx = -0.0078 rad/s, gy = -0.0060 rad/s, gz =  0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7447 A, I_w_roll = -9.4940 A, theta_pitch = -20.04306mrad, theta_roll_comp = -56.9010 mrad, theta_setpoint = -40.0000 mrad, 
msg =  218, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4362 ms, ax =  0.1450, ay = -0.4879, az =  9.9315, gx = -0.0070 rad/s, gy = -0.0092 rad/s, gz =  0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.8787 A, I_w_roll = -9.2108 A, theta_pitch = -20.08412mrad, theta_roll_comp = -56.8918 mrad, theta_setpoint = -40.0000 mrad, 
msg =  219, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4382 ms, ax =  0.1534, ay = -0.4963, az =  9.9279, gx = -0.0093 rad/s, gy = -0.0104 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9415 A, I_w_roll = -10.0143 A, theta_pitch = -20.18339mrad, theta_roll_comp = -56.9201 mrad, theta_setpoint = -40.0000 mrad, 
msg =  220, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4402 ms, ax =  0.1678, ay = -0.5155, az =  9.9615, gx = -0.0093 rad/s, gy = -0.0101 rad/s, gz = -0.0240 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9505 A, I_w_roll = -10.0358 A, theta_pitch = -20.31405mrad, theta_roll_comp = -56.9739 mrad, theta_setpoint = -40.0000 mrad, 
msg =  221, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4422 ms, ax =  0.1786, ay = -0.5490, az =  9.9483, gx = -0.0091 rad/s, gy = -0.0092 rad/s, gz = -0.0358 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.9325 A, I_w_roll = -10.0369 A, theta_pitch = -20.44301mrad, theta_roll_comp = -57.0932 mrad, theta_setpoint = -40.0000 mrad, 
msg =  222, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4442 ms, ax =  0.1882, ay = -0.5658, az =  9.9315, gx = -0.0109 rad/s, gy = -0.0066 rad/s, gz = -0.0405 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.8489 A, I_w_roll = -10.7112 A, theta_pitch = -20.56037mrad, theta_roll_comp = -57.2641 mrad, theta_setpoint = -40.0000 mrad, 
msg =  223, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4462 ms, ax =  0.1942, ay = -0.6054, az =  9.9507, gx = -0.0099 rad/s, gy = -0.0037 rad/s, gz = -0.0382 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.7426 A, I_w_roll = -10.4771 A, theta_pitch = -20.63262mrad, theta_roll_comp = -57.4946 mrad, theta_setpoint = -40.0000 mrad, 
msg =  224, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4482 ms, ax =  0.2110, ay = -0.6389, az =  9.9459, gx = -0.0075 rad/s, gy = -0.0010 rad/s, gz = -0.0306 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.6418 A, I_w_roll = -9.7502 A, theta_pitch = -20.67088mrad, theta_roll_comp = -57.7744 mrad, theta_setpoint = -40.0000 mrad, 
msg =  225, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4502 ms, ax =  0.2338, ay = -0.6437, az =  9.9399, gx = -0.0071 rad/s, gy =  0.0027 rad/s, gz = -0.0224 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.4951 A, I_w_roll = -9.7223 A, theta_pitch = -20.68715mrad, theta_roll_comp = -58.0542 mrad, theta_setpoint = -40.0000 mrad, 
msg =  226, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4522 ms, ax =  0.2649, ay = -0.6473, az =  9.9399, gx = -0.0053 rad/s, gy =  0.0062 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.3576 A, I_w_roll = -9.1684 A, theta_pitch = -20.69342mrad, theta_roll_comp = -58.3007 mrad, theta_setpoint = -40.0000 mrad, 
msg =  227, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4542 ms, ax =  0.2613, ay = -0.6701, az =  9.9399, gx = -0.0026 rad/s, gy =  0.0098 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.2068 A, I_w_roll = -8.3305 A, theta_pitch = -20.64678mrad, theta_roll_comp = -58.5360 mrad, theta_setpoint = -40.0000 mrad, 
msg =  228, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4562 ms, ax =  0.2529, ay = -0.6725, az =  9.9375, gx = -0.0009 rad/s, gy =  0.0118 rad/s, gz = -0.0073 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1100 A, I_w_roll = -7.8106 A, theta_pitch = -20.53438mrad, theta_roll_comp = -58.7508 mrad, theta_setpoint = -40.0000 mrad, 
msg =  229, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4582 ms, ax =  0.2373, ay = -0.6689, az =  9.9303, gx =  0.0010 rad/s, gy =  0.0139 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9988 A, I_w_roll = -7.2256 A, theta_pitch = -20.36081mrad, theta_roll_comp = -58.9196 mrad, theta_setpoint = -40.0000 mrad, 
msg =  230, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4602 ms, ax =  0.2385, ay = -0.6509, az =  9.9423, gx =  0.0042 rad/s, gy =  0.0148 rad/s, gz = -0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.9299 A, I_w_roll = -6.1444 A, theta_pitch = -20.15009mrad, theta_roll_comp = -59.0129 mrad, theta_setpoint = -40.0000 mrad, 
msg =  231, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4622 ms, ax =  0.2266, ay = -0.6305, az =  9.9495, gx =  0.0058 rad/s, gy =  0.0157 rad/s, gz = -0.0044 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.8570 A, I_w_roll = -5.5888 A, theta_pitch = -19.91304mrad, theta_roll_comp = -59.0219 mrad, theta_setpoint = -40.0000 mrad, 
msg =  232, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4642 ms, ax =  0.1978, ay = -0.6281, az =  9.9507, gx =  0.0075 rad/s, gy =  0.0173 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.7472 A, I_w_roll = -4.9593 A, theta_pitch = -19.60661mrad, theta_roll_comp = -58.9629 mrad, theta_setpoint = -40.0000 mrad, 
msg =  233, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4662 ms, ax =  0.1714, ay = -0.6185, az =  9.9387, gx =  0.0096 rad/s, gy =  0.0192 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.6154 A, I_w_roll = -4.1752 A, theta_pitch = -19.22527mrad, theta_roll_comp = -58.8667 mrad, theta_setpoint = -40.0000 mrad, 
msg =  234, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4682 ms, ax =  0.1534, ay = -0.6066, az =  9.9363, gx =  0.0114 rad/s, gy =  0.0212 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.4659 A, I_w_roll = -3.5077 A, theta_pitch = -18.76098mrad, theta_roll_comp = -58.7125 mrad, theta_setpoint = -40.0000 mrad, 
msg =  235, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4702 ms, ax =  0.1403, ay = -0.5958, az =  9.9471, gx =  0.0124 rad/s, gy =  0.0239 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.2799 A, I_w_roll = -3.0521 A, theta_pitch = -18.23110mrad, theta_roll_comp = -58.5057 mrad, theta_setpoint = -40.0000 mrad, 
msg =  236, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4722 ms, ax =  0.1379, ay = -0.5862, az =  9.9603, gx =  0.0147 rad/s, gy =  0.0261 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.1017 A, I_w_roll = -2.1589 A, theta_pitch = -17.64723mrad, theta_roll_comp = -58.2534 mrad, theta_setpoint = -40.0000 mrad, 
msg =  237, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4742 ms, ax =  0.1319, ay = -0.5634, az =  9.9303, gx =  0.0154 rad/s, gy =  0.0271 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.0273 A, I_w_roll = -1.8029 A, theta_pitch = -17.03547mrad, theta_roll_comp = -57.9458 mrad, theta_setpoint = -40.0000 mrad, 
msg =  238, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4762 ms, ax =  0.1103, ay = -0.5514, az =  9.9435, gx =  0.0156 rad/s, gy =  0.0280 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.1627 A, I_w_roll = -1.5693 A, theta_pitch = -16.38124mrad, theta_roll_comp = -57.5949 mrad, theta_setpoint = -40.0000 mrad, 
msg =  239, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4782 ms, ax =  0.1055, ay = -0.5490, az =  9.9375, gx =  0.0154 rad/s, gy =  0.0279 rad/s, gz = -0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.2574 A, I_w_roll = -1.5205 A, theta_pitch = -15.71485mrad, theta_roll_comp = -57.2398 mrad, theta_setpoint = -40.0000 mrad, 
msg =  240, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4802 ms, ax =  0.0887, ay = -0.5490, az =  9.9387, gx =  0.0151 rad/s, gy =  0.0267 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3086 A, I_w_roll = -1.4752 A, theta_pitch = -15.05396mrad, theta_roll_comp = -56.8935 mrad, theta_setpoint = -40.0000 mrad, 
msg =  241, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4822 ms, ax =  0.0671, ay = -0.5466, az =  9.9387, gx =  0.0155 rad/s, gy =  0.0253 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3542 A, I_w_roll = -1.1987 A, theta_pitch = -14.39465mrad, theta_roll_comp = -56.5519 mrad, theta_setpoint = -40.0000 mrad, 
msg =  242, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.0444, ay = -0.5502, az =  9.9315, gx =  0.0154 rad/s, gy =  0.0239 rad/s, gz =  0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.3964 A, I_w_roll = -1.1116 A, theta_pitch = -13.72300mrad, theta_roll_comp = -56.2176 mrad, theta_setpoint = -40.0000 mrad, 
msg =  243, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4862 ms, ax =  0.0252, ay = -0.5370, az =  9.9399, gx =  0.0160 rad/s, gy =  0.0224 rad/s, gz =  0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4376 A, I_w_roll = -0.7397 A, theta_pitch = -13.05716mrad, theta_roll_comp = -55.8705 mrad, theta_setpoint = -40.0000 mrad, 
msg =  244, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4882 ms, ax =  0.0168, ay = -0.5226, az =  9.9339, gx =  0.0159 rad/s, gy =  0.0215 rad/s, gz =  0.0033 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.4992 A, I_w_roll = -0.6376 A, theta_pitch = -12.39847mrad, theta_roll_comp = -55.4986 mrad, theta_setpoint = -40.0000 mrad, 
msg =  245, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4902 ms, ax =  0.0108, ay = -0.5083, az =  9.9363, gx =  0.0154 rad/s, gy =  0.0201 rad/s, gz =  0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5409 A, I_w_roll = -0.6697 A, theta_pitch = -11.76528mrad, theta_roll_comp = -55.1128 mrad, theta_setpoint = -40.0000 mrad, 
msg =  246, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4922 ms, ax = -0.0012, ay = -0.4999, az =  9.9423, gx =  0.0155 rad/s, gy =  0.0193 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6016 A, I_w_roll = -0.4653 A, theta_pitch = -11.14769mrad, theta_roll_comp = -54.7183 mrad, theta_setpoint = -40.0000 mrad, 
msg =  247, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4942 ms, ax = -0.0084, ay = -0.4987, az =  9.9339, gx =  0.0150 rad/s, gy =  0.0181 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6438 A, I_w_roll = -0.4971 A, theta_pitch = -10.54642mrad, theta_roll_comp = -54.3319 mrad, theta_setpoint = -40.0000 mrad, 
msg =  248, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4962 ms, ax = -0.0192, ay = -0.4891, az =  9.9351, gx =  0.0151 rad/s, gy =  0.0165 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6670 A, I_w_roll = -0.2938 A, theta_pitch = -9.96594mrad, theta_roll_comp = -53.9401 mrad, theta_setpoint = -40.0000 mrad, 
msg =  249, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     4982 ms, ax = -0.0228, ay = -0.4759, az =  9.9315, gx =  0.0150 rad/s, gy =  0.0147 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6755 A, I_w_roll = -0.1779 A, theta_pitch = -9.41204mrad, theta_roll_comp = -53.5340 mrad, theta_setpoint = -40.0000 mrad, 
msg =  250, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5002 ms, ax = -0.0276, ay = -0.4795, az =  9.9243, gx =  0.0143 rad/s, gy =  0.0126 rad/s, gz = -0.0177 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6658 A, I_w_roll = -0.2526 A, theta_pitch = -8.90867mrad, theta_roll_comp = -53.1380 mrad, theta_setpoint = -40.0000 mrad, 
msg =  251, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5022 ms, ax = -0.0336, ay = -0.4891, az =  9.9303, gx =  0.0134 rad/s, gy =  0.0104 rad/s, gz = -0.0193 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6506 A, I_w_roll = -0.4337 A, theta_pitch = -8.44178mrad, theta_roll_comp = -52.7753 mrad, theta_setpoint = -40.0000 mrad, 
msg =  252, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5042 ms, ax = -0.0288, ay = -0.4819, az =  9.9339, gx =  0.0128 rad/s, gy =  0.0087 rad/s, gz = -0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6440 A, I_w_roll = -0.4835 A, theta_pitch = -8.02399mrad, theta_roll_comp = -52.4337 mrad, theta_setpoint = -40.0000 mrad, 
msg =  253, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5062 ms, ax = -0.0372, ay = -0.4795, az =  9.9327, gx =  0.0119 rad/s, gy =  0.0071 rad/s, gz = -0.0170 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6372 A, I_w_roll = -0.6790 A, theta_pitch = -7.64364mrad, theta_roll_comp = -52.1070 mrad, theta_setpoint = -40.0000 mrad, 
msg =  254, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5082 ms, ax = -0.0312, ay = -0.4735, az =  9.9399, gx =  0.0107 rad/s, gy =  0.0052 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.6133 A, I_w_roll = -0.9745 A, theta_pitch = -7.30556mrad, theta_roll_comp = -51.7971 mrad, theta_setpoint = -40.0000 mrad, 
msg =  255, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5102 ms, ax = -0.0336, ay = -0.4675, az =  9.9387, gx =  0.0100 rad/s, gy =  0.0035 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5872 A, I_w_roll = -1.0878 A, theta_pitch = -7.01818mrad, theta_roll_comp = -51.4977 mrad, theta_setpoint = -40.0000 mrad, 
msg =  256, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5122 ms, ax = -0.0396, ay = -0.4615, az =  9.9459, gx =  0.0096 rad/s, gy =  0.0011 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5293 A, I_w_roll = -1.1138 A, theta_pitch = -6.76484mrad, theta_roll_comp = -51.2133 mrad, theta_setpoint = -40.0000 mrad, 
msg =  257, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5142 ms, ax = -0.0348, ay = -0.4615, az =  9.9471, gx =  0.0076 rad/s, gy =  0.0000 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5201 A, I_w_roll = -1.7055 A, theta_pitch = -6.54248mrad, theta_roll_comp = -50.9449 mrad, theta_setpoint = -40.0000 mrad, 
msg =  258, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5162 ms, ax = -0.0348, ay = -0.4555, az =  9.9387, gx =  0.0068 rad/s, gy = -0.0009 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5115 A, I_w_roll = -1.8857 A, theta_pitch = -6.35121mrad, theta_roll_comp = -50.6963 mrad, theta_setpoint = -40.0000 mrad, 
msg =  259, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5182 ms, ax = -0.0060, ay = -0.4495, az =  9.9219, gx =  0.0066 rad/s, gy = -0.0012 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5223 A, I_w_roll = -1.8839 A, theta_pitch = -6.20771mrad, theta_roll_comp = -50.4587 mrad, theta_setpoint = -40.0000 mrad, 
msg =  260, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5202 ms, ax =  0.0060, ay = -0.4495, az =  9.9387, gx =  0.0059 rad/s, gy = -0.0020 rad/s, gz = -0.0205 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5039 A, I_w_roll = -2.0251 A, theta_pitch = -6.11730mrad, theta_roll_comp = -50.2291 mrad, theta_setpoint = -40.0000 mrad, 
msg =  261, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = off, t =     5222 ms, ax =  0.0216, ay = -0.4447, az =  9.9507, gx =  0.0062 rad/s, gy = -0.0021 rad/s, gz = -0.0268 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -0.5059 A, I_w_roll = -1.8426 A, theta_pitch = -6.06845mrad, theta_roll_comp = -50.0059 mrad, theta_setpoint = -40.0000 mrad, 
