picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 2209, nerr =   31p/   7r, time steps =   10, qsz =    2, switch = on, t =    44182 ms, ax =  0.1343, ay = -0.3956, az =  9.9339, gx =  0.0010 rad/s, gy = -0.0500 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.6350, I_w_pitch = -0.1694 A, I_w_roll =  0.3840 A, theta_pitch = 4.47074mrad, theta_roll_comp = -39.9355 mrad, theta_setpoint = -40.0399 mrad, 
msg = 3148, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    62962 ms, ax =  0.0396, ay = -0.3009, az =  9.9615, gx =  0.0034 rad/s, gy = -0.0848 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -146.3904, I_w_pitch =  1.9615 A, I_w_roll =  0.1392 A, theta_pitch = -0.46774mrad, theta_roll_comp = -33.4114 mrad, theta_setpoint = -30.8067 mrad, 
msg = 3149, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    62982 ms, ax =  0.0503, ay = -0.3440, az =  9.9399, gx =  0.0023 rad/s, gy = -0.0906 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -144.9198, I_w_pitch =  2.4740 A, I_w_roll = -0.1903 A, theta_pitch = -2.32235mrad, theta_roll_comp = -33.3955 mrad, theta_setpoint = -30.8990 mrad, 
msg = 3150, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63002 ms, ax =  0.0132, ay = -0.3572, az =  9.9674, gx =  0.0035 rad/s, gy = -0.0913 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -144.6190, I_w_pitch =  2.7750 A, I_w_roll =  0.2389 A, theta_pitch = -4.15121mrad, theta_roll_comp = -33.3900 mrad, theta_setpoint = -30.9179 mrad, 
msg = 3151, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63022 ms, ax =  0.0144, ay = -0.3332, az =  9.9854, gx =  0.0050 rad/s, gy = -0.0873 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -144.6190, I_w_pitch =  2.8750 A, I_w_roll =  0.7816 A, theta_pitch = -5.88315mrad, theta_roll_comp = -33.3147 mrad, theta_setpoint = -30.9179 mrad, 
msg = 3152, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63042 ms, ax =  0.0024, ay = -0.3800, az =  9.9698, gx =  0.0059 rad/s, gy = -0.0796 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -143.6163, I_w_pitch =  2.7944 A, I_w_roll =  1.1491 A, theta_pitch = -7.40543mrad, theta_roll_comp = -33.2745 mrad, theta_setpoint = -30.9809 mrad, 
msg = 3153, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63062 ms, ax =  0.0228, ay = -0.3392, az =  9.9603, gx =  0.0058 rad/s, gy = -0.0695 rad/s, gz = -0.0077 rad/s, rpm_pitch =  0.0000, rpm_roll = -143.6163, I_w_pitch =  2.5881 A, I_w_roll =  1.1569 A, theta_pitch = -8.72862mrad, theta_roll_comp = -33.1385 mrad, theta_setpoint = -30.9809 mrad, 
msg = 3154, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63082 ms, ax =  0.0096, ay = -0.3153, az =  9.9519, gx =  0.0075 rad/s, gy = -0.0590 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -142.6136, I_w_pitch =  2.3319 A, I_w_roll =  1.8367 A, theta_pitch = -9.82561mrad, theta_roll_comp = -33.0167 mrad, theta_setpoint = -31.0439 mrad, 
msg = 3155, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63102 ms, ax =  0.0024, ay = -0.3560, az =  9.9890, gx =  0.0068 rad/s, gy = -0.0514 rad/s, gz = -0.0213 rad/s, rpm_pitch =  0.0000, rpm_roll = -141.6110, I_w_pitch =  2.1721 A, I_w_roll =  1.7059 A, theta_pitch = -10.78433mrad, theta_roll_comp = -32.8242 mrad, theta_setpoint = -31.1068 mrad, 
msg = 3156, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63122 ms, ax =  0.0971, ay = -0.1894, az =  9.9698, gx =  0.0056 rad/s, gy = -0.0464 rad/s, gz = -0.0290 rad/s, rpm_pitch =  0.0000, rpm_roll = -141.6110, I_w_pitch =  2.1105 A, I_w_roll =  1.3971 A, theta_pitch = -11.68698mrad, theta_roll_comp = -32.5475 mrad, theta_setpoint = -31.1068 mrad, 
msg = 3157, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63142 ms, ax =  0.1031, ay = -0.3560, az =  9.9638, gx =  0.0060 rad/s, gy = -0.0436 rad/s, gz = -0.0326 rad/s, rpm_pitch =  0.0000, rpm_roll = -139.6390, I_w_pitch =  2.1200 A, I_w_roll =  1.6614 A, theta_pitch = -12.49643mrad, theta_roll_comp = -32.3600 mrad, theta_setpoint = -31.2307 mrad, 
msg = 3158, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63162 ms, ax =  0.1031, ay = -0.3021, az =  9.9806, gx =  0.0039 rad/s, gy = -0.0435 rad/s, gz = -0.0329 rad/s, rpm_pitch =  0.0000, rpm_roll = -139.6390, I_w_pitch =  2.2239 A, I_w_roll =  0.9897 A, theta_pitch = -13.22446mrad, theta_roll_comp = -32.1751 mrad, theta_setpoint = -31.2307 mrad, 
msg = 3159, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63182 ms, ax =  0.0695, ay = -0.2649, az =  9.9447, gx =  0.0034 rad/s, gy = -0.0454 rad/s, gz = -0.0292 rad/s, rpm_pitch =  0.0000, rpm_roll = -137.3329, I_w_pitch =  2.4172 A, I_w_roll =  0.8943 A, theta_pitch = -14.01625mrad, theta_roll_comp = -32.0925 mrad, theta_setpoint = -31.3755 mrad, 
msg = 3160, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63202 ms, ax =  0.0491, ay = -0.3584, az =  9.9471, gx =  0.0040 rad/s, gy = -0.0456 rad/s, gz = -0.0158 rad/s, rpm_pitch =  0.0000, rpm_roll = -135.6618, I_w_pitch =  2.5411 A, I_w_roll =  1.1889 A, theta_pitch = -14.77125mrad, theta_roll_comp = -32.0436 mrad, theta_setpoint = -31.4804 mrad, 
msg = 3161, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63222 ms, ax =  0.0779, ay = -0.3608, az =  9.9591, gx =  0.0035 rad/s, gy = -0.0459 rad/s, gz = -0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -135.6618, I_w_pitch =  2.6621 A, I_w_roll =  1.0148 A, theta_pitch = -15.50645mrad, theta_roll_comp = -32.0127 mrad, theta_setpoint = -31.4804 mrad, 
msg = 3162, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63242 ms, ax =  0.0719, ay = -0.3189, az =  9.9710, gx =  0.0043 rad/s, gy = -0.0444 rad/s, gz =  0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -133.1217, I_w_pitch =  2.7137 A, I_w_roll =  1.3510 A, theta_pitch = -16.24131mrad, theta_roll_comp = -32.0307 mrad, theta_setpoint = -31.6400 mrad, 
msg = 3163, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63262 ms, ax =  0.0767, ay = -0.3824, az =  9.9471, gx =  0.0050 rad/s, gy = -0.0423 rad/s, gz =  0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -130.1136, I_w_pitch =  2.7308 A, I_w_roll =  1.6641 A, theta_pitch = -16.92315mrad, theta_roll_comp = -32.0194 mrad, theta_setpoint = -31.8289 mrad, 
msg = 3164, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63282 ms, ax =  0.0851, ay = -0.3692, az =  9.9591, gx =  0.0038 rad/s, gy = -0.0375 rad/s, gz =  0.0182 rad/s, rpm_pitch =  0.0000, rpm_roll = -130.1136, I_w_pitch =  2.6312 A, I_w_roll =  1.2829 A, theta_pitch = -17.53759mrad, theta_roll_comp = -31.9238 mrad, theta_setpoint = -31.8289 mrad, 
msg = 3165, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63302 ms, ax =  0.0563, ay = -0.2445, az =  9.9818, gx =  0.0040 rad/s, gy = -0.0299 rad/s, gz =  0.0104 rad/s, rpm_pitch =  0.7424, rpm_roll = -128.9104, I_w_pitch =  3.3778 A, I_w_roll =  1.4524 A, theta_pitch = -18.01216mrad, theta_roll_comp = -31.8088 mrad, theta_setpoint = -31.9044 mrad, 
msg = 3166, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63322 ms, ax =  0.0767, ay = -0.2278, az = 10.0058, gx =  0.0055 rad/s, gy = -0.0187 rad/s, gz = -0.0004 rad/s, rpm_pitch =  4.9782, rpm_roll = -128.9104, I_w_pitch =  8.5548 A, I_w_roll =  2.0250 A, theta_pitch = -18.26704mrad, theta_roll_comp = -31.6587 mrad, theta_setpoint = -31.9044 mrad, 
msg = 3167, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63342 ms, ax =  0.0815, ay = -0.3704, az =  9.9507, gx =  0.0043 rad/s, gy = -0.0038 rad/s, gz = -0.0146 rad/s, rpm_pitch =  4.9782, rpm_roll = -125.8690, I_w_pitch =  7.9651 A, I_w_roll =  1.7391 A, theta_pitch = -18.31273mrad, theta_roll_comp = -31.5160 mrad, theta_setpoint = -32.0954 mrad, 
msg = 3168, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63362 ms, ax = -0.2290, ay = -0.2805, az = 10.0717, gx =  0.0022 rad/s, gy =  0.0299 rad/s, gz = -0.0273 rad/s, rpm_pitch =  0.0000, rpm_roll = -124.3650, I_w_pitch = -0.0743 A, I_w_roll =  1.0925 A, theta_pitch = -17.46807mrad, theta_roll_comp = -31.3628 mrad, theta_setpoint = -32.1899 mrad, 
msg = 3169, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63382 ms, ax = -0.2673, ay = -0.2230, az = 10.0921, gx =  0.0022 rad/s, gy =  0.0890 rad/s, gz = -0.0422 rad/s, rpm_pitch =  0.0000, rpm_roll = -124.3650, I_w_pitch = -2.7459 A, I_w_roll =  1.1753 A, theta_pitch = -15.42296mrad, theta_roll_comp = -31.1558 mrad, theta_setpoint = -32.1899 mrad, 
msg = 3170, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63402 ms, ax =  0.0995, ay = -0.1678, az = 10.0274, gx =  0.0040 rad/s, gy =  0.1410 rad/s, gz = -0.0581 rad/s, rpm_pitch =  0.0000, rpm_roll = -121.3235, I_w_pitch = -5.2392 A, I_w_roll =  1.9533 A, theta_pitch = -12.68436mrad, theta_roll_comp = -31.0329 mrad, theta_setpoint = -32.3809 mrad, 
msg = 3171, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63422 ms, ax =  0.0707, ay = -0.3021, az =  9.9626, gx =  0.0042 rad/s, gy =  0.1634 rad/s, gz = -0.0581 rad/s, rpm_pitch =  5.8079, rpm_roll = -121.3235, I_w_pitch =  1.0557 A, I_w_roll =  2.0336 A, theta_pitch = -9.55310mrad, theta_roll_comp = -30.9486 mrad, theta_setpoint = -32.3809 mrad, 
msg = 3172, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63442 ms, ax =  0.0204, ay = -0.4651, az =  9.9135, gx =  0.0036 rad/s, gy =  0.1681 rad/s, gz = -0.0543 rad/s, rpm_pitch =  5.8079, rpm_roll = -117.8810, I_w_pitch =  0.3560 A, I_w_roll =  1.9441 A, theta_pitch = -6.13093mrad, theta_roll_comp = -30.9225 mrad, theta_setpoint = -32.5971 mrad, 
msg = 3173, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63462 ms, ax = -0.0372, ay = -0.4639, az =  9.9051, gx =  0.0031 rad/s, gy =  0.1624 rad/s, gz = -0.0374 rad/s, rpm_pitch =  0.1747, rpm_roll = -116.2099, I_w_pitch = -7.3654 A, I_w_roll =  1.8099 A, theta_pitch = -2.65490mrad, theta_roll_comp = -30.8970 mrad, theta_setpoint = -32.7020 mrad, 
msg = 3174, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63482 ms, ax = -0.0036, ay = -0.3788, az =  9.9603, gx =  0.0012 rad/s, gy =  0.1602 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.1747, rpm_roll = -116.2099, I_w_pitch = -7.7765 A, I_w_roll =  1.1510 A, theta_pitch = 0.65352mrad, theta_roll_comp = -30.9130 mrad, theta_setpoint = -32.7020 mrad, 
msg = 3175, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63502 ms, ax =  0.2505, ay = -0.2409, az =  9.9507, gx =  0.0012 rad/s, gy =  0.1464 rad/s, gz = -0.0036 rad/s, rpm_pitch =  1.8777, rpm_roll = -112.8008, I_w_pitch = -5.3974 A, I_w_roll =  1.2297 A, theta_pitch = 3.45939mrad, theta_roll_comp = -30.9305 mrad, theta_setpoint = -32.9161 mrad, 
msg = 3176, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63522 ms, ax =  0.3273, ay = -0.1978, az =  9.9063, gx =  0.0030 rad/s, gy =  0.1076 rad/s, gz =  0.0137 rad/s, rpm_pitch =  0.0437, rpm_roll = -112.8008, I_w_pitch = -6.5562 A, I_w_roll =  1.8480 A, theta_pitch = 5.39219mrad, theta_roll_comp = -30.8993 mrad, theta_setpoint = -32.9161 mrad, 
msg = 3177, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63542 ms, ax =  0.3285, ay = -0.1978, az =  9.9387, gx =  0.0011 rad/s, gy =  0.0628 rad/s, gz =  0.0252 rad/s, rpm_pitch =  0.0437, rpm_roll = -109.3583, I_w_pitch = -4.9007 A, I_w_roll =  1.2783 A, theta_pitch = 6.32127mrad, theta_roll_comp = -30.9086 mrad, theta_setpoint = -33.1323 mrad, 
msg = 3178, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63562 ms, ax =  0.3297, ay = -0.1666, az =  9.9411, gx =  0.0011 rad/s, gy =  0.0145 rad/s, gz =  0.0294 rad/s, rpm_pitch =  1.9651, rpm_roll = -107.4532, I_w_pitch = -0.4288 A, I_w_roll =  1.3342 A, theta_pitch = 6.25584mrad, theta_roll_comp = -30.8885 mrad, theta_setpoint = -33.2519 mrad, 
msg = 3179, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63582 ms, ax =  0.3117, ay = -0.1618, az =  9.9099, gx =  0.0018 rad/s, gy = -0.0358 rad/s, gz =  0.0338 rad/s, rpm_pitch =  0.0873, rpm_roll = -107.4532, I_w_pitch = -0.7340 A, I_w_roll =  1.6010 A, theta_pitch = 5.20296mrad, theta_roll_comp = -30.8040 mrad, theta_setpoint = -33.2519 mrad, 
msg = 3180, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63602 ms, ax =  0.0587, ay = -0.1678, az =  9.9555, gx =  0.0004 rad/s, gy = -0.0703 rad/s, gz =  0.0342 rad/s, rpm_pitch =  0.0873, rpm_roll = -103.9438, I_w_pitch =  0.8801 A, I_w_roll =  1.2535 A, theta_pitch = 3.63900mrad, theta_roll_comp = -30.7280 mrad, theta_setpoint = -33.4723 mrad, 
msg = 3181, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63622 ms, ax =  0.0503, ay = -0.2613, az =  9.9710, gx =  0.0004 rad/s, gy = -0.0848 rad/s, gz =  0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -103.9438, I_w_pitch =  1.6149 A, I_w_roll =  1.2884 A, theta_pitch = 1.84304mrad, theta_roll_comp = -30.6407 mrad, theta_setpoint = -33.4723 mrad, 
msg = 3182, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63642 ms, ax =  0.1211, ay = -0.2338, az =  9.9423, gx = -0.0001 rad/s, gy = -0.0914 rad/s, gz =  0.0118 rad/s, rpm_pitch =  0.0000, rpm_roll = -100.5348, I_w_pitch =  2.1829 A, I_w_roll =  1.2235 A, theta_pitch = -0.16858mrad, theta_roll_comp = -30.5511 mrad, theta_setpoint = -33.6864 mrad, 
msg = 3183, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63662 ms, ax =  0.0575, ay = -0.2505, az =  9.9998, gx = -0.0020 rad/s, gy = -0.0869 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -98.8971, I_w_pitch =  2.2898 A, I_w_roll =  0.6215 A, theta_pitch = -2.08808mrad, theta_roll_comp = -30.5280 mrad, theta_setpoint = -33.7893 mrad, 
msg = 3184, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63682 ms, ax = -0.0240, ay = -0.2062, az = 10.0034, gx = -0.0014 rad/s, gy = -0.0767 rad/s, gz = -0.0206 rad/s, rpm_pitch =  0.0000, rpm_roll = -98.8971, I_w_pitch =  2.1166 A, I_w_roll =  0.8416 A, theta_pitch = -3.66779mrad, theta_roll_comp = -30.4438 mrad, theta_setpoint = -33.7893 mrad, 
msg = 3185, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63702 ms, ax =  0.0108, ay = -0.2170, az =  9.9734, gx = -0.0001 rad/s, gy = -0.0633 rad/s, gz = -0.0314 rad/s, rpm_pitch =  0.0000, rpm_roll = -95.6551, I_w_pitch =  1.7764 A, I_w_roll =  1.4055 A, theta_pitch = -4.95079mrad, theta_roll_comp = -30.4025 mrad, theta_setpoint = -33.9929 mrad, 
msg = 3186, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63722 ms, ax = -0.0228, ay = -0.2565, az =  9.9806, gx = -0.0016 rad/s, gy = -0.0495 rad/s, gz = -0.0366 rad/s, rpm_pitch =  0.0000, rpm_roll = -93.9840, I_w_pitch =  1.3693 A, I_w_roll =  0.9299 A, theta_pitch = -5.92946mrad, theta_roll_comp = -30.4148 mrad, theta_setpoint = -34.0978 mrad, 
msg = 3187, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63742 ms, ax = -0.0060, ay = -0.3476, az =  9.9722, gx = -0.0005 rad/s, gy = -0.0374 rad/s, gz = -0.0388 rad/s, rpm_pitch =  0.0000, rpm_roll = -93.9840, I_w_pitch =  0.9908 A, I_w_roll =  1.2992 A, theta_pitch = -6.63719mrad, theta_roll_comp = -30.4238 mrad, theta_setpoint = -34.0978 mrad, 
msg = 3188, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63762 ms, ax = -0.0132, ay = -0.3332, az =  9.9638, gx =  0.0004 rad/s, gy = -0.0281 rad/s, gz = -0.0334 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.0428, I_w_pitch =  0.6898 A, I_w_roll =  1.7061 A, theta_pitch = -7.11606mrad, theta_roll_comp = -30.4068 mrad, theta_setpoint = -34.2825 mrad, 
msg = 3189, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63782 ms, ax =  0.0264, ay = -0.3632, az =  9.9531, gx =  0.0000 rad/s, gy = -0.0229 rad/s, gz = -0.0237 rad/s, rpm_pitch =  0.0000, rpm_roll = -91.0428, I_w_pitch =  0.5420 A, I_w_roll =  1.5443 A, theta_pitch = -7.51525mrad, theta_roll_comp = -30.4618 mrad, theta_setpoint = -34.2825 mrad, 
msg = 3190, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63802 ms, ax =  0.0587, ay = -0.3608, az =  9.9615, gx =  0.0015 rad/s, gy = -0.0203 rad/s, gz = -0.0176 rad/s, rpm_pitch =  0.0000, rpm_roll = -88.3021, I_w_pitch =  0.4961 A, I_w_roll =  2.1213 A, theta_pitch = -7.88427mrad, theta_roll_comp = -30.4731 mrad, theta_setpoint = -34.4546 mrad, 
msg = 3191, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63822 ms, ax =  0.0587, ay = -0.2757, az =  9.9591, gx =  0.0014 rad/s, gy = -0.0203 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -87.0321, I_w_pitch =  0.5528 A, I_w_roll =  2.1068 A, theta_pitch = -8.26195mrad, theta_roll_comp = -30.4725 mrad, theta_setpoint = -34.5344 mrad, 
msg = 3192, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63842 ms, ax =  0.0671, ay = -0.2577, az =  9.9674, gx =  0.0002 rad/s, gy = -0.0201 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -87.0321, I_w_pitch =  0.5987 A, I_w_roll =  1.6908 A, theta_pitch = -8.63943mrad, theta_roll_comp = -30.4638 mrad, theta_setpoint = -34.5344 mrad, 
msg = 3193, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63862 ms, ax =  0.0923, ay = -0.2985, az =  9.9674, gx =  0.0010 rad/s, gy = -0.0201 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -83.3556, I_w_pitch =  0.6560 A, I_w_roll =  2.0777 A, theta_pitch = -9.02091mrad, theta_roll_comp = -30.4266 mrad, theta_setpoint = -34.7653 mrad, 
msg = 3194, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63882 ms, ax =  0.0839, ay = -0.2937, az =  9.9543, gx =  0.0003 rad/s, gy = -0.0202 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -83.3556, I_w_pitch =  0.7220 A, I_w_roll =  1.8733 A, theta_pitch = -9.42579mrad, theta_roll_comp = -30.3551 mrad, theta_setpoint = -34.7653 mrad, 
msg = 3195, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63902 ms, ax =  0.1211, ay = -0.2553, az =  9.9615, gx = -0.0005 rad/s, gy = -0.0197 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -79.7460, I_w_pitch =  0.7597 A, I_w_roll =  1.7064 A, theta_pitch = -9.81888mrad, theta_roll_comp = -30.3000 mrad, theta_setpoint = -34.9920 mrad, 
msg = 3196, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63922 ms, ax =  0.0851, ay = -0.2338, az =  9.9471, gx = -0.0010 rad/s, gy = -0.0194 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = -77.9412, I_w_pitch =  0.8071 A, I_w_roll =  1.6019 A, theta_pitch = -10.20624mrad, theta_roll_comp = -30.2086 mrad, theta_setpoint = -35.1053 mrad, 
msg = 3197, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63942 ms, ax =  0.0671, ay = -0.2254, az = 10.0022, gx = -0.0012 rad/s, gy = -0.0165 rad/s, gz = -0.0217 rad/s, rpm_pitch =  0.0000, rpm_roll = -77.9412, I_w_pitch =  0.7372 A, I_w_roll =  1.5759 A, theta_pitch = -10.52151mrad, theta_roll_comp = -30.1570 mrad, theta_setpoint = -35.1053 mrad, 
msg = 3198, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63962 ms, ax =  0.0923, ay = -0.2853, az =  9.9818, gx = -0.0018 rad/s, gy = -0.0135 rad/s, gz = -0.0249 rad/s, rpm_pitch =  0.0000, rpm_roll = -73.7299, I_w_pitch =  0.6409 A, I_w_roll =  1.4598 A, theta_pitch = -10.66031mrad, theta_roll_comp = -30.1291 mrad, theta_setpoint = -35.3698 mrad, 
msg = 3199, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    63982 ms, ax =  0.1055, ay = -0.2373, az =  9.9339, gx = -0.0022 rad/s, gy = -0.0129 rad/s, gz = -0.0274 rad/s, rpm_pitch =  0.0000, rpm_roll = -73.7299, I_w_pitch =  0.6487 A, I_w_roll =  1.3203 A, theta_pitch = -10.89022mrad, theta_roll_comp = -30.1283 mrad, theta_setpoint = -35.3698 mrad, 
msg = 3200, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64002 ms, ax =  0.0515, ay = -0.3512, az =  9.9567, gx = -0.0026 rad/s, gy = -0.0102 rad/s, gz = -0.0274 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.8529, I_w_pitch =  0.5653 A, I_w_roll =  1.2591 A, theta_pitch = -11.04426mrad, theta_roll_comp = -30.1753 mrad, theta_setpoint = -35.6132 mrad, 
msg = 3201, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64022 ms, ax =  0.1007, ay = -0.3153, az =  9.9471, gx = -0.0029 rad/s, gy = -0.0077 rad/s, gz = -0.0228 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.0147, I_w_pitch =  0.4819 A, I_w_roll =  1.1851 A, theta_pitch = -11.16254mrad, theta_roll_comp = -30.2427 mrad, theta_setpoint = -35.7287 mrad, 
msg = 3202, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64042 ms, ax =  0.0527, ay = -0.3189, az =  9.9770, gx = -0.0033 rad/s, gy = -0.0064 rad/s, gz = -0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.0147, I_w_pitch =  0.4380 A, I_w_roll =  1.0182 A, theta_pitch = -11.22523mrad, theta_roll_comp = -30.3104 mrad, theta_setpoint = -35.7287 mrad, 
msg = 3203, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64062 ms, ax =  0.0983, ay = -0.2889, az =  9.9794, gx = -0.0037 rad/s, gy = -0.0052 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.4051, I_w_pitch =  0.3992 A, I_w_roll =  0.9448 A, theta_pitch = -11.28583mrad, theta_roll_comp = -30.3711 mrad, theta_setpoint = -35.9554 mrad, 
msg = 3204, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64082 ms, ax =  0.0851, ay = -0.2445, az =  9.9854, gx = -0.0030 rad/s, gy = -0.0046 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.4051, I_w_pitch =  0.3851 A, I_w_roll =  1.1591 A, theta_pitch = -11.33399mrad, theta_roll_comp = -30.4178 mrad, theta_setpoint = -35.9554 mrad, 
msg = 3205, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64102 ms, ax =  0.1199, ay = -0.2889, az =  9.9722, gx = -0.0024 rad/s, gy = -0.0032 rad/s, gz = -0.0092 rad/s, rpm_pitch =  5.8515, rpm_roll = -61.5308, I_w_pitch =  8.0517 A, I_w_roll =  1.4284 A, theta_pitch = -11.38888mrad, theta_roll_comp = -30.5077 mrad, theta_setpoint = -36.1359 mrad, 
msg = 3206, nerr =   31p/  19r, time steps =   10, qsz =    2, switch = on, t =    64122 ms, ax =  0.0899, ay = -0.3009, az =  9.9674, gx = -0.0018 rad/s, gy = -0.0014 rad/s, gz = -0.0065 rad/s, rpm_pitch =  5.8515, rpm_roll = -59.7928, I_w_pitch =  7.9847 A, I_w_roll =  1.6373 A, theta_pitch = -11.40382mrad, theta_roll_comp = -30.5607 mrad, theta_setpoint = -36.2450 mrad, 
