picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
 A, I_w_roll = -263.7635 A, theta_pitch = -0.30080mrad, theta_roll_comp = -698.0505 mrad, theta_setpoint = -40.0000 mrad, 
msg = 3338, nerr =  134p/ 142r, time steps =    5, qsz =    2, switch = off, t =    33382 ms, ax = -0.6329, ay =  0.2601, az =  9.7744, gx =  0.0481 rad/s, gy =  0.0609 rad/s, gz = -0.0875 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -8.9004 A, I_w_roll = 33.3230 A, theta_pitch = 33.09974mrad, theta_roll_comp =  1.2075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 4907, nerr =  237p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49072 ms, ax = -0.0420, ay = -0.0384, az = 10.2959, gx = -0.0037 rad/s, gy =  0.0798 rad/s, gz = -0.0748 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch =  6.5172 A, I_w_roll =  4.6882 A, theta_pitch = -74.72660mrad, theta_roll_comp = -21.4114 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4908, nerr =  237p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49082 ms, ax = -0.0659, ay = -0.0815, az = 10.2503, gx = -0.0065 rad/s, gy =  0.1240 rad/s, gz = -0.0779 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch =  4.4744 A, I_w_roll =  3.7502 A, theta_pitch = -72.89641mrad, theta_roll_comp = -21.3095 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4909, nerr =  237p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49092 ms, ax = -0.0623, ay = -0.0479, az = 10.2420, gx = -0.0087 rad/s, gy =  0.1637 rad/s, gz = -0.0844 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch =  2.5518 A, I_w_roll =  2.9875 A, theta_pitch = -70.66038mrad, theta_roll_comp = -21.2356 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4910, nerr =  237p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49102 ms, ax = -0.0228, ay = -0.0575, az = 10.2336, gx = -0.0105 rad/s, gy =  0.2007 rad/s, gz = -0.0889 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch =  0.6850 A, I_w_roll =  2.4071 A, theta_pitch = -68.08671mrad, theta_roll_comp = -21.1721 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4911, nerr =  237p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49112 ms, ax = -0.0312, ay = -0.0288, az = 10.2479, gx = -0.0118 rad/s, gy =  0.2426 rad/s, gz = -0.0897 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -1.4320 A, I_w_roll =  1.9645 A, theta_pitch = -65.15777mrad, theta_roll_comp = -21.1136 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4912, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49122 ms, ax = -0.1163, ay = -0.0120, az = 10.2168, gx = -0.0119 rad/s, gy =  0.2818 rad/s, gz = -0.0911 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -3.5007 A, I_w_roll =  1.9470 A, theta_pitch = -61.80593mrad, theta_roll_comp = -21.0408 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4913, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49132 ms, ax = -0.1834, ay = -0.0515, az = 10.2084, gx = -0.0127 rad/s, gy =  0.3211 rad/s, gz = -0.0933 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -5.6391 A, I_w_roll =  1.6890 A, theta_pitch = -58.02464mrad, theta_roll_comp = -20.9866 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4914, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49142 ms, ax = -0.1391, ay = -0.0827, az = 10.1796, gx = -0.0145 rad/s, gy =  0.3639 rad/s, gz = -0.0901 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -7.9786 A, I_w_roll =  1.0856 A, theta_pitch = -53.86127mrad, theta_roll_comp = -20.9805 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4915, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49152 ms, ax = -0.1570, ay = -0.0360, az = 10.1556, gx = -0.0166 rad/s, gy =  0.4046 rad/s, gz = -0.0886 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -10.2820 A, I_w_roll =  0.3387 A, theta_pitch = -49.33569mrad, theta_roll_comp = -20.9836 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4916, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49162 ms, ax = -0.2266, ay = -0.0384, az = 10.1329, gx = -0.0165 rad/s, gy =  0.4438 rad/s, gz = -0.0852 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -12.5914 A, I_w_roll =  0.3885 A, theta_pitch = -44.41434mrad, theta_roll_comp = -20.9757 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4917, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49172 ms, ax = -0.1355, ay = -0.2194, az = 10.1425, gx = -0.0151 rad/s, gy =  0.4884 rad/s, gz = -0.0791 rad/s, rpm_pitch =  0.0000, rpm_roll = -58.0548, I_w_pitch = -15.1674 A, I_w_roll =  0.8225 A, theta_pitch = -39.13572mrad, theta_roll_comp = -21.0557 mrad, theta_setpoint = -36.3542 mrad, 
msg = 4918, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49182 ms, ax = -0.3129, ay = -0.1283, az = 10.1449, gx = -0.0146 rad/s, gy =  0.5300 rad/s, gz = -0.0735 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4586, I_w_pitch = -17.6845 A, I_w_roll =  2.1873 A, theta_pitch = -33.43381mrad, theta_roll_comp = -21.1616 mrad, theta_setpoint = -39.4060 mrad, 
msg = 4919, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49192 ms, ax = -0.2997, ay = -0.2781, az = 10.1089, gx = -0.0150 rad/s, gy =  0.5730 rad/s, gz = -0.0652 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4586, I_w_pitch = -20.3264 A, I_w_roll =  1.9910 A, theta_pitch = -27.29007mrad, theta_roll_comp = -21.3028 mrad, theta_setpoint = -39.4060 mrad, 
msg = 4920, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49202 ms, ax = -0.3416, ay = -0.2601, az = 10.0717, gx = -0.0163 rad/s, gy =  0.6228 rad/s, gz = -0.0525 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4586, I_w_pitch = -23.3031 A, I_w_roll =  1.4412 A, theta_pitch = -20.72544mrad, theta_roll_comp = -21.5122 mrad, theta_setpoint = -39.4060 mrad, 
msg = 4921, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49212 ms, ax = -0.4088, ay = -0.2889, az =  9.9902, gx = -0.0185 rad/s, gy =  0.6715 rad/s, gz = -0.0430 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4586, I_w_pitch = -26.3094 A, I_w_roll =  0.6023 A, theta_pitch = -13.67910mrad, theta_roll_comp = -21.7454 mrad, theta_setpoint = -39.4060 mrad, 
msg = 4922, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49222 ms, ax = -0.2865, ay = -0.1055, az =  9.8691, gx = -0.0169 rad/s, gy =  0.7197 rad/s, gz = -0.0356 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.0414, I_w_pitch = -29.3510 A, I_w_roll =  1.2619 A, theta_pitch = -6.25538mrad, theta_roll_comp = -21.8974 mrad, theta_setpoint = -39.8090 mrad, 
msg = 4923, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49232 ms, ax = -0.0743, ay = -0.2314, az =  9.7709, gx = -0.0153 rad/s, gy =  0.7553 rad/s, gz = -0.0300 rad/s, rpm_pitch =  0.0000, rpm_roll = -3.0414, I_w_pitch = -31.9129 A, I_w_roll =  1.7747 A, theta_pitch = 1.34338mrad, theta_roll_comp = -22.0137 mrad, theta_setpoint = -39.8090 mrad, 
msg = 4924, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49242 ms, ax =  0.0216, ay = -0.2397, az =  9.6714, gx = -0.0115 rad/s, gy =  0.7655 rad/s, gz = -0.0117 rad/s, rpm_pitch = 19.6507, rpm_roll = -0.2340, I_w_pitch = -7.5464 A, I_w_roll =  3.0882 A, theta_pitch = 8.93425mrad, theta_roll_comp = -22.1685 mrad, theta_setpoint = -39.9853 mrad, 
msg = 4925, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49252 ms, ax =  0.1379, ay = -0.2841, az =  9.6450, gx = -0.0107 rad/s, gy =  0.7642 rad/s, gz = -0.0011 rad/s, rpm_pitch = 19.6507, rpm_roll = -0.2340, I_w_pitch = -8.6105 A, I_w_roll =  3.3033 A, theta_pitch = 16.38306mrad, theta_roll_comp = -22.3298 mrad, theta_setpoint = -39.9853 mrad, 
msg = 4926, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49262 ms, ax =  0.1606, ay = -0.2841, az =  9.6426, gx = -0.0106 rad/s, gy =  0.7502 rad/s, gz =  0.0063 rad/s, rpm_pitch = 19.6507, rpm_roll = -0.2340, I_w_pitch = -9.1349 A, I_w_roll =  3.2790 A, theta_pitch = 23.60753mrad, theta_roll_comp = -22.5071 mrad, theta_setpoint = -39.9853 mrad, 
msg = 4927, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49272 ms, ax =  0.0348, ay = -0.2338, az =  9.7145, gx = -0.0131 rad/s, gy =  0.7325 rad/s, gz =  0.0125 rad/s, rpm_pitch = 19.6507, rpm_roll = -0.2340, I_w_pitch = -9.4844 A, I_w_roll =  2.3295 A, theta_pitch = 30.66021mrad, theta_roll_comp = -22.6671 mrad, theta_setpoint = -39.9853 mrad, 
msg = 4928, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49282 ms, ax =  0.0264, ay = -0.2937, az =  9.7613, gx = -0.0131 rad/s, gy =  0.7169 rad/s, gz =  0.0197 rad/s, rpm_pitch = 21.7031, rpm_roll =  3.6765, I_w_pitch = -7.1868 A, I_w_roll =  2.3574 A, theta_pitch = 37.54189mrad, theta_roll_comp = -22.8430 mrad, theta_setpoint = -40.2309 mrad, 
msg = 4929, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49292 ms, ax =  0.0503, ay = -0.1834, az =  9.8080, gx = -0.0131 rad/s, gy =  0.7015 rad/s, gz =  0.0222 rad/s, rpm_pitch = 21.7031, rpm_roll =  3.6765, I_w_pitch = -7.5669 A, I_w_roll =  2.2999 A, theta_pitch = 44.19454mrad, theta_roll_comp = -22.9867 mrad, theta_setpoint = -40.2309 mrad, 
msg = 4930, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49302 ms, ax =  0.0875, ay = -0.2601, az =  9.8080, gx = -0.0119 rad/s, gy =  0.6851 rad/s, gz =  0.0269 rad/s, rpm_pitch = 21.7904, rpm_roll =  3.6765, I_w_pitch = -7.7552 A, I_w_roll =  2.6702 A, theta_pitch = 50.58547mrad, theta_roll_comp = -23.1096 mrad, theta_setpoint = -40.2309 mrad, 
msg = 4931, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49312 ms, ax = -0.0336, ay = -0.2493, az =  9.7816, gx = -0.0123 rad/s, gy =  0.6691 rad/s, gz =  0.0370 rad/s, rpm_pitch = 21.7904, rpm_roll =  3.6765, I_w_pitch = -8.0485 A, I_w_roll =  2.4705 A, theta_pitch = 56.80194mrad, theta_roll_comp = -23.2592 mrad, theta_setpoint = -40.2309 mrad, 
msg = 4932, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49322 ms, ax = -0.0192, ay = -0.2697, az =  9.7709, gx = -0.0141 rad/s, gy =  0.6540 rad/s, gz =  0.0407 rad/s, rpm_pitch = 21.7904, rpm_roll =  8.9238, I_w_pitch = -8.3489 A, I_w_roll =  1.9305 A, theta_pitch = 62.85201mrad, theta_roll_comp = -23.4242 mrad, theta_setpoint = -40.5604 mrad, 
msg = 4933, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49332 ms, ax = -0.0755, ay = -0.2817, az =  9.7361, gx = -0.0163 rad/s, gy =  0.6408 rad/s, gz =  0.0474 rad/s, rpm_pitch = 21.7904, rpm_roll =  8.9238, I_w_pitch = -8.7024 A, I_w_roll =  1.0579 A, theta_pitch = 68.72446mrad, theta_roll_comp = -23.6248 mrad, theta_setpoint = -40.5604 mrad, 
msg = 4934, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49342 ms, ax = -0.1295, ay = -0.2793, az =  9.7397, gx = -0.0175 rad/s, gy =  0.6279 rad/s, gz =  0.0574 rad/s, rpm_pitch = 10.6987, rpm_roll = 11.0294, I_w_pitch = -23.6745 A, I_w_roll =  0.6032 A, theta_pitch = 74.46405mrad, theta_roll_comp = -23.8454 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4935, nerr =  238p/ 246r, time steps =    5, qsz =    2, switch = on, t =    49352 ms, ax = -0.1678, ay = -0.2769, az =  9.7637, gx = -0.0170 rad/s, gy =  0.6128 rad/s, gz =  0.0678 rad/s, rpm_pitch = 10.6987, rpm_roll = 11.0294, I_w_pitch = -23.9113 A, I_w_roll =  0.7022 A, theta_pitch = 80.05540mrad, theta_roll_comp = -24.0638 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4936, nerr =  238p/ 247r, time steps =    5, qsz =    2, switch = on, t =    49362 ms, ax = -0.2469, ay = -0.2781, az =  9.8188, gx = -0.0169 rad/s, gy =  0.5986 rad/s, gz =  0.0759 rad/s, rpm_pitch = 10.6987, rpm_roll = 11.0294, I_w_pitch = -24.1584 A, I_w_roll =  0.6644 A, theta_pitch = 85.50166mrad, theta_roll_comp = -24.2750 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4937, nerr =  238p/ 247r, time steps =    5, qsz =    3, switch = on, t =    49372 ms, ax = -0.1606, ay = -0.3320, az =  9.8536, gx = -0.0154 rad/s, gy =  0.5811 rad/s, gz =  0.0840 rad/s, rpm_pitch = 10.6987, rpm_roll = 11.0294, I_w_pitch = -24.2447 A, I_w_roll =  1.0854 A, theta_pitch = 90.72913mrad, theta_roll_comp = -24.5039 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4938, nerr =  238p/ 247r, time steps =    5, qsz =    2, switch = on, t =    49382 ms, ax = -0.1666, ay = -0.2817, az =  9.8967, gx = -0.0153 rad/s, gy =  0.5566 rad/s, gz =  0.0873 rad/s, rpm_pitch = 11.7467, rpm_roll = 11.0294, I_w_pitch = -22.6208 A, I_w_roll =  1.0454 A, theta_pitch = 95.65047mrad, theta_roll_comp = -24.7205 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4939, nerr =  238p/ 247r, time steps =    5, qsz =    2, switch = on, t =    49392 ms, ax = -0.1403, ay = -0.3285, az =  9.9291, gx = -0.0138 rad/s, gy =  0.5305 rad/s, gz =  0.0888 rad/s, rpm_pitch = 11.7467, rpm_roll = 11.0294, I_w_pitch = -22.2688 A, I_w_roll =  1.4756 A, theta_pitch = 100.26315mrad, theta_roll_comp = -24.9265 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4940, nerr =  238p/ 247r, time steps =    5, qsz =    2, switch = on, t =    49402 ms, ax = -0.1462, ay = -0.2697, az =  9.9375, gx = -0.0119 rad/s, gy =  0.5016 rad/s, gz =  0.0899 rad/s, rpm_pitch = 13.7118, rpm_roll = 11.0294, I_w_pitch = -19.1631 A, I_w_roll =  2.0571 A, theta_pitch = 104.54108mrad, theta_roll_comp = -25.1041 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4941, nerr =  238p/ 247r, time steps =    5, qsz =    2, switch = on, t =    49412 ms, ax = -0.1726, ay = -0.2709, az =  9.9303, gx = -0.0079 rad/s, gy =  0.4683 rad/s, gz =  0.0849 rad/s, rpm_pitch = 13.7118, rpm_roll = 11.0294, I_w_pitch = -18.4232 A, I_w_roll =  3.4076 A, theta_pitch = 108.48507mrad, theta_roll_comp = -25.2231 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4942, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49422 ms, ax = -0.1510, ay = -0.2721, az =  9.9375, gx = -0.0051 rad/s, gy =  0.4368 rad/s, gz =  0.0823 rad/s, rpm_pitch = 13.7118, rpm_roll = 11.0294, I_w_pitch = -17.6982 A, I_w_roll =  4.3521 A, theta_pitch = 112.06686mrad, theta_roll_comp = -25.3085 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4943, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49432 ms, ax = -0.1630, ay = -0.3105, az =  9.9603, gx = -0.0055 rad/s, gy =  0.4031 rad/s, gz =  0.0811 rad/s, rpm_pitch = 13.7118, rpm_roll = 11.0294, I_w_pitch = -16.8333 A, I_w_roll =  4.1748 A, theta_pitch = 115.28475mrad, theta_roll_comp = -25.4022 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4944, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49442 ms, ax = -0.2038, ay = -0.2781, az = 10.0010, gx = -0.0083 rad/s, gy =  0.3654 rad/s, gz =  0.0662 rad/s, rpm_pitch =  0.1747, rpm_roll = 11.0294, I_w_pitch = -33.6069 A, I_w_roll =  3.1522 A, theta_pitch = 118.13879mrad, theta_roll_comp = -25.5119 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4945, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49452 ms, ax = -0.2014, ay = -0.2949, az = 10.0813, gx = -0.0123 rad/s, gy =  0.3316 rad/s, gz =  0.0482 rad/s, rpm_pitch =  0.1747, rpm_roll = 11.0294, I_w_pitch = -32.6273 A, I_w_roll =  1.7003 A, theta_pitch = 120.62735mrad, theta_roll_comp = -25.6464 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4946, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49462 ms, ax = -0.2541, ay = -0.2853, az = 10.1401, gx = -0.0138 rad/s, gy =  0.2975 rad/s, gz =  0.0365 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.0294, I_w_pitch = -31.8164 A, I_w_roll =  1.1234 A, theta_pitch = 122.77534mrad, theta_roll_comp = -25.8070 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4947, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49472 ms, ax = -0.2481, ay = -0.2397, az = 10.1568, gx = -0.0119 rad/s, gy =  0.2598 rad/s, gz =  0.0216 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.0294, I_w_pitch = -30.5775 A, I_w_roll =  1.7251 A, theta_pitch = 124.56494mrad, theta_roll_comp = -25.9340 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4948, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49482 ms, ax = -0.2757, ay = -0.2949, az = 10.1245, gx = -0.0087 rad/s, gy =  0.2245 rad/s, gz =  0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.0294, I_w_pitch = -29.3789 A, I_w_roll =  2.8004 A, theta_pitch = 125.98380mrad, theta_roll_comp = -26.0420 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4949, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49492 ms, ax = -0.3033, ay = -0.2757, az = 10.0873, gx = -0.0082 rad/s, gy =  0.1892 rad/s, gz = -0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.0294, I_w_pitch = -28.1298 A, I_w_roll =  2.9446 A, theta_pitch = 127.06615mrad, theta_roll_comp = -26.1475 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4950, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49502 ms, ax = -0.3165, ay = -0.2853, az = 10.0526, gx = -0.0090 rad/s, gy =  0.1513 rad/s, gz = -0.0228 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -19.3493 A, I_w_roll =  2.6236 A, theta_pitch = 127.79195mrad, theta_roll_comp = -26.2509 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4951, nerr =  238p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49512 ms, ax = -0.3512, ay = -0.2769, az = 10.0597, gx = -0.0098 rad/s, gy =  0.1165 rad/s, gz = -0.0413 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -18.0170 A, I_w_roll =  2.2997 A, theta_pitch = 128.17734mrad, theta_roll_comp = -26.3616 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4952, nerr =  239p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49522 ms, ax = -0.4255, ay = -0.3404, az = 10.0585, gx = -0.0094 rad/s, gy =  0.0814 rad/s, gz = -0.0479 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -16.6239 A, I_w_roll =  2.3835 A, theta_pitch = 128.26443mrad, theta_roll_comp = -26.5016 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4953, nerr =  239p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49532 ms, ax = -0.4184, ay = -0.1690, az = 10.0801, gx = -0.0071 rad/s, gy =  0.0434 rad/s, gz = -0.0546 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -15.0687 A, I_w_roll =  3.1495 A, theta_pitch = 128.01587mrad, theta_roll_comp = -26.5674 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4954, nerr =  239p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49542 ms, ax = -0.4351, ay = -0.3081, az = 10.0873, gx = -0.0057 rad/s, gy =  0.0083 rad/s, gz = -0.0609 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -13.5717 A, I_w_roll =  3.6468 A, theta_pitch = 127.40992mrad, theta_roll_comp = -26.6057 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4955, nerr =  239p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49552 ms, ax = -0.4327, ay = -0.2661, az = 10.1041, gx = -0.0055 rad/s, gy = -0.0281 rad/s, gz = -0.0614 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -11.9751 A, I_w_roll =  3.6642 A, theta_pitch = 126.45992mrad, theta_roll_comp = -26.6787 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4956, nerr =  239p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49562 ms, ax = -0.4615, ay = -0.3129, az = 10.0945, gx = -0.0070 rad/s, gy = -0.0647 rad/s, gz = -0.0652 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -10.3168 A, I_w_roll =  3.1180 A, theta_pitch = 125.16911mrad, theta_roll_comp = -26.7627 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4957, nerr =  239p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49572 ms, ax = -0.4699, ay = -0.2661, az = 10.1017, gx = -0.0083 rad/s, gy = -0.1050 rad/s, gz = -0.0679 rad/s, rpm_pitch =  5.5895, rpm_roll = 11.0294, I_w_pitch = -8.4564 A, I_w_roll =  2.6141 A, theta_pitch = 123.52524mrad, theta_roll_comp = -26.8573 mrad, theta_setpoint = -40.6926 mrad, 
msg = 4958, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49582 ms, ax = -0.4963, ay = -0.3117, az = 10.0645, gx = -0.0083 rad/s, gy = -0.1431 rad/s, gz = -0.0622 rad/s, rpm_pitch =  5.5895, rpm_roll = 22.5267, I_w_pitch = -6.6334 A, I_w_roll =  2.8621 A, theta_pitch = 121.52703mrad, theta_roll_comp = -26.9593 mrad, theta_setpoint = -41.4147 mrad, 
msg = 4959, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49592 ms, ax = -0.4711, ay = -0.2469, az = 10.0561, gx = -0.0077 rad/s, gy = -0.1827 rad/s, gz = -0.0554 rad/s, rpm_pitch =  5.5895, rpm_roll = 22.5267, I_w_pitch = -4.6966 A, I_w_roll =  3.0607 A, theta_pitch = 119.16080mrad, theta_roll_comp = -27.0453 mrad, theta_setpoint = -41.4147 mrad, 
msg = 4960, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49602 ms, ax = -0.4759, ay = -0.3117, az = 10.0406, gx = -0.0073 rad/s, gy = -0.2265 rad/s, gz = -0.0457 rad/s, rpm_pitch =  5.5895, rpm_roll = 24.0976, I_w_pitch = -2.5289 A, I_w_roll =  3.2065 A, theta_pitch = 116.39132mrad, theta_roll_comp = -27.1291 mrad, theta_setpoint = -41.5133 mrad, 
msg = 4961, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49612 ms, ax = -0.5023, ay = -0.3033, az = 10.0514, gx = -0.0070 rad/s, gy = -0.2661 rad/s, gz = -0.0346 rad/s, rpm_pitch =  5.5895, rpm_roll = 24.0976, I_w_pitch = -0.4705 A, I_w_roll =  3.2575 A, theta_pitch = 113.25025mrad, theta_roll_comp = -27.2345 mrad, theta_setpoint = -41.5133 mrad, 
msg = 4962, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49622 ms, ax = -0.4771, ay = -0.3117, az = 10.0633, gx = -0.0081 rad/s, gy = -0.3058 rad/s, gz = -0.0270 rad/s, rpm_pitch =  5.5895, rpm_roll = 24.0976, I_w_pitch =  1.6425 A, I_w_roll =  2.8411 A, theta_pitch = 109.74466mrad, theta_roll_comp = -27.3434 mrad, theta_setpoint = -41.5133 mrad, 
msg = 4963, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49632 ms, ax = -0.4783, ay = -0.3141, az = 10.0741, gx = -0.0091 rad/s, gy = -0.3480 rad/s, gz = -0.0188 rad/s, rpm_pitch =  5.5895, rpm_roll = 24.0976, I_w_pitch =  3.9145 A, I_w_roll =  2.4190 A, theta_pitch = 105.85386mrad, theta_roll_comp = -27.4666 mrad, theta_setpoint = -41.5133 mrad, 
msg = 4964, nerr =  240p/ 248r, time steps =    5, qsz =    2, switch = on, t =    49642 ms, ax = -0.4279, ay = -0.3033, az = 10.0490, gx = -0.0099 rad/s, gy = -0.3876 rad/s, gz = -0.0107 rad/s, rpm_pitch =  5.5895, rpm_roll = 26.6711, I_w_pitch =  6.1391 A, I_w_roll =  2.1533 A, theta_pitch = 101.56921mrad, theta_roll_comp = -27.5936 mrad, theta_setpoint = -41.6749 mrad, 
