picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.1892 A, I_w_roll = -249.2544 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  132, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1322 ms, ax =  0.4759, ay = -6.1135, az =  7.8876, gx = -0.0010 rad/s, gy = -0.0061 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.7867 A, I_w_roll = -176.9076 A, theta_pitch = -46.95446mrad, theta_roll_comp = -481.3770 mrad, theta_setpoint = -40.0000 mrad, 
msg =  133, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1332 ms, ax =  0.4819, ay = -6.1051, az =  7.8924, gx = -0.0008 rad/s, gy = -0.0061 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8163 A, I_w_roll = -177.5252 A, theta_pitch = -47.15160mrad, theta_roll_comp = -483.1540 mrad, theta_setpoint = -40.0000 mrad, 
msg =  134, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1342 ms, ax =  0.4855, ay = -6.1027, az =  7.8864, gx = -0.0006 rad/s, gy = -0.0054 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8193 A, I_w_roll = -178.1803 A, theta_pitch = -47.34922mrad, theta_roll_comp = -484.9081 mrad, theta_setpoint = -40.0000 mrad, 
msg =  135, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1352 ms, ax =  0.4939, ay = -6.0967, az =  7.8900, gx = -0.0004 rad/s, gy = -0.0056 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8548 A, I_w_roll = -178.7798 A, theta_pitch = -47.55037mrad, theta_roll_comp = -486.6399 mrad, theta_setpoint = -40.0000 mrad, 
msg =  136, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1362 ms, ax =  0.4975, ay = -6.0848, az =  7.8900, gx = -0.0004 rad/s, gy = -0.0058 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8967 A, I_w_roll = -179.4618 A, theta_pitch = -47.75876mrad, theta_roll_comp = -488.3450 mrad, theta_setpoint = -40.0000 mrad, 
msg =  137, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1372 ms, ax =  0.5035, ay = -6.0872, az =  7.8888, gx = -0.0006 rad/s, gy = -0.0060 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.9342 A, I_w_roll = -180.2296 A, theta_pitch = -47.97317mrad, theta_roll_comp = -490.0313 mrad, theta_setpoint = -40.0000 mrad, 
msg =  138, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1382 ms, ax =  0.5023, ay = -6.0872, az =  7.8972, gx = -0.0009 rad/s, gy = -0.0066 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.9937 A, I_w_roll = -180.9911 A, theta_pitch = -48.19202mrad, theta_roll_comp = -491.7022 mrad, theta_setpoint = -40.0000 mrad, 
msg =  139, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1392 ms, ax =  0.5083, ay = -6.0824, az =  7.8900, gx = -0.0010 rad/s, gy = -0.0073 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.0543 A, I_w_roll = -181.6993 A, theta_pitch = -48.41855mrad, theta_roll_comp = -493.3562 mrad, theta_setpoint = -40.0000 mrad, 
msg =  140, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1402 ms, ax =  0.5059, ay = -6.0907, az =  7.8805, gx = -0.0012 rad/s, gy = -0.0081 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.1214 A, I_w_roll = -182.4042 A, theta_pitch = -48.65277mrad, theta_roll_comp = -495.0018 mrad, theta_setpoint = -40.0000 mrad, 
msg =  141, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1412 ms, ax =  0.5071, ay = -6.1051, az =  7.8817, gx = -0.0014 rad/s, gy = -0.0084 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.1676 A, I_w_roll = -183.1546 A, theta_pitch = -48.88954mrad, theta_roll_comp = -496.6449 mrad, theta_setpoint = -40.0000 mrad, 
msg =  142, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1422 ms, ax =  0.5071, ay = -6.1123, az =  7.8721, gx = -0.0013 rad/s, gy = -0.0089 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2248 A, I_w_roll = -183.7633 A, theta_pitch = -49.12908mrad, theta_roll_comp = -498.2831 mrad, theta_setpoint = -40.0000 mrad, 
msg =  143, nerr =   12p/   8r, time steps =    5, qsz =    2, switch = off, t =     1432 ms, ax =  0.4975, ay = -6.1195, az =  7.8733, gx = -0.0012 rad/s, gy = -0.0096 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2870 A, I_w_roll = -184.3682 A, theta_pitch = -49.36616mrad, theta_roll_comp = -499.9120 mrad, theta_setpoint = -40.0000 mrad, 
msg =  144, nerr =   12p/   9r, time steps =    5, qsz =    2, switch = off, t =     1442 ms, ax =  0.4951, ay = -6.1291, az =  7.8781, gx = -0.0009 rad/s, gy = -0.0096 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.3215 A, I_w_roll = -184.9208 A, theta_pitch = -49.59634mrad, theta_roll_comp = -501.5265 mrad, theta_setpoint = -40.0000 mrad, 
msg =  145, nerr =   12p/   9r, time steps =    5, qsz =    2, switch = off, t =     1452 ms, ax =  0.4951, ay = -6.1303, az =  7.8793, gx = -0.0009 rad/s, gy = -0.0093 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.3446 A, I_w_roll = -185.5611 A, theta_pitch = -49.82132mrad, theta_roll_comp = -503.1270 mrad, theta_setpoint = -40.0000 mrad, 
msg =  146, nerr =   12p/   9r, time steps =    5, qsz =    2, switch = off, t =     1462 ms, ax =  0.5191, ay = -6.1231, az =  7.8805, gx = -0.0006 rad/s, gy = -0.0089 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.3639 A, I_w_roll = -186.0994 A, theta_pitch = -50.05651mrad, theta_roll_comp = -504.7059 mrad, theta_setpoint = -40.0000 mrad, 
msg =  147, nerr =   12p/   9r, time steps =    5, qsz =    2, switch = off, t =     1472 ms, ax =  0.5394, ay = -6.1147, az =  7.8852, gx = -0.0004 rad/s, gy = -0.0076 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.3484 A, I_w_roll = -186.6274 A, theta_pitch = -50.30812mrad, theta_roll_comp = -506.2589 mrad, theta_setpoint = -40.0000 mrad, 
msg =  148, nerr =   12p/   9r, time steps =    5, qsz =    2, switch = off, t =     1482 ms, ax =  0.5538, ay = -6.1027, az =  7.8996, gx = -0.0002 rad/s, gy = -0.0061 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.3282 A, I_w_roll = -187.1892 A, theta_pitch = -50.56393mrad, theta_roll_comp = -507.7800 mrad, theta_setpoint = -40.0000 mrad, 
msg =  149, nerr =   12p/   9r, time steps =    5, qsz =    2, switch = off, t =     1492 ms, ax =  0.5646, ay = -6.1015, az =  7.9032, gx = -0.0002 rad/s, gy = -0.0038 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2750 A, I_w_roll = -187.7872 A, theta_pitch = -50.81323mrad, theta_roll_comp = -509.2750 mrad, theta_setpoint = -40.0000 mrad, 
msg =  150, nerr =   12p/  10r, time steps =    5, qsz =    2, switch = off, t =     1502 ms, ax =  0.5634, ay = -6.1027, az =  7.8984, gx = -0.0002 rad/s, gy = -0.0024 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2515 A, I_w_roll = -188.3795 A, theta_pitch = -51.04726mrad, theta_roll_comp = -510.7557 mrad, theta_setpoint = -40.0000 mrad, 
msg =  151, nerr =   12p/  10r, time steps =    5, qsz =    2, switch = off, t =     1512 ms, ax =  0.5646, ay = -6.0979, az =  7.8829, gx = -0.0004 rad/s, gy = -0.0005 rad/s, gz = -0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2094 A, I_w_roll = -189.0151 A, theta_pitch = -51.26346mrad, theta_roll_comp = -512.2281 mrad, theta_setpoint = -40.0000 mrad, 
msg =  152, nerr =   12p/  10r, time steps =    5, qsz =    2, switch = off, t =     1522 ms, ax =  0.5598, ay = -6.0896, az =  7.8769, gx = -0.0008 rad/s, gy =  0.0006 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.1965 A, I_w_roll = -189.7390 A, theta_pitch = -51.46134mrad, theta_roll_comp = -513.6884 mrad, theta_setpoint = -40.0000 mrad, 
msg =  153, nerr =   12p/  10r, time steps =    5, qsz =    2, switch = off, t =     1532 ms, ax =  0.5598, ay = -6.0824, az =  7.8709, gx = -0.0012 rad/s, gy =  0.0018 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.1759 A, I_w_roll = -190.4582 A, theta_pitch = -51.64386mrad, theta_roll_comp = -515.1369 mrad, theta_setpoint = -40.0000 mrad, 
msg =  154, nerr =   13p/  10r, time steps =    5, qsz =    2, switch = off, t =     1542 ms, ax =  0.5179, ay = -6.0752, az =  7.8769, gx = -0.0017 rad/s, gy =  0.0016 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2033 A, I_w_roll = -191.2173 A, theta_pitch = -51.79121mrad, theta_roll_comp = -516.5687 mrad, theta_setpoint = -40.0000 mrad, 
msg =  155, nerr =   13p/  10r, time steps =    5, qsz =    2, switch = off, t =     1552 ms, ax =  0.4999, ay = -6.0728, az =  7.8733, gx = -0.0021 rad/s, gy =  0.0002 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2796 A, I_w_roll = -191.9244 A, theta_pitch = -51.90884mrad, theta_roll_comp = -517.9868 mrad, theta_setpoint = -40.0000 mrad, 
msg =  156, nerr =   13p/  10r, time steps =    5, qsz =    2, switch = off, t =     1562 ms, ax =  0.4783, ay = -6.0824, az =  7.8829, gx = -0.0021 rad/s, gy = -0.0018 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.3757 A, I_w_roll = -192.4873 A, theta_pitch = -52.01736mrad, theta_roll_comp = -519.3940 mrad, theta_setpoint = -40.0000 mrad, 
msg =  157, nerr =   13p/  10r, time steps =    5, qsz =    2, switch = off, t =     1572 ms, ax =  0.4699, ay = -6.0967, az =  7.8793, gx = -0.0024 rad/s, gy = -0.0036 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.4611 A, I_w_roll = -193.1415 A, theta_pitch = -52.12488mrad, theta_roll_comp = -520.7966 mrad, theta_setpoint = -40.0000 mrad, 
msg =  158, nerr =   13p/  10r, time steps =    5, qsz =    2, switch = off, t =     1582 ms, ax =  0.4651, ay = -6.1159, az =  7.8829, gx = -0.0021 rad/s, gy = -0.0058 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.5694 A, I_w_roll = -193.6090 A, theta_pitch = -52.24331mrad, theta_roll_comp = -522.1984 mrad, theta_setpoint = -40.0000 mrad, 
msg =  159, nerr =   13p/  10r, time steps =    5, qsz =    2, switch = off, t =     1592 ms, ax =  0.4639, ay = -6.1363, az =  7.8876, gx = -0.0020 rad/s, gy = -0.0073 rad/s, gz = -0.0115 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.6477 A, I_w_roll = -194.1222 A, theta_pitch = -52.37488mrad, theta_roll_comp = -523.5978 mrad, theta_setpoint = -40.0000 mrad, 
msg =  160, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1602 ms, ax =  0.4639, ay = -6.1435, az =  7.8852, gx = -0.0014 rad/s, gy = -0.0088 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7279 A, I_w_roll = -194.4921 A, theta_pitch = -52.51890mrad, theta_roll_comp = -524.9885 mrad, theta_setpoint = -40.0000 mrad, 
msg =  161, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1612 ms, ax =  0.4615, ay = -6.1483, az =  7.8864, gx = -0.0010 rad/s, gy = -0.0093 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7718 A, I_w_roll = -194.9034 A, theta_pitch = -52.66956mrad, theta_roll_comp = -526.3664 mrad, theta_setpoint = -40.0000 mrad, 
msg =  162, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1622 ms, ax =  0.4627, ay = -6.1471, az =  7.8912, gx = -0.0004 rad/s, gy = -0.0097 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8108 A, I_w_roll = -195.2136 A, theta_pitch = -52.82248mrad, theta_roll_comp = -527.7244 mrad, theta_setpoint = -40.0000 mrad, 
msg =  163, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1632 ms, ax =  0.4675, ay = -6.1327, az =  7.8948, gx =  0.0000 rad/s, gy = -0.0094 rad/s, gz = -0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8234 A, I_w_roll = -195.6058 A, theta_pitch = -52.97793mrad, theta_roll_comp = -529.0545 mrad, theta_setpoint = -40.0000 mrad, 
msg =  164, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1642 ms, ax =  0.4735, ay = -6.1243, az =  7.8948, gx =  0.0006 rad/s, gy = -0.0086 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8147 A, I_w_roll = -195.9404 A, theta_pitch = -53.13304mrad, theta_roll_comp = -530.3571 mrad, theta_setpoint = -40.0000 mrad, 
msg =  165, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1652 ms, ax =  0.4795, ay = -6.1063, az =  7.8912, gx =  0.0008 rad/s, gy = -0.0073 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7840 A, I_w_roll = -196.3578 A, theta_pitch = -53.28353mrad, theta_roll_comp = -531.6335 mrad, theta_setpoint = -40.0000 mrad, 
msg =  166, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1662 ms, ax =  0.4831, ay = -6.0872, az =  7.8888, gx =  0.0006 rad/s, gy = -0.0061 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7575 A, I_w_roll = -196.9512 A, theta_pitch = -53.42604mrad, theta_roll_comp = -532.8840 mrad, theta_setpoint = -40.0000 mrad, 
msg =  167, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1672 ms, ax =  0.4831, ay = -6.0716, az =  7.8864, gx =  0.0003 rad/s, gy = -0.0052 rad/s, gz = -0.0052 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7401 A, I_w_roll = -197.5360 A, theta_pitch = -53.55897mrad, theta_roll_comp = -534.1131 mrad, theta_setpoint = -40.0000 mrad, 
msg =  168, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1682 ms, ax =  0.4843, ay = -6.0512, az =  7.8888, gx = -0.0004 rad/s, gy = -0.0042 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7213 A, I_w_roll = -198.2516 A, theta_pitch = -53.68197mrad, theta_roll_comp = -535.3193 mrad, theta_setpoint = -40.0000 mrad, 
msg =  169, nerr =   14p/  10r, time steps =    5, qsz =    2, switch = off, t =     1692 ms, ax =  0.4891, ay = -6.0356, az =  7.8924, gx = -0.0008 rad/s, gy = -0.0036 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7123 A, I_w_roll = -198.8651 A, theta_pitch = -53.79970mrad, theta_roll_comp = -536.5036 mrad, theta_setpoint = -40.0000 mrad, 
msg =  170, nerr =   15p/  11r, time steps =    5, qsz =    2, switch = off, t =     1702 ms, ax =  0.5023, ay = -6.0416, az =  7.8948, gx = -0.0013 rad/s, gy = -0.0036 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7311 A, I_w_roll = -199.5201 A, theta_pitch = -53.92451mrad, theta_roll_comp = -537.6751 mrad, theta_setpoint = -40.0000 mrad, 
msg =  171, nerr =   15p/  11r, time steps =    5, qsz =    2, switch = off, t =     1712 ms, ax =  0.4963, ay = -6.0512, az =  7.8829, gx = -0.0018 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7502 A, I_w_roll = -200.1765 A, theta_pitch = -54.05221mrad, theta_roll_comp = -538.8502 mrad, theta_setpoint = -40.0000 mrad, 
msg =  172, nerr =   15p/  11r, time steps =    5, qsz =    2, switch = off, t =     1722 ms, ax =  0.5023, ay = -6.0644, az =  7.8829, gx = -0.0024 rad/s, gy = -0.0037 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.7748 A, I_w_roll = -200.8353 A, theta_pitch = -54.18038mrad, theta_roll_comp = -540.0311 mrad, theta_setpoint = -40.0000 mrad, 
msg =  173, nerr =   15p/  11r, time steps =    5, qsz =    2, switch = off, t =     1732 ms, ax =  0.5119, ay = -6.0860, az =  7.8829, gx = -0.0028 rad/s, gy = -0.0041 rad/s, gz = -0.0139 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8117 A, I_w_roll = -201.4503 A, theta_pitch = -54.32001mrad, theta_roll_comp = -541.2190 mrad, theta_setpoint = -40.0000 mrad, 
msg =  174, nerr =   15p/  11r, time steps =    5, qsz =    2, switch = off, t =     1742 ms, ax =  0.5191, ay = -6.0991, az =  7.8781, gx = -0.0028 rad/s, gy = -0.0042 rad/s, gz = -0.0154 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8397 A, I_w_roll = -201.9276 A, theta_pitch = -54.47151mrad, theta_roll_comp = -542.4123 mrad, theta_setpoint = -40.0000 mrad, 
msg =  175, nerr =   15p/  11r, time steps =    5, qsz =    2, switch = off, t =     1752 ms, ax =  0.5179, ay = -6.1267, az =  7.8793, gx = -0.0026 rad/s, gy = -0.0046 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8791 A, I_w_roll = -202.3602 A, theta_pitch = -54.62769mrad, theta_roll_comp = -543.6104 mrad, theta_setpoint = -40.0000 mrad, 
msg =  176, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1762 ms, ax =  0.5167, ay = -6.1447, az =  7.8817, gx = -0.0022 rad/s, gy = -0.0049 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9132 A, I_w_roll = -202.7002 A, theta_pitch = -54.78391mrad, theta_roll_comp = -544.8099 mrad, theta_setpoint = -40.0000 mrad, 
msg =  177, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1772 ms, ax =  0.5370, ay = -6.1507, az =  7.8757, gx = -0.0018 rad/s, gy = -0.0054 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9603 A, I_w_roll = -203.0381 A, theta_pitch = -54.95585mrad, theta_roll_comp = -546.0040 mrad, theta_setpoint = -40.0000 mrad, 
msg =  178, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1782 ms, ax =  0.5658, ay = -6.1327, az =  7.8697, gx = -0.0014 rad/s, gy = -0.0049 rad/s, gz = -0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9693 A, I_w_roll = -203.3689 A, theta_pitch = -55.15775mrad, theta_roll_comp = -547.1807 mrad, theta_setpoint = -40.0000 mrad, 
msg =  179, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1792 ms, ax =  0.5682, ay = -6.1411, az =  7.8757, gx = -0.0009 rad/s, gy = -0.0036 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9473 A, I_w_roll = -203.6453 A, theta_pitch = -55.36629mrad, theta_roll_comp = -548.3376 mrad, theta_setpoint = -40.0000 mrad, 
msg =  180, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1802 ms, ax =  0.5838, ay = -6.1315, az =  7.8912, gx = -0.0006 rad/s, gy = -0.0021 rad/s, gz = -0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9192 A, I_w_roll = -204.0055 A, theta_pitch = -55.56966mrad, theta_roll_comp = -549.4711 mrad, theta_setpoint = -40.0000 mrad, 
msg =  181, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1812 ms, ax =  0.5838, ay = -6.1243, az =  7.8936, gx = -0.0002 rad/s, gy = -0.0005 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8845 A, I_w_roll = -204.3086 A, theta_pitch = -55.76397mrad, theta_roll_comp = -550.5786 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1822 ms, ax =  0.5682, ay = -6.1135, az =  7.8972, gx =  0.0000 rad/s, gy =  0.0007 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8617 A, I_w_roll = -204.6489 A, theta_pitch = -55.93161mrad, theta_roll_comp = -551.6624 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1832 ms, ax =  0.5598, ay = -6.0955, az =  7.8924, gx =  0.0003 rad/s, gy =  0.0019 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8347 A, I_w_roll = -204.9796 A, theta_pitch = -56.07115mrad, theta_roll_comp = -552.7219 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1842 ms, ax =  0.5466, ay = -6.0836, az =  7.8912, gx = -0.0001 rad/s, gy =  0.0030 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8091 A, I_w_roll = -205.5353 A, theta_pitch = -56.18445mrad, theta_roll_comp = -553.7618 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, nerr =   16p/  12r, time steps =    5, qsz =    2, switch = off, t =     1852 ms, ax =  0.5250, ay = -6.0704, az =  7.8888, gx = -0.0005 rad/s, gy =  0.0035 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8002 A, I_w_roll = -206.0850 A, theta_pitch = -56.26709mrad, theta_roll_comp = -554.7864 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, nerr =   17p/  12r, time steps =    5, qsz =    2, switch = off, t =     1862 ms, ax =  0.5119, ay = -6.0692, az =  7.8888, gx = -0.0010 rad/s, gy =  0.0028 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8360 A, I_w_roll = -206.6771 A, theta_pitch = -56.32845mrad, theta_roll_comp = -555.8006 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, nerr =   17p/  12r, time steps =    5, qsz =    2, switch = off, t =     1872 ms, ax =  0.4975, ay = -6.0800, az =  7.8924, gx = -0.0016 rad/s, gy =  0.0020 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8755 A, I_w_roll = -207.2686 A, theta_pitch = -56.37902mrad, theta_roll_comp = -556.8133 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, nerr =   17p/  12r, time steps =    5, qsz =    2, switch = off, t =     1882 ms, ax =  0.4903, ay = -6.0860, az =  7.8948, gx = -0.0018 rad/s, gy =  0.0008 rad/s, gz = -0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9305 A, I_w_roll = -207.7662 A, theta_pitch = -56.42568mrad, theta_roll_comp = -557.8244 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, nerr =   17p/  12r, time steps =    5, qsz =    2, switch = off, t =     1892 ms, ax =  0.4807, ay = -6.0919, az =  7.8888, gx = -0.0025 rad/s, gy = -0.0001 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9747 A, I_w_roll = -208.4039 A, theta_pitch = -56.47190mrad, theta_roll_comp = -558.8361 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, nerr =   17p/  12r, time steps =    5, qsz =    2, switch = off, t =     1902 ms, ax =  0.4867, ay = -6.1099, az =  7.8852, gx = -0.0025 rad/s, gy = -0.0010 rad/s, gz = -0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0201 A, I_w_roll = -208.8109 A, theta_pitch = -56.52579mrad, theta_roll_comp = -559.8535 mrad, theta_setpoint = -40.0000 mrad, 
