picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  0.0485 A, I_w_roll =  2.9387 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  343, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6862 ms, ax = -1.5679, ay = -1.0801, az =  9.8548, gx =  0.1018 rad/s, gy =  0.0769 rad/s, gz = -0.2216 rad/s, rpm_pitch =  1.5284, rpm_roll = -0.0000, I_w_pitch = -15.9735 A, I_w_roll = 22.2764 A, theta_pitch = 89.43027mrad, theta_roll_comp = -73.3626 mrad, theta_setpoint = -40.0000 mrad, 
msg =  344, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6882 ms, ax = -1.5943, ay = -0.9518, az =  9.7541, gx =  0.1154 rad/s, gy =  0.0367 rad/s, gz = -0.2130 rad/s, rpm_pitch =  1.5284, rpm_roll = -0.0000, I_w_pitch = -14.7393 A, I_w_roll = 27.6716 A, theta_pitch = 91.92564mrad, theta_roll_comp = -71.7584 mrad, theta_setpoint = -40.0000 mrad, 
msg =  345, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6902 ms, ax = -1.5655, ay = -0.8715, az =  9.7864, gx =  0.1227 rad/s, gy = -0.0100 rad/s, gz = -0.1659 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -15.1308 A, I_w_roll = 31.0216 A, theta_pitch = 93.52534mrad, theta_roll_comp = -69.7915 mrad, theta_setpoint = -40.0000 mrad, 
msg =  346, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6922 ms, ax = -1.5008, ay = -0.7540, az =  9.9027, gx =  0.1211 rad/s, gy = -0.0571 rad/s, gz = -0.0893 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -13.3209 A, I_w_roll = 31.3394 A, theta_pitch = 94.02927mrad, theta_roll_comp = -67.5989 mrad, theta_setpoint = -40.0000 mrad, 
msg =  347, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6942 ms, ax = -1.3558, ay = -0.6161, az =  9.9555, gx =  0.1139 rad/s, gy = -0.1084 rad/s, gz =  0.0294 rad/s, rpm_pitch =  5.4148, rpm_roll = -0.0334, I_w_pitch = -4.0179 A, I_w_roll = 29.7495 A, theta_pitch = 93.28690mrad, theta_roll_comp = -65.2801 mrad, theta_setpoint = -39.9979 mrad, 
msg =  348, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6962 ms, ax = -1.2107, ay = -0.4387, az =  9.9231, gx =  0.1016 rad/s, gy = -0.1612 rad/s, gz =  0.1739 rad/s, rpm_pitch =  1.5284, rpm_roll = -0.0334, I_w_pitch = -6.7272 A, I_w_roll = 26.4236 A, theta_pitch = 91.27583mrad, theta_roll_comp = -62.8759 mrad, theta_setpoint = -39.9979 mrad, 
msg =  349, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     6982 ms, ax = -1.0237, ay = -0.3021, az =  9.8656, gx =  0.0883 rad/s, gy = -0.2141 rad/s, gz =  0.3056 rad/s, rpm_pitch =  1.5284, rpm_roll = -0.0334, I_w_pitch = -4.1095 A, I_w_roll = 22.7168 A, theta_pitch = 87.92119mrad, theta_roll_comp = -60.4919 mrad, theta_setpoint = -39.9979 mrad, 
msg =  350, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7002 ms, ax = -0.8343, ay = -0.1618, az =  9.8044, gx =  0.0710 rad/s, gy = -0.2671 rad/s, gz =  0.4028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -3.2956 A, I_w_roll = 17.5817 A, theta_pitch = 83.18964mrad, theta_roll_comp = -58.1833 mrad, theta_setpoint = -39.9979 mrad, 
msg =  351, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7022 ms, ax = -0.6809, ay = -0.0599, az =  9.7505, gx =  0.0520 rad/s, gy = -0.3153 rad/s, gz =  0.4390 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0334, I_w_pitch = -0.4764 A, I_w_roll = 11.7863 A, theta_pitch = 77.24882mrad, theta_roll_comp = -56.0111 mrad, theta_setpoint = -39.9979 mrad, 
msg =  352, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7042 ms, ax = -0.5274, ay = -0.0491, az =  9.7433, gx =  0.0393 rad/s, gy = -0.3567 rad/s, gz =  0.4358 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.2313 A, I_w_roll =  8.1124 A, theta_pitch = 70.24014mrad, theta_roll_comp = -54.1294 mrad, theta_setpoint = -40.0000 mrad, 
msg =  353, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7062 ms, ax = -0.3500, ay = -0.0875, az =  9.8284, gx =  0.0324 rad/s, gy = -0.3949 rad/s, gz =  0.4019 rad/s, rpm_pitch = -4.4105, rpm_roll = -0.0000, I_w_pitch = -0.8527 A, I_w_roll =  6.3415 A, theta_pitch = 62.21451mrad, theta_roll_comp = -52.4981 mrad, theta_setpoint = -40.0000 mrad, 
msg =  354, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7082 ms, ax = -0.1726, ay = -0.0695, az =  9.8452, gx =  0.0247 rad/s, gy = -0.4247 rad/s, gz =  0.3289 rad/s, rpm_pitch = -4.4105, rpm_roll = -0.0000, I_w_pitch =  1.6722 A, I_w_roll =  4.2167 A, theta_pitch = 53.33549mrad, theta_roll_comp = -51.0526 mrad, theta_setpoint = -40.0000 mrad, 
msg =  355, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7102 ms, ax = -0.0012, ay = -0.0503, az =  9.7768, gx =  0.0207 rad/s, gy = -0.4440 rad/s, gz =  0.2349 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.6902 A, I_w_roll =  3.3540 A, theta_pitch = 43.80757mrad, theta_roll_comp = -49.7140 mrad, theta_setpoint = -40.0000 mrad, 
msg =  356, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7122 ms, ax =  0.1642, ay = -0.0719, az =  9.7517, gx =  0.0151 rad/s, gy = -0.4538 rad/s, gz =  0.1336 rad/s, rpm_pitch =  0.0437, rpm_roll = -0.0000, I_w_pitch = 11.6330 A, I_w_roll =  1.8822 A, theta_pitch = 33.83141mrad, theta_roll_comp = -48.5001 mrad, theta_setpoint = -40.0000 mrad, 
msg =  357, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7142 ms, ax =  0.3428, ay = -0.1774, az =  9.8428, gx =  0.0144 rad/s, gy = -0.4530 rad/s, gz =  0.0466 rad/s, rpm_pitch =  0.0437, rpm_roll = -0.0000, I_w_pitch = 13.1291 A, I_w_roll =  2.0507 A, theta_pitch = 23.64434mrad, theta_roll_comp = -47.4962 mrad, theta_setpoint = -40.0000 mrad, 
msg =  358, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7162 ms, ax =  0.5202, ay = -0.2841, az =  9.9866, gx =  0.0130 rad/s, gy = -0.4411 rad/s, gz = -0.0149 rad/s, rpm_pitch = -1.4410, rpm_roll = -0.0000, I_w_pitch = 12.2296 A, I_w_roll =  1.8399 A, theta_pitch = 13.42711mrad, theta_roll_comp = -46.7417 mrad, theta_setpoint = -40.0000 mrad, 
msg =  359, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7182 ms, ax =  0.6845, ay = -0.4136, az = 10.0681, gx =  0.0135 rad/s, gy = -0.4167 rad/s, gz = -0.0562 rad/s, rpm_pitch = -1.4410, rpm_roll = -0.0000, I_w_pitch = 12.7501 A, I_w_roll =  2.2269 A, theta_pitch = 3.45959mrad, theta_roll_comp = -46.2403 mrad, theta_setpoint = -40.0000 mrad, 
msg =  360, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7202 ms, ax =  0.7552, ay = -0.5167, az =  9.9375, gx =  0.0126 rad/s, gy = -0.3829 rad/s, gz = -0.0609 rad/s, rpm_pitch = -3.3624, rpm_roll = -0.0000, I_w_pitch = 10.2761 A, I_w_roll =  1.9865 A, theta_pitch = -5.95896mrad, theta_roll_comp = -46.0258 mrad, theta_setpoint = -40.0000 mrad, 
msg =  361, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7222 ms, ax =  0.7972, ay = -0.6090, az =  9.8548, gx =  0.0163 rad/s, gy = -0.3467 rad/s, gz = -0.0284 rad/s, rpm_pitch = -4.4978, rpm_roll = -0.0000, I_w_pitch =  8.6291 A, I_w_roll =  3.3181 A, theta_pitch = -14.61937mrad, theta_roll_comp = -45.9590 mrad, theta_setpoint = -40.0000 mrad, 
msg =  362, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7242 ms, ax =  0.8343, ay = -0.6641, az = 10.0298, gx =  0.0240 rad/s, gy = -0.3076 rad/s, gz =  0.0249 rad/s, rpm_pitch = -4.4978, rpm_roll = -0.0000, I_w_pitch =  8.2293 A, I_w_roll =  6.0390 A, theta_pitch = -22.39305mrad, theta_roll_comp = -45.9144 mrad, theta_setpoint = -40.0000 mrad, 
msg =  363, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7262 ms, ax =  0.8990, ay = -0.6929, az = 10.1497, gx =  0.0256 rad/s, gy = -0.2681 rad/s, gz =  0.0843 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 13.6261 A, I_w_roll =  6.6259 A, theta_pitch = -29.33779mrad, theta_roll_comp = -45.8452 mrad, theta_setpoint = -40.0000 mrad, 
msg =  364, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7282 ms, ax =  0.8823, ay = -0.7192, az = 10.0382, gx =  0.0305 rad/s, gy = -0.2331 rad/s, gz =  0.1422 rad/s, rpm_pitch = -3.4498, rpm_roll = -0.0000, I_w_pitch =  8.5926 A, I_w_roll =  8.3830 A, theta_pitch = -35.44966mrad, theta_roll_comp = -45.7632 mrad, theta_setpoint = -40.0000 mrad, 
msg =  365, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7302 ms, ax =  0.8175, ay = -0.6905, az =  9.8464, gx =  0.0376 rad/s, gy = -0.1998 rad/s, gz =  0.2019 rad/s, rpm_pitch = -3.4498, rpm_roll = -0.0000, I_w_pitch =  8.0463 A, I_w_roll = 10.9269 A, theta_pitch = -40.68493mrad, theta_roll_comp = -45.5786 mrad, theta_setpoint = -40.0000 mrad, 
msg =  366, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7322 ms, ax =  0.7912, ay = -0.6173, az =  9.8919, gx =  0.0464 rad/s, gy = -0.1708 rad/s, gz =  0.2498 rad/s, rpm_pitch = -0.2620, rpm_roll = -0.0000, I_w_pitch = 11.7563 A, I_w_roll = 14.1739 A, theta_pitch = -45.13178mrad, theta_roll_comp = -45.1507 mrad, theta_setpoint = -40.0000 mrad, 
msg =  367, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7342 ms, ax =  0.8151, ay = -0.4999, az = 10.0657, gx =  0.0496 rad/s, gy = -0.1458 rad/s, gz =  0.2730 rad/s, rpm_pitch = -0.2620, rpm_roll = -0.0000, I_w_pitch = 11.3274 A, I_w_roll = 15.5931 A, theta_pitch = -48.94812mrad, theta_roll_comp = -44.3988 mrad, theta_setpoint = -40.0000 mrad, 
msg =  368, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7362 ms, ax =  0.8127, ay = -0.3620, az = 10.0466, gx =  0.0502 rad/s, gy = -0.1209 rad/s, gz =  0.2706 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 11.1641 A, I_w_roll = 16.2402 A, theta_pitch = -52.19602mrad, theta_roll_comp = -43.3637 mrad, theta_setpoint = -40.0000 mrad, 
msg =  369, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7382 ms, ax =  0.7756, ay = -0.2565, az =  9.9279, gx =  0.0488 rad/s, gy = -0.0988 rad/s, gz =  0.2483 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 10.6837 A, I_w_roll = 16.2239 A, theta_pitch = -54.88760mrad, theta_roll_comp = -42.1228 mrad, theta_setpoint = -40.0000 mrad, 
msg =  370, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7402 ms, ax =  0.7492, ay = -0.2086, az =  9.9339, gx =  0.0490 rad/s, gy = -0.0804 rad/s, gz =  0.2096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = 10.2772 A, I_w_roll = 16.8582 A, theta_pitch = -57.07726mrad, theta_roll_comp = -40.7701 mrad, theta_setpoint = -40.0000 mrad, 
msg =  371, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7422 ms, ax =  0.7480, ay = -0.1379, az =  9.9926, gx =  0.0490 rad/s, gy = -0.0633 rad/s, gz =  0.1459 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.8590 A, I_w_roll = 17.4333 A, theta_pitch = -58.83426mrad, theta_roll_comp = -39.3324 mrad, theta_setpoint = -40.0000 mrad, 
msg =  372, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7442 ms, ax =  0.7612, ay = -0.0527, az =  9.9890, gx =  0.0465 rad/s, gy = -0.0464 rad/s, gz =  0.0586 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  9.3936 A, I_w_roll = 17.1650 A, theta_pitch = -60.24128mrad, theta_roll_comp = -37.7895 mrad, theta_setpoint = -40.0000 mrad, 
msg =  373, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7462 ms, ax =  0.7708, ay = -0.0264, az =  9.9555, gx =  0.0433 rad/s, gy = -0.0314 rad/s, gz = -0.0364 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.9531 A, I_w_roll = 16.6741 A, theta_pitch = -61.31705mrad, theta_roll_comp = -36.2205 mrad, theta_setpoint = -40.0000 mrad, 
msg =  374, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7482 ms, ax =  0.7504, ay = -0.0420, az = 10.0154, gx =  0.0367 rad/s, gy = -0.0155 rad/s, gz = -0.1278 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  8.4305 A, I_w_roll = 14.9230 A, theta_pitch = -62.05844mrad, theta_roll_comp = -34.7728 mrad, theta_setpoint = -40.0000 mrad, 
msg =  375, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7502 ms, ax =  0.7504, ay = -0.1103, az = 10.0226, gx =  0.0293 rad/s, gy = -0.0008 rad/s, gz = -0.1868 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.9012 A, I_w_roll = 12.8379 A, theta_pitch = -62.47102mrad, theta_roll_comp = -33.5774 mrad, theta_setpoint = -40.0000 mrad, 
msg =  376, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7522 ms, ax =  0.7216, ay = -0.1522, az =  9.9459, gx =  0.0256 rad/s, gy =  0.0130 rad/s, gz = -0.1995 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.3649 A, I_w_roll = 11.9120 A, theta_pitch = -62.55322mrad, theta_roll_comp = -32.6298 mrad, theta_setpoint = -40.0000 mrad, 
msg =  377, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7542 ms, ax =  0.6713, ay = -0.1618, az =  9.8751, gx =  0.0203 rad/s, gy =  0.0240 rad/s, gz = -0.1711 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8880 A, I_w_roll = 10.3619 A, theta_pitch = -62.32063mrad, theta_roll_comp = -31.8447 mrad, theta_setpoint = -40.0000 mrad, 
msg =  378, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7562 ms, ax =  0.6329, ay = -0.1834, az =  9.9363, gx =  0.0151 rad/s, gy =  0.0317 rad/s, gz = -0.1193 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.5049 A, I_w_roll =  8.7963 A, theta_pitch = -61.82636mrad, theta_roll_comp = -31.2148 mrad, theta_setpoint = -40.0000 mrad, 
msg =  379, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7582 ms, ax =  0.6018, ay = -0.2014, az = 10.0130, gx =  0.0092 rad/s, gy =  0.0357 rad/s, gz = -0.0554 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2420 A, I_w_roll =  6.9334 A, theta_pitch = -61.13899mrad, theta_roll_comp = -30.7457 mrad, theta_setpoint = -40.0000 mrad, 
msg =  380, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7602 ms, ax =  0.5790, ay = -0.2110, az =  9.9411, gx =  0.0022 rad/s, gy =  0.0371 rad/s, gz =  0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.0735 A, I_w_roll =  4.5832 A, theta_pitch = -60.37070mrad, theta_roll_comp = -30.4462 mrad, theta_setpoint = -40.0000 mrad, 
msg =  381, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7622 ms, ax =  0.5874, ay = -0.2026, az =  9.8656, gx = -0.0010 rad/s, gy =  0.0365 rad/s, gz =  0.0434 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.9808 A, I_w_roll =  3.5441 A, theta_pitch = -59.61093mrad, theta_roll_comp = -30.2478 mrad, theta_setpoint = -40.0000 mrad, 
msg =  382, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7642 ms, ax =  0.6042, ay = -0.1558, az =  9.9147, gx = -0.0039 rad/s, gy =  0.0331 rad/s, gz =  0.0623 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.0173 A, I_w_roll =  2.5871 A, theta_pitch = -58.93048mrad, theta_roll_comp = -30.0771 mrad, theta_setpoint = -40.0000 mrad, 
msg =  383, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7662 ms, ax =  0.6126, ay = -0.1079, az =  9.9111, gx = -0.0063 rad/s, gy =  0.0256 rad/s, gz =  0.0531 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2362 A, I_w_roll =  1.8254 A, theta_pitch = -58.40178mrad, theta_roll_comp = -29.8841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  384, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7682 ms, ax =  0.5934, ay = -0.1426, az =  9.8536, gx = -0.0147 rad/s, gy =  0.0160 rad/s, gz =  0.0332 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.5666 A, I_w_roll = -1.0819 A, theta_pitch = -58.04804mrad, theta_roll_comp = -29.8121 mrad, theta_setpoint = -40.0000 mrad, 
msg =  385, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7702 ms, ax =  0.5526, ay = -0.0036, az =  9.9159, gx = -0.0155 rad/s, gy =  0.0075 rad/s, gz =  0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8733 A, I_w_roll = -1.3172 A, theta_pitch = -57.82008mrad, theta_roll_comp = -29.7013 mrad, theta_setpoint = -40.0000 mrad, 
msg =  386, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7722 ms, ax =  0.4867, ay = -0.0312, az =  9.9339, gx = -0.0175 rad/s, gy =  0.0014 rad/s, gz = -0.0285 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0893 A, I_w_roll = -1.9165 A, theta_pitch = -57.62687mrad, theta_roll_comp = -29.4520 mrad, theta_setpoint = -40.0000 mrad, 
msg =  387, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7742 ms, ax =  0.4375, ay = -0.0300, az =  9.9579, gx = -0.0302 rad/s, gy = -0.0036 rad/s, gz = -0.0583 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2576 A, I_w_roll = -6.3215 A, theta_pitch = -57.43495mrad, theta_roll_comp = -29.3959 mrad, theta_setpoint = -40.0000 mrad, 
msg =  388, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7762 ms, ax =  0.3752, ay = -0.0240, az =  9.9315, gx = -0.0336 rad/s, gy = -0.0062 rad/s, gz = -0.0937 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.3282 A, I_w_roll = -7.5730 A, theta_pitch = -57.19508mrad, theta_roll_comp = -29.4955 mrad, theta_setpoint = -40.0000 mrad, 
msg =  389, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7782 ms, ax =  0.3177, ay = -0.1175, az =  9.9902, gx = -0.0403 rad/s, gy = -0.0064 rad/s, gz = -0.1188 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.2855 A, I_w_roll = -10.0081 A, theta_pitch = -56.87486mrad, theta_roll_comp = -29.7578 mrad, theta_setpoint = -40.0000 mrad, 
msg =  390, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7802 ms, ax =  0.3105, ay = -0.1738, az = 10.0394, gx = -0.0478 rad/s, gy = -0.0056 rad/s, gz = -0.1278 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.1943 A, I_w_roll = -12.8457 A, theta_pitch = -56.47997mrad, theta_roll_comp = -30.3272 mrad, theta_setpoint = -40.0000 mrad, 
msg =  391, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7822 ms, ax =  0.3368, ay = -0.2326, az = 10.0154, gx = -0.0496 rad/s, gy = -0.0032 rad/s, gz = -0.1176 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  7.0395 A, I_w_roll = -13.8105 A, theta_pitch = -56.08759mrad, theta_roll_comp = -31.1080 mrad, theta_setpoint = -40.0000 mrad, 
msg =  392, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7842 ms, ax =  0.3800, ay = -0.3572, az =  9.9615, gx = -0.0539 rad/s, gy =  0.0004 rad/s, gz = -0.0896 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8391 A, I_w_roll = -15.7087 A, theta_pitch = -55.70994mrad, theta_roll_comp = -32.1253 mrad, theta_setpoint = -40.0000 mrad, 
msg =  393, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7862 ms, ax =  0.4507, ay = -0.4351, az =  9.9555, gx = -0.0560 rad/s, gy =  0.0031 rad/s, gz = -0.0575 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.6856 A, I_w_roll = -16.9593 A, theta_pitch = -55.39676mrad, theta_roll_comp = -33.3877 mrad, theta_setpoint = -40.0000 mrad, 
msg =  394, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7882 ms, ax =  0.4867, ay = -0.4975, az =  9.9147, gx = -0.0545 rad/s, gy =  0.0044 rad/s, gz = -0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.5967 A, I_w_roll = -16.9982 A, theta_pitch = -55.15939mrad, theta_roll_comp = -34.7665 mrad, theta_setpoint = -40.0000 mrad, 
msg =  395, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7902 ms, ax =  0.5382, ay = -0.5526, az =  9.9399, gx = -0.0531 rad/s, gy =  0.0050 rad/s, gz =  0.0134 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.5518 A, I_w_roll = -17.0597 A, theta_pitch = -55.00208mrad, theta_roll_comp = -36.2018 mrad, theta_setpoint = -40.0000 mrad, 
msg =  396, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7922 ms, ax =  0.6090, ay = -0.6018, az =  9.9626, gx = -0.0487 rad/s, gy =  0.0059 rad/s, gz =  0.0324 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.5072 A, I_w_roll = -16.0968 A, theta_pitch = -54.95334mrad, theta_roll_comp = -37.6393 mrad, theta_setpoint = -40.0000 mrad, 
msg =  397, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7942 ms, ax =  0.6629, ay = -0.6701, az =  9.9039, gx = -0.0399 rad/s, gy =  0.0078 rad/s, gz =  0.0318 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.4412 A, I_w_roll = -13.5794 A, theta_pitch = -55.01009mrad, theta_roll_comp = -39.0356 mrad, theta_setpoint = -40.0000 mrad, 
msg =  398, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7962 ms, ax =  0.6929, ay = -0.7096, az =  9.9111, gx = -0.0308 rad/s, gy =  0.0120 rad/s, gz =  0.0122 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.2814 A, I_w_roll = -10.9316 A, theta_pitch = -55.08106mrad, theta_roll_comp = -40.3386 mrad, theta_setpoint = -40.0000 mrad, 
msg =  399, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     7982 ms, ax =  0.6941, ay = -0.7312, az =  9.9818, gx = -0.0193 rad/s, gy =  0.0168 rad/s, gz = -0.0148 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.0899 A, I_w_roll = -7.3233 A, theta_pitch = -55.08252mrad, theta_roll_comp = -41.4544 mrad, theta_setpoint = -40.0000 mrad, 
msg =  400, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     8002 ms, ax =  0.6773, ay = -0.7348, az =  9.9842, gx = -0.0081 rad/s, gy =  0.0217 rad/s, gz = -0.0385 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8759 A, I_w_roll = -3.7627 A, theta_pitch = -54.96995mrad, theta_roll_comp = -42.3397 mrad, theta_setpoint = -40.0000 mrad, 
msg =  401, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = off, t =     8022 ms, ax =  0.6581, ay = -0.7888, az =  9.9435, gx =  0.0006 rad/s, gy =  0.0280 rad/s, gz = -0.0422 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.5849 A, I_w_roll = -1.0293 A, theta_pitch = -54.69870mrad, theta_roll_comp = -43.0792 mrad, theta_setpoint = -40.0000 mrad, 
