picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   81, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     4294 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -548.9564 A, I_w_roll = 2995.3262 A, theta_pitch = 2697.66602mrad, theta_roll_comp = 4274.5469 mrad, theta_setpoint = -40.0000 mrad, 
msg =  138, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7253 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.3952 A, I_w_roll = 3047.8828 A, theta_pitch = 2780.59131mrad, theta_roll_comp = 4405.9385 mrad, theta_setpoint = -40.0000 mrad, 
msg =  139, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7305 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.4277 A, I_w_roll = 3048.0205 A, theta_pitch = 2780.80786mrad, theta_roll_comp = 4406.2827 mrad, theta_setpoint = -40.0000 mrad, 
msg =  140, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7357 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.4586 A, I_w_roll = 3048.1504 A, theta_pitch = 2781.01318mrad, theta_roll_comp = 4406.6069 mrad, theta_setpoint = -40.0000 mrad, 
msg =  141, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7409 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.4878 A, I_w_roll = 3048.2739 A, theta_pitch = 2781.20825mrad, theta_roll_comp = 4406.9165 mrad, theta_setpoint = -40.0000 mrad, 
msg =  142, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7461 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5154 A, I_w_roll = 3048.3909 A, theta_pitch = 2781.39282mrad, theta_roll_comp = 4407.2090 mrad, theta_setpoint = -40.0000 mrad, 
msg =  143, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7513 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5417 A, I_w_roll = 3048.5022 A, theta_pitch = 2781.56787mrad, theta_roll_comp = 4407.4873 mrad, theta_setpoint = -40.0000 mrad, 
msg =  144, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7565 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5667 A, I_w_roll = 3048.6074 A, theta_pitch = 2781.73389mrad, theta_roll_comp = 4407.7505 mrad, theta_setpoint = -40.0000 mrad, 
msg =  145, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7617 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.5903 A, I_w_roll = 3048.7075 A, theta_pitch = 2781.89185mrad, theta_roll_comp = 4408.0005 mrad, theta_setpoint = -40.0000 mrad, 
msg =  146, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7669 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6127 A, I_w_roll = 3048.8013 A, theta_pitch = 2782.04077mrad, theta_roll_comp = 4408.2349 mrad, theta_setpoint = -40.0000 mrad, 
msg =  147, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7721 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6339 A, I_w_roll = 3048.8916 A, theta_pitch = 2782.18237mrad, theta_roll_comp = 4408.4604 mrad, theta_setpoint = -40.0000 mrad, 
msg =  148, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7773 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6541 A, I_w_roll = 3048.9766 A, theta_pitch = 2782.31689mrad, theta_roll_comp = 4408.6724 mrad, theta_setpoint = -40.0000 mrad, 
msg =  149, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7824 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6732 A, I_w_roll = 3049.0574 A, theta_pitch = 2782.44409mrad, theta_roll_comp = 4408.8745 mrad, theta_setpoint = -40.0000 mrad, 
msg =  150, nerr =    0p/   0r, time steps =    5, qsz = 1021, switch = off, t =     7876 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.6913 A, I_w_roll = 3049.1331 A, theta_pitch = 2782.56494mrad, theta_roll_comp = 4409.0645 mrad, theta_setpoint = -40.0000 mrad, 
msg =  151, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     7928 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.7084 A, I_w_roll = 3049.2061 A, theta_pitch = 2782.67896mrad, theta_roll_comp = 4409.2466 mrad, theta_setpoint = -40.0000 mrad, 
msg =  152, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     7980 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.7247 A, I_w_roll = 3049.2744 A, theta_pitch = 2782.78735mrad, theta_roll_comp = 4409.4175 mrad, theta_setpoint = -40.0000 mrad, 
msg =  153, nerr =    0p/   0r, time steps =    6, qsz = 1022, switch = off, t =     8032 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.7401 A, I_w_roll = 3049.3396 A, theta_pitch = 2782.89014mrad, theta_roll_comp = 4409.5806 mrad, theta_setpoint = -40.0000 mrad, 
msg =  154, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =     8084 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.7548 A, I_w_roll = 3049.4009 A, theta_pitch = 2782.98804mrad, theta_roll_comp = 4409.7344 mrad, theta_setpoint = -40.0000 mrad, 
msg =  155, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =     8136 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.7686 A, I_w_roll = 3049.4592 A, theta_pitch = 2783.07983mrad, theta_roll_comp = 4409.8799 mrad, theta_setpoint = -40.0000 mrad, 
msg =  156, nerr =    0p/   0r, time steps =    6, qsz = 1022, switch = off, t =     8290 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.7939 A, I_w_roll = 3049.5664 A, theta_pitch = 2783.24902mrad, theta_roll_comp = 4410.1470 mrad, theta_setpoint = -40.0000 mrad, 
msg =  157, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =     8393 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8279 A, I_w_roll = 3049.7097 A, theta_pitch = 2783.47534mrad, theta_roll_comp = 4410.5063 mrad, theta_setpoint = -40.0000 mrad, 
msg =  158, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =     8445 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8380 A, I_w_roll = 3049.7524 A, theta_pitch = 2783.54297mrad, theta_roll_comp = 4410.6133 mrad, theta_setpoint = -40.0000 mrad, 
msg =  159, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =     8496 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8475 A, I_w_roll = 3049.7927 A, theta_pitch = 2783.60596mrad, theta_roll_comp = 4410.7134 mrad, theta_setpoint = -40.0000 mrad, 
msg =  160, nerr =    0p/   0r, time steps =    5, qsz = 1021, switch = off, t =     8548 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8566 A, I_w_roll = 3049.8313 A, theta_pitch = 2783.66650mrad, theta_roll_comp = 4410.8101 mrad, theta_setpoint = -40.0000 mrad, 
msg =  161, nerr =    0p/   0r, time steps =   12, qsz = 1022, switch = off, t =     8702 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8806 A, I_w_roll = 3049.9336 A, theta_pitch = 2783.82715mrad, theta_roll_comp = 4411.0654 mrad, theta_setpoint = -40.0000 mrad, 
msg =  162, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =     8754 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8880 A, I_w_roll = 3049.9646 A, theta_pitch = 2783.87646mrad, theta_roll_comp = 4411.1431 mrad, theta_setpoint = -40.0000 mrad, 
msg =  163, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =     8806 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.8949 A, I_w_roll = 3049.9939 A, theta_pitch = 2783.92212mrad, theta_roll_comp = 4411.2163 mrad, theta_setpoint = -40.0000 mrad, 
msg =  164, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =     8909 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9076 A, I_w_roll = 3050.0476 A, theta_pitch = 2784.00684mrad, theta_roll_comp = 4411.3506 mrad, theta_setpoint = -40.0000 mrad, 
msg =  165, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =     8961 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9135 A, I_w_roll = 3050.0730 A, theta_pitch = 2784.04614mrad, theta_roll_comp = 4411.4136 mrad, theta_setpoint = -40.0000 mrad, 
msg =  166, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =     9064 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9243 A, I_w_roll = 3050.1187 A, theta_pitch = 2784.11841mrad, theta_roll_comp = 4411.5283 mrad, theta_setpoint = -40.0000 mrad, 
msg =  167, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =     9116 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9294 A, I_w_roll = 3050.1401 A, theta_pitch = 2784.15259mrad, theta_roll_comp = 4411.5815 mrad, theta_setpoint = -40.0000 mrad, 
msg =  168, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =     9168 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9341 A, I_w_roll = 3050.1602 A, theta_pitch = 2784.18433mrad, theta_roll_comp = 4411.6318 mrad, theta_setpoint = -40.0000 mrad, 
msg =  169, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =     9219 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9387 A, I_w_roll = 3050.1797 A, theta_pitch = 2784.21484mrad, theta_roll_comp = 4411.6812 mrad, theta_setpoint = -40.0000 mrad, 
msg =  170, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =     9271 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9430 A, I_w_roll = 3050.1980 A, theta_pitch = 2784.24292mrad, theta_roll_comp = 4411.7266 mrad, theta_setpoint = -40.0000 mrad, 
msg =  171, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =     9323 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9472 A, I_w_roll = 3050.2153 A, theta_pitch = 2784.27100mrad, theta_roll_comp = 4411.7705 mrad, theta_setpoint = -40.0000 mrad, 
msg =  172, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =     9375 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9510 A, I_w_roll = 3050.2319 A, theta_pitch = 2784.29663mrad, theta_roll_comp = 4411.8115 mrad, theta_setpoint = -40.0000 mrad, 
msg =  173, nerr =    0p/   0r, time steps =    2, qsz = 1022, switch = off, t =     9427 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9547 A, I_w_roll = 3050.2476 A, theta_pitch = 2784.32056mrad, theta_roll_comp = 4411.8501 mrad, theta_setpoint = -40.0000 mrad, 
msg =  174, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =     9530 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9614 A, I_w_roll = 3050.2759 A, theta_pitch = 2784.36548mrad, theta_roll_comp = 4411.9209 mrad, theta_setpoint = -40.0000 mrad, 
msg =  175, nerr =    0p/   0r, time steps =    3, qsz = 1022, switch = off, t =     9582 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9645 A, I_w_roll = 3050.2893 A, theta_pitch = 2784.38647mrad, theta_roll_comp = 4411.9551 mrad, theta_setpoint = -40.0000 mrad, 
msg =  176, nerr =    0p/   0r, time steps =    9, qsz = 1022, switch = off, t =     9736 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9731 A, I_w_roll = 3050.3252 A, theta_pitch = 2784.44385mrad, theta_roll_comp = 4412.0444 mrad, theta_setpoint = -40.0000 mrad, 
msg =  177, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =     9788 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9756 A, I_w_roll = 3050.3359 A, theta_pitch = 2784.46069mrad, theta_roll_comp = 4412.0718 mrad, theta_setpoint = -40.0000 mrad, 
msg =  178, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =     9840 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9781 A, I_w_roll = 3050.3462 A, theta_pitch = 2784.47681mrad, theta_roll_comp = 4412.0972 mrad, theta_setpoint = -40.0000 mrad, 
msg =  179, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =     9891 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9803 A, I_w_roll = 3050.3560 A, theta_pitch = 2784.49170mrad, theta_roll_comp = 4412.1211 mrad, theta_setpoint = -40.0000 mrad, 
msg =  180, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =     9943 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9824 A, I_w_roll = 3050.3650 A, theta_pitch = 2784.50586mrad, theta_roll_comp = 4412.1440 mrad, theta_setpoint = -40.0000 mrad, 
msg =  181, nerr =    0p/   0r, time steps =    8, qsz = 1022, switch = off, t =    10046 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9863 A, I_w_roll = 3050.3813 A, theta_pitch = 2784.53174mrad, theta_roll_comp = 4412.1851 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, nerr =    0p/   0r, time steps =    7, qsz = 1022, switch = off, t =    10149 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9899 A, I_w_roll = 3050.3967 A, theta_pitch = 2784.55542mrad, theta_roll_comp = 4412.2231 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =    10201 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9916 A, I_w_roll = 3050.4041 A, theta_pitch = 2784.56689mrad, theta_roll_comp = 4412.2417 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, nerr =    0p/   0r, time steps =    3, qsz = 1022, switch = off, t =    10253 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9930 A, I_w_roll = 3050.4106 A, theta_pitch = 2784.57690mrad, theta_roll_comp = 4412.2583 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, nerr =    0p/   0r, time steps =   13, qsz = 1020, switch = off, t =    10458 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9987 A, I_w_roll = 3050.4341 A, theta_pitch = 2784.61426mrad, theta_roll_comp = 4412.3164 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    10510 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -561.9999 A, I_w_roll = 3050.4392 A, theta_pitch = 2784.62207mrad, theta_roll_comp = 4412.3291 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    10561 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0010 A, I_w_roll = 3050.4438 A, theta_pitch = 2784.63013mrad, theta_roll_comp = 4412.3408 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, nerr =    0p/   0r, time steps =    5, qsz = 1022, switch = off, t =    10613 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0021 A, I_w_roll = 3050.4482 A, theta_pitch = 2784.63721mrad, theta_roll_comp = 4412.3521 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, nerr =    0p/   0r, time steps =    4, qsz = 1020, switch = off, t =    10665 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0031 A, I_w_roll = 3050.4521 A, theta_pitch = 2784.64380mrad, theta_roll_comp = 4412.3623 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, nerr =    0p/   0r, time steps =   12, qsz = 1022, switch = off, t =    10769 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0049 A, I_w_roll = 3050.4595 A, theta_pitch = 2784.65527mrad, theta_roll_comp = 4412.3809 mrad, theta_setpoint = -40.0000 mrad, 
msg =  191, nerr =    0p/   0r, time steps =    6, qsz = 1020, switch = off, t =    10821 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0057 A, I_w_roll = 3050.4636 A, theta_pitch = 2784.66138mrad, theta_roll_comp = 4412.3901 mrad, theta_setpoint = -40.0000 mrad, 
msg =  192, nerr =    0p/   0r, time steps =    3, qsz = 1022, switch = off, t =    10873 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0065 A, I_w_roll = 3050.4673 A, theta_pitch = 2784.66650mrad, theta_roll_comp = 4412.3994 mrad, theta_setpoint = -40.0000 mrad, 
msg =  193, nerr =    0p/   0r, time steps =    5, qsz = 1020, switch = off, t =    10976 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0074 A, I_w_roll = 3050.4702 A, theta_pitch = 2784.67236mrad, theta_roll_comp = 4412.4067 mrad, theta_setpoint = -40.0000 mrad, 
msg =  194, nerr =    0p/   0r, time steps =    7, qsz = 1020, switch = off, t =    11028 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0088 A, I_w_roll = 3050.4763 A, theta_pitch = 2784.68164mrad, theta_roll_comp = 4412.4229 mrad, theta_setpoint = -40.0000 mrad, 
msg =  195, nerr =    0p/   0r, time steps =    4, qsz = 1022, switch = off, t =    11080 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -562.0094 A, I_w_roll = 3050.4790 A, theta_pitch = 2784.68579mrad, theta_roll_comp = 4412.4292 mrad, theta_setpoint = -40.0000 mrad, 
