picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 1226, nerr =    4p/  18r, time steps =   10, qsz =    2, switch = on, t =    24522 ms, ax =  0.0995, ay = -0.2517, az =  9.9567, gx = -0.0115 rad/s, gy =  0.0629 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = 89.8062, I_w_pitch = -1.7833 A, I_w_roll =  0.6926 A, theta_pitch = -14.88018mrad, theta_roll_comp = -33.8120 mrad, theta_setpoint = -45.6398 mrad, 
msg = 1885, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37702 ms, ax =  0.1307, ay = -0.3320, az =  9.9075, gx = -0.0042 rad/s, gy = -0.0571 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = 43.5829, I_w_pitch =  1.7299 A, I_w_roll = -0.1572 A, theta_pitch = -6.30920mrad, theta_roll_comp = -39.4417 mrad, theta_setpoint = -42.7370 mrad, 
msg = 1886, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37722 ms, ax =  0.0935, ay = -0.3524, az =  9.9255, gx = -0.0024 rad/s, gy = -0.0676 rad/s, gz = -0.0109 rad/s, rpm_pitch =  0.0000, rpm_roll = 43.5829, I_w_pitch =  2.3537 A, I_w_roll =  0.5109 A, theta_pitch = -7.66289mrad, theta_roll_comp = -39.4025 mrad, theta_setpoint = -42.7370 mrad, 
msg = 1887, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37742 ms, ax =  0.0240, ay = -0.3476, az =  9.9555, gx =  0.0011 rad/s, gy = -0.0688 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = 44.1845, I_w_pitch =  2.5962 A, I_w_roll =  1.7487 A, theta_pitch = -8.95993mrad, theta_roll_comp = -39.3750 mrad, theta_setpoint = -42.7748 mrad, 
msg = 1888, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37762 ms, ax = -0.0432, ay = -0.3704, az = 10.0070, gx = -0.0030 rad/s, gy = -0.0617 rad/s, gz = -0.0194 rad/s, rpm_pitch =  0.0000, rpm_roll = 44.1845, I_w_pitch =  2.4748 A, I_w_roll =  0.3148 A, theta_pitch = -10.03255mrad, theta_roll_comp = -39.3480 mrad, theta_setpoint = -42.7748 mrad, 
msg = 1889, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37782 ms, ax = -0.0084, ay = -0.3261, az = 10.0454, gx =  0.0014 rad/s, gy = -0.0514 rad/s, gz = -0.0230 rad/s, rpm_pitch =  0.0000, rpm_roll = 44.3182, I_w_pitch =  2.1882 A, I_w_roll =  1.8908 A, theta_pitch = -10.89127mrad, theta_roll_comp = -39.2612 mrad, theta_setpoint = -42.7832 mrad, 
msg = 1890, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37802 ms, ax = -0.0491, ay = -0.3728, az =  9.9830, gx =  0.0020 rad/s, gy = -0.0383 rad/s, gz = -0.0201 rad/s, rpm_pitch =  0.0000, rpm_roll = 45.5548, I_w_pitch =  1.7540 A, I_w_roll =  2.1814 A, theta_pitch = -11.47669mrad, theta_roll_comp = -39.1950 mrad, theta_setpoint = -42.8608 mrad, 
msg = 1891, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37822 ms, ax = -0.0659, ay = -0.3297, az =  9.9686, gx = -0.0042 rad/s, gy = -0.0227 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = 45.5548, I_w_pitch =  1.1702 A, I_w_roll = -0.0017 A, theta_pitch = -11.73921mrad, theta_roll_comp = -39.1767 mrad, theta_setpoint = -42.8608 mrad, 
msg = 1892, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37842 ms, ax = -0.0887, ay = -0.3153, az =  9.9842, gx = -0.0014 rad/s, gy = -0.0078 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = 46.2901, I_w_pitch =  0.5565 A, I_w_roll =  1.0142 A, theta_pitch = -11.62447mrad, theta_roll_comp = -39.1299 mrad, theta_setpoint = -42.9070 mrad, 
msg = 1893, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37862 ms, ax = -0.0611, ay = -0.3476, az =  9.9686, gx =  0.0004 rad/s, gy =  0.0060 rad/s, gz = -0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll = 46.4238, I_w_pitch = -0.0558 A, I_w_roll =  1.6592 A, theta_pitch = -11.23503mrad, theta_roll_comp = -39.1569 mrad, theta_setpoint = -42.9154 mrad, 
msg = 1894, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37882 ms, ax = -0.0204, ay = -0.3416, az =  9.9686, gx = -0.0055 rad/s, gy =  0.0177 rad/s, gz =  0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = 46.4238, I_w_pitch = -0.6047 A, I_w_roll = -0.4434 A, theta_pitch = -10.70046mrad, theta_roll_comp = -39.1704 mrad, theta_setpoint = -42.9154 mrad, 
msg = 1895, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37902 ms, ax =  0.0216, ay = -0.3344, az =  9.9686, gx = -0.0029 rad/s, gy =  0.0235 rad/s, gz =  0.0039 rad/s, rpm_pitch =  0.0000, rpm_roll = 47.0922, I_w_pitch = -0.9269 A, I_w_roll =  0.4970 A, theta_pitch = -10.07967mrad, theta_roll_comp = -39.1917 mrad, theta_setpoint = -42.9574 mrad, 
msg = 1896, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37922 ms, ax =  0.0420, ay = -0.3536, az =  9.9447, gx =  0.0000 rad/s, gy =  0.0260 rad/s, gz =  0.0001 rad/s, rpm_pitch =  0.0000, rpm_roll = 47.0922, I_w_pitch = -1.1236 A, I_w_roll =  1.5256 A, theta_pitch = -9.44278mrad, theta_roll_comp = -39.1835 mrad, theta_setpoint = -42.9574 mrad, 
msg = 1897, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37942 ms, ax =  0.0503, ay = -0.3596, az =  9.9387, gx = -0.0043 rad/s, gy =  0.0243 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = 47.4933, I_w_pitch = -1.1414 A, I_w_roll = -0.0158 A, theta_pitch = -8.86278mrad, theta_roll_comp = -39.2173 mrad, theta_setpoint = -42.9826 mrad, 
msg = 1898, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37962 ms, ax =  0.0731, ay = -0.3356, az =  9.9579, gx = -0.0021 rad/s, gy =  0.0188 rad/s, gz = -0.0117 rad/s, rpm_pitch =  0.0000, rpm_roll = 48.5294, I_w_pitch = -0.9927 A, I_w_roll =  0.8145 A, theta_pitch = -8.39805mrad, theta_roll_comp = -39.1873 mrad, theta_setpoint = -43.0476 mrad, 
msg = 1899, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    37982 ms, ax =  0.0719, ay = -0.3776, az =  9.9243, gx =  0.0020 rad/s, gy =  0.0118 rad/s, gz = -0.0184 rad/s, rpm_pitch =  0.0000, rpm_roll = 48.5294, I_w_pitch = -0.7582 A, I_w_roll =  2.2709 A, theta_pitch = -8.07967mrad, theta_roll_comp = -39.1581 mrad, theta_setpoint = -43.0476 mrad, 
msg = 1900, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38002 ms, ax =  0.0647, ay = -0.3836, az =  9.9219, gx = -0.0029 rad/s, gy =  0.0047 rad/s, gz = -0.0213 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.2313, I_w_pitch = -0.5011 A, I_w_roll =  0.5750 A, theta_pitch = -7.91164mrad, theta_roll_comp = -39.1310 mrad, theta_setpoint = -43.0917 mrad, 
msg = 1901, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38022 ms, ax =  0.0719, ay = -0.3344, az =  9.9471, gx = -0.0018 rad/s, gy = -0.0009 rad/s, gz = -0.0226 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.2313, I_w_pitch = -0.2835 A, I_w_roll =  0.9535 A, theta_pitch = -7.87098mrad, theta_roll_comp = -39.1168 mrad, theta_setpoint = -43.0917 mrad, 
msg = 1902, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38042 ms, ax =  0.0491, ay = -0.3464, az =  9.9375, gx =  0.0010 rad/s, gy = -0.0036 rad/s, gz = -0.0202 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.4652, I_w_pitch = -0.1776 A, I_w_roll =  1.9531 A, theta_pitch = -7.86685mrad, theta_roll_comp = -39.0791 mrad, theta_setpoint = -43.1064 mrad, 
msg = 1903, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38062 ms, ax =  0.0216, ay = -0.3536, az =  9.9315, gx = -0.0029 rad/s, gy = -0.0032 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.2981, I_w_pitch = -0.1958 A, I_w_roll =  0.5891 A, theta_pitch = -7.85215mrad, theta_roll_comp = -39.1000 mrad, theta_setpoint = -43.0959 mrad, 
msg = 1904, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38082 ms, ax =  0.0192, ay = -0.3297, az =  9.9591, gx = -0.0022 rad/s, gy = -0.0012 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.2981, I_w_pitch = -0.2861 A, I_w_roll =  0.8357 A, theta_pitch = -7.78245mrad, theta_roll_comp = -39.0660 mrad, theta_setpoint = -43.0959 mrad, 
msg = 1905, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38102 ms, ax =  0.0084, ay = -0.3404, az =  9.9495, gx =  0.0003 rad/s, gy =  0.0018 rad/s, gz = -0.0067 rad/s, rpm_pitch =  0.0000, rpm_roll = 50.3342, I_w_pitch = -0.4245 A, I_w_roll =  1.7498 A, theta_pitch = -7.64138mrad, theta_roll_comp = -39.0596 mrad, theta_setpoint = -43.1610 mrad, 
msg = 1906, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38122 ms, ax =  0.0012, ay = -0.3980, az =  9.9243, gx = -0.0037 rad/s, gy =  0.0064 rad/s, gz = -0.0036 rad/s, rpm_pitch =  0.0000, rpm_roll = 50.3342, I_w_pitch = -0.6441 A, I_w_roll =  0.3384 A, theta_pitch = -7.41956mrad, theta_roll_comp = -39.0927 mrad, theta_setpoint = -43.1610 mrad, 
msg = 1907, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38142 ms, ax =  0.0156, ay = -0.3368, az =  9.9399, gx = -0.0018 rad/s, gy =  0.0094 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = 51.0695, I_w_pitch = -0.8040 A, I_w_roll =  1.0006 A, theta_pitch = -7.13489mrad, theta_roll_comp = -39.1145 mrad, theta_setpoint = -43.2072 mrad, 
msg = 1908, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38162 ms, ax =  0.0300, ay = -0.4028, az =  9.9255, gx = -0.0008 rad/s, gy =  0.0116 rad/s, gz = -0.0060 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.1056, I_w_pitch = -0.9423 A, I_w_roll =  1.3972 A, theta_pitch = -6.81654mrad, theta_roll_comp = -39.1201 mrad, theta_setpoint = -43.2722 mrad, 
msg = 1909, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38182 ms, ax =  0.0503, ay = -0.3812, az =  9.9243, gx = -0.0039 rad/s, gy =  0.0104 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.1056, I_w_pitch = -0.9358 A, I_w_roll =  0.2596 A, theta_pitch = -6.54037mrad, theta_roll_comp = -39.1678 mrad, theta_setpoint = -43.2722 mrad, 
msg = 1910, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38202 ms, ax =  0.0324, ay = -0.3704, az =  9.9435, gx = -0.0018 rad/s, gy =  0.0080 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.7406, I_w_pitch = -0.8721 A, I_w_roll =  1.0135 A, theta_pitch = -6.32629mrad, theta_roll_comp = -39.1872 mrad, theta_setpoint = -43.3121 mrad, 
msg = 1911, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38222 ms, ax =  0.0551, ay = -0.3824, az =  9.9339, gx = -0.0001 rad/s, gy =  0.0046 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.9746, I_w_pitch = -0.7555 A, I_w_roll =  1.6370 A, theta_pitch = -6.17999mrad, theta_roll_comp = -39.1579 mrad, theta_setpoint = -43.3268 mrad, 
msg = 1912, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38242 ms, ax =  0.0635, ay = -0.4028, az =  9.9327, gx = -0.0041 rad/s, gy =  0.0023 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = 52.9746, I_w_pitch = -0.6788 A, I_w_roll =  0.2207 A, theta_pitch = -6.08809mrad, theta_roll_comp = -39.2032 mrad, theta_setpoint = -43.3268 mrad, 
msg = 1913, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38262 ms, ax =  0.0300, ay = -0.3536, az =  9.9638, gx = -0.0025 rad/s, gy = -0.0001 rad/s, gz = -0.0178 rad/s, rpm_pitch =  0.0000, rpm_roll = 53.9104, I_w_pitch = -0.5924 A, I_w_roll =  0.8135 A, theta_pitch = -6.02447mrad, theta_roll_comp = -39.1781 mrad, theta_setpoint = -43.3856 mrad, 
msg = 1914, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38282 ms, ax =  0.0420, ay = -0.3524, az =  9.9507, gx = -0.0022 rad/s, gy = -0.0009 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.0000, rpm_roll = 53.9104, I_w_pitch = -0.5672 A, I_w_roll =  0.9074 A, theta_pitch = -5.97952mrad, theta_roll_comp = -39.1763 mrad, theta_setpoint = -43.3856 mrad, 
msg = 1915, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38302 ms, ax =  0.0324, ay = -0.3524, az =  9.9603, gx = -0.0047 rad/s, gy = -0.0009 rad/s, gz = -0.0152 rad/s, rpm_pitch =  0.0000, rpm_roll = 54.5789, I_w_pitch = -0.5710 A, I_w_roll =  0.0419 A, theta_pitch = -5.95447mrad, theta_roll_comp = -39.1685 mrad, theta_setpoint = -43.4276 mrad, 
msg = 1916, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38322 ms, ax =  0.0156, ay = -0.2877, az =  9.9579, gx =  0.0022 rad/s, gy = -0.0016 rad/s, gz = -0.0133 rad/s, rpm_pitch =  0.0000, rpm_roll = 54.4118, I_w_pitch = -0.5546 A, I_w_roll =  2.4619 A, theta_pitch = -5.88630mrad, theta_roll_comp = -39.1665 mrad, theta_setpoint = -43.4171 mrad, 
msg = 1917, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38342 ms, ax =  0.0216, ay = -0.3632, az =  9.9626, gx = -0.0045 rad/s, gy =  0.0004 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = 54.4118, I_w_pitch = -0.6438 A, I_w_roll =  0.1638 A, theta_pitch = -5.82388mrad, theta_roll_comp = -39.0863 mrad, theta_setpoint = -43.4171 mrad, 
msg = 1918, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38362 ms, ax =  0.0372, ay = -0.3824, az =  9.9902, gx = -0.0010 rad/s, gy = -0.0005 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = 55.5481, I_w_pitch = -0.6155 A, I_w_roll =  1.4090 A, theta_pitch = -5.76414mrad, theta_roll_comp = -39.0737 mrad, theta_setpoint = -43.4884 mrad, 
msg = 1919, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38382 ms, ax =  0.0539, ay = -0.4627, az =  9.8979, gx = -0.0002 rad/s, gy = -0.0016 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = 55.5481, I_w_pitch = -0.5758 A, I_w_roll =  1.6680 A, theta_pitch = -5.74446mrad, theta_roll_comp = -39.1253 mrad, theta_setpoint = -43.4884 mrad, 
msg = 1920, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38402 ms, ax =  0.0228, ay = -0.4375, az =  9.8775, gx = -0.0097 rad/s, gy = -0.0009 rad/s, gz = -0.0064 rad/s, rpm_pitch = -4.8908, rpm_roll = 56.0495, I_w_pitch = -7.0518 A, I_w_roll = -1.6484 A, theta_pitch = -5.74884mrad, theta_roll_comp = -39.1757 mrad, theta_setpoint = -43.5199 mrad, 
msg = 1921, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38422 ms, ax =  0.0120, ay = -0.3428, az =  9.9339, gx = -0.0073 rad/s, gy = -0.0026 rad/s, gz = -0.0075 rad/s, rpm_pitch = -4.8908, rpm_roll = 56.1832, I_w_pitch = -6.9883 A, I_w_roll = -0.8533 A, theta_pitch = -5.71108mrad, theta_roll_comp = -39.2935 mrad, theta_setpoint = -43.5283 mrad, 
msg = 1922, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38442 ms, ax =  0.2385, ay = -0.3776, az =  9.8632, gx =  0.0022 rad/s, gy = -0.0191 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = 56.1832, I_w_pitch =  0.1746 A, I_w_roll =  2.4170 A, theta_pitch = -6.06072mrad, theta_roll_comp = -39.3899 mrad, theta_setpoint = -43.5283 mrad, 
msg = 1923, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38462 ms, ax =  0.3500, ay = -0.3069, az =  9.8068, gx = -0.0127 rad/s, gy = -0.0586 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = 56.6845, I_w_pitch =  1.9352 A, I_w_roll = -2.8273 A, theta_pitch = -7.28716mrad, theta_roll_comp = -39.4830 mrad, theta_setpoint = -43.5598 mrad, 
msg = 1924, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38482 ms, ax =  0.1415, ay = -0.2350, az =  9.9147, gx = -0.0186 rad/s, gy = -0.0982 rad/s, gz =  0.0011 rad/s, rpm_pitch =  0.0000, rpm_roll = 56.6845, I_w_pitch =  3.8106 A, I_w_roll = -4.8965 A, theta_pitch = -9.20861mrad, theta_roll_comp = -39.5296 mrad, theta_setpoint = -43.5598 mrad, 
msg = 1925, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38502 ms, ax =  0.2050, ay = -0.2326, az =  9.9686, gx = -0.0073 rad/s, gy = -0.1121 rad/s, gz = -0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = 57.2192, I_w_pitch =  4.7009 A, I_w_roll = -0.8566 A, theta_pitch = -11.45120mrad, theta_roll_comp = -39.3669 mrad, theta_setpoint = -43.5934 mrad, 
msg = 1926, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38522 ms, ax =  0.1139, ay = -0.2565, az =  9.9219, gx = -0.0186 rad/s, gy = -0.1072 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = 55.9826, I_w_pitch =  4.8419 A, I_w_roll = -4.8071 A, theta_pitch = -13.70526mrad, theta_roll_comp = -39.2621 mrad, theta_setpoint = -43.5157 mrad, 
msg = 1927, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38542 ms, ax =  0.0491, ay = -0.0779, az = 10.0262, gx = -0.0267 rad/s, gy = -0.0924 rad/s, gz = -0.0196 rad/s, rpm_pitch =  0.0000, rpm_roll = 55.9826, I_w_pitch =  4.5316 A, I_w_roll = -7.6149 A, theta_pitch = -15.57778mrad, theta_roll_comp = -39.1743 mrad, theta_setpoint = -43.5157 mrad, 
msg = 1928, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38562 ms, ax =  0.0048, ay = -0.0491, az = 10.0669, gx = -0.0206 rad/s, gy = -0.0713 rad/s, gz = -0.0344 rad/s, rpm_pitch =  0.0000, rpm_roll = 53.2420, I_w_pitch =  3.8907 A, I_w_roll = -5.5097 A, theta_pitch = -16.91504mrad, theta_roll_comp = -39.0989 mrad, theta_setpoint = -43.3436 mrad, 
msg = 1929, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38582 ms, ax = -0.0587, ay = -0.2038, az =  9.9854, gx = -0.0332 rad/s, gy = -0.0463 rad/s, gz = -0.0435 rad/s, rpm_pitch =  0.0000, rpm_roll = 53.2420, I_w_pitch =  3.0009 A, I_w_roll = -10.0305 A, theta_pitch = -17.65866mrad, theta_roll_comp = -39.3322 mrad, theta_setpoint = -43.3436 mrad, 
msg = 1930, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38602 ms, ax = -0.0420, ay = -0.2397, az = 10.0010, gx = -0.0399 rad/s, gy = -0.0225 rad/s, gz = -0.0477 rad/s, rpm_pitch = -5.1528, rpm_roll = 47.5936, I_w_pitch = -4.7176 A, I_w_roll = -12.7271 A, theta_pitch = -17.86199mrad, theta_roll_comp = -39.8936 mrad, theta_setpoint = -42.9889 mrad, 
msg = 1931, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38622 ms, ax = -0.0551, ay = -0.3380, az = 10.0154, gx = -0.0295 rad/s, gy = -0.0008 rad/s, gz = -0.0433 rad/s, rpm_pitch = -0.7860, rpm_roll = 43.4158, I_w_pitch =  0.1326 A, I_w_roll = -9.4775 A, theta_pitch = -17.59101mrad, theta_roll_comp = -40.5952 mrad, theta_setpoint = -42.7265 mrad, 
msg = 1932, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38642 ms, ax =  0.0731, ay = -0.6006, az =  9.9746, gx = -0.0304 rad/s, gy =  0.0094 rad/s, gz = -0.0284 rad/s, rpm_pitch = -0.7860, rpm_roll = 43.4158, I_w_pitch = -0.3379 A, I_w_roll = -10.1951 A, theta_pitch = -17.15334mrad, theta_roll_comp = -41.5735 mrad, theta_setpoint = -42.7265 mrad, 
msg = 1933, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38662 ms, ax = -0.1007, ay = -0.7300, az =  9.9830, gx = -0.0302 rad/s, gy =  0.0059 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = 32.6537, I_w_pitch =  0.7483 A, I_w_roll = -10.8162 A, theta_pitch = -16.56026mrad, theta_roll_comp = -42.6835 mrad, theta_setpoint = -42.0507 mrad, 
msg = 1934, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38682 ms, ax =  0.0611, ay = -0.7708, az =  9.9579, gx = -0.0173 rad/s, gy =  0.0036 rad/s, gz =  0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.7995, I_w_pitch =  0.7619 A, I_w_roll = -6.9044 A, theta_pitch = -16.04746mrad, theta_roll_comp = -43.7121 mrad, theta_setpoint = -41.5574 mrad, 
msg = 1935, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38702 ms, ax =  0.1031, ay = -0.8079, az =  9.9135, gx = -0.0158 rad/s, gy =  0.0059 rad/s, gz =  0.0222 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.7995, I_w_pitch =  0.6374 A, I_w_roll = -6.7426 A, theta_pitch = -15.82094mrad, theta_roll_comp = -44.5891 mrad, theta_setpoint = -41.5574 mrad, 
msg = 1936, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38722 ms, ax =  0.1115, ay = -0.7037, az =  9.9207, gx = -0.0123 rad/s, gy =  0.0080 rad/s, gz =  0.0222 rad/s, rpm_pitch =  0.0000, rpm_roll =  8.9906, I_w_pitch =  0.5180 A, I_w_roll = -6.1999 A, theta_pitch = -15.59314mrad, theta_roll_comp = -45.2690 mrad, theta_setpoint = -40.5646 mrad, 
msg = 1937, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38742 ms, ax =  0.0935, ay = -0.6317, az =  9.9387, gx =  0.0022 rad/s, gy =  0.0107 rad/s, gz =  0.0134 rad/s, rpm_pitch =  0.0000, rpm_roll =  8.9906, I_w_pitch =  0.3684 A, I_w_roll = -1.2566 A, theta_pitch = -15.30627mrad, theta_roll_comp = -45.6102 mrad, theta_setpoint = -40.5646 mrad, 
msg = 1938, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38762 ms, ax =  0.0767, ay = -0.6533, az =  9.9063, gx =  0.0040 rad/s, gy =  0.0141 rad/s, gz =  0.0016 rad/s, rpm_pitch =  0.0000, rpm_roll = -4.6123, I_w_pitch =  0.1736 A, I_w_roll = -1.0245 A, theta_pitch = -14.93068mrad, theta_roll_comp = -45.8070 mrad, theta_setpoint = -39.7103 mrad, 
msg = 1939, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38782 ms, ax =  0.0623, ay = -0.5574, az =  9.9411, gx =  0.0056 rad/s, gy =  0.0160 rad/s, gz = -0.0137 rad/s, rpm_pitch =  4.9345, rpm_roll = -10.3610, I_w_pitch =  6.5359 A, I_w_roll = -0.6257 A, theta_pitch = -14.45875mrad, theta_roll_comp = -45.8469 mrad, theta_setpoint = -39.3493 mrad, 
msg = 1940, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38802 ms, ax =  0.0623, ay = -0.4531, az =  9.9459, gx =  0.0123 rad/s, gy =  0.0163 rad/s, gz = -0.0241 rad/s, rpm_pitch =  4.9345, rpm_roll = -10.3610, I_w_pitch =  6.4526 A, I_w_roll =  1.7861 A, theta_pitch = -13.97458mrad, theta_roll_comp = -45.6430 mrad, theta_setpoint = -39.3493 mrad, 
msg = 1941, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38822 ms, ax = -0.0911, ay = -0.4831, az =  9.9375, gx =  0.0066 rad/s, gy =  0.0233 rad/s, gz = -0.0264 rad/s, rpm_pitch =  0.5677, rpm_roll = -17.8476, I_w_pitch =  0.3001 A, I_w_roll = -0.3180 A, theta_pitch = -13.23274mrad, theta_roll_comp = -45.4233 mrad, theta_setpoint = -38.8792 mrad, 
msg = 1942, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38842 ms, ax = -0.1319, ay = -0.3680, az = 10.0106, gx =  0.0091 rad/s, gy =  0.0464 rad/s, gz = -0.0286 rad/s, rpm_pitch =  0.5677, rpm_roll = -17.8476, I_w_pitch = -0.7970 A, I_w_roll =  0.6687 A, theta_pitch = -12.06152mrad, theta_roll_comp = -45.1701 mrad, theta_setpoint = -38.8792 mrad, 
msg = 1943, nerr =    4p/  22r, time steps =   10, qsz =    2, switch = on, t =    38862 ms, ax =  0.0216, ay = -0.3656, az = 10.0022, gx =  0.0150 rad/s, gy =  0.0706 rad/s, gz = -0.0254 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.2955, I_w_pitch = -2.7353 A, I_w_roll =  2.7221 A, theta_pitch = -10.59308mrad, theta_roll_comp = -44.8209 mrad, theta_setpoint = -38.5370 mrad, 
