picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    4, qsz =  116, switch = off, t =      153 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5000 A, I_w_roll = 16.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =   57, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3055 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -515.1241 A, I_w_roll = 2852.3706 A, theta_pitch = 2472.11719mrad, theta_roll_comp = 3917.1582 mrad, theta_setpoint = -40.0000 mrad, 
msg =   58, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3107 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -517.5518 A, I_w_roll = 2862.6279 A, theta_pitch = 2488.30151mrad, theta_roll_comp = 3942.8010 mrad, theta_setpoint = -40.0000 mrad, 
msg =   59, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3159 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -519.8651 A, I_w_roll = 2872.4033 A, theta_pitch = 2503.72339mrad, theta_roll_comp = 3967.2395 mrad, theta_setpoint = -40.0000 mrad, 
msg =   60, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3211 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -522.0475 A, I_w_roll = 2881.6248 A, theta_pitch = 2518.27295mrad, theta_roll_comp = 3990.2932 mrad, theta_setpoint = -40.0000 mrad, 
msg =   61, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3263 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -524.1268 A, I_w_roll = 2890.4106 A, theta_pitch = 2532.13525mrad, theta_roll_comp = 4012.2585 mrad, theta_setpoint = -40.0000 mrad, 
msg =   62, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3314 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -526.0887 A, I_w_roll = 2898.7007 A, theta_pitch = 2545.21411mrad, theta_roll_comp = 4032.9829 mrad, theta_setpoint = -40.0000 mrad, 
msg =   63, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3366 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -527.9583 A, I_w_roll = 2906.6011 A, theta_pitch = 2557.67871mrad, theta_roll_comp = 4052.7339 mrad, theta_setpoint = -40.0000 mrad, 
msg =   64, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3418 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -529.7220 A, I_w_roll = 2914.0527 A, theta_pitch = 2569.43628mrad, theta_roll_comp = 4071.3635 mrad, theta_setpoint = -40.0000 mrad, 
msg =   65, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3470 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -531.4022 A, I_w_roll = 2921.1526 A, theta_pitch = 2580.63794mrad, theta_roll_comp = 4089.1133 mrad, theta_setpoint = -40.0000 mrad, 
msg =   66, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3522 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -532.9876 A, I_w_roll = 2927.8506 A, theta_pitch = 2591.20703mrad, theta_roll_comp = 4105.8584 mrad, theta_setpoint = -40.0000 mrad, 
msg =   67, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3574 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -534.4982 A, I_w_roll = 2934.2336 A, theta_pitch = 2601.27759mrad, theta_roll_comp = 4121.8159 mrad, theta_setpoint = -40.0000 mrad, 
msg =   68, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3626 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -535.9228 A, I_w_roll = 2940.2527 A, theta_pitch = 2610.77466mrad, theta_roll_comp = 4136.8633 mrad, theta_setpoint = -40.0000 mrad, 
msg =   69, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3678 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -537.2803 A, I_w_roll = 2945.9890 A, theta_pitch = 2619.82520mrad, theta_roll_comp = 4151.2046 mrad, theta_setpoint = -40.0000 mrad, 
msg =   70, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3730 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -538.5613 A, I_w_roll = 2951.4014 A, theta_pitch = 2628.36475mrad, theta_roll_comp = 4164.7354 mrad, theta_setpoint = -40.0000 mrad, 
msg =   71, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3782 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -539.7821 A, I_w_roll = 2956.5603 A, theta_pitch = 2636.50366mrad, theta_roll_comp = 4177.6323 mrad, theta_setpoint = -40.0000 mrad, 
msg =   72, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3834 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -540.9333 A, I_w_roll = 2961.4238 A, theta_pitch = 2644.17847mrad, theta_roll_comp = 4189.7910 mrad, theta_setpoint = -40.0000 mrad, 
msg =   73, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3886 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -542.0305 A, I_w_roll = 2966.0598 A, theta_pitch = 2651.49268mrad, theta_roll_comp = 4201.3813 mrad, theta_setpoint = -40.0000 mrad, 
msg =   74, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     3937 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -543.0648 A, I_w_roll = 2970.4307 A, theta_pitch = 2658.38867mrad, theta_roll_comp = 4212.3081 mrad, theta_setpoint = -40.0000 mrad, 
msg =   75, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     3989 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -544.0515 A, I_w_roll = 2974.5994 A, theta_pitch = 2664.96582mrad, theta_roll_comp = 4222.7295 mrad, theta_setpoint = -40.0000 mrad, 
msg =   76, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4041 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -544.9819 A, I_w_roll = 2978.5312 A, theta_pitch = 2671.16895mrad, theta_roll_comp = 4232.5596 mrad, theta_setpoint = -40.0000 mrad, 
msg =   77, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4093 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -545.8690 A, I_w_roll = 2982.2800 A, theta_pitch = 2677.08325mrad, theta_roll_comp = 4241.9316 mrad, theta_setpoint = -40.0000 mrad, 
msg =   78, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4145 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -546.7045 A, I_w_roll = 2985.8096 A, theta_pitch = 2682.65308mrad, theta_roll_comp = 4250.7559 mrad, theta_setpoint = -40.0000 mrad, 
msg =   79, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4197 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -547.5012 A, I_w_roll = 2989.1760 A, theta_pitch = 2687.96411mrad, theta_roll_comp = 4259.1714 mrad, theta_setpoint = -40.0000 mrad, 
msg =   80, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4249 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -548.2529 A, I_w_roll = 2992.3521 A, theta_pitch = 2692.97583mrad, theta_roll_comp = 4267.1118 mrad, theta_setpoint = -40.0000 mrad, 
msg =   81, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4301 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -548.9692 A, I_w_roll = 2995.3789 A, theta_pitch = 2697.75146mrad, theta_roll_comp = 4274.6792 mrad, theta_setpoint = -40.0000 mrad, 
msg =   82, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4353 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -549.6449 A, I_w_roll = 2998.2334 A, theta_pitch = 2702.25562mrad, theta_roll_comp = 4281.8149 mrad, theta_setpoint = -40.0000 mrad, 
msg =   83, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4405 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -550.2888 A, I_w_roll = 3000.9548 A, theta_pitch = 2706.54834mrad, theta_roll_comp = 4288.6191 mrad, theta_setpoint = -40.0000 mrad, 
msg =   84, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4457 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -550.8962 A, I_w_roll = 3003.5203 A, theta_pitch = 2710.59766mrad, theta_roll_comp = 4295.0322 mrad, theta_setpoint = -40.0000 mrad, 
msg =   85, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4509 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -551.4748 A, I_w_roll = 3005.9653 A, theta_pitch = 2714.45508mrad, theta_roll_comp = 4301.1450 mrad, theta_setpoint = -40.0000 mrad, 
msg =   86, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4561 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -552.0209 A, I_w_roll = 3008.2727 A, theta_pitch = 2718.09570mrad, theta_roll_comp = 4306.9136 mrad, theta_setpoint = -40.0000 mrad, 
msg =   87, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4612 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -552.5412 A, I_w_roll = 3010.4717 A, theta_pitch = 2721.56421mrad, theta_roll_comp = 4312.4106 mrad, theta_setpoint = -40.0000 mrad, 
msg =   88, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4664 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -553.0320 A, I_w_roll = 3012.5461 A, theta_pitch = 2724.83667mrad, theta_roll_comp = 4317.5967 mrad, theta_setpoint = -40.0000 mrad, 
msg =   89, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4716 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -553.4993 A, I_w_roll = 3014.5203 A, theta_pitch = 2727.95166mrad, theta_roll_comp = 4322.5322 mrad, theta_setpoint = -40.0000 mrad, 
msg =   90, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4768 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -553.9409 A, I_w_roll = 3016.3855 A, theta_pitch = 2730.89526mrad, theta_roll_comp = 4327.1958 mrad, theta_setpoint = -40.0000 mrad, 
msg =   91, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4820 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -554.3609 A, I_w_roll = 3018.1611 A, theta_pitch = 2733.69556mrad, theta_roll_comp = 4331.6343 mrad, theta_setpoint = -40.0000 mrad, 
msg =   92, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4872 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -554.7580 A, I_w_roll = 3019.8384 A, theta_pitch = 2736.34302mrad, theta_roll_comp = 4335.8271 mrad, theta_setpoint = -40.0000 mrad, 
msg =   93, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     4924 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -555.1357 A, I_w_roll = 3021.4343 A, theta_pitch = 2738.86133mrad, theta_roll_comp = 4339.8174 mrad, theta_setpoint = -40.0000 mrad, 
msg =   94, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     4976 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -555.4924 A, I_w_roll = 3022.9407 A, theta_pitch = 2741.23901mrad, theta_roll_comp = 4343.5835 mrad, theta_setpoint = -40.0000 mrad, 
msg =   95, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5028 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -555.8320 A, I_w_roll = 3024.3755 A, theta_pitch = 2743.50317mrad, theta_roll_comp = 4347.1709 mrad, theta_setpoint = -40.0000 mrad, 
msg =   96, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5080 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -556.1525 A, I_w_roll = 3025.7297 A, theta_pitch = 2745.63989mrad, theta_roll_comp = 4350.5557 mrad, theta_setpoint = -40.0000 mrad, 
msg =   97, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5132 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -556.4580 A, I_w_roll = 3027.0210 A, theta_pitch = 2747.67603mrad, theta_roll_comp = 4353.7837 mrad, theta_setpoint = -40.0000 mrad, 
msg =   98, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5184 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -556.7460 A, I_w_roll = 3028.2371 A, theta_pitch = 2749.59619mrad, theta_roll_comp = 4356.8242 mrad, theta_setpoint = -40.0000 mrad, 
msg =   99, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5235 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.0203 A, I_w_roll = 3029.3967 A, theta_pitch = 2751.42529mrad, theta_roll_comp = 4359.7236 mrad, theta_setpoint = -40.0000 mrad, 
msg =  100, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5287 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.2793 A, I_w_roll = 3030.4912 A, theta_pitch = 2753.15186mrad, theta_roll_comp = 4362.4595 mrad, theta_setpoint = -40.0000 mrad, 
msg =  101, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5339 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.5259 A, I_w_roll = 3031.5334 A, theta_pitch = 2754.79590mrad, theta_roll_comp = 4365.0654 mrad, theta_setpoint = -40.0000 mrad, 
msg =  102, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5391 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.7587 A, I_w_roll = 3032.5176 A, theta_pitch = 2756.34790mrad, theta_roll_comp = 4367.5254 mrad, theta_setpoint = -40.0000 mrad, 
msg =  103, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5443 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -557.9803 A, I_w_roll = 3033.4541 A, theta_pitch = 2757.82495mrad, theta_roll_comp = 4369.8667 mrad, theta_setpoint = -40.0000 mrad, 
msg =  104, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5495 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.1896 A, I_w_roll = 3034.3381 A, theta_pitch = 2759.22021mrad, theta_roll_comp = 4372.0771 mrad, theta_setpoint = -40.0000 mrad, 
msg =  105, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5547 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.3889 A, I_w_roll = 3035.1807 A, theta_pitch = 2760.54932mrad, theta_roll_comp = 4374.1831 mrad, theta_setpoint = -40.0000 mrad, 
msg =  106, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5599 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.5770 A, I_w_roll = 3035.9753 A, theta_pitch = 2761.80322mrad, theta_roll_comp = 4376.1699 mrad, theta_setpoint = -40.0000 mrad, 
msg =  107, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5651 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.7560 A, I_w_roll = 3036.7314 A, theta_pitch = 2762.99658mrad, theta_roll_comp = 4378.0610 mrad, theta_setpoint = -40.0000 mrad, 
msg =  108, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5703 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -558.9253 A, I_w_roll = 3037.4468 A, theta_pitch = 2764.12476mrad, theta_roll_comp = 4379.8486 mrad, theta_setpoint = -40.0000 mrad, 
msg =  109, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5755 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.0862 A, I_w_roll = 3038.1270 A, theta_pitch = 2765.19775mrad, theta_roll_comp = 4381.5483 mrad, theta_setpoint = -40.0000 mrad, 
msg =  110, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5807 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.2382 A, I_w_roll = 3038.7693 A, theta_pitch = 2766.21118mrad, theta_roll_comp = 4383.1548 mrad, theta_setpoint = -40.0000 mrad, 
msg =  111, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5858 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.3830 A, I_w_roll = 3039.3813 A, theta_pitch = 2767.17627mrad, theta_roll_comp = 4384.6851 mrad, theta_setpoint = -40.0000 mrad, 
msg =  112, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     5910 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.5197 A, I_w_roll = 3039.9587 A, theta_pitch = 2768.08765mrad, theta_roll_comp = 4386.1284 mrad, theta_setpoint = -40.0000 mrad, 
msg =  113, nerr =    0p/   2r, time steps =    5, qsz = 1022, switch = off, t =     5962 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.6499 A, I_w_roll = 3040.5090 A, theta_pitch = 2768.95557mrad, theta_roll_comp = 4387.5039 mrad, theta_setpoint = -40.0000 mrad, 
msg =  114, nerr =    0p/   2r, time steps =    5, qsz = 1020, switch = off, t =     6014 ms, ax = 16.1739, ay = 16.1739, az = 16.1739, gx =  3.6272 rad/s, gy =  3.5702 rad/s, gz =  3.5912 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -559.7727 A, I_w_roll = 3041.0278 A, theta_pitch = 2769.77417mrad, theta_roll_comp = 4388.8013 mrad, theta_setpoint = -40.0000 mrad, 
