picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   82, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      822 ms, ax =  0.0611, ay = -6.4156, az =  7.6563, gx = -0.0010 rad/s, gy = -0.0162 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  1.1531 A, I_w_roll = -137.3825 A, theta_pitch = -13.36477mrad, theta_roll_comp = -382.5641 mrad, theta_setpoint = -40.0000 mrad, 
msg =  479, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4792 ms, ax = -0.0192, ay = -6.4012, az =  7.6551, gx = -0.0012 rad/s, gy =  0.0028 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4893 A, I_w_roll = -261.2516 A, theta_pitch = -0.82684mrad, theta_roll_comp = -692.1203 mrad, theta_setpoint = -40.0000 mrad, 
msg =  480, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4802 ms, ax = -0.0264, ay = -6.4072, az =  7.6635, gx = -0.0009 rad/s, gy =  0.0026 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4884 A, I_w_roll = -261.1794 A, theta_pitch = -0.76181mrad, theta_roll_comp = -692.1730 mrad, theta_setpoint = -40.0000 mrad, 
msg =  481, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4812 ms, ax = -0.0324, ay = -6.4156, az =  7.6491, gx = -0.0012 rad/s, gy =  0.0027 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5045 A, I_w_roll = -261.2968 A, theta_pitch = -0.68940mrad, theta_roll_comp = -692.2335 mrad, theta_setpoint = -40.0000 mrad, 
msg =  482, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4822 ms, ax = -0.0264, ay = -6.4132, az =  7.6551, gx = -0.0010 rad/s, gy =  0.0026 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5099 A, I_w_roll = -261.2759 A, theta_pitch = -0.61843mrad, theta_roll_comp = -692.2977 mrad, theta_setpoint = -40.0000 mrad, 
msg =  483, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4832 ms, ax = -0.0312, ay = -6.4108, az =  7.6575, gx = -0.0009 rad/s, gy =  0.0024 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5148 A, I_w_roll = -261.2525 A, theta_pitch = -0.54971mrad, theta_roll_comp = -692.3557 mrad, theta_setpoint = -40.0000 mrad, 
msg =  484, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4842 ms, ax = -0.0264, ay = -6.4120, az =  7.6539, gx = -0.0010 rad/s, gy =  0.0023 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5194 A, I_w_roll = -261.3222 A, theta_pitch = -0.48353mrad, theta_roll_comp = -692.4135 mrad, theta_setpoint = -40.0000 mrad, 
msg =  485, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4852 ms, ax = -0.0288, ay = -6.4084, az =  7.6635, gx = -0.0010 rad/s, gy =  0.0020 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5181 A, I_w_roll = -261.3440 A, theta_pitch = -0.42123mrad, theta_roll_comp = -692.4680 mrad, theta_setpoint = -40.0000 mrad, 
msg =  486, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4862 ms, ax = -0.0324, ay = -6.4120, az =  7.6587, gx = -0.0010 rad/s, gy =  0.0018 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5169 A, I_w_roll = -261.3652 A, theta_pitch = -0.35825mrad, theta_roll_comp = -692.5209 mrad, theta_setpoint = -40.0000 mrad, 
msg =  487, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4872 ms, ax = -0.0384, ay = -6.4060, az =  7.6623, gx = -0.0010 rad/s, gy =  0.0018 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5270 A, I_w_roll = -261.3857 A, theta_pitch = -0.29083mrad, theta_roll_comp = -692.5723 mrad, theta_setpoint = -40.0000 mrad, 
msg =  488, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4882 ms, ax = -0.0336, ay = -6.4036, az =  7.6587, gx = -0.0012 rad/s, gy =  0.0014 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5208 A, I_w_roll = -261.4518 A, theta_pitch = -0.22590mrad, theta_roll_comp = -692.6209 mrad, theta_setpoint = -40.0000 mrad, 
msg =  489, nerr =   24p/  30r, time steps =    5, qsz =    2, switch = off, t =     4892 ms, ax = -0.0336, ay = -6.4024, az =  7.6623, gx = -0.0014 rad/s, gy =  0.0008 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5080 A, I_w_roll = -261.5645 A, theta_pitch = -0.16917mrad, theta_roll_comp = -692.6697 mrad, theta_setpoint = -40.0000 mrad, 
msg =  490, nerr =   25p/  30r, time steps =    5, qsz =    2, switch = off, t =     4902 ms, ax = -0.0396, ay = -6.3964, az =  7.6539, gx = -0.0013 rad/s, gy =  0.0007 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5113 A, I_w_roll = -261.5370 A, theta_pitch = -0.11204mrad, theta_roll_comp = -692.7174 mrad, theta_setpoint = -40.0000 mrad, 
msg =  491, nerr =   25p/  30r, time steps =    5, qsz =    2, switch = off, t =     4912 ms, ax = -0.0348, ay = -6.3964, az =  7.6527, gx = -0.0012 rad/s, gy =  0.0004 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5088 A, I_w_roll = -261.5091 A, theta_pitch = -0.05720mrad, theta_roll_comp = -692.7642 mrad, theta_setpoint = -40.0000 mrad, 
msg =  492, nerr =   25p/  30r, time steps =    5, qsz =    2, switch = off, t =     4922 ms, ax = -0.0324, ay = -6.3916, az =  7.6551, gx = -0.0013 rad/s, gy =  0.0003 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5107 A, I_w_roll = -261.5732 A, theta_pitch = -0.00944mrad, theta_roll_comp = -692.8080 mrad, theta_setpoint = -40.0000 mrad, 
msg =  493, nerr =   25p/  30r, time steps =    5, qsz =    2, switch = off, t =     4932 ms, ax = -0.0396, ay = -6.3964, az =  7.6551, gx = -0.0014 rad/s, gy =  0.0002 rad/s, gz = -0.0092 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5128 A, I_w_roll = -261.6375 A, theta_pitch = 0.04012mrad, theta_roll_comp = -692.8522 mrad, theta_setpoint = -40.0000 mrad, 
msg =  494, nerr =   25p/  30r, time steps =    5, qsz =    2, switch = off, t =     4942 ms, ax = -0.0396, ay = -6.4012, az =  7.6539, gx = -0.0014 rad/s, gy = -0.0002 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5044 A, I_w_roll = -261.6570 A, theta_pitch = 0.09075mrad, theta_roll_comp = -692.9008 mrad, theta_setpoint = -40.0000 mrad, 
msg =  495, nerr =   25p/  30r, time steps =    5, qsz =    2, switch = off, t =     4952 ms, ax = -0.0360, ay = -6.4012, az =  7.6527, gx = -0.0014 rad/s, gy = -0.0004 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5058 A, I_w_roll = -261.6772 A, theta_pitch = 0.13584mrad, theta_roll_comp = -692.9514 mrad, theta_setpoint = -40.0000 mrad, 
msg =  496, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     4962 ms, ax = -0.0396, ay = -6.4072, az =  7.6479, gx = -0.0014 rad/s, gy = -0.0001 rad/s, gz = -0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5233 A, I_w_roll = -261.6990 A, theta_pitch = 0.18166mrad, theta_roll_comp = -693.0059 mrad, theta_setpoint = -40.0000 mrad, 
msg =  497, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     4972 ms, ax = -0.0444, ay = -6.4144, az =  7.6527, gx = -0.0014 rad/s, gy = -0.0005 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5149 A, I_w_roll = -261.7225 A, theta_pitch = 0.23162mrad, theta_roll_comp = -693.0647 mrad, theta_setpoint = -40.0000 mrad, 
msg =  498, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     4982 ms, ax = -0.0396, ay = -6.4144, az =  7.6539, gx = -0.0014 rad/s, gy = -0.0004 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5274 A, I_w_roll = -261.7461 A, theta_pitch = 0.27946mrad, theta_roll_comp = -693.1236 mrad, theta_setpoint = -40.0000 mrad, 
msg =  499, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     4992 ms, ax = -0.0372, ay = -6.4132, az =  7.6587, gx = -0.0016 rad/s, gy = -0.0010 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5067 A, I_w_roll = -261.8152 A, theta_pitch = 0.31930mrad, theta_roll_comp = -693.1801 mrad, theta_setpoint = -40.0000 mrad, 
msg =  500, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5002 ms, ax = -0.0360, ay = -6.4012, az =  7.6599, gx = -0.0016 rad/s, gy = -0.0010 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5118 A, I_w_roll = -261.8350 A, theta_pitch = 0.35337mrad, theta_roll_comp = -693.2294 mrad, theta_setpoint = -40.0000 mrad, 
msg =  501, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5012 ms, ax = -0.0336, ay = -6.4000, az =  7.6599, gx = -0.0014 rad/s, gy = -0.0013 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5057 A, I_w_roll = -261.8057 A, theta_pitch = 0.38327mrad, theta_roll_comp = -693.2726 mrad, theta_setpoint = -40.0000 mrad, 
msg =  502, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5022 ms, ax = -0.0288, ay = -6.4048, az =  7.6515, gx = -0.0016 rad/s, gy = -0.0013 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5092 A, I_w_roll = -261.8712 A, theta_pitch = 0.40686mrad, theta_roll_comp = -693.3199 mrad, theta_setpoint = -40.0000 mrad, 
msg =  503, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5032 ms, ax = -0.0312, ay = -6.4048, az =  7.6479, gx = -0.0014 rad/s, gy = -0.0013 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.5125 A, I_w_roll = -261.8454 A, theta_pitch = 0.42906mrad, theta_roll_comp = -693.3719 mrad, theta_setpoint = -40.0000 mrad, 
msg =  504, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5042 ms, ax = -0.0300, ay = -6.4084, az =  7.6491, gx = -0.0013 rad/s, gy = -0.0017 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4996 A, I_w_roll = -261.8197 A, theta_pitch = 0.44952mrad, theta_roll_comp = -693.4242 mrad, theta_setpoint = -40.0000 mrad, 
msg =  505, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5052 ms, ax = -0.0264, ay = -6.4036, az =  7.6575, gx = -0.0016 rad/s, gy = -0.0020 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4910 A, I_w_roll = -261.9324 A, theta_pitch = 0.46326mrad, theta_roll_comp = -693.4730 mrad, theta_setpoint = -40.0000 mrad, 
msg =  506, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5062 ms, ax = -0.0336, ay = -6.4036, az =  7.6599, gx = -0.0014 rad/s, gy = -0.0020 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4933 A, I_w_roll = -261.9033 A, theta_pitch = 0.47841mrad, theta_roll_comp = -693.5167 mrad, theta_setpoint = -40.0000 mrad, 
msg =  507, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5072 ms, ax = -0.0348, ay = -6.3976, az =  7.6575, gx = -0.0013 rad/s, gy = -0.0024 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4800 A, I_w_roll = -261.8726 A, theta_pitch = 0.49649mrad, theta_roll_comp = -693.5565 mrad, theta_setpoint = -40.0000 mrad, 
msg =  508, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5082 ms, ax = -0.0336, ay = -6.4036, az =  7.6587, gx = -0.0012 rad/s, gy = -0.0025 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4770 A, I_w_roll = -261.8414 A, theta_pitch = 0.51170mrad, theta_roll_comp = -693.5950 mrad, theta_setpoint = -40.0000 mrad, 
msg =  509, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5092 ms, ax = -0.0312, ay = -6.3952, az =  7.6515, gx = -0.0014 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4788 A, I_w_roll = -261.9506 A, theta_pitch = 0.52378mrad, theta_roll_comp = -693.6348 mrad, theta_setpoint = -40.0000 mrad, 
msg =  510, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5102 ms, ax = -0.0372, ay = -6.3892, az =  7.6491, gx = -0.0014 rad/s, gy = -0.0025 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4810 A, I_w_roll = -261.9659 A, theta_pitch = 0.53848mrad, theta_roll_comp = -693.6730 mrad, theta_setpoint = -40.0000 mrad, 
msg =  511, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5112 ms, ax = -0.0420, ay = -6.3952, az =  7.6491, gx = -0.0012 rad/s, gy = -0.0026 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4788 A, I_w_roll = -261.8876 A, theta_pitch = 0.55929mrad, theta_roll_comp = -693.7104 mrad, theta_setpoint = -40.0000 mrad, 
msg =  512, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5122 ms, ax = -0.0468, ay = -6.3940, az =  7.6527, gx = -0.0013 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4719 A, I_w_roll = -261.9490 A, theta_pitch = 0.58408mrad, theta_roll_comp = -693.7473 mrad, theta_setpoint = -40.0000 mrad, 
msg =  513, nerr =   26p/  30r, time steps =    5, qsz =    3, switch = off, t =     5132 ms, ax = -0.0503, ay = -6.4012, az =  7.6515, gx = -0.0010 rad/s, gy = -0.0029 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4762 A, I_w_roll = -261.8708 A, theta_pitch = 0.61280mrad, theta_roll_comp = -693.7848 mrad, theta_setpoint = -40.0000 mrad, 
msg =  514, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5142 ms, ax = -0.0432, ay = -6.4036, az =  7.6503, gx = -0.0010 rad/s, gy = -0.0033 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4637 A, I_w_roll = -261.8868 A, theta_pitch = 0.63637mrad, theta_roll_comp = -693.8248 mrad, theta_setpoint = -40.0000 mrad, 
msg =  515, nerr =   26p/  30r, time steps =    5, qsz =    2, switch = off, t =     5152 ms, ax = -0.0396, ay = -6.4048, az =  7.6443, gx = -0.0010 rad/s, gy = -0.0033 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4659 A, I_w_roll = -261.9042 A, theta_pitch = 0.65096mrad, theta_roll_comp = -693.8685 mrad, theta_setpoint = -40.0000 mrad, 
msg =  516, nerr =   27p/  30r, time steps =    5, qsz =    2, switch = off, t =     5162 ms, ax = -0.0336, ay = -6.4120, az =  7.6551, gx = -0.0013 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4671 A, I_w_roll = -262.0158 A, theta_pitch = 0.65901mrad, theta_roll_comp = -693.9145 mrad, theta_setpoint = -40.0000 mrad, 
msg =  517, nerr =   27p/  30r, time steps =    5, qsz =    2, switch = off, t =     5172 ms, ax = -0.0348, ay = -6.4132, az =  7.6587, gx = -0.0014 rad/s, gy = -0.0037 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4516 A, I_w_roll = -262.0809 A, theta_pitch = 0.66200mrad, theta_roll_comp = -693.9606 mrad, theta_setpoint = -40.0000 mrad, 
msg =  518, nerr =   27p/  30r, time steps =    5, qsz =    2, switch = off, t =     5182 ms, ax = -0.0336, ay = -6.4084, az =  7.6563, gx = -0.0012 rad/s, gy = -0.0034 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4626 A, I_w_roll = -262.0049 A, theta_pitch = 0.66444mrad, theta_roll_comp = -694.0037 mrad, theta_setpoint = -40.0000 mrad, 
msg =  519, nerr =   27p/  30r, time steps =    5, qsz =    2, switch = off, t =     5192 ms, ax = -0.0336, ay = -6.4132, az =  7.6587, gx = -0.0012 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4630 A, I_w_roll = -262.0215 A, theta_pitch = 0.66735mrad, theta_roll_comp = -694.0453 mrad, theta_setpoint = -40.0000 mrad, 
msg =  520, nerr =   27p/  30r, time steps =    5, qsz =    2, switch = off, t =     5202 ms, ax = -0.0312, ay = -6.4132, az =  7.6635, gx = -0.0013 rad/s, gy = -0.0036 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4578 A, I_w_roll = -262.0846 A, theta_pitch = 0.66782mrad, theta_roll_comp = -694.0864 mrad, theta_setpoint = -40.0000 mrad, 
msg =  521, nerr =   27p/  30r, time steps =    5, qsz =    2, switch = off, t =     5212 ms, ax = -0.0264, ay = -6.4132, az =  7.6587, gx = -0.0010 rad/s, gy = -0.0036 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4571 A, I_w_roll = -262.0075 A, theta_pitch = 0.66288mrad, theta_roll_comp = -694.1265 mrad, theta_setpoint = -40.0000 mrad, 
msg =  522, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5222 ms, ax = -0.0300, ay = -6.4084, az =  7.6503, gx = -0.0013 rad/s, gy = -0.0038 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4454 A, I_w_roll = -262.1176 A, theta_pitch = 0.65624mrad, theta_roll_comp = -694.1689 mrad, theta_setpoint = -40.0000 mrad, 
msg =  523, nerr =   28p/  30r, time steps =    5, qsz =    3, switch = off, t =     5232 ms, ax = -0.0336, ay = -6.4060, az =  7.6491, gx = -0.0013 rad/s, gy = -0.0037 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4504 A, I_w_roll = -262.1349 A, theta_pitch = 0.65383mrad, theta_roll_comp = -694.2123 mrad, theta_setpoint = -40.0000 mrad, 
msg =  524, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5242 ms, ax = -0.0372, ay = -6.4096, az =  7.6455, gx = -0.0016 rad/s, gy = -0.0041 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4345 A, I_w_roll = -262.2468 A, theta_pitch = 0.65463mrad, theta_roll_comp = -694.2590 mrad, theta_setpoint = -40.0000 mrad, 
msg =  525, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5252 ms, ax = -0.0360, ay = -6.4084, az =  7.6455, gx = -0.0013 rad/s, gy = -0.0042 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4291 A, I_w_roll = -262.1728 A, theta_pitch = 0.65422mrad, theta_roll_comp = -694.3068 mrad, theta_setpoint = -40.0000 mrad, 
msg =  526, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5262 ms, ax = -0.0348, ay = -6.4108, az =  7.6455, gx = -0.0016 rad/s, gy = -0.0045 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4179 A, I_w_roll = -262.2852 A, theta_pitch = 0.65019mrad, theta_roll_comp = -694.3550 mrad, theta_setpoint = -40.0000 mrad, 
msg =  527, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5272 ms, ax = -0.0336, ay = -6.4084, az =  7.6479, gx = -0.0016 rad/s, gy = -0.0049 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.4006 A, I_w_roll = -262.3044 A, theta_pitch = 0.64128mrad, theta_roll_comp = -694.4028 mrad, theta_setpoint = -40.0000 mrad, 
msg =  528, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5282 ms, ax = -0.0228, ay = -6.4120, az =  7.6479, gx = -0.0016 rad/s, gy = -0.0049 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3977 A, I_w_roll = -262.3233 A, theta_pitch = 0.62231mrad, theta_roll_comp = -694.4501 mrad, theta_setpoint = -40.0000 mrad, 
msg =  529, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5292 ms, ax = -0.0288, ay = -6.4072, az =  7.6455, gx = -0.0016 rad/s, gy = -0.0052 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3837 A, I_w_roll = -262.3420 A, theta_pitch = 0.59981mrad, theta_roll_comp = -694.4970 mrad, theta_setpoint = -40.0000 mrad, 
msg =  530, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5302 ms, ax = -0.0288, ay = -6.4108, az =  7.6407, gx = -0.0014 rad/s, gy = -0.0052 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3807 A, I_w_roll = -262.3146 A, theta_pitch = 0.57996mrad, theta_roll_comp = -694.5450 mrad, theta_setpoint = -40.0000 mrad, 
msg =  531, nerr =   28p/  30r, time steps =    5, qsz =    2, switch = off, t =     5312 ms, ax = -0.0264, ay = -6.4120, az =  7.6371, gx = -0.0014 rad/s, gy = -0.0054 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3666 A, I_w_roll = -262.3351 A, theta_pitch = 0.55723mrad, theta_roll_comp = -694.5963 mrad, theta_setpoint = -40.0000 mrad, 
msg =  532, nerr =   29p/  31r, time steps =    5, qsz =    2, switch = off, t =     5322 ms, ax = -0.0276, ay = -6.4108, az =  7.6371, gx = -0.0013 rad/s, gy = -0.0056 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3576 A, I_w_roll = -262.3089 A, theta_pitch = 0.53217mrad, theta_roll_comp = -694.6473 mrad, theta_setpoint = -40.0000 mrad, 
msg =  533, nerr =   29p/  31r, time steps =    5, qsz =    2, switch = off, t =     5332 ms, ax = -0.0312, ay = -6.4072, az =  7.6431, gx = -0.0014 rad/s, gy = -0.0057 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3488 A, I_w_roll = -262.3742 A, theta_pitch = 0.50927mrad, theta_roll_comp = -694.6939 mrad, theta_setpoint = -40.0000 mrad, 
msg =  534, nerr =   29p/  31r, time steps =    5, qsz =    2, switch = off, t =     5342 ms, ax = -0.0276, ay = -6.4048, az =  7.6515, gx = -0.0017 rad/s, gy = -0.0061 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3289 A, I_w_roll = -262.4839 A, theta_pitch = 0.48340mrad, theta_roll_comp = -694.7352 mrad, theta_setpoint = -40.0000 mrad, 
msg =  535, nerr =   29p/  31r, time steps =    5, qsz =    2, switch = off, t =     5352 ms, ax = -0.0228, ay = -6.4000, az =  7.6539, gx = -0.0016 rad/s, gy = -0.0062 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3186 A, I_w_roll = -262.4514 A, theta_pitch = 0.44970mrad, theta_roll_comp = -694.7703 mrad, theta_setpoint = -40.0000 mrad, 
msg =  536, nerr =   29p/  31r, time steps =    5, qsz =    2, switch = off, t =     5362 ms, ax = -0.0240, ay = -6.3952, az =  7.6551, gx = -0.0017 rad/s, gy = -0.0065 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.3023 A, I_w_roll = -262.5101 A, theta_pitch = 0.41227mrad, theta_roll_comp = -694.8006 mrad, theta_setpoint = -40.0000 mrad, 
msg =  537, nerr =   29p/  31r, time steps =    5, qsz =    2, switch = off, t =     5372 ms, ax = -0.0240, ay = -6.4000, az =  7.6491, gx = -0.0017 rad/s, gy = -0.0065 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.2967 A, I_w_roll = -262.5231 A, theta_pitch = 0.37472mrad, theta_roll_comp = -694.8332 mrad, theta_setpoint = -40.0000 mrad, 
