picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =   86, nerr =    0p/   0r, time steps =    5, qsz =    2, switch = off, t =      862 ms, ax =  0.4447, ay =  1.3114, az =  9.7732, gx = -0.0046 rad/s, gy = -0.0030 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  2.7289 A, I_w_roll = 44.1117 A, theta_pitch = -27.38550mrad, theta_roll_comp = 74.3172 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1778, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17782 ms, ax =  0.4327, ay =  1.3282, az =  9.7637, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8566 A, I_w_roll = 66.6285 A, theta_pitch = -48.16577mrad, theta_roll_comp = 130.2597 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1779, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17792 ms, ax =  0.4327, ay =  1.3270, az =  9.7625, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8503 A, I_w_roll = 66.5843 A, theta_pitch = -48.15931mrad, theta_roll_comp = 130.2657 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1780, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17802 ms, ax =  0.4363, ay =  1.3318, az =  9.7565, gx = -0.0043 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8550 A, I_w_roll = 66.5875 A, theta_pitch = -48.15517mrad, theta_roll_comp = 130.2736 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1781, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17812 ms, ax =  0.4351, ay =  1.3282, az =  9.7541, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8710 A, I_w_roll = 66.6378 A, theta_pitch = -48.15504mrad, theta_roll_comp = 130.2829 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1782, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17822 ms, ax =  0.4291, ay =  1.3306, az =  9.7541, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8652 A, I_w_roll = 66.5948 A, theta_pitch = -48.15219mrad, theta_roll_comp = 130.2918 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1783, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17832 ms, ax =  0.4315, ay =  1.3294, az =  9.7505, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8645 A, I_w_roll = 66.5984 A, theta_pitch = -48.14737mrad, theta_roll_comp = 130.3008 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1784, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17842 ms, ax =  0.4351, ay =  1.3222, az =  9.7433, gx = -0.0042 rad/s, gy = -0.0038 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8751 A, I_w_roll = 66.6473 A, theta_pitch = -48.14739mrad, theta_roll_comp = 130.3067 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1785, nerr =  126p/ 144r, time steps =    5, qsz =    2, switch = off, t =    17852 ms, ax =  0.4339, ay =  1.3210, az =  9.7529, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8646 A, I_w_roll = 66.6013 A, theta_pitch = -48.14819mrad, theta_roll_comp = 130.3082 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1786, nerr =  127p/ 145r, time steps =    5, qsz =    2, switch = off, t =    17862 ms, ax =  0.4375, ay =  1.3198, az =  9.7505, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8702 A, I_w_roll = 66.6011 A, theta_pitch = -48.14967mrad, theta_roll_comp = 130.3075 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1787, nerr =  127p/ 145r, time steps =    5, qsz =    2, switch = off, t =    17872 ms, ax =  0.4363, ay =  1.3186, az =  9.7577, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8706 A, I_w_roll = 66.6001 A, theta_pitch = -48.15269mrad, theta_roll_comp = 130.3051 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1788, nerr =  127p/ 145r, time steps =    5, qsz =    2, switch = off, t =    17882 ms, ax =  0.4411, ay =  1.3198, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8713 A, I_w_roll = 66.5989 A, theta_pitch = -48.15746mrad, theta_roll_comp = 130.3021 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1789, nerr =  127p/ 145r, time steps =    5, qsz =    2, switch = off, t =    17892 ms, ax =  0.4339, ay =  1.3210, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8718 A, I_w_roll = 66.5980 A, theta_pitch = -48.16031mrad, theta_roll_comp = 130.2998 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1790, nerr =  127p/ 145r, time steps =    5, qsz =    2, switch = off, t =    17902 ms, ax =  0.4315, ay =  1.3246, az =  9.7661, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8660 A, I_w_roll = 66.5511 A, theta_pitch = -48.15766mrad, theta_roll_comp = 130.2991 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1791, nerr =  127p/ 145r, time steps =    5, qsz =    2, switch = off, t =    17912 ms, ax =  0.4315, ay =  1.3234, az =  9.7673, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8599 A, I_w_roll = 66.6447 A, theta_pitch = -48.15255mrad, theta_roll_comp = 130.3001 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1792, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17922 ms, ax =  0.4327, ay =  1.3282, az =  9.7613, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8592 A, I_w_roll = 66.5528 A, theta_pitch = -48.14764mrad, theta_roll_comp = 130.3033 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1793, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17932 ms, ax =  0.4303, ay =  1.3282, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8692 A, I_w_roll = 66.6014 A, theta_pitch = -48.14351mrad, theta_roll_comp = 130.3082 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1794, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17942 ms, ax =  0.4399, ay =  1.3234, az =  9.7744, gx = -0.0045 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8585 A, I_w_roll = 66.5552 A, theta_pitch = -48.14307mrad, theta_roll_comp = 130.3095 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1795, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17952 ms, ax =  0.4411, ay =  1.3222, az =  9.7792, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8481 A, I_w_roll = 66.6009 A, theta_pitch = -48.14478mrad, theta_roll_comp = 130.3071 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1796, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17962 ms, ax =  0.4339, ay =  1.3258, az =  9.7744, gx = -0.0045 rad/s, gy = -0.0030 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8422 A, I_w_roll = 66.5538 A, theta_pitch = -48.14115mrad, theta_roll_comp = 130.3060 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1797, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17972 ms, ax =  0.4387, ay =  1.3270, az =  9.7721, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8470 A, I_w_roll = 66.6012 A, theta_pitch = -48.13711mrad, theta_roll_comp = 130.3078 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1798, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17982 ms, ax =  0.4423, ay =  1.3222, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8580 A, I_w_roll = 66.6016 A, theta_pitch = -48.13963mrad, theta_roll_comp = 130.3088 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1799, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    17992 ms, ax =  0.4435, ay =  1.3222, az =  9.7697, gx = -0.0042 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8535 A, I_w_roll = 66.6481 A, theta_pitch = -48.14497mrad, theta_roll_comp = 130.3085 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1800, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    18002 ms, ax =  0.4399, ay =  1.3210, az =  9.7685, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8703 A, I_w_roll = 66.5540 A, theta_pitch = -48.15031mrad, theta_roll_comp = 130.3065 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1801, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    18012 ms, ax =  0.4411, ay =  1.3222, az =  9.7685, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8657 A, I_w_roll = 66.5997 A, theta_pitch = -48.15572mrad, theta_roll_comp = 130.3041 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1802, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    18022 ms, ax =  0.4363, ay =  1.3258, az =  9.7673, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8716 A, I_w_roll = 66.6000 A, theta_pitch = -48.15915mrad, theta_roll_comp = 130.3049 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1803, nerr =  128p/ 146r, time steps =    5, qsz =    2, switch = off, t =    18032 ms, ax =  0.4327, ay =  1.3330, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8661 A, I_w_roll = 66.6027 A, theta_pitch = -48.15832mrad, theta_roll_comp = 130.3116 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1804, nerr =  129p/ 147r, time steps =    5, qsz =    2, switch = off, t =    18042 ms, ax =  0.4339, ay =  1.3282, az =  9.7709, gx = -0.0041 rad/s, gy = -0.0036 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8657 A, I_w_roll = 66.6993 A, theta_pitch = -48.15572mrad, theta_roll_comp = 130.3200 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1805, nerr =  129p/ 147r, time steps =    5, qsz =    2, switch = off, t =    18052 ms, ax =  0.4327, ay =  1.3318, az =  9.7732, gx = -0.0041 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8653 A, I_w_roll = 66.7028 A, theta_pitch = -48.15288mrad, theta_roll_comp = 130.3288 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1806, nerr =  129p/ 147r, time steps =    5, qsz =    2, switch = off, t =    18062 ms, ax =  0.4375, ay =  1.3306, az =  9.7685, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8598 A, I_w_roll = 66.6599 A, theta_pitch = -48.15150mrad, theta_roll_comp = 130.3380 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1807, nerr =  129p/ 147r, time steps =    5, qsz =    2, switch = off, t =    18072 ms, ax =  0.4327, ay =  1.3246, az =  9.7697, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8594 A, I_w_roll = 66.6149 A, theta_pitch = -48.14919mrad, theta_roll_comp = 130.3421 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1808, nerr =  129p/ 147r, time steps =    5, qsz =    2, switch = off, t =    18082 ms, ax =  0.4327, ay =  1.3174, az =  9.7709, gx = -0.0043 rad/s, gy = -0.0034 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8587 A, I_w_roll = 66.6136 A, theta_pitch = -48.14461mrad, theta_roll_comp = 130.3389 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1809, nerr =  129p/ 147r, time steps =    5, qsz =    2, switch = off, t =    18092 ms, ax =  0.4327, ay =  1.3234, az =  9.7697, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8689 A, I_w_roll = 66.7061 A, theta_pitch = -48.14150mrad, theta_roll_comp = 130.3370 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1810, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18102 ms, ax =  0.4291, ay =  1.3246, az =  9.7756, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8629 A, I_w_roll = 66.6602 A, theta_pitch = -48.13683mrad, theta_roll_comp = 130.3387 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1811, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18112 ms, ax =  0.4267, ay =  1.3294, az =  9.7732, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8617 A, I_w_roll = 66.5680 A, theta_pitch = -48.12855mrad, theta_roll_comp = 130.3413 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1812, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18122 ms, ax =  0.4327, ay =  1.3246, az =  9.7685, gx = -0.0043 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8445 A, I_w_roll = 66.6154 A, theta_pitch = -48.12054mrad, theta_roll_comp = 130.3435 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1813, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18132 ms, ax =  0.4351, ay =  1.3294, az =  9.7649, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8545 A, I_w_roll = 66.7107 A, theta_pitch = -48.11650mrad, theta_roll_comp = 130.3486 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1814, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18142 ms, ax =  0.4315, ay =  1.3294, az =  9.7613, gx = -0.0042 rad/s, gy = -0.0034 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8540 A, I_w_roll = 66.6674 A, theta_pitch = -48.11303mrad, theta_roll_comp = 130.3569 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1815, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18152 ms, ax =  0.4339, ay =  1.3282, az =  9.7673, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8534 A, I_w_roll = 66.7639 A, theta_pitch = -48.10916mrad, theta_roll_comp = 130.3650 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1816, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18162 ms, ax =  0.4351, ay =  1.3330, az =  9.7529, gx = -0.0042 rad/s, gy = -0.0036 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8586 A, I_w_roll = 66.6749 A, theta_pitch = -48.10806mrad, theta_roll_comp = 130.3756 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1817, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18172 ms, ax =  0.4339, ay =  1.3306, az =  9.7589, gx = -0.0046 rad/s, gy = -0.0038 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8694 A, I_w_roll = 66.5385 A, theta_pitch = -48.10907mrad, theta_roll_comp = 130.3841 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1818, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18182 ms, ax =  0.4267, ay =  1.3258, az =  9.7613, gx = -0.0045 rad/s, gy = -0.0040 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8745 A, I_w_roll = 66.5863 A, theta_pitch = -48.10728mrad, theta_roll_comp = 130.3871 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1819, nerr =  130p/ 148r, time steps =    5, qsz =    2, switch = off, t =    18192 ms, ax =  0.4291, ay =  1.3246, az =  9.7673, gx = -0.0045 rad/s, gy = -0.0038 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8685 A, I_w_roll = 66.5864 A, theta_pitch = -48.10317mrad, theta_roll_comp = 130.3873 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1820, nerr =  130p/ 149r, time steps =    5, qsz =    2, switch = off, t =    18202 ms, ax =  0.4279, ay =  1.3282, az =  9.7661, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8624 A, I_w_roll = 66.6338 A, theta_pitch = -48.09817mrad, theta_roll_comp = 130.3893 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1821, nerr =  130p/ 149r, time steps =    5, qsz =    2, switch = off, t =    18212 ms, ax =  0.4315, ay =  1.3270, az =  9.7673, gx = -0.0043 rad/s, gy = -0.0037 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8618 A, I_w_roll = 66.6352 A, theta_pitch = -48.09399mrad, theta_roll_comp = 130.3929 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1822, nerr =  130p/ 149r, time steps =    5, qsz =    2, switch = off, t =    18222 ms, ax =  0.4339, ay =  1.3258, az =  9.7673, gx = -0.0045 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8562 A, I_w_roll = 66.5892 A, theta_pitch = -48.09212mrad, theta_roll_comp = 130.3945 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1823, nerr =  130p/ 149r, time steps =    5, qsz =    2, switch = off, t =    18232 ms, ax =  0.4375, ay =  1.3258, az =  9.7685, gx = -0.0042 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8400 A, I_w_roll = 66.6832 A, theta_pitch = -48.09059mrad, theta_roll_comp = 130.3962 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1824, nerr =  130p/ 149r, time steps =    5, qsz =    2, switch = off, t =    18242 ms, ax =  0.4363, ay =  1.3270, az =  9.7673, gx = -0.0041 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8451 A, I_w_roll = 66.7315 A, theta_pitch = -48.08898mrad, theta_roll_comp = 130.4005 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1825, nerr =  130p/ 149r, time steps =    5, qsz =    2, switch = off, t =    18252 ms, ax =  0.4351, ay =  1.3198, az =  9.7601, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8502 A, I_w_roll = 66.7792 A, theta_pitch = -48.08770mrad, theta_roll_comp = 130.4034 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1826, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18262 ms, ax =  0.4351, ay =  1.3186, az =  9.7589, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8609 A, I_w_roll = 66.6854 A, theta_pitch = -48.08807mrad, theta_roll_comp = 130.4020 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1827, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18272 ms, ax =  0.4315, ay =  1.3222, az =  9.7577, gx = -0.0045 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8609 A, I_w_roll = 66.5912 A, theta_pitch = -48.08778mrad, theta_roll_comp = 130.3995 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1828, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18282 ms, ax =  0.4339, ay =  1.3282, az =  9.7637, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8553 A, I_w_roll = 66.6385 A, theta_pitch = -48.08625mrad, theta_roll_comp = 130.4010 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1829, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18292 ms, ax =  0.4339, ay =  1.3246, az =  9.7649, gx = -0.0043 rad/s, gy = -0.0038 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8660 A, I_w_roll = 66.6395 A, theta_pitch = -48.08653mrad, theta_roll_comp = 130.4035 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1830, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18302 ms, ax =  0.4327, ay =  1.3222, az =  9.7709, gx = -0.0038 rad/s, gy = -0.0040 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8715 A, I_w_roll = 66.8266 A, theta_pitch = -48.08792mrad, theta_roll_comp = 130.4054 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1831, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18312 ms, ax =  0.4351, ay =  1.3210, az =  9.7673, gx = -0.0039 rad/s, gy = -0.0037 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8611 A, I_w_roll = 66.7807 A, theta_pitch = -48.08920mrad, theta_roll_comp = 130.4071 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1832, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18322 ms, ax =  0.4363, ay =  1.3138, az =  9.7565, gx = -0.0039 rad/s, gy = -0.0036 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8560 A, I_w_roll = 66.7798 A, theta_pitch = -48.09064mrad, theta_roll_comp = 130.4048 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1833, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18332 ms, ax =  0.4387, ay =  1.3138, az =  9.7601, gx = -0.0039 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8618 A, I_w_roll = 66.7777 A, theta_pitch = -48.09418mrad, theta_roll_comp = 130.3995 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1834, nerr =  130p/ 150r, time steps =    5, qsz =    2, switch = off, t =    18342 ms, ax =  0.4375, ay =  1.3150, az =  9.7625, gx = -0.0039 rad/s, gy = -0.0036 rad/s, gz = -0.0111 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8571 A, I_w_roll = 66.7757 A, theta_pitch = -48.09793mrad, theta_roll_comp = 130.3946 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1835, nerr =  130p/ 150r, time steps =    5, qsz =    3, switch = off, t =    18352 ms, ax =  0.4339, ay =  1.3150, az =  9.7589, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8517 A, I_w_roll = 66.7272 A, theta_pitch = -48.09786mrad, theta_roll_comp = 130.3897 mrad, theta_setpoint = -40.0000 mrad, 
msg = 1836, nerr =  130p/ 151r, time steps =    5, qsz =    2, switch = off, t =    18362 ms, ax =  0.4315, ay =  1.3222, az =  9.7529, gx = -0.0042 rad/s, gy = -0.0037 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  5.8621 A, I_w_roll = 66.6799 A, theta_pitch = -48.09578mrad, theta_roll_comp = 130.3881 mrad, theta_setpoint = -40.0000 mrad, 
