picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 9785, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195702 ms, ax =  0.0048, ay = -0.3069, az =  9.9626, gx = -0.0017 rad/s, gy =  0.0400 rad/s, gz =  0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.5174, I_w_pitch = -3.7973 A, I_w_roll = -0.6446 A, theta_pitch = 4.65336mrad, theta_roll_comp = -36.5877 mrad, theta_setpoint = -36.4507 mrad, 
msg = 9786, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195722 ms, ax =  0.0599, ay = -0.3356, az =  9.9722, gx = -0.0012 rad/s, gy =  0.0239 rad/s, gz =  0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -56.5174, I_w_pitch = -3.2253 A, I_w_roll = -0.4634 A, theta_pitch = 5.13666mrad, theta_roll_comp = -36.6007 mrad, theta_setpoint = -36.4507 mrad, 
msg = 9787, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195742 ms, ax =  0.0707, ay = -0.3129, az =  9.9926, gx = -0.0006 rad/s, gy =  0.0078 rad/s, gz =  0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.7126, I_w_pitch = -2.5936 A, I_w_roll = -0.2343 A, theta_pitch = 5.22145mrad, theta_roll_comp = -36.6072 mrad, theta_setpoint = -36.5640 mrad, 
msg = 9788, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195762 ms, ax =  0.0348, ay = -0.3464, az =  9.9758, gx = -0.0002 rad/s, gy = -0.0053 rad/s, gz =  0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -54.7126, I_w_pitch = -2.0426 A, I_w_roll = -0.0966 A, theta_pitch = 5.02783mrad, theta_roll_comp = -36.6125 mrad, theta_setpoint = -36.5640 mrad, 
msg = 9789, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195782 ms, ax = -0.0312, ay = -0.3812, az =  9.9603, gx =  0.0004 rad/s, gy = -0.0133 rad/s, gz = -0.0016 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.9439, I_w_pitch = -1.6733 A, I_w_roll =  0.1543 A, theta_pitch = 4.69655mrad, theta_roll_comp = -36.6160 mrad, theta_setpoint = -36.6123 mrad, 
msg = 9790, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195802 ms, ax = -0.0384, ay = -0.4016, az =  9.9591, gx =  0.0004 rad/s, gy = -0.0162 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.7099, I_w_pitch = -1.5072 A, I_w_roll =  0.1601 A, theta_pitch = 4.37044mrad, theta_roll_comp = -36.6164 mrad, theta_setpoint = -36.6270 mrad, 
msg = 9791, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195822 ms, ax = -0.0707, ay = -0.4064, az =  9.9734, gx =  0.0004 rad/s, gy = -0.0151 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.7099, I_w_pitch = -1.5065 A, I_w_roll =  0.1690 A, theta_pitch = 4.08138mrad, theta_roll_comp = -36.5941 mrad, theta_setpoint = -36.6270 mrad, 
msg = 9792, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195842 ms, ax = -0.0995, ay = -0.4124, az =  9.9746, gx =  0.0004 rad/s, gy = -0.0102 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -53.9104, I_w_pitch = -1.6798 A, I_w_roll =  0.1662 A, theta_pitch = 3.92351mrad, theta_roll_comp = -36.5886 mrad, theta_setpoint = -36.6144 mrad, 
msg = 9793, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195862 ms, ax = -0.1187, ay = -0.3932, az =  9.9626, gx =  0.0010 rad/s, gy = -0.0033 rad/s, gz = -0.0177 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.9412, I_w_pitch = -1.9589 A, I_w_roll =  0.3842 A, theta_pitch = 3.93783mrad, theta_roll_comp = -36.5703 mrad, theta_setpoint = -36.6753 mrad, 
msg = 9794, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195882 ms, ax = -0.0911, ay = -0.3620, az =  9.9615, gx =  0.0006 rad/s, gy =  0.0036 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.9412, I_w_pitch = -2.2571 A, I_w_roll =  0.2446 A, theta_pitch = 4.07909mrad, theta_roll_comp = -36.5697 mrad, theta_setpoint = -36.6753 mrad, 
msg = 9795, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195902 ms, ax = -0.0923, ay = -0.3548, az =  9.9722, gx =  0.0012 rad/s, gy =  0.0098 rad/s, gz = -0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.2727, I_w_pitch = -2.5386 A, I_w_roll =  0.5153 A, theta_pitch = 4.32222mrad, theta_roll_comp = -36.5175 mrad, theta_setpoint = -36.7173 mrad, 
msg = 9796, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195922 ms, ax = -0.0791, ay = -0.3476, az =  9.9770, gx =  0.0014 rad/s, gy =  0.0135 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.2727, I_w_pitch = -2.7338 A, I_w_roll =  0.5702 A, theta_pitch = 4.62949mrad, theta_roll_comp = -36.4969 mrad, theta_setpoint = -36.7173 mrad, 
msg = 9797, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195942 ms, ax = -0.0659, ay = -0.3548, az =  9.9555, gx =  0.0014 rad/s, gy =  0.0141 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -52.2727, I_w_pitch = -2.8086 A, I_w_roll =  0.5801 A, theta_pitch = 4.95046mrad, theta_roll_comp = -36.4720 mrad, theta_setpoint = -36.7173 mrad, 
msg = 9798, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195962 ms, ax = -0.0420, ay = -0.3584, az =  9.9555, gx =  0.0012 rad/s, gy =  0.0124 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -51.1698, I_w_pitch = -2.7794 A, I_w_roll =  0.5709 A, theta_pitch = 5.21775mrad, theta_roll_comp = -36.4479 mrad, theta_setpoint = -36.7865 mrad, 
msg = 9799, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   195982 ms, ax = -0.0300, ay = -0.3524, az =  9.9746, gx =  0.0010 rad/s, gy =  0.0080 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -50.1003, I_w_pitch = -2.6283 A, I_w_roll =  0.5279 A, theta_pitch = 5.38223mrad, theta_roll_comp = -36.3894 mrad, theta_setpoint = -36.8537 mrad, 
msg = 9800, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196002 ms, ax = -0.0372, ay = -0.3464, az =  9.9626, gx =  0.0004 rad/s, gy =  0.0030 rad/s, gz = -0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -49.8663, I_w_pitch = -2.4337 A, I_w_roll =  0.3580 A, theta_pitch = 5.43389mrad, theta_roll_comp = -36.3630 mrad, theta_setpoint = -36.8684 mrad, 
msg = 9801, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196022 ms, ax = -0.0408, ay = -0.3476, az =  9.9830, gx =  0.0006 rad/s, gy = -0.0006 rad/s, gz = -0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -49.8663, I_w_pitch = -2.2902 A, I_w_roll =  0.4402 A, theta_pitch = 5.43596mrad, theta_roll_comp = -36.2739 mrad, theta_setpoint = -36.8684 mrad, 
msg = 9802, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196042 ms, ax = -0.0432, ay = -0.3440, az =  9.9746, gx =  0.0003 rad/s, gy = -0.0028 rad/s, gz = -0.0047 rad/s, rpm_pitch =  0.0000, rpm_roll = -48.4626, I_w_pitch = -2.1978 A, I_w_roll =  0.3975 A, theta_pitch = 5.38801mrad, theta_roll_comp = -36.2359 mrad, theta_setpoint = -36.9566 mrad, 
msg = 9803, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196062 ms, ax = -0.0659, ay = -0.3273, az =  9.9878, gx = -0.0005 rad/s, gy = -0.0045 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = -46.9251, I_w_pitch = -2.1192 A, I_w_roll =  0.1729 A, theta_pitch = 5.32551mrad, theta_roll_comp = -36.1947 mrad, theta_setpoint = -37.0531 mrad, 
msg = 9804, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196082 ms, ax = -0.0671, ay = -0.3201, az =  9.9962, gx = -0.0004 rad/s, gy = -0.0044 rad/s, gz = -0.0097 rad/s, rpm_pitch = -4.4541, rpm_roll = -46.9251, I_w_pitch = -7.9913 A, I_w_roll =  0.2313 A, theta_pitch = 5.27683mrad, theta_roll_comp = -36.1653 mrad, theta_setpoint = -37.0531 mrad, 
msg = 9805, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196102 ms, ax = -0.0743, ay = -0.3009, az =  9.9806, gx =  0.0000 rad/s, gy = -0.0028 rad/s, gz = -0.0125 rad/s, rpm_pitch = -0.2620, rpm_roll = -45.5882, I_w_pitch = -2.5196 A, I_w_roll =  0.4296 A, theta_pitch = 5.23002mrad, theta_roll_comp = -36.1031 mrad, theta_setpoint = -37.1371 mrad, 
msg = 9806, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196122 ms, ax =  0.1582, ay = -0.3836, az =  9.9399, gx =  0.0006 rad/s, gy = -0.0181 rad/s, gz = -0.0180 rad/s, rpm_pitch = -0.2620, rpm_roll = -45.5882, I_w_pitch = -1.8487 A, I_w_roll =  0.6099 A, theta_pitch = 4.84065mrad, theta_roll_comp = -36.1184 mrad, theta_setpoint = -37.1371 mrad, 
msg = 9807, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196142 ms, ax =  0.0503, ay = -0.3356, az =  9.9758, gx = -0.0010 rad/s, gy = -0.0502 rad/s, gz = -0.0143 rad/s, rpm_pitch =  0.0000, rpm_roll = -44.3850, I_w_pitch = -0.0954 A, I_w_roll =  0.0742 A, theta_pitch = 4.01307mrad, theta_roll_comp = -36.1350 mrad, theta_setpoint = -37.2126 mrad, 
msg = 9808, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196162 ms, ax =  0.0815, ay = -0.3632, az =  9.9818, gx = -0.0022 rad/s, gy = -0.0681 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -43.2821, I_w_pitch =  0.8237 A, I_w_roll = -0.3213 A, theta_pitch = 2.67912mrad, theta_roll_comp = -36.1446 mrad, theta_setpoint = -37.2819 mrad, 
msg = 9809, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196182 ms, ax =  0.0012, ay = -0.3644, az =  9.9638, gx = -0.0018 rad/s, gy = -0.0744 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -43.2821, I_w_pitch =  1.3039 A, I_w_roll = -0.1905 A, theta_pitch = 1.14638mrad, theta_roll_comp = -36.1669 mrad, theta_setpoint = -37.2819 mrad, 
msg = 9810, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196202 ms, ax = -0.0719, ay = -0.3620, az =  9.9315, gx = -0.0028 rad/s, gy = -0.0685 rad/s, gz = -0.0059 rad/s, rpm_pitch =  0.0000, rpm_roll = -41.5107, I_w_pitch =  1.2717 A, I_w_roll = -0.4884 A, theta_pitch = -0.20080mrad, theta_roll_comp = -36.2075 mrad, theta_setpoint = -37.3931 mrad, 
msg = 9811, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196222 ms, ax = -0.1283, ay = -0.3476, az =  9.9854, gx = -0.0024 rad/s, gy = -0.0547 rad/s, gz = -0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -41.5107, I_w_pitch =  0.8635 A, I_w_roll = -0.3784 A, theta_pitch = -1.17222mrad, theta_roll_comp = -36.2818 mrad, theta_setpoint = -37.3931 mrad, 
msg = 9812, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196242 ms, ax = -0.1498, ay = -0.3261, az = 10.0250, gx = -0.0017 rad/s, gy = -0.0371 rad/s, gz = -0.0001 rad/s, rpm_pitch = -3.6681, rpm_roll = -40.7086, I_w_pitch = -4.5874 A, I_w_roll = -0.1391 A, theta_pitch = -1.77043mrad, theta_roll_comp = -36.3165 mrad, theta_setpoint = -37.4435 mrad, 
msg = 9813, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196262 ms, ax = -0.1546, ay = -0.3548, az =  9.9938, gx = -0.0012 rad/s, gy = -0.0171 rad/s, gz = -0.0008 rad/s, rpm_pitch = -0.0437, rpm_roll = -40.0401, I_w_pitch = -0.5786 A, I_w_roll =  0.0577 A, theta_pitch = -1.95578mrad, theta_roll_comp = -36.3325 mrad, theta_setpoint = -37.4855 mrad, 
msg = 9814, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196282 ms, ax =  0.0420, ay = -0.3416, az =  9.9423, gx = -0.0008 rad/s, gy = -0.0074 rad/s, gz = -0.0033 rad/s, rpm_pitch = -0.0437, rpm_roll = -40.0401, I_w_pitch = -0.9488 A, I_w_roll =  0.1866 A, theta_pitch = -2.07948mrad, theta_roll_comp = -36.3600 mrad, theta_setpoint = -37.4855 mrad, 
msg = 9815, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196302 ms, ax = -0.1115, ay = -0.3752, az =  9.9650, gx = -0.0005 rad/s, gy = -0.0117 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -40.1070, I_w_pitch = -0.7233 A, I_w_roll =  0.2700 A, theta_pitch = -2.06254mrad, theta_roll_comp = -36.3803 mrad, theta_setpoint = -37.4813 mrad, 
msg = 9816, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196322 ms, ax = -0.1247, ay = -0.3512, az = 10.0010, gx = -0.0001 rad/s, gy = -0.0089 rad/s, gz = -0.0085 rad/s, rpm_pitch =  0.0000, rpm_roll = -41.0428, I_w_pitch = -0.8514 A, I_w_roll =  0.3955 A, theta_pitch = -1.95417mrad, theta_roll_comp = -36.3573 mrad, theta_setpoint = -37.4225 mrad, 
msg = 9817, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196342 ms, ax = -0.0815, ay = -0.3596, az =  9.9662, gx = -0.0006 rad/s, gy = -0.0041 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -41.0428, I_w_pitch = -1.0616 A, I_w_roll =  0.2161 A, theta_pitch = -1.83160mrad, theta_roll_comp = -36.3397 mrad, theta_setpoint = -37.4225 mrad, 
msg = 9818, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196362 ms, ax = -0.0372, ay = -0.3596, az =  9.9626, gx = -0.0002 rad/s, gy =  0.0008 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -39.3382, I_w_pitch = -1.2709 A, I_w_roll =  0.3948 A, theta_pitch = -1.74961mrad, theta_roll_comp = -36.3494 mrad, theta_setpoint = -37.5296 mrad, 
msg = 9819, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196382 ms, ax = -0.0372, ay = -0.3752, az =  9.9662, gx =  0.0002 rad/s, gy =  0.0050 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -39.3382, I_w_pitch = -1.4611 A, I_w_roll =  0.5309 A, theta_pitch = -1.58255mrad, theta_roll_comp = -36.3587 mrad, theta_setpoint = -37.5296 mrad, 
msg = 9820, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196402 ms, ax = -0.0216, ay = -0.3560, az =  9.9818, gx = -0.0005 rad/s, gy =  0.0063 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -38.1016, I_w_pitch = -1.5452 A, I_w_roll =  0.3291 A, theta_pitch = -1.37730mrad, theta_roll_comp = -36.3585 mrad, theta_setpoint = -37.6072 mrad, 
msg = 9821, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196422 ms, ax = -0.0204, ay = -0.3620, az =  9.9758, gx =  0.0002 rad/s, gy =  0.0044 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -38.1350, I_w_pitch = -1.4963 A, I_w_roll =  0.5625 A, theta_pitch = -1.20608mrad, theta_roll_comp = -36.3553 mrad, theta_setpoint = -37.6051 mrad, 
msg = 9822, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196442 ms, ax = -0.0108, ay = -0.3644, az =  9.9674, gx = -0.0004 rad/s, gy =  0.0004 rad/s, gz = -0.0057 rad/s, rpm_pitch =  0.0000, rpm_roll = -38.1350, I_w_pitch = -1.3507 A, I_w_roll =  0.3747 A, theta_pitch = -1.11118mrad, theta_roll_comp = -36.3587 mrad, theta_setpoint = -37.6051 mrad, 
msg = 9823, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196462 ms, ax =  0.0192, ay = -0.3416, az =  9.9674, gx = -0.0013 rad/s, gy = -0.0050 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = -36.3971, I_w_pitch = -1.1263 A, I_w_roll =  0.1007 A, theta_pitch = -1.15123mrad, theta_roll_comp = -36.3373 mrad, theta_setpoint = -37.7143 mrad, 
msg = 9824, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196482 ms, ax =  0.0252, ay = -0.3500, az =  9.9710, gx = -0.0001 rad/s, gy = -0.0111 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -36.3971, I_w_pitch = -0.8546 A, I_w_roll =  0.5285 A, theta_pitch = -1.32937mrad, theta_roll_comp = -36.3164 mrad, theta_setpoint = -37.7143 mrad, 
msg = 9825, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196502 ms, ax =  0.0120, ay = -0.3416, az =  9.9722, gx = -0.0020 rad/s, gy = -0.0165 rad/s, gz = -0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -35.7286, I_w_pitch = -0.5978 A, I_w_roll = -0.1125 A, theta_pitch = -1.62114mrad, theta_roll_comp = -36.3298 mrad, theta_setpoint = -37.7562 mrad, 
msg = 9826, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196522 ms, ax =  0.0012, ay = -0.3201, az =  9.9591, gx = -0.0018 rad/s, gy = -0.0198 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -34.6925, I_w_pitch = -0.4127 A, I_w_roll = -0.0390 A, theta_pitch = -1.96779mrad, theta_roll_comp = -36.3276 mrad, theta_setpoint = -37.8213 mrad, 
msg = 9827, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196542 ms, ax = -0.0216, ay = -0.3584, az =  9.9722, gx =  0.0000 rad/s, gy = -0.0206 rad/s, gz =  0.0004 rad/s, rpm_pitch =  0.0000, rpm_roll = -34.6925, I_w_pitch = -0.3302 A, I_w_roll =  0.6190 A, theta_pitch = -2.30450mrad, theta_roll_comp = -36.3137 mrad, theta_setpoint = -37.8213 mrad, 
msg = 9828, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196562 ms, ax = -0.0372, ay = -0.3956, az =  9.9686, gx = -0.0016 rad/s, gy = -0.0193 rad/s, gz = -0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -33.2553, I_w_pitch = -0.3384 A, I_w_roll =  0.0812 A, theta_pitch = -2.60476mrad, theta_roll_comp = -36.3505 mrad, theta_setpoint = -37.9116 mrad, 
msg = 9829, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196582 ms, ax = -0.0324, ay = -0.3572, az =  9.9770, gx = -0.0012 rad/s, gy = -0.0167 rad/s, gz = -0.0016 rad/s, rpm_pitch = -0.4803, rpm_roll = -33.2553, I_w_pitch = -1.0384 A, I_w_roll =  0.2221 A, theta_pitch = -2.83593mrad, theta_roll_comp = -36.3478 mrad, theta_setpoint = -37.9116 mrad, 
msg = 9830, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196602 ms, ax = -0.0240, ay = -0.3512, az =  9.9686, gx =  0.0002 rad/s, gy = -0.0145 rad/s, gz = -0.0020 rad/s, rpm_pitch = -0.4803, rpm_roll = -33.5896, I_w_pitch = -1.0994 A, I_w_roll =  0.6906 A, theta_pitch = -3.03320mrad, theta_roll_comp = -36.3207 mrad, theta_setpoint = -37.8906 mrad, 
msg = 9831, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196622 ms, ax =  0.0108, ay = -0.3392, az =  9.9722, gx = -0.0020 rad/s, gy = -0.0133 rad/s, gz = -0.0048 rad/s, rpm_pitch = -5.2838, rpm_roll = -32.4866, I_w_pitch = -7.4488 A, I_w_roll = -0.0338 A, theta_pitch = -3.25569mrad, theta_roll_comp = -36.3368 mrad, theta_setpoint = -37.9598 mrad, 
msg = 9832, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196642 ms, ax =  0.0192, ay = -0.3165, az =  9.9626, gx = -0.0012 rad/s, gy = -0.0159 rad/s, gz = -0.0051 rad/s, rpm_pitch = -5.2838, rpm_roll = -32.4866, I_w_pitch = -7.3047 A, I_w_roll =  0.2627 A, theta_pitch = -3.50613mrad, theta_roll_comp = -36.2944 mrad, theta_setpoint = -37.9598 mrad, 
msg = 9833, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196662 ms, ax =  0.3848, ay = -0.3225, az =  9.9243, gx =  0.0007 rad/s, gy = -0.0371 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0437, rpm_roll = -31.3168, I_w_pitch =  0.7012 A, I_w_roll =  0.9608 A, theta_pitch = -4.39339mrad, theta_roll_comp = -36.2539 mrad, theta_setpoint = -38.0333 mrad, 
msg = 9834, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196682 ms, ax =  0.4423, ay = -0.3548, az =  9.8907, gx = -0.0024 rad/s, gy = -0.0937 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -29.7126, I_w_pitch =  3.2128 A, I_w_roll = -0.0854 A, theta_pitch = -6.43099mrad, theta_roll_comp = -36.2904 mrad, theta_setpoint = -38.1340 mrad, 
msg = 9835, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196702 ms, ax =  0.0444, ay = -0.3093, az =  9.9579, gx = -0.0030 rad/s, gy = -0.1435 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -29.7126, I_w_pitch =  5.6095 A, I_w_roll = -0.3127 A, theta_pitch = -9.12871mrad, theta_roll_comp = -36.2760 mrad, theta_setpoint = -38.1340 mrad, 
msg = 9836, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196722 ms, ax = -0.0072, ay = -0.3536, az =  9.9603, gx = -0.0006 rad/s, gy = -0.1625 rad/s, gz =  0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -29.0107, I_w_pitch =  6.8135 A, I_w_roll =  0.5652 A, theta_pitch = -12.07773mrad, theta_roll_comp = -36.2225 mrad, theta_setpoint = -38.1781 mrad, 
msg = 9837, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196742 ms, ax = -0.0491, ay = -0.4028, az =  9.9303, gx = -0.0018 rad/s, gy = -0.1592 rad/s, gz =  0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -29.0107, I_w_pitch =  7.1175 A, I_w_roll =  0.1278 A, theta_pitch = -14.99251mrad, theta_roll_comp = -36.2674 mrad, theta_setpoint = -38.1781 mrad, 
msg = 9838, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196762 ms, ax = -0.1067, ay = -0.3500, az =  9.9842, gx = -0.0031 rad/s, gy = -0.1412 rad/s, gz =  0.0186 rad/s, rpm_pitch = -4.6288, rpm_roll = -28.0749, I_w_pitch =  0.6698 A, I_w_roll = -0.3474 A, theta_pitch = -17.49765mrad, theta_roll_comp = -36.3493 mrad, theta_setpoint = -38.2369 mrad, 
msg = 9839, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196782 ms, ax = -0.1702, ay = -0.3644, az = 10.0538, gx = -0.0006 rad/s, gy = -0.1074 rad/s, gz =  0.0186 rad/s, rpm_pitch = -0.4367, rpm_roll = -27.2393, I_w_pitch =  5.1193 A, I_w_roll =  0.5749 A, theta_pitch = -19.32291mrad, theta_roll_comp = -36.3096 mrad, theta_setpoint = -38.2894 mrad, 
msg = 9840, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196802 ms, ax = -0.0623, ay = -0.3824, az = 10.0346, gx = -0.0001 rad/s, gy = -0.0753 rad/s, gz =  0.0141 rad/s, rpm_pitch = -0.4367, rpm_roll = -27.2393, I_w_pitch =  4.0123 A, I_w_roll =  0.7540 A, theta_pitch = -20.50041mrad, theta_roll_comp = -36.3280 mrad, theta_setpoint = -38.2894 mrad, 
msg = 9841, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196822 ms, ax = -0.1139, ay = -0.3476, az = 10.0214, gx = -0.0014 rad/s, gy = -0.0480 rad/s, gz =  0.0106 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.2059, I_w_pitch =  3.5900 A, I_w_roll =  0.2762 A, theta_pitch = -21.12428mrad, theta_roll_comp = -36.3593 mrad, theta_setpoint = -38.2915 mrad, 
msg = 9842, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196842 ms, ax = -0.0935, ay = -0.3392, az = 10.0166, gx = -0.0004 rad/s, gy = -0.0149 rad/s, gz = -0.0008 rad/s, rpm_pitch =  0.0000, rpm_roll = -27.2059, I_w_pitch =  2.2636 A, I_w_roll =  0.6720 A, theta_pitch = -21.12322mrad, theta_roll_comp = -36.3019 mrad, theta_setpoint = -38.2915 mrad, 
msg = 9843, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196862 ms, ax = -0.0803, ay = -0.3404, az = 10.0286, gx =  0.0004 rad/s, gy =  0.0151 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -25.0000, I_w_pitch =  0.9742 A, I_w_roll =  1.0413 A, theta_pitch = -20.51654mrad, theta_roll_comp = -36.2162 mrad, theta_setpoint = -38.4300 mrad, 
