picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch = -0.0000, rpm_roll =  0.0000, I_w_pitch =  0.0000 A, I_w_roll = 8893892.0000 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = 47223.9258 mrad, 
msg =  486, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9722 ms, ax =  0.0695, ay = -0.2697, az =  9.9782, gx =  0.0031 rad/s, gy =  0.0072 rad/s, gz = -0.0736 rad/s, rpm_pitch =  0.0000, rpm_roll = -190.0067, I_w_pitch =  2.4095 A, I_w_roll =  0.3156 A, theta_pitch = -27.99025mrad, theta_roll_comp = -29.9982 mrad, theta_setpoint = -28.0676 mrad, 
msg =  487, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9742 ms, ax =  0.0264, ay = -0.2997, az = 10.0106, gx =  0.0027 rad/s, gy =  0.0263 rad/s, gz = -0.0683 rad/s, rpm_pitch =  0.0000, rpm_roll = -190.0067, I_w_pitch =  1.5311 A, I_w_roll =  0.2216 A, theta_pitch = -27.21176mrad, theta_roll_comp = -29.8839 mrad, theta_setpoint = -28.0676 mrad, 
msg =  488, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9762 ms, ax =  0.0252, ay = -0.3500, az =  9.9890, gx =  0.0031 rad/s, gy =  0.0385 rad/s, gz = -0.0533 rad/s, rpm_pitch =  0.0000, rpm_roll = -189.6056, I_w_pitch =  0.8750 A, I_w_roll =  0.3711 A, theta_pitch = -26.10485mrad, theta_roll_comp = -29.8847 mrad, theta_setpoint = -28.0928 mrad, 
msg =  489, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9782 ms, ax =  0.0468, ay = -0.3500, az =  9.9818, gx =  0.0036 rad/s, gy =  0.0453 rad/s, gz = -0.0260 rad/s, rpm_pitch =  0.0000, rpm_roll = -189.6056, I_w_pitch =  0.4098 A, I_w_roll =  0.5403 A, theta_pitch = -24.81421mrad, theta_roll_comp = -29.9279 mrad, theta_setpoint = -28.0928 mrad, 
msg =  490, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9802 ms, ax =  0.1450, ay = -0.3656, az =  9.9782, gx =  0.0043 rad/s, gy =  0.0472 rad/s, gz =  0.0008 rad/s, rpm_pitch =  0.0000, rpm_roll = -188.7366, I_w_pitch =  0.1524 A, I_w_roll =  0.7830 A, theta_pitch = -23.59521mrad, theta_roll_comp = -29.9582 mrad, theta_setpoint = -28.1473 mrad, 
msg =  491, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9822 ms, ax =  0.1846, ay = -0.2937, az =  9.9926, gx =  0.0038 rad/s, gy =  0.0454 rad/s, gz =  0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll = -188.1684, I_w_pitch =  0.0621 A, I_w_roll =  0.6211 A, theta_pitch = -22.53147mrad, theta_roll_comp = -29.9324 mrad, theta_setpoint = -28.1830 mrad, 
msg =  492, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9842 ms, ax =  0.2290, ay = -0.2493, az =  9.9555, gx =  0.0026 rad/s, gy =  0.0412 rad/s, gz =  0.0221 rad/s, rpm_pitch =  0.0000, rpm_roll = -188.1684, I_w_pitch =  0.0980 A, I_w_roll =  0.2539 A, theta_pitch = -21.63490mrad, theta_roll_comp = -29.8019 mrad, theta_setpoint = -28.1830 mrad, 
msg =  493, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9862 ms, ax =  0.2469, ay = -0.1882, az =  9.9375, gx =  0.0012 rad/s, gy =  0.0364 rad/s, gz =  0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -187.0321, I_w_pitch =  0.1798 A, I_w_roll = -0.0921 A, theta_pitch = -20.90212mrad, theta_roll_comp = -29.5732 mrad, theta_setpoint = -28.2544 mrad, 
msg =  494, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9882 ms, ax =  0.2290, ay = -0.1906, az = 10.0154, gx =  0.0003 rad/s, gy =  0.0319 rad/s, gz = -0.0032 rad/s, rpm_pitch =  0.0000, rpm_roll = -186.4305, I_w_pitch =  0.2755 A, I_w_roll = -0.3249 A, theta_pitch = -20.33256mrad, theta_roll_comp = -29.3775 mrad, theta_setpoint = -28.2922 mrad, 
msg =  495, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9902 ms, ax =  0.1726, ay = -0.2793, az = 10.0274, gx =  0.0000 rad/s, gy =  0.0247 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -186.4305, I_w_pitch =  0.4767 A, I_w_roll = -0.3788 A, theta_pitch = -19.75616mrad, theta_roll_comp = -29.2793 mrad, theta_setpoint = -28.2922 mrad, 
msg =  496, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9922 ms, ax =  0.2361, ay = -0.3261, az =  9.9435, gx =  0.0000 rad/s, gy =  0.0155 rad/s, gz = -0.0212 rad/s, rpm_pitch =  0.0000, rpm_roll = -185.1938, I_w_pitch =  0.7892 A, I_w_roll = -0.3453 A, theta_pitch = -19.38965mrad, theta_roll_comp = -29.2731 mrad, theta_setpoint = -28.3698 mrad, 
msg =  497, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9942 ms, ax =  0.2062, ay = -0.3153, az =  9.9243, gx =  0.0003 rad/s, gy =  0.0080 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -185.1938, I_w_pitch =  1.0616 A, I_w_roll = -0.2829 A, theta_pitch = -19.21734mrad, theta_roll_comp = -29.3502 mrad, theta_setpoint = -28.3698 mrad, 
msg =  498, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9962 ms, ax =  0.1810, ay = -0.3380, az =  9.9543, gx =  0.0015 rad/s, gy =  0.0028 rad/s, gz = -0.0005 rad/s, rpm_pitch =  0.0000, rpm_roll = -184.3583, I_w_pitch =  1.2501 A, I_w_roll =  0.1323 A, theta_pitch = -19.08946mrad, theta_roll_comp = -29.4131 mrad, theta_setpoint = -28.4223 mrad, 
msg =  499, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =     9982 ms, ax =  0.1618, ay = -0.2925, az =  9.9842, gx =  0.0026 rad/s, gy = -0.0013 rad/s, gz =  0.0063 rad/s, rpm_pitch =  0.0000, rpm_roll = -183.9906, I_w_pitch =  1.4056 A, I_w_roll =  0.5141 A, theta_pitch = -19.02514mrad, theta_roll_comp = -29.4138 mrad, theta_setpoint = -28.4454 mrad, 
msg =  500, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10002 ms, ax =  0.1355, ay = -0.2505, az =  9.9387, gx =  0.0014 rad/s, gy = -0.0060 rad/s, gz =  0.0075 rad/s, rpm_pitch =  0.0000, rpm_roll = -183.9906, I_w_pitch =  1.5934 A, I_w_roll =  0.1362 A, theta_pitch = -19.03441mrad, theta_roll_comp = -29.3100 mrad, theta_setpoint = -28.4454 mrad, 
msg =  501, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10022 ms, ax =  0.2206, ay = -0.2026, az =  9.9375, gx =  0.0003 rad/s, gy = -0.0084 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -183.5562, I_w_pitch =  1.7094 A, I_w_roll = -0.1719 A, theta_pitch = -19.16871mrad, theta_roll_comp = -29.1754 mrad, theta_setpoint = -28.4727 mrad, 
msg =  502, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10042 ms, ax =  0.1498, ay = -0.2230, az = 10.0526, gx =  0.0006 rad/s, gy = -0.0050 rad/s, gz = -0.0209 rad/s, rpm_pitch =  0.0000, rpm_roll = -183.5562, I_w_pitch =  1.5887 A, I_w_roll = -0.0222 A, theta_pitch = -19.25142mrad, theta_roll_comp = -29.0341 mrad, theta_setpoint = -28.4727 mrad, 
msg =  503, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10062 ms, ax =  0.1415, ay = -0.2733, az = 10.0202, gx = -0.0002 rad/s, gy = -0.0044 rad/s, gz = -0.0290 rad/s, rpm_pitch =  0.0000, rpm_roll = -182.8209, I_w_pitch =  1.5571 A, I_w_roll = -0.2642 A, theta_pitch = -19.21820mrad, theta_roll_comp = -28.9862 mrad, theta_setpoint = -28.5188 mrad, 
msg =  504, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10082 ms, ax =  0.1570, ay = -0.3237, az =  9.9579, gx = -0.0008 rad/s, gy = -0.0036 rad/s, gz = -0.0268 rad/s, rpm_pitch =  0.0000, rpm_roll = -181.9184, I_w_pitch =  1.5258 A, I_w_roll = -0.4332 A, theta_pitch = -19.22275mrad, theta_roll_comp = -28.9994 mrad, theta_setpoint = -28.5755 mrad, 
msg =  505, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10102 ms, ax =  0.1187, ay = -0.3512, az =  9.9782, gx =  0.0008 rad/s, gy = -0.0002 rad/s, gz = -0.0150 rad/s, rpm_pitch =  0.0000, rpm_roll = -181.9184, I_w_pitch =  1.3844 A, I_w_roll =  0.0835 A, theta_pitch = -19.16789mrad, theta_roll_comp = -29.1058 mrad, theta_setpoint = -28.5755 mrad, 
msg =  506, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10122 ms, ax =  0.1438, ay = -0.3285, az =  9.9962, gx =  0.0015 rad/s, gy =  0.0023 rad/s, gz =  0.0011 rad/s, rpm_pitch =  0.0000, rpm_roll = -181.5174, I_w_pitch =  1.2608 A, I_w_roll =  0.2917 A, theta_pitch = -19.01850mrad, theta_roll_comp = -29.1930 mrad, theta_setpoint = -28.6007 mrad, 
msg =  507, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10142 ms, ax =  0.1846, ay = -0.2817, az =  9.9650, gx =  0.0016 rad/s, gy =  0.0040 rad/s, gz =  0.0089 rad/s, rpm_pitch =  0.0000, rpm_roll = -181.5174, I_w_pitch =  1.1715 A, I_w_roll =  0.3383 A, theta_pitch = -18.88489mrad, theta_roll_comp = -29.1931 mrad, theta_setpoint = -28.6007 mrad, 
msg =  508, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10162 ms, ax =  0.1750, ay = -0.2625, az =  9.9435, gx =  0.0016 rad/s, gy =  0.0048 rad/s, gz =  0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -181.1832, I_w_pitch =  1.1244 A, I_w_roll =  0.3777 A, theta_pitch = -18.78365mrad, theta_roll_comp = -29.1156 mrad, theta_setpoint = -28.6217 mrad, 
msg =  509, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10182 ms, ax =  0.1103, ay = -0.2098, az =  9.9998, gx =  0.0007 rad/s, gy =  0.0062 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.8824, I_w_pitch =  1.0392 A, I_w_roll =  0.1118 A, theta_pitch = -18.57075mrad, theta_roll_comp = -28.9836 mrad, theta_setpoint = -28.6406 mrad, 
msg =  510, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10202 ms, ax =  0.1870, ay = -0.2697, az =  9.9447, gx = -0.0012 rad/s, gy =  0.0038 rad/s, gz = -0.0232 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.8824, I_w_pitch =  1.1112 A, I_w_roll = -0.5044 A, theta_pitch = -18.41147mrad, theta_roll_comp = -28.8930 mrad, theta_setpoint = -28.6406 mrad, 
msg =  511, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10222 ms, ax =  0.1798, ay = -0.2793, az =  9.9650, gx = -0.0010 rad/s, gy =  0.0035 rad/s, gz = -0.0324 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.0134, I_w_pitch =  1.1180 A, I_w_roll = -0.4250 A, theta_pitch = -18.38620mrad, theta_roll_comp = -28.8657 mrad, theta_setpoint = -28.6952 mrad, 
msg =  512, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10242 ms, ax =  0.1474, ay = -0.3153, az =  9.9890, gx = -0.0008 rad/s, gy =  0.0036 rad/s, gz = -0.0277 rad/s, rpm_pitch =  0.0000, rpm_roll = -180.0134, I_w_pitch =  1.0900 A, I_w_roll = -0.3443 A, theta_pitch = -18.23499mrad, theta_roll_comp = -28.8969 mrad, theta_setpoint = -28.6952 mrad, 
msg =  513, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10262 ms, ax =  0.1271, ay = -0.3428, az =  9.9531, gx = -0.0001 rad/s, gy =  0.0010 rad/s, gz = -0.0131 rad/s, rpm_pitch =  0.0000, rpm_roll = -178.8102, I_w_pitch =  1.1754 A, I_w_roll = -0.1185 A, theta_pitch = -18.09391mrad, theta_roll_comp = -28.9905 mrad, theta_setpoint = -28.7707 mrad, 
msg =  514, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10282 ms, ax =  0.1163, ay = -0.4004, az =  9.9938, gx =  0.0016 rad/s, gy =  0.0006 rad/s, gz =  0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -178.6765, I_w_pitch =  1.1806 A, I_w_roll =  0.4394 A, theta_pitch = -18.02244mrad, theta_roll_comp = -29.1188 mrad, theta_setpoint = -28.7791 mrad, 
msg =  515, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10302 ms, ax =  0.1271, ay = -0.2577, az = 10.0526, gx =  0.0023 rad/s, gy =  0.0027 rad/s, gz =  0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -178.6765, I_w_pitch =  1.0694 A, I_w_roll =  0.6844 A, theta_pitch = -17.84922mrad, theta_roll_comp = -29.0887 mrad, theta_setpoint = -28.7791 mrad, 
msg =  516, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10322 ms, ax =  0.1594, ay = -0.2709, az =  9.9722, gx =  0.0016 rad/s, gy =  0.0027 rad/s, gz =  0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -178.5762, I_w_pitch =  1.0531 A, I_w_roll =  0.4804 A, theta_pitch = -17.74062mrad, theta_roll_comp = -29.0225 mrad, theta_setpoint = -28.7854 mrad, 
msg =  517, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10342 ms, ax =  0.0659, ay = -0.2314, az = 10.0178, gx =  0.0015 rad/s, gy =  0.0070 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll = -178.0414, I_w_pitch =  0.8486 A, I_w_roll =  0.5054 A, theta_pitch = -17.51355mrad, theta_roll_comp = -28.8772 mrad, theta_setpoint = -28.8190 mrad, 
msg =  518, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10362 ms, ax =  0.2086, ay = -0.1978, az =  9.9914, gx =  0.0007 rad/s, gy =  0.0070 rad/s, gz = -0.0237 rad/s, rpm_pitch =  0.0000, rpm_roll = -178.0414, I_w_pitch =  0.8196 A, I_w_roll =  0.2962 A, theta_pitch = -17.31959mrad, theta_roll_comp = -28.7009 mrad, theta_setpoint = -28.8190 mrad, 
msg =  519, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10382 ms, ax =  0.1199, ay = -0.2601, az = 10.0394, gx = -0.0004 rad/s, gy =  0.0076 rad/s, gz = -0.0341 rad/s, rpm_pitch =  0.0000, rpm_roll = -177.1390, I_w_pitch =  0.7678 A, I_w_roll = -0.0165 A, theta_pitch = -17.15229mrad, theta_roll_comp = -28.6074 mrad, theta_setpoint = -28.8757 mrad, 
msg =  520, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10402 ms, ax =  0.1139, ay = -0.3021, az = 10.0190, gx = -0.0006 rad/s, gy =  0.0078 rad/s, gz = -0.0378 rad/s, rpm_pitch =  0.0000, rpm_roll = -177.1390, I_w_pitch =  0.7198 A, I_w_roll = -0.1199 A, theta_pitch = -16.86762mrad, theta_roll_comp = -28.6329 mrad, theta_setpoint = -28.8757 mrad, 
msg =  521, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10422 ms, ax =  0.1367, ay = -0.3069, az =  9.9423, gx = -0.0006 rad/s, gy =  0.0035 rad/s, gz = -0.0254 rad/s, rpm_pitch =  0.0000, rpm_roll = -175.5348, I_w_pitch =  0.8634 A, I_w_roll = -0.1085 A, theta_pitch = -16.68896mrad, theta_roll_comp = -28.7050 mrad, theta_setpoint = -28.9764 mrad, 
msg =  522, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10442 ms, ax =  0.1918, ay = -0.3404, az =  9.9866, gx = -0.0001 rad/s, gy =  0.0027 rad/s, gz = -0.0065 rad/s, rpm_pitch =  5.1528, rpm_roll = -175.1337, I_w_pitch =  7.6769 A, I_w_roll =  0.0456 A, theta_pitch = -16.59516mrad, theta_roll_comp = -28.8110 mrad, theta_setpoint = -29.0016 mrad, 
msg =  523, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10462 ms, ax =  0.1462, ay = -0.3117, az =  9.9555, gx =  0.0003 rad/s, gy =  0.0011 rad/s, gz =  0.0099 rad/s, rpm_pitch =  0.0437, rpm_roll = -175.1337, I_w_pitch =  0.9959 A, I_w_roll =  0.1612 A, theta_pitch = -16.54910mrad, theta_roll_comp = -28.8715 mrad, theta_setpoint = -29.0016 mrad, 
msg =  524, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10482 ms, ax =  0.1750, ay = -0.2433, az = 10.0022, gx =  0.0007 rad/s, gy =  0.0023 rad/s, gz =  0.0150 rad/s, rpm_pitch =  0.0437, rpm_roll = -174.1310, I_w_pitch =  0.9363 A, I_w_roll =  0.3365 A, theta_pitch = -16.47146mrad, theta_roll_comp = -28.8459 mrad, theta_setpoint = -29.0646 mrad, 
msg =  525, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10502 ms, ax =  0.3009, ay = -0.2014, az =  9.9075, gx = -0.0004 rad/s, gy =  0.0002 rad/s, gz =  0.0071 rad/s, rpm_pitch =  0.0000, rpm_roll = -174.1310, I_w_pitch =  0.9735 A, I_w_roll =  0.0029 A, theta_pitch = -16.53506mrad, theta_roll_comp = -28.7477 mrad, theta_setpoint = -29.0646 mrad, 
msg =  526, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10522 ms, ax =  0.2146, ay = -0.2182, az = 10.0166, gx = -0.0002 rad/s, gy =  0.0042 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -173.5628, I_w_pitch =  0.8140 A, I_w_roll =  0.1205 A, theta_pitch = -16.53714mrad, theta_roll_comp = -28.6059 mrad, theta_setpoint = -29.1003 mrad, 
msg =  527, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10542 ms, ax =  0.1534, ay = -0.2493, az =  9.9758, gx = -0.0014 rad/s, gy =  0.0043 rad/s, gz = -0.0280 rad/s, rpm_pitch =  0.0000, rpm_roll = -173.1618, I_w_pitch =  0.8050 A, I_w_roll = -0.2510 A, theta_pitch = -16.51235mrad, theta_roll_comp = -28.5114 mrad, theta_setpoint = -29.1254 mrad, 
msg =  528, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10562 ms, ax =  0.0731, ay = -0.3201, az =  9.9938, gx = -0.0016 rad/s, gy =  0.0068 rad/s, gz = -0.0349 rad/s, rpm_pitch =  0.0000, rpm_roll = -173.1618, I_w_pitch =  0.6775 A, I_w_roll = -0.3003 A, theta_pitch = -16.33735mrad, theta_roll_comp = -28.5180 mrad, theta_setpoint = -29.1254 mrad, 
msg =  529, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10582 ms, ax =  0.0743, ay = -0.3320, az =  9.9842, gx = -0.0013 rad/s, gy =  0.0064 rad/s, gz = -0.0313 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.9920, I_w_pitch =  0.6476 A, I_w_roll = -0.2135 A, theta_pitch = -16.03152mrad, theta_roll_comp = -28.6076 mrad, theta_setpoint = -29.1989 mrad, 
msg =  530, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10602 ms, ax =  0.1894, ay = -0.3261, az =  9.9626, gx = -0.0010 rad/s, gy =  0.0056 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.9920, I_w_pitch =  0.6476 A, I_w_roll = -0.1584 A, theta_pitch = -15.81793mrad, theta_roll_comp = -28.7028 mrad, theta_setpoint = -29.1989 mrad, 
msg =  531, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10622 ms, ax =  0.1379, ay = -0.3117, az =  9.9603, gx = -0.0004 rad/s, gy =  0.0068 rad/s, gz =  0.0008 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.2233, I_w_pitch =  0.5832 A, I_w_roll =  0.0564 A, theta_pitch = -15.70858mrad, theta_roll_comp = -28.7966 mrad, theta_setpoint = -29.2472 mrad, 
msg =  532, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10642 ms, ax =  0.1091, ay = -0.2973, az =  9.9926, gx =  0.0006 rad/s, gy =  0.0107 rad/s, gz =  0.0113 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.0227, I_w_pitch =  0.3896 A, I_w_roll =  0.3724 A, theta_pitch = -15.44730mrad, theta_roll_comp = -28.8348 mrad, theta_setpoint = -29.2598 mrad, 
msg =  533, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10662 ms, ax =  0.1307, ay = -0.2541, az =  9.9758, gx =  0.0008 rad/s, gy =  0.0118 rad/s, gz =  0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -171.0227, I_w_pitch =  0.3100 A, I_w_roll =  0.4802 A, theta_pitch = -15.20114mrad, theta_roll_comp = -28.7983 mrad, theta_setpoint = -29.2598 mrad, 
msg =  534, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10682 ms, ax =  0.1726, ay = -0.2206, az = 10.0166, gx = -0.0001 rad/s, gy =  0.0141 rad/s, gz = -0.0023 rad/s, rpm_pitch =  0.0000, rpm_roll = -170.5548, I_w_pitch =  0.1751 A, I_w_roll =  0.2212 A, theta_pitch = -14.94079mrad, theta_roll_comp = -28.6597 mrad, theta_setpoint = -29.2892 mrad, 
msg =  535, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10702 ms, ax =  0.2038, ay = -0.2038, az =  9.9962, gx = -0.0008 rad/s, gy =  0.0098 rad/s, gz = -0.0200 rad/s, rpm_pitch =  0.0000, rpm_roll = -169.7861, I_w_pitch =  0.3319 A, I_w_roll =  0.0564 A, theta_pitch = -14.81402mrad, theta_roll_comp = -28.5375 mrad, theta_setpoint = -29.3374 mrad, 
msg =  536, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10722 ms, ax =  0.2098, ay = -0.2733, az =  9.9423, gx = -0.0012 rad/s, gy =  0.0040 rad/s, gz = -0.0300 rad/s, rpm_pitch =  0.0000, rpm_roll = -169.7861, I_w_pitch =  0.5547 A, I_w_roll = -0.0430 A, theta_pitch = -14.77303mrad, theta_roll_comp = -28.4363 mrad, theta_setpoint = -29.3374 mrad, 
msg =  537, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10742 ms, ax =  0.1786, ay = -0.2889, az =  9.9171, gx = -0.0017 rad/s, gy = -0.0018 rad/s, gz = -0.0293 rad/s, rpm_pitch =  0.0000, rpm_roll = -169.3182, I_w_pitch =  0.8073 A, I_w_roll = -0.2314 A, theta_pitch = -14.89467mrad, theta_roll_comp = -28.4707 mrad, theta_setpoint = -29.3668 mrad, 
msg =  538, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10762 ms, ax =  0.0851, ay = -0.3201, az =  9.9770, gx = -0.0009 rad/s, gy = -0.0048 rad/s, gz = -0.0169 rad/s, rpm_pitch =  0.0000, rpm_roll = -169.3182, I_w_pitch =  0.9361 A, I_w_roll =  0.0246 A, theta_pitch = -14.97170mrad, theta_roll_comp = -28.5298 mrad, theta_setpoint = -29.3668 mrad, 
msg =  539, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10782 ms, ax =  0.0995, ay = -0.3368, az = 10.0202, gx =  0.0000 rad/s, gy = -0.0060 rad/s, gz = -0.0013 rad/s, rpm_pitch =  0.0000, rpm_roll = -168.0481, I_w_pitch =  0.9818 A, I_w_roll =  0.3355 A, theta_pitch = -14.95699mrad, theta_roll_comp = -28.6479 mrad, theta_setpoint = -29.4466 mrad, 
msg =  540, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10802 ms, ax =  0.1355, ay = -0.3081, az =  9.9579, gx =  0.0002 rad/s, gy = -0.0065 rad/s, gz =  0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -167.6805, I_w_pitch =  1.0179 A, I_w_roll =  0.3648 A, theta_pitch = -15.05545mrad, theta_roll_comp = -28.7141 mrad, theta_setpoint = -29.4697 mrad, 
msg =  541, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10822 ms, ax =  0.1630, ay = -0.2673, az =  9.9866, gx =  0.0008 rad/s, gy = -0.0033 rad/s, gz =  0.0165 rad/s, rpm_pitch =  0.0000, rpm_roll = -167.6805, I_w_pitch =  0.9003 A, I_w_roll =  0.6026 A, theta_pitch = -15.12375mrad, theta_roll_comp = -28.7022 mrad, theta_setpoint = -29.4697 mrad, 
msg =  542, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10842 ms, ax =  0.1450, ay = -0.2361, az = 10.0154, gx =  0.0012 rad/s, gy =  0.0026 rad/s, gz =  0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = -167.0120, I_w_pitch =  0.6630 A, I_w_roll =  0.8006 A, theta_pitch = -15.10391mrad, theta_roll_comp = -28.5988 mrad, theta_setpoint = -29.5116 mrad, 
msg =  543, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10862 ms, ax =  0.2110, ay = -0.1906, az =  9.9950, gx =  0.0000 rad/s, gy =  0.0072 rad/s, gz = -0.0173 rad/s, rpm_pitch =  0.0000, rpm_roll = -167.0120, I_w_pitch =  0.4712 A, I_w_roll =  0.4451 A, theta_pitch = -15.06813mrad, theta_roll_comp = -28.4390 mrad, theta_setpoint = -29.5116 mrad, 
msg =  544, nerr =    0p/   6r, time steps =   10, qsz =    2, switch = on, t =    10882 ms, ax =  0.1798, ay = -0.2002, az = 10.0034, gx = -0.0006 rad/s, gy =  0.0108 rad/s, gz = -0.0369 rad/s, rpm_pitch =  0.0000, rpm_roll = -165.7754, I_w_pitch =  0.3036 A, I_w_roll =  0.3036 A, theta_pitch = -14.90986mrad, theta_roll_comp = -28.2879 mrad, theta_setpoint = -29.5893 mrad, 
