picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, nerr =    0p/   0r, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -6.1004 A, I_w_roll = -12.4082 A, theta_pitch = 0.00000mrad, theta_roll_comp =  0.0000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  169, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3382 ms, ax = -0.0755, ay = -0.4819, az =  9.9638, gx =  0.0030 rad/s, gy =  0.0160 rad/s, gz = -0.0181 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.2821, I_w_pitch =  0.2391 A, I_w_roll =  1.3201 A, theta_pitch = -15.86461mrad, theta_roll_comp = -40.4510 mrad, theta_setpoint = -41.1481 mrad, 
msg =  170, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3402 ms, ax = -0.0456, ay = -0.5155, az =  9.9974, gx =  0.0046 rad/s, gy =  0.0343 rad/s, gz = -0.0285 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.5829, I_w_pitch = -0.6316 A, I_w_roll =  1.8537 A, theta_pitch = -14.92407mrad, theta_roll_comp = -40.5341 mrad, theta_setpoint = -41.1670 mrad, 
msg =  171, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3422 ms, ax = -0.0408, ay = -0.4603, az = 10.0202, gx =  0.0147 rad/s, gy =  0.0440 rad/s, gz = -0.0399 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.9425, I_w_pitch = -1.1957 A, I_w_roll =  5.3329 A, theta_pitch = -13.75544mrad, theta_roll_comp = -40.5251 mrad, theta_setpoint = -41.0012 mrad, 
msg =  172, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3442 ms, ax = -0.0839, ay = -0.4495, az =  9.9806, gx =  0.0139 rad/s, gy =  0.0481 rad/s, gz = -0.0494 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.9064, I_w_pitch = -1.5609 A, I_w_roll =  5.1221 A, theta_pitch = -12.42205mrad, theta_roll_comp = -40.2880 mrad, theta_setpoint = -40.9361 mrad, 
msg =  173, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3462 ms, ax = -0.0479, ay = -0.3848, az =  9.9650, gx =  0.0084 rad/s, gy =  0.0458 rad/s, gz = -0.0587 rad/s, rpm_pitch =  0.0000, rpm_roll = 14.9064, I_w_pitch = -1.6647 A, I_w_roll =  3.3525 A, theta_pitch = -11.12642mrad, theta_roll_comp = -39.9351 mrad, theta_setpoint = -40.9361 mrad, 
msg =  174, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3482 ms, ax = -0.0312, ay = -0.3392, az =  9.9351, gx =  0.0084 rad/s, gy =  0.0385 rad/s, gz = -0.0578 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.0789, I_w_pitch = -1.5419 A, I_w_roll =  3.5647 A, theta_pitch = -9.99184mrad, theta_roll_comp = -39.5410 mrad, theta_setpoint = -41.0726 mrad, 
msg =  175, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3502 ms, ax = -0.0036, ay = -0.2793, az =  9.9411, gx =  0.0031 rad/s, gy =  0.0300 rad/s, gz = -0.0391 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.7500, I_w_pitch = -1.3368 A, I_w_roll =  1.8544 A, theta_pitch = -9.08702mrad, theta_roll_comp = -39.2613 mrad, theta_setpoint = -41.1775 mrad, 
msg =  176, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3522 ms, ax =  0.0132, ay = -0.2949, az =  9.9842, gx = -0.0026 rad/s, gy =  0.0193 rad/s, gz = -0.0055 rad/s, rpm_pitch =  0.0000, rpm_roll = 18.7500, I_w_pitch = -1.0089 A, I_w_roll = -0.1041 A, theta_pitch = -8.43182mrad, theta_roll_comp = -39.1476 mrad, theta_setpoint = -41.1775 mrad, 
msg =  177, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3542 ms, ax =  0.0276, ay = -0.2829, az =  9.9902, gx = -0.0038 rad/s, gy =  0.0092 rad/s, gz =  0.0322 rad/s, rpm_pitch =  0.0000, rpm_roll = 21.4572, I_w_pitch = -0.6657 A, I_w_roll = -0.4658 A, theta_pitch = -8.02127mrad, theta_roll_comp = -39.1732 mrad, theta_setpoint = -41.3475 mrad, 
msg =  178, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3562 ms, ax =  0.0683, ay = -0.3332, az =  9.9543, gx = -0.0075 rad/s, gy =  0.0000 rad/s, gz =  0.0640 rad/s, rpm_pitch =  0.0000, rpm_roll = 21.4572, I_w_pitch = -0.3178 A, I_w_roll = -1.7934 A, theta_pitch = -7.89059mrad, theta_roll_comp = -39.2299 mrad, theta_setpoint = -41.3475 mrad, 
msg =  179, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3582 ms, ax =  0.0875, ay = -0.3512, az =  9.9615, gx = -0.0086 rad/s, gy = -0.0081 rad/s, gz =  0.0752 rad/s, rpm_pitch =  0.0000, rpm_roll = 25.0000, I_w_pitch =  0.0218 A, I_w_roll = -2.1360 A, theta_pitch = -7.98918mrad, theta_roll_comp = -39.3768 mrad, theta_setpoint = -41.5700 mrad, 
msg =  180, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3602 ms, ax =  0.1259, ay = -0.3956, az =  9.9710, gx = -0.0074 rad/s, gy = -0.0137 rad/s, gz =  0.0670 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.8997, I_w_pitch =  0.2888 A, I_w_roll = -1.7850 A, theta_pitch = -8.27731mrad, theta_roll_comp = -39.5417 mrad, theta_setpoint = -41.5637 mrad, 
msg =  181, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3622 ms, ax =  0.1223, ay = -0.3788, az =  9.9698, gx = -0.0058 rad/s, gy = -0.0186 rad/s, gz =  0.0411 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.8997, I_w_pitch =  0.5474 A, I_w_roll = -1.2773 A, theta_pitch = -8.68768mrad, theta_roll_comp = -39.6704 mrad, theta_setpoint = -41.5637 mrad, 
msg =  182, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3642 ms, ax =  0.1295, ay = -0.3620, az =  9.9626, gx = -0.0045 rad/s, gy = -0.0219 rad/s, gz =  0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.8997, I_w_pitch =  0.7523 A, I_w_roll = -0.8449 A, theta_pitch = -9.16623mrad, theta_roll_comp = -39.7546 mrad, theta_setpoint = -41.5637 mrad, 
msg =  183, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3662 ms, ax =  0.1115, ay = -0.3932, az =  9.9638, gx = -0.0017 rad/s, gy = -0.0230 rad/s, gz = -0.0292 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.8997, I_w_pitch =  0.8709 A, I_w_roll =  0.1340 A, theta_pitch = -9.67295mrad, theta_roll_comp = -39.7542 mrad, theta_setpoint = -41.5637 mrad, 
msg =  184, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3682 ms, ax =  0.0959, ay = -0.4435, az =  9.9555, gx = -0.0013 rad/s, gy = -0.0237 rad/s, gz = -0.0539 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.8997, I_w_pitch =  0.9693 A, I_w_roll =  0.2578 A, theta_pitch = -10.15100mrad, theta_roll_comp = -39.7942 mrad, theta_setpoint = -41.5637 mrad, 
msg =  185, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3702 ms, ax =  0.0587, ay = -0.4279, az =  9.9758, gx =  0.0014 rad/s, gy = -0.0239 rad/s, gz = -0.0603 rad/s, rpm_pitch =  0.0000, rpm_roll = 24.8997, I_w_pitch =  1.0445 A, I_w_roll =  1.1599 A, theta_pitch = -10.58172mrad, theta_roll_comp = -39.8690 mrad, theta_setpoint = -41.5637 mrad, 
msg =  186, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3722 ms, ax =  0.0575, ay = -0.4483, az =  9.9387, gx = -0.0002 rad/s, gy = -0.0231 rad/s, gz = -0.0486 rad/s, rpm_pitch =  0.0000, rpm_roll = 21.1564, I_w_pitch =  1.0670 A, I_w_roll =  0.4730 A, theta_pitch = -10.94451mrad, theta_roll_comp = -39.9530 mrad, theta_setpoint = -41.3286 mrad, 
msg =  187, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3742 ms, ax =  0.0479, ay = -0.4184, az =  9.9471, gx = -0.0028 rad/s, gy = -0.0223 rad/s, gz = -0.0269 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.6885, I_w_pitch =  1.0841 A, I_w_roll = -0.4606 A, theta_pitch = -11.27161mrad, theta_roll_comp = -40.0439 mrad, theta_setpoint = -41.2992 mrad, 
msg =  188, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3762 ms, ax =  0.0491, ay = -0.4136, az =  9.9615, gx = -0.0014 rad/s, gy = -0.0215 rad/s, gz = -0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.6885, I_w_pitch =  1.0964 A, I_w_roll = -0.0205 A, theta_pitch = -11.56690mrad, theta_roll_comp = -40.1089 mrad, theta_setpoint = -41.2992 mrad, 
msg =  189, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3782 ms, ax =  0.0671, ay = -0.4220, az =  9.9507, gx = -0.0028 rad/s, gy = -0.0207 rad/s, gz =  0.0130 rad/s, rpm_pitch =  0.0000, rpm_roll = 20.6885, I_w_pitch =  1.1103 A, I_w_roll = -0.5154 A, theta_pitch = -11.87236mrad, theta_roll_comp = -40.1810 mrad, theta_setpoint = -41.2992 mrad, 
msg =  190, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3802 ms, ax =  0.0875, ay = -0.4471, az =  9.9579, gx = -0.0047 rad/s, gy = -0.0197 rad/s, gz =  0.0204 rad/s, rpm_pitch =  0.0000, rpm_roll = 17.8476, I_w_pitch =  1.1181 A, I_w_roll = -1.3419 A, theta_pitch = -12.20812mrad, theta_roll_comp = -40.3213 mrad, theta_setpoint = -41.1208 mrad, 
msg =  191, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3822 ms, ax =  0.1223, ay = -0.4375, az =  9.9423, gx = -0.0025 rad/s, gy = -0.0197 rad/s, gz =  0.0185 rad/s, rpm_pitch =  4.1921, rpm_roll = 17.8476, I_w_pitch =  6.6999 A, I_w_roll = -0.5776 A, theta_pitch = -12.56291mrad, theta_roll_comp = -40.3912 mrad, theta_setpoint = -41.1208 mrad, 
msg =  192, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3842 ms, ax =  0.1187, ay = -0.3704, az =  9.9698, gx = -0.0022 rad/s, gy = -0.0191 rad/s, gz =  0.0089 rad/s, rpm_pitch =  4.1921, rpm_roll = 18.0481, I_w_pitch =  6.7327 A, I_w_roll = -0.4897 A, theta_pitch = -12.92392mrad, theta_roll_comp = -40.4170 mrad, theta_setpoint = -41.1334 mrad, 
msg =  193, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3862 ms, ax = -0.0180, ay = -0.3392, az = 10.0118, gx = -0.0069 rad/s, gy = -0.0065 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.7112, I_w_pitch =  0.7043 A, I_w_roll = -2.1576 A, theta_pitch = -12.96463mrad, theta_roll_comp = -40.4249 mrad, theta_setpoint = -41.0495 mrad, 
msg =  194, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3882 ms, ax = -0.0863, ay = -0.3512, az = 10.0609, gx = -0.0006 rad/s, gy =  0.0273 rad/s, gz = -0.0232 rad/s, rpm_pitch =  0.0000, rpm_roll = 16.7112, I_w_pitch = -0.7376 A, I_w_roll =  0.0526 A, theta_pitch = -12.37143mrad, theta_roll_comp = -40.3753 mrad, theta_setpoint = -41.0495 mrad, 
msg =  195, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3902 ms, ax = -0.0575, ay = -0.4759, az = 10.0118, gx =  0.0055 rad/s, gy =  0.0622 rad/s, gz = -0.0364 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.2072, I_w_pitch = -2.3323 A, I_w_roll =  2.1720 A, theta_pitch = -11.04267mrad, theta_roll_comp = -40.3418 mrad, theta_setpoint = -40.9550 mrad, 
msg =  196, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3922 ms, ax =  0.0384, ay = -0.4699, az =  9.9878, gx = -0.0006 rad/s, gy =  0.0763 rad/s, gz = -0.0377 rad/s, rpm_pitch =  0.0000, rpm_roll = 15.2072, I_w_pitch = -3.1388 A, I_w_roll =  0.0314 A, theta_pitch = -9.43027mrad, theta_roll_comp = -40.3339 mrad, theta_setpoint = -40.9550 mrad, 
msg =  197, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3942 ms, ax =  0.1594, ay = -0.3932, az =  9.9579, gx =  0.0007 rad/s, gy =  0.0743 rad/s, gz = -0.0337 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.5642, I_w_pitch = -3.2819 A, I_w_roll =  0.4210 A, theta_pitch = -7.94367mrad, theta_roll_comp = -40.2962 mrad, theta_setpoint = -40.7262 mrad, 
msg =  198, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3962 ms, ax =  0.1906, ay = -0.3752, az =  9.9303, gx = -0.0006 rad/s, gy =  0.0624 rad/s, gz = -0.0244 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.6310, I_w_pitch = -2.9723 A, I_w_roll = -0.0355 A, theta_pitch = -6.81165mrad, theta_roll_comp = -40.2766 mrad, theta_setpoint = -40.7304 mrad, 
msg =  199, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     3982 ms, ax =  0.1798, ay = -0.3992, az =  9.9075, gx = -0.0030 rad/s, gy =  0.0426 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.6310, I_w_pitch = -2.3058 A, I_w_roll = -0.8913 A, theta_pitch = -5.99983mrad, theta_roll_comp = -40.3190 mrad, theta_setpoint = -40.7304 mrad, 
msg =  200, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4002 ms, ax =  0.2302, ay = -0.3608, az =  9.9327, gx = -0.0042 rad/s, gy =  0.0200 rad/s, gz = -0.0041 rad/s, rpm_pitch =  0.0000, rpm_roll = 11.9987, I_w_pitch = -1.4450 A, I_w_roll = -1.3111 A, theta_pitch = -5.70209mrad, theta_roll_comp = -40.3429 mrad, theta_setpoint = -40.7535 mrad, 
msg =  201, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4022 ms, ax =  0.2266, ay = -0.4028, az =  9.9135, gx = -0.0024 rad/s, gy = -0.0045 rad/s, gz = -0.0003 rad/s, rpm_pitch =  1.9214, rpm_roll = 11.9987, I_w_pitch =  2.1030 A, I_w_roll = -0.6684 A, theta_pitch = -5.92925mrad, theta_roll_comp = -40.3672 mrad, theta_setpoint = -40.7535 mrad, 
msg =  202, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4042 ms, ax =  0.1930, ay = -0.4148, az =  9.8991, gx = -0.0046 rad/s, gy = -0.0258 rad/s, gz = -0.0009 rad/s, rpm_pitch =  0.0873, rpm_roll = 13.1016, I_w_pitch =  0.6261 A, I_w_roll = -1.4702 A, theta_pitch = -6.52704mrad, theta_roll_comp = -40.4604 mrad, theta_setpoint = -40.8228 mrad, 
msg =  203, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4062 ms, ax =  0.1606, ay = -0.3752, az =  9.9387, gx = -0.0066 rad/s, gy = -0.0371 rad/s, gz = -0.0056 rad/s, rpm_pitch =  0.0873, rpm_roll = 12.3329, I_w_pitch =  1.2101 A, I_w_roll = -2.2273 A, theta_pitch = -7.40218mrad, theta_roll_comp = -40.5572 mrad, theta_setpoint = -40.7745 mrad, 
msg =  204, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4082 ms, ax =  0.0899, ay = -0.3980, az =  9.9543, gx = -0.0028 rad/s, gy = -0.0419 rad/s, gz = -0.0141 rad/s, rpm_pitch =  0.0000, rpm_roll = 12.3329, I_w_pitch =  1.4275 A, I_w_roll = -0.9103 A, theta_pitch = -8.34104mrad, theta_roll_comp = -40.6435 mrad, theta_setpoint = -40.7745 mrad, 
msg =  205, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4102 ms, ax =  0.0491, ay = -0.4471, az =  9.9555, gx = -0.0033 rad/s, gy = -0.0416 rad/s, gz = -0.0221 rad/s, rpm_pitch =  0.0000, rpm_roll =  9.6257, I_w_pitch =  1.5357 A, I_w_roll = -1.2282 A, theta_pitch = -9.13365mrad, theta_roll_comp = -40.8023 mrad, theta_setpoint = -40.6045 mrad, 
msg =  206, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4122 ms, ax =  0.0659, ay = -0.4495, az =  9.9615, gx = -0.0046 rad/s, gy = -0.0383 rad/s, gz = -0.0246 rad/s, rpm_pitch = -2.2271, rpm_roll =  9.6257, I_w_pitch = -1.4263 A, I_w_roll = -1.7489 A, theta_pitch = -9.85503mrad, theta_roll_comp = -40.9389 mrad, theta_setpoint = -40.6045 mrad, 
msg =  207, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4142 ms, ax =  0.0456, ay = -0.4579, az =  9.9591, gx = -0.0016 rad/s, gy = -0.0321 rad/s, gz = -0.0241 rad/s, rpm_pitch =  0.0000, rpm_roll =  5.7487, I_w_pitch =  1.3515 A, I_w_roll = -0.8270 A, theta_pitch = -10.46187mrad, theta_roll_comp = -41.0703 mrad, theta_setpoint = -40.3610 mrad, 
msg =  208, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4162 ms, ax =  0.0731, ay = -0.4807, az =  9.9638, gx = -0.0022 rad/s, gy = -0.0285 rad/s, gz = -0.0185 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.6765, I_w_pitch =  1.2641 A, I_w_roll = -1.1735 A, theta_pitch = -10.83842mrad, theta_roll_comp = -41.2240 mrad, theta_setpoint = -40.2309 mrad, 
msg =  209, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4182 ms, ax =  0.1331, ay = -0.4291, az =  9.9519, gx = -0.0045 rad/s, gy = -0.0261 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll =  3.6765, I_w_pitch =  1.2354 A, I_w_roll = -2.0157 A, theta_pitch = -11.28580mrad, theta_roll_comp = -41.3488 mrad, theta_setpoint = -40.2309 mrad, 
msg =  210, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4202 ms, ax =  0.0743, ay = -0.4387, az =  9.9543, gx = -0.0025 rad/s, gy = -0.0221 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.4679, I_w_pitch =  1.1428 A, I_w_roll = -1.4323 A, theta_pitch = -11.73383mrad, theta_roll_comp = -41.4363 mrad, theta_setpoint = -40.0294 mrad, 
msg =  211, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4222 ms, ax =  0.0348, ay = -0.4279, az =  9.9806, gx = -0.0009 rad/s, gy = -0.0178 rad/s, gz = -0.0021 rad/s, rpm_pitch =  0.0000, rpm_roll =  0.4679, I_w_pitch =  1.0122 A, I_w_roll = -0.9040 A, theta_pitch = -11.99976mrad, theta_roll_comp = -41.5138 mrad, theta_setpoint = -40.0294 mrad, 
msg =  212, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4242 ms, ax =  0.0899, ay = -0.4148, az =  9.9710, gx = -0.0022 rad/s, gy = -0.0141 rad/s, gz = -0.0024 rad/s, rpm_pitch =  0.0000, rpm_roll = -1.5709, I_w_pitch =  0.8946 A, I_w_roll = -1.4298 A, theta_pitch = -12.20990mrad, theta_roll_comp = -41.5352 mrad, theta_setpoint = -39.9013 mrad, 
msg =  213, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4262 ms, ax =  0.1139, ay = -0.3896, az =  9.9722, gx = -0.0010 rad/s, gy = -0.0115 rad/s, gz = -0.0064 rad/s, rpm_pitch =  0.0000, rpm_roll = -2.1725, I_w_pitch =  0.8249 A, I_w_roll = -1.0226 A, theta_pitch = -12.41946mrad, theta_roll_comp = -41.5279 mrad, theta_setpoint = -39.8636 mrad, 
msg =  214, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4282 ms, ax =  0.1067, ay = -0.4028, az =  9.9638, gx = -0.0014 rad/s, gy = -0.0098 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -2.1725, I_w_pitch =  0.7813 A, I_w_roll = -1.1612 A, theta_pitch = -12.59081mrad, theta_roll_comp = -41.5250 mrad, theta_setpoint = -39.8636 mrad, 
msg =  215, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4302 ms, ax =  0.1007, ay = -0.3980, az =  9.9591, gx = -0.0028 rad/s, gy = -0.0105 rad/s, gz = -0.0153 rad/s, rpm_pitch =  5.6332, rpm_roll = -2.8409, I_w_pitch =  8.2593 A, I_w_roll = -1.6460 A, theta_pitch = -12.73917mrad, theta_roll_comp = -41.5298 mrad, theta_setpoint = -39.8216 mrad, 
msg =  216, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4322 ms, ax =  0.1187, ay = -0.3896, az =  9.9555, gx = -0.0025 rad/s, gy = -0.0127 rad/s, gz = -0.0180 rad/s, rpm_pitch =  5.6332, rpm_roll = -3.2754, I_w_pitch =  8.3831 A, I_w_roll = -1.5684 A, theta_pitch = -12.96126mrad, theta_roll_comp = -41.5416 mrad, theta_setpoint = -39.7943 mrad, 
msg =  217, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4342 ms, ax = -0.0695, ay = -0.3944, az = 10.0082, gx = -0.0075 rad/s, gy = -0.0016 rad/s, gz = -0.0166 rad/s, rpm_pitch =  0.1310, rpm_roll = -3.2754, I_w_pitch =  0.6516 A, I_w_roll = -3.3539 A, theta_pitch = -12.77577mrad, theta_roll_comp = -41.5780 mrad, theta_setpoint = -39.7943 mrad, 
msg =  218, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4362 ms, ax = -0.1055, ay = -0.3800, az = 10.0597, gx = -0.0037 rad/s, gy =  0.0355 rad/s, gz = -0.0226 rad/s, rpm_pitch =  0.1310, rpm_roll = -4.3783, I_w_pitch = -0.9505 A, I_w_roll = -2.0346 A, theta_pitch = -11.96590mrad, theta_roll_comp = -41.5892 mrad, theta_setpoint = -39.7250 mrad, 
msg =  219, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4382 ms, ax = -0.0491, ay = -0.4639, az = 10.0082, gx =  0.0023 rad/s, gy =  0.0765 rad/s, gz = -0.0282 rad/s, rpm_pitch =  0.0000, rpm_roll = -4.3783, I_w_pitch = -2.9708 A, I_w_roll =  0.0433 A, theta_pitch = -10.58556mrad, theta_roll_comp = -41.6375 mrad, theta_setpoint = -39.7250 mrad, 
msg =  220, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4402 ms, ax = -0.0515, ay = -0.4951, az =  9.9291, gx = -0.0047 rad/s, gy =  0.0906 rad/s, gz = -0.0229 rad/s, rpm_pitch =  0.0000, rpm_roll = -6.7848, I_w_pitch = -3.8310 A, I_w_roll = -2.5365 A, theta_pitch = -8.61487mrad, theta_roll_comp = -41.7607 mrad, theta_setpoint = -39.5739 mrad, 
msg =  221, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4422 ms, ax =  0.1307, ay = -0.4579, az =  9.9015, gx = -0.0057 rad/s, gy =  0.0851 rad/s, gz = -0.0172 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.4225, I_w_pitch = -3.8793 A, I_w_roll = -2.9461 A, theta_pitch = -6.83665mrad, theta_roll_comp = -41.8664 mrad, theta_setpoint = -39.4711 mrad, 
msg =  222, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4442 ms, ax =  0.2397, ay = -0.4291, az =  9.8931, gx = -0.0039 rad/s, gy =  0.0670 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.4225, I_w_pitch = -3.3494 A, I_w_roll = -2.3967 A, theta_pitch = -5.54027mrad, theta_roll_comp = -42.0076 mrad, theta_setpoint = -39.4711 mrad, 
msg =  223, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4462 ms, ax =  0.2433, ay = -0.4675, az =  9.9099, gx = -0.0049 rad/s, gy =  0.0428 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.4225, I_w_pitch = -2.4854 A, I_w_roll = -2.7929 A, theta_pitch = -4.83805mrad, theta_roll_comp = -42.1824 mrad, theta_setpoint = -39.4711 mrad, 
msg =  224, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4482 ms, ax =  0.2266, ay = -0.4291, az =  9.9051, gx = -0.0093 rad/s, gy =  0.0153 rad/s, gz = -0.0009 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.2634, I_w_pitch = -1.4134 A, I_w_roll = -4.4954 A, theta_pitch = -4.67042mrad, theta_roll_comp = -42.4155 mrad, theta_setpoint = -39.2927 mrad, 
msg =  225, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4502 ms, ax =  0.2254, ay = -0.3980, az =  9.9267, gx = -0.0049 rad/s, gy = -0.0115 rad/s, gz =  0.0007 rad/s, rpm_pitch =  0.0000, rpm_roll = -13.3690, I_w_pitch = -0.2849 A, I_w_roll = -3.0543 A, theta_pitch = -5.02110mrad, theta_roll_comp = -42.5254 mrad, theta_setpoint = -39.1604 mrad, 
msg =  226, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4522 ms, ax =  0.1918, ay = -0.4831, az =  9.9231, gx = -0.0021 rad/s, gy = -0.0309 rad/s, gz = -0.0043 rad/s, rpm_pitch =  0.0000, rpm_roll = -14.4719, I_w_pitch =  0.6010 A, I_w_roll = -2.1670 A, theta_pitch = -5.77809mrad, theta_roll_comp = -42.6844 mrad, theta_setpoint = -39.0912 mrad, 
msg =  227, nerr =    0p/   0r, time steps =   10, qsz =    2, switch = on, t =     4542 ms, ax =  0.1630, ay = -0.4819, az =  9.9327, gx = -0.0016 rad/s, gy = -0.0446 rad/s, gz = -0.0080 rad/s, rpm_pitch =  0.0000, rpm_roll = -14.4719, I_w_pitch =  1.3003 A, I_w_roll = -2.0128 A, theta_pitch = -6.78275mrad, theta_roll_comp = -42.7650 mrad, theta_setpoint = -39.0912 mrad, 
