picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =    6, nerr =    0p/   2r, time steps =   10, qsz =    2, switch = on, t =      122 ms, ax =  0.1558, ay =  0.0060, az =  9.9483, gx = -0.0138 rad/s, gy = -0.0050 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch = -1.1111 A, I_w_roll = 10.6286 A, theta_pitch = -1.25275mrad, theta_roll_comp = -1.3514 mrad, theta_setpoint = -40.0000 mrad, 
msg =  906, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18122 ms, ax =  0.0300, ay = -0.2853, az =  9.9327, gx =  0.0022 rad/s, gy = -0.0029 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.0842, I_w_pitch = -0.6421 A, I_w_roll =  0.3195 A, theta_pitch = -4.94771mrad, theta_roll_comp = -36.7670 mrad, theta_setpoint = -35.6615 mrad, 
msg =  907, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18142 ms, ax = -0.0216, ay = -0.3608, az =  9.9650, gx = -0.0021 rad/s, gy = -0.0001 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.3489, I_w_pitch = -0.7677 A, I_w_roll = -1.1194 A, theta_pitch = -4.85622mrad, theta_roll_comp = -36.6821 mrad, theta_setpoint = -35.7077 mrad, 
msg =  908, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18162 ms, ax = -0.0120, ay = -0.3117, az =  9.9615, gx = -0.0026 rad/s, gy =  0.0004 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.3489, I_w_pitch = -0.8105 A, I_w_roll = -1.2823 A, theta_pitch = -4.71284mrad, theta_roll_comp = -36.6232 mrad, theta_setpoint = -35.7077 mrad, 
msg =  909, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18182 ms, ax = -0.0180, ay = -0.3225, az =  9.9555, gx = -0.0013 rad/s, gy =  0.0003 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.1791, I_w_pitch = -0.8249 A, I_w_roll = -0.7870 A, theta_pitch = -4.58112mrad, theta_roll_comp = -36.6236 mrad, theta_setpoint = -35.7811 mrad, 
msg =  910, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18202 ms, ax = -0.0132, ay = -0.3189, az =  9.9531, gx = -0.0055 rad/s, gy =  0.0007 rad/s, gz = -0.0087 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.1791, I_w_pitch = -0.8615 A, I_w_roll = -2.2953 A, theta_pitch = -4.44359mrad, theta_roll_comp = -36.6660 mrad, theta_setpoint = -35.7811 mrad, 
msg =  911, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18222 ms, ax = -0.0252, ay = -0.3908, az =  9.9615, gx = -0.0018 rad/s, gy = -0.0010 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.4104, I_w_pitch = -0.8093 A, I_w_roll = -0.9932 A, theta_pitch = -4.33034mrad, theta_roll_comp = -36.7212 mrad, theta_setpoint = -35.8294 mrad, 
msg =  912, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18242 ms, ax =  0.0408, ay = -0.3836, az =  9.9674, gx = -0.0018 rad/s, gy = -0.0033 rad/s, gz = -0.0087 rad/s, rpm_pitch = -3.0131, rpm_roll = -66.7447, I_w_pitch = -4.6977 A, I_w_roll = -1.0393 A, theta_pitch = -4.29469mrad, theta_roll_comp = -36.8154 mrad, theta_setpoint = -35.8084 mrad, 
msg =  913, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18262 ms, ax =  0.0360, ay = -0.3932, az =  9.9435, gx = -0.0038 rad/s, gy = -0.0064 rad/s, gz = -0.0068 rad/s, rpm_pitch = -3.0131, rpm_roll = -66.7447, I_w_pitch = -4.5619 A, I_w_roll = -1.7753 A, theta_pitch = -4.38354mrad, theta_roll_comp = -36.9079 mrad, theta_setpoint = -35.8084 mrad, 
msg =  914, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18282 ms, ax =  0.1954, ay = -0.4196, az =  9.9195, gx =  0.0032 rad/s, gy = -0.0202 rad/s, gz = -0.0083 rad/s, rpm_pitch = -0.3930, rpm_roll = -67.2460, I_w_pitch = -0.4850 A, I_w_roll =  0.6619 A, theta_pitch = -4.83460mrad, theta_roll_comp = -36.9585 mrad, theta_setpoint = -35.7770 mrad, 
msg =  915, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18302 ms, ax =  0.2062, ay = -0.4351, az =  9.8823, gx = -0.0018 rad/s, gy = -0.0494 rad/s, gz =  0.0003 rad/s, rpm_pitch = -0.3930, rpm_roll = -67.2460, I_w_pitch =  0.8286 A, I_w_roll = -1.1445 A, theta_pitch = -5.81528mrad, theta_roll_comp = -37.0471 mrad, theta_setpoint = -35.7770 mrad, 
msg =  916, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18322 ms, ax =  0.0563, ay = -0.3704, az =  9.9135, gx = -0.0065 rad/s, gy = -0.0817 rad/s, gz =  0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.9505, I_w_pitch =  2.8528 A, I_w_roll = -2.8547 A, theta_pitch = -7.22625mrad, theta_roll_comp = -37.1376 mrad, theta_setpoint = -35.6699 mrad, 
msg =  917, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18342 ms, ax =  0.0204, ay = -0.3584, az =  9.9626, gx =  0.0000 rad/s, gy = -0.0972 rad/s, gz =  0.0106 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.7500, I_w_pitch =  3.7263 A, I_w_roll = -0.5941 A, theta_pitch = -8.93115mrad, theta_roll_comp = -37.2077 mrad, theta_setpoint = -35.6825 mrad, 
msg =  918, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18362 ms, ax = -0.0252, ay = -0.4088, az =  9.9339, gx = -0.0004 rad/s, gy = -0.0973 rad/s, gz =  0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.7500, I_w_pitch =  3.9936 A, I_w_roll = -0.7499 A, theta_pitch = -10.67718mrad, theta_roll_comp = -37.2477 mrad, theta_setpoint = -35.6825 mrad, 
msg =  919, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18382 ms, ax = -0.0527, ay = -0.3404, az =  9.9926, gx = -0.0020 rad/s, gy = -0.0860 rad/s, gz =  0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -70.2540, I_w_pitch =  3.7714 A, I_w_roll = -1.3575 A, theta_pitch = -12.21387mrad, theta_roll_comp = -37.2741 mrad, theta_setpoint = -35.5880 mrad, 
msg =  920, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18402 ms, ax = -0.0779, ay = -0.3392, az = 10.0322, gx =  0.0052 rad/s, gy = -0.0691 rad/s, gz = -0.0083 rad/s, rpm_pitch =  0.0000, rpm_roll = -70.2540, I_w_pitch =  3.2674 A, I_w_roll =  1.1756 A, theta_pitch = -13.36350mrad, theta_roll_comp = -37.2329 mrad, theta_setpoint = -35.5880 mrad, 
msg =  921, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18422 ms, ax = -0.1103, ay = -0.4124, az =  9.9842, gx =  0.0047 rad/s, gy = -0.0480 rad/s, gz = -0.0192 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.3569, I_w_pitch =  2.5297 A, I_w_roll =  0.9978 A, theta_pitch = -14.05591mrad, theta_roll_comp = -37.1421 mrad, theta_setpoint = -35.5188 mrad, 
msg =  922, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18442 ms, ax = -0.1007, ay = -0.3848, az =  9.9842, gx =  0.0012 rad/s, gy = -0.0249 rad/s, gz = -0.0281 rad/s, rpm_pitch = -1.0044, rpm_roll = -71.9920, I_w_pitch =  0.3130 A, I_w_roll = -0.1829 A, theta_pitch = -14.28659mrad, theta_roll_comp = -37.0248 mrad, theta_setpoint = -35.4789 mrad, 
msg =  923, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18462 ms, ax = -0.1043, ay = -0.3045, az = 10.0202, gx =  0.0056 rad/s, gy = -0.0044 rad/s, gz = -0.0349 rad/s, rpm_pitch = -1.0044, rpm_roll = -71.9920, I_w_pitch = -0.5383 A, I_w_roll =  1.4187 A, theta_pitch = -14.07919mrad, theta_roll_comp = -36.8656 mrad, theta_setpoint = -35.4789 mrad, 
msg =  924, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18482 ms, ax = -0.0899, ay = -0.3644, az =  9.9758, gx =  0.0052 rad/s, gy =  0.0115 rad/s, gz = -0.0341 rad/s, rpm_pitch =  3.1441, rpm_roll = -72.2928, I_w_pitch =  4.2163 A, I_w_roll =  1.3281 A, theta_pitch = -13.52866mrad, theta_roll_comp = -36.7238 mrad, theta_setpoint = -35.4600 mrad, 
msg =  925, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18502 ms, ax = -0.0551, ay = -0.3404, az = 10.0046, gx =  0.0007 rad/s, gy =  0.0212 rad/s, gz = -0.0261 rad/s, rpm_pitch =  4.4541, rpm_roll = -71.9251, I_w_pitch =  5.4471 A, I_w_roll = -0.2004 A, theta_pitch = -12.80832mrad, theta_roll_comp = -36.6067 mrad, theta_setpoint = -35.4831 mrad, 
msg =  926, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18522 ms, ax =  0.0444, ay = -0.3093, az =  9.9938, gx =  0.0019 rad/s, gy =  0.0284 rad/s, gz = -0.0172 rad/s, rpm_pitch =  4.4541, rpm_roll = -71.9251, I_w_pitch =  5.0447 A, I_w_roll =  0.2659 A, theta_pitch = -12.04335mrad, theta_roll_comp = -36.4896 mrad, theta_setpoint = -35.4831 mrad, 
msg =  927, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18542 ms, ax = -0.0743, ay = -0.2937, az =  9.9603, gx = -0.0017 rad/s, gy =  0.0438 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.9251, I_w_pitch = -1.6104 A, I_w_roll = -0.9509 A, theta_pitch = -10.95570mrad, theta_roll_comp = -36.3857 mrad, theta_setpoint = -35.4831 mrad, 
msg =  928, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18562 ms, ax = -0.0923, ay = -0.3177, az = 10.0262, gx = -0.0018 rad/s, gy =  0.0642 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -71.1230, I_w_pitch = -2.6427 A, I_w_roll = -0.9448 A, theta_pitch = -9.50605mrad, theta_roll_comp = -36.3043 mrad, theta_setpoint = -35.5335 mrad, 
msg =  929, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18582 ms, ax = -0.0024, ay = -0.3668, az = 10.0190, gx =  0.0056 rad/s, gy =  0.0799 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.7193, I_w_pitch = -3.5235 A, I_w_roll =  1.7439 A, theta_pitch = -7.82386mrad, theta_roll_comp = -36.1952 mrad, theta_setpoint = -35.6216 mrad, 
msg =  930, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18602 ms, ax =  0.0288, ay = -0.3596, az =  9.9938, gx =  0.0036 rad/s, gy =  0.0823 rad/s, gz = -0.0127 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.9532, I_w_pitch = -3.8756 A, I_w_roll =  1.0741 A, theta_pitch = -6.11566mrad, theta_roll_comp = -36.1074 mrad, theta_setpoint = -35.6069 mrad, 
msg =  931, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18622 ms, ax =  0.0935, ay = -0.3201, az =  9.9686, gx = -0.0029 rad/s, gy =  0.0737 rad/s, gz = -0.0125 rad/s, rpm_pitch =  0.0000, rpm_roll = -69.9532, I_w_pitch = -3.7613 A, I_w_roll = -1.1754 A, theta_pitch = -4.56999mrad, theta_roll_comp = -36.0222 mrad, theta_setpoint = -35.6069 mrad, 
msg =  932, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18642 ms, ax =  0.1223, ay = -0.3548, az =  9.9267, gx =  0.0004 rad/s, gy =  0.0557 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.8168, I_w_pitch = -3.2165 A, I_w_roll =  0.0289 A, theta_pitch = -3.40865mrad, theta_roll_comp = -35.9956 mrad, theta_setpoint = -35.6783 mrad, 
msg =  933, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18662 ms, ax =  0.2050, ay = -0.3320, az =  9.9123, gx = -0.0033 rad/s, gy =  0.0323 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -68.8168, I_w_pitch = -2.3690 A, I_w_roll = -1.2841 A, theta_pitch = -2.80922mrad, theta_roll_comp = -36.0157 mrad, theta_setpoint = -35.6783 mrad, 
msg =  934, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18682 ms, ax =  0.2026, ay = -0.3716, az =  9.9243, gx = -0.0022 rad/s, gy =  0.0064 rad/s, gz = -0.0037 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.8810, I_w_pitch = -1.3384 A, I_w_roll = -0.9202 A, theta_pitch = -2.79128mrad, theta_roll_comp = -36.0970 mrad, theta_setpoint = -35.7371 mrad, 
msg =  935, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18702 ms, ax =  0.1678, ay = -0.4351, az =  9.9291, gx =  0.0026 rad/s, gy = -0.0169 rad/s, gz = -0.0016 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.4465, I_w_pitch = -0.3404 A, I_w_roll =  0.7539 A, theta_pitch = -3.23058mrad, theta_roll_comp = -36.1332 mrad, theta_setpoint = -35.7644 mrad, 
msg =  936, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18722 ms, ax =  0.0911, ay = -0.4255, az =  9.9291, gx =  0.0002 rad/s, gy = -0.0326 rad/s, gz = -0.0017 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.4465, I_w_pitch =  0.3931 A, I_w_roll = -0.1018 A, theta_pitch = -3.93088mrad, theta_roll_comp = -36.1755 mrad, theta_setpoint = -35.7644 mrad, 
msg =  937, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18742 ms, ax =  0.0599, ay = -0.3548, az =  9.9471, gx = -0.0014 rad/s, gy = -0.0415 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.7139, I_w_pitch =  0.8717 A, I_w_roll = -0.6764 A, theta_pitch = -4.74230mrad, theta_roll_comp = -36.1970 mrad, theta_setpoint = -35.7476 mrad, 
msg =  938, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18762 ms, ax =  0.0300, ay = -0.3464, az =  9.9543, gx =  0.0031 rad/s, gy = -0.0438 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.7139, I_w_pitch =  1.0871 A, I_w_roll =  0.9151 A, theta_pitch = -5.57462mrad, theta_roll_comp = -36.1795 mrad, theta_setpoint = -35.7476 mrad, 
msg =  939, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18782 ms, ax = -0.0336, ay = -0.3680, az =  9.9351, gx =  0.0014 rad/s, gy = -0.0376 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.8783, I_w_pitch =  0.9464 A, I_w_roll =  0.3317 A, theta_pitch = -6.27045mrad, theta_roll_comp = -36.1759 mrad, theta_setpoint = -35.8000 mrad, 
msg =  940, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18802 ms, ax = -0.0527, ay = -0.3464, az =  9.9782, gx = -0.0006 rad/s, gy = -0.0273 rad/s, gz = -0.0193 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.2126, I_w_pitch =  0.5944 A, I_w_roll = -0.3705 A, theta_pitch = -6.69326mrad, theta_roll_comp = -36.1628 mrad, theta_setpoint = -35.7791 mrad, 
msg =  941, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18822 ms, ax = -0.0731, ay = -0.3752, az =  9.9842, gx =  0.0043 rad/s, gy = -0.0142 rad/s, gz = -0.0225 rad/s, rpm_pitch =  0.0000, rpm_roll = -67.2126, I_w_pitch =  0.0915 A, I_w_roll =  1.3700 A, theta_pitch = -6.82045mrad, theta_roll_comp = -36.1223 mrad, theta_setpoint = -35.7791 mrad, 
msg =  942, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18842 ms, ax = -0.0611, ay = -0.3836, az =  9.9567, gx =  0.0008 rad/s, gy = -0.0024 rad/s, gz = -0.0214 rad/s, rpm_pitch =  0.0000, rpm_roll = -66.1431, I_w_pitch = -0.4020 A, I_w_roll =  0.1891 A, theta_pitch = -6.69006mrad, theta_roll_comp = -36.1125 mrad, theta_setpoint = -35.8462 mrad, 
msg =  943, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18862 ms, ax = -0.0396, ay = -0.3225, az =  9.9519, gx = -0.0013 rad/s, gy =  0.0056 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.2072, I_w_pitch = -0.7612 A, I_w_roll = -0.5208 A, theta_pitch = -6.42647mrad, theta_roll_comp = -36.0820 mrad, theta_setpoint = -35.9050 mrad, 
msg =  944, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18882 ms, ax = -0.0096, ay = -0.3368, az =  9.9603, gx =  0.0026 rad/s, gy =  0.0078 rad/s, gz = -0.0121 rad/s, rpm_pitch =  0.0000, rpm_roll = -65.2072, I_w_pitch = -0.8936 A, I_w_roll =  0.8461 A, theta_pitch = -6.11169mrad, theta_roll_comp = -36.0435 mrad, theta_setpoint = -35.9050 mrad, 
msg =  945, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18902 ms, ax =  0.0276, ay = -0.3596, az =  9.9087, gx = -0.0008 rad/s, gy =  0.0070 rad/s, gz = -0.0079 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.7393, I_w_pitch = -0.8996 A, I_w_roll = -0.3041 A, theta_pitch = -5.85840mrad, theta_roll_comp = -36.0357 mrad, theta_setpoint = -35.9344 mrad, 
msg =  946, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18922 ms, ax =  0.0479, ay = -0.3560, az =  9.9363, gx = -0.0039 rad/s, gy =  0.0031 rad/s, gz = -0.0049 rad/s, rpm_pitch =  0.0000, rpm_roll = -64.7393, I_w_pitch = -0.7661 A, I_w_roll = -1.4261 A, theta_pitch = -5.71854mrad, theta_roll_comp = -36.0443 mrad, theta_setpoint = -35.9344 mrad, 
msg =  947, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18942 ms, ax =  0.0659, ay = -0.3536, az =  9.9279, gx = -0.0010 rad/s, gy = -0.0037 rad/s, gz = -0.0061 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.1350, I_w_pitch = -0.4965 A, I_w_roll = -0.3583 A, theta_pitch = -5.70545mrad, theta_roll_comp = -36.0389 mrad, theta_setpoint = -36.0351 mrad, 
msg =  948, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18962 ms, ax =  0.0575, ay = -0.3189, az =  9.9291, gx = -0.0035 rad/s, gy = -0.0105 rad/s, gz = -0.0081 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.1350, I_w_pitch = -0.2014 A, I_w_roll = -1.2663 A, theta_pitch = -5.86164mrad, theta_roll_comp = -36.0951 mrad, theta_setpoint = -36.0351 mrad, 
msg =  949, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    18982 ms, ax =  0.0396, ay = -0.3596, az =  9.9710, gx = -0.0034 rad/s, gy = -0.0173 rad/s, gz = -0.0136 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.1350, I_w_pitch =  0.1109 A, I_w_roll = -1.2496 A, theta_pitch = -6.13299mrad, theta_roll_comp = -36.1699 mrad, theta_setpoint = -36.0351 mrad, 
msg =  950, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19002 ms, ax =  0.0420, ay = -0.3944, az =  9.9363, gx =  0.0015 rad/s, gy = -0.0245 rad/s, gz = -0.0164 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3997, I_w_pitch =  0.4584 A, I_w_roll =  0.4779 A, theta_pitch = -6.53216mrad, theta_roll_comp = -36.2082 mrad, theta_setpoint = -36.0813 mrad, 
msg =  951, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19022 ms, ax =  0.0288, ay = -0.3788, az =  9.9411, gx = -0.0014 rad/s, gy = -0.0282 rad/s, gz = -0.0174 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.3997, I_w_pitch =  0.6856 A, I_w_roll = -0.5716 A, theta_pitch = -7.05267mrad, theta_roll_comp = -36.2686 mrad, theta_setpoint = -36.0813 mrad, 
msg =  952, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19042 ms, ax =  0.0156, ay = -0.3692, az =  9.9830, gx = -0.0025 rad/s, gy = -0.0303 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.2687, I_w_pitch =  0.8496 A, I_w_roll = -0.9852 A, theta_pitch = -7.57787mrad, theta_roll_comp = -36.3161 mrad, theta_setpoint = -36.0267 mrad, 
msg =  953, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19062 ms, ax =  0.0000, ay = -0.4160, az =  9.9626, gx =  0.0039 rad/s, gy = -0.0307 rad/s, gz = -0.0146 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.8676, I_w_pitch =  0.9364 A, I_w_roll =  1.2643 A, theta_pitch = -8.04959mrad, theta_roll_comp = -36.3098 mrad, theta_setpoint = -36.0519 mrad, 
msg =  954, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19082 ms, ax =  0.0096, ay = -0.3584, az =  9.9459, gx =  0.0004 rad/s, gy = -0.0291 rad/s, gz = -0.0112 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.8676, I_w_pitch =  0.9382 A, I_w_roll =  0.0568 A, theta_pitch = -8.48810mrad, theta_roll_comp = -36.2995 mrad, theta_setpoint = -36.0519 mrad, 
msg =  955, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19102 ms, ax =  0.0084, ay = -0.3093, az =  9.9818, gx = -0.0004 rad/s, gy = -0.0263 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.2019, I_w_pitch =  0.8868 A, I_w_roll = -0.2059 A, theta_pitch = -8.89093mrad, theta_roll_comp = -36.2361 mrad, theta_setpoint = -36.0309 mrad, 
msg =  956, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19122 ms, ax =  0.0096, ay = -0.3069, az =  9.9842, gx =  0.0048 rad/s, gy = -0.0239 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.2019, I_w_pitch =  0.8401 A, I_w_roll =  1.6449 A, theta_pitch = -9.21855mrad, theta_roll_comp = -36.1531 mrad, theta_setpoint = -36.0309 mrad, 
msg =  957, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19142 ms, ax = -0.0024, ay = -0.3392, az =  9.9543, gx =  0.0012 rad/s, gy = -0.0230 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -63.3021, I_w_pitch =  0.8468 A, I_w_roll =  0.4161 A, theta_pitch = -9.51189mrad, theta_roll_comp = -36.0729 mrad, theta_setpoint = -36.0246 mrad, 
msg =  958, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19162 ms, ax =  0.0108, ay = -0.3524, az =  9.9794, gx =  0.0002 rad/s, gy = -0.0246 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.7340, I_w_pitch =  0.9578 A, I_w_roll =  0.0824 A, theta_pitch = -9.82617mrad, theta_roll_comp = -36.0108 mrad, theta_setpoint = -36.0603 mrad, 
msg =  959, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19182 ms, ax =  0.0060, ay = -0.3428, az =  9.9603, gx =  0.0047 rad/s, gy = -0.0279 rad/s, gz = -0.0116 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.7340, I_w_pitch =  1.1429 A, I_w_roll =  1.7037 A, theta_pitch = -10.17239mrad, theta_roll_comp = -35.9188 mrad, theta_setpoint = -36.0603 mrad, 
msg =  960, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19202 ms, ax = -0.0156, ay = -0.3872, az =  9.9423, gx = -0.0006 rad/s, gy = -0.0314 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.2995, I_w_pitch =  1.3403 A, I_w_roll = -0.1345 A, theta_pitch = -10.56501mrad, theta_roll_comp = -35.8814 mrad, theta_setpoint = -36.0876 mrad, 
msg =  961, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19222 ms, ax =  0.0096, ay = -0.3440, az =  9.9603, gx = -0.0025 rad/s, gy = -0.0367 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -62.2995, I_w_pitch =  1.6236 A, I_w_roll = -0.7598 A, theta_pitch = -11.03327mrad, theta_roll_comp = -35.8133 mrad, theta_setpoint = -36.0876 mrad, 
msg =  962, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19242 ms, ax = -0.0024, ay = -0.2961, az =  9.9579, gx =  0.0019 rad/s, gy = -0.0422 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -60.6952, I_w_pitch =  1.9274 A, I_w_roll =  0.8375 A, theta_pitch = -11.60318mrad, theta_roll_comp = -35.7656 mrad, theta_setpoint = -36.1883 mrad, 
msg =  963, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19262 ms, ax = -0.0312, ay = -0.3021, az =  9.9411, gx = -0.0012 rad/s, gy = -0.0471 rad/s, gz = -0.0091 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.5922, I_w_pitch =  2.2182 A, I_w_roll = -0.1914 A, theta_pitch = -12.22775mrad, theta_roll_comp = -35.7276 mrad, theta_setpoint = -36.2576 mrad, 
msg =  964, nerr =    6p/   6r, time steps =   10, qsz =    2, switch = on, t =    19282 ms, ax = -0.0611, ay = -0.2517, az =  9.9674, gx = -0.0018 rad/s, gy = -0.0542 rad/s, gz = -0.0084 rad/s, rpm_pitch =  0.0000, rpm_roll = -59.5922, I_w_pitch =  2.6032 A, I_w_roll = -0.4081 A, theta_pitch = -12.91274mrad, theta_roll_comp = -35.6866 mrad, theta_setpoint = -36.2576 mrad, 
