picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0000 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad 
msg =   59, time steps =   10, qsz =    2, switch = off, t =     1182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.4267, az =  9.9291, gx =  0.0163 rad/s, gy =  0.0034 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.5216 A, theta_roll_comp = -30.0669 mrad 
msg =   60, time steps =   10, qsz =    2, switch = off, t =     1202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.4232, az =  9.9339, gx =  0.0134 rad/s, gy =  0.0032 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -4.0008 A, theta_roll_comp = -30.0263 mrad 
msg =   61, time steps =   10, qsz =    2, switch = off, t =     1222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.4172, az =  9.9255, gx =  0.0108 rad/s, gy =  0.0026 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.5443 A, theta_roll_comp = -30.0334 mrad 
msg =   62, time steps =   10, qsz =    2, switch = off, t =     1242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.4136, az =  9.9339, gx =  0.0082 rad/s, gy =  0.0015 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -3.0573 A, theta_roll_comp = -30.0808 mrad 
msg =   63, time steps =   10, qsz =    2, switch = off, t =     1262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.4172, az =  9.9351, gx =  0.0060 rad/s, gy =  0.0011 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -2.6585 A, theta_roll_comp = -30.1769 mrad 
msg =   64, time steps =   10, qsz =    2, switch = off, t =     1282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.4160, az =  9.9219, gx =  0.0031 rad/s, gy =  0.0008 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -2.1078 A, theta_roll_comp = -30.3232 mrad 
msg =   65, time steps =   10, qsz =    2, switch = off, t =     1302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.4172, az =  9.9327, gx =  0.0002 rad/s, gy =  0.0010 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -1.5485 A, theta_roll_comp = -30.5230 mrad 
msg =   66, time steps =   10, qsz =    2, switch = off, t =     1322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5886, ay = -0.4232, az =  9.9375, gx = -0.0029 rad/s, gy =  0.0011 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.9556 A, theta_roll_comp = -30.7834 mrad 
msg =   67, time steps =   10, qsz =    2, switch = off, t =     1342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5934, ay = -0.4136, az =  9.9375, gx = -0.0063 rad/s, gy =  0.0014 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -0.2818 A, theta_roll_comp = -31.0998 mrad 
msg =   68, time steps =   10, qsz =    2, switch = off, t =     1362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5874, ay = -0.4088, az =  9.9291, gx = -0.0094 rad/s, gy =  0.0014 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.3271 A, theta_roll_comp = -31.4600 mrad 
msg =   69, time steps =   10, qsz =    2, switch = off, t =     1382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.3992, az =  9.9279, gx = -0.0123 rad/s, gy =  0.0014 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.9180 A, theta_roll_comp = -31.8577 mrad 
msg =   70, time steps =   10, qsz =    2, switch = off, t =     1402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.3920, az =  9.9267, gx = -0.0157 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  1.5872 A, theta_roll_comp = -32.2949 mrad 
msg =   71, time steps =   10, qsz =    2, switch = off, t =     1422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.4004, az =  9.9267, gx = -0.0189 rad/s, gy =  0.0014 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  2.2415 A, theta_roll_comp = -32.7896 mrad 
msg =   72, time steps =   10, qsz =    2, switch = on, t =     1442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5538, ay = -0.4148, az =  9.9111, gx = -0.0215 rad/s, gy =  0.0010 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  2.8112 A, theta_roll_comp = -33.3542 mrad 
msg =   73, time steps =   10, qsz =    2, switch = on, t =     1462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.4411, az =  9.9219, gx = -0.0239 rad/s, gy =  0.0008 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  3.3457 A, theta_roll_comp = -33.9984 mrad 
msg =   74, time steps =   10, qsz =    2, switch = on, t =     1482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.4375, az =  9.9219, gx = -0.0277 rad/s, gy =  0.0003 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  4.1299 A, theta_roll_comp = -34.7053 mrad 
msg =   75, time steps =   10, qsz =    2, switch = on, t =     1502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5850, ay = -0.4411, az =  9.9315, gx = -0.0298 rad/s, gy =  0.0002 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll =    8, I_w_pitch = -0.0000 A, I_w_roll =  4.6325 A, theta_roll_comp = -35.4496 mrad 
msg =   76, time steps =   10, qsz =    2, switch = on, t =     1522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.4771, az =  9.9303, gx = -0.0308 rad/s, gy =  0.0003 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll =    8, I_w_pitch = -0.0000 A, I_w_roll =  4.9517 A, theta_roll_comp = -36.2465 mrad 
msg =   77, time steps =   10, qsz =    2, switch = on, t =     1542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.5226, az =  9.9219, gx = -0.0330 rad/s, gy =  0.0002 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll =   32, I_w_pitch = -0.0000 A, I_w_roll =  5.4803 A, theta_roll_comp = -37.1533 mrad 
msg =   78, time steps =   10, qsz =    2, switch = on, t =     1562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.4423, az =  9.9507, gx = -0.0328 rad/s, gy =  0.0004 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll =   32, I_w_pitch = -0.0000 A, I_w_roll =  5.6039 A, theta_roll_comp = -38.0757 mrad 
msg =   79, time steps =   10, qsz =    2, switch = on, t =     1582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.6114, az =  9.9339, gx = -0.0280 rad/s, gy = -0.0004 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll =  258, I_w_pitch = -0.0000 A, I_w_roll =  4.9068 A, theta_roll_comp = -39.1112 mrad 
msg =   80, time steps =   10, qsz =    2, switch = on, t =     1602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.7864, az =  9.8679, gx = -0.0275 rad/s, gy = -0.0008 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll =  196, I_w_pitch = -0.0000 A, I_w_roll =  5.0163 A, theta_roll_comp = -40.3950 mrad 
msg =   81, time steps =   10, qsz =    2, switch = on, t =     1622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5982, ay = -0.6569, az =  9.9063, gx = -0.0324 rad/s, gy =  0.0000 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll =  196, I_w_pitch = -0.0000 A, I_w_roll =  6.0996 A, theta_roll_comp = -41.6233 mrad 
msg =   82, time steps =   10, qsz =    2, switch = on, t =     1642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6533, ay = -0.4891, az =  9.9471, gx = -0.0324 rad/s, gy =  0.0011 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll =  134, I_w_pitch = -0.0000 A, I_w_roll =  6.2439 A, theta_roll_comp = -42.5249 mrad 
msg =   83, time steps =   10, qsz =    2, switch = on, t =     1662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.4208, az =  9.9351, gx = -0.0323 rad/s, gy =  0.0019 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =  134, I_w_pitch = -0.0000 A, I_w_roll =  6.3219 A, theta_roll_comp = -43.1620 mrad 
msg =   84, time steps =   10, qsz =    2, switch = on, t =     1682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.3764, az =  9.9291, gx = -0.0376 rad/s, gy =  0.0036 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =  123, I_w_pitch = -0.0000 A, I_w_roll =  7.3758 A, theta_roll_comp = -43.7574 mrad 
msg =   85, time steps =   10, qsz =    2, switch = on, t =     1702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.3320, az =  9.9219, gx = -0.0416 rad/s, gy =  0.0032 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll =  124, I_w_pitch = -0.0000 A, I_w_roll =  8.1939 A, theta_roll_comp = -44.3763 mrad 
msg =   86, time steps =   10, qsz =    2, switch = on, t =     1722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4963, ay = -0.5131, az =  9.8895, gx = -0.0359 rad/s, gy =  0.0004 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll =  124, I_w_pitch = -0.0000 A, I_w_roll =  7.2826 A, theta_roll_comp = -45.1218 mrad 
msg =   87, time steps =   10, qsz =    2, switch = on, t =     1742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4567, ay = -0.7852, az =  9.8248, gx = -0.0352 rad/s, gy = -0.0024 rad/s, gz =  0.0065 rad/s, erpm_pitch =    0, erpm_roll =  250, I_w_pitch = -0.0000 A, I_w_roll =  7.3377 A, theta_roll_comp = -46.2157 mrad 
msg =   88, time steps =   10, qsz =    2, switch = on, t =     1762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5358, ay = -0.7061, az =  9.9171, gx = -0.0439 rad/s, gy = -0.0028 rad/s, gz =  0.0108 rad/s, erpm_pitch =    0, erpm_roll =  230, I_w_pitch = -0.0000 A, I_w_roll =  9.1354 A, theta_roll_comp = -47.7144 mrad 
msg =   89, time steps =   10, qsz =    2, switch = on, t =     1782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.6629, az = 10.0214, gx = -0.0350 rad/s, gy = -0.0028 rad/s, gz =  0.0056 rad/s, erpm_pitch =    0, erpm_roll =  230, I_w_pitch = -0.0000 A, I_w_roll =  7.7502 A, theta_roll_comp = -49.0934 mrad 
msg =   90, time steps =   10, qsz =    2, switch = on, t =     1802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6078, ay = -0.8427, az =  9.9075, gx = -0.0229 rad/s, gy = -0.0050 rad/s, gz =  0.0067 rad/s, erpm_pitch =    0, erpm_roll =  362, I_w_pitch = -0.0000 A, I_w_roll =  5.7569 A, theta_roll_comp = -50.2666 mrad 
msg =   91, time steps =   10, qsz =    2, switch = on, t =     1822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6233, ay = -0.9650, az =  9.8584, gx = -0.0231 rad/s, gy = -0.0014 rad/s, gz =  0.0076 rad/s, erpm_pitch =    0, erpm_roll =  362, I_w_pitch = -0.0000 A, I_w_roll =  6.0054 A, theta_roll_comp = -51.5203 mrad 
msg =   92, time steps =   10, qsz =    2, switch = on, t =     1842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.7001, ay = -0.8031, az =  9.9638, gx = -0.0227 rad/s, gy =  0.0012 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll =  594, I_w_pitch = -0.0000 A, I_w_roll =  6.1158 A, theta_roll_comp = -52.6599 mrad 
msg =   93, time steps =   10, qsz =    2, switch = on, t =     1862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6845, ay = -0.7216, az = 10.0214, gx = -0.0107 rad/s, gy =  0.0030 rad/s, gz = -0.0063 rad/s, erpm_pitch =    0, erpm_roll =  704, I_w_pitch = -0.0000 A, I_w_roll =  4.0745 A, theta_roll_comp = -53.3836 mrad 
msg =   94, time steps =   10, qsz =    2, switch = on, t =     1882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6126, ay = -0.8427, az =  9.9135, gx = -0.0070 rad/s, gy =  0.0054 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll =  704, I_w_pitch = -0.0000 A, I_w_roll =  3.5094 A, theta_roll_comp = -54.0459 mrad 
msg =   95, time steps =   10, qsz =    2, switch = on, t =     1902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.7084, az =  9.9003, gx = -0.0125 rad/s, gy =  0.0060 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll =  953, I_w_pitch = -0.0000 A, I_w_roll =  4.5944 A, theta_roll_comp = -54.6855 mrad 
msg =   96, time steps =   10, qsz =    2, switch = on, t =     1922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.5946, az =  9.9423, gx = -0.0073 rad/s, gy =  0.0056 rad/s, gz = -0.0081 rad/s, erpm_pitch =    0, erpm_roll =  953, I_w_pitch = -0.0000 A, I_w_roll =  3.7136 A, theta_roll_comp = -55.0228 mrad 
msg =   97, time steps =   10, qsz =    2, switch = on, t =     1942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4927, ay = -0.6341, az =  9.8943, gx = -0.0024 rad/s, gy =  0.0032 rad/s, gz = -0.0052 rad/s, erpm_pitch =    0, erpm_roll = 1143, I_w_pitch = -0.0000 A, I_w_roll =  2.8615 A, theta_roll_comp = -55.2396 mrad 
msg =   98, time steps =   10, qsz =    2, switch = on, t =     1962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.4903, ay = -0.6425, az =  9.9027, gx = -0.0077 rad/s, gy =  0.0028 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 1219, I_w_pitch = -0.0000 A, I_w_roll =  3.8697 A, theta_roll_comp = -55.5488 mrad 
msg =   99, time steps =   10, qsz =    2, switch = on, t =     1982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.5107, az =  9.9495, gx = -0.0097 rad/s, gy =  0.0010 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = 1219, I_w_pitch = -0.0000 A, I_w_roll =  4.2660 A, theta_roll_comp = -55.7788 mrad 
msg =  100, time steps =   10, qsz =    2, switch = on, t =     2002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.5250, az =  9.9267, gx = -0.0063 rad/s, gy = -0.0014 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 1310, I_w_pitch = -0.0000 A, I_w_roll =  3.6765 A, theta_roll_comp = -55.8392 mrad 
msg =  101, time steps =   10, qsz =    2, switch = on, t =     2022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5778, ay = -0.5850, az =  9.8847, gx = -0.0105 rad/s, gy = -0.0005 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = 1310, I_w_pitch = -0.0000 A, I_w_roll =  4.4507 A, theta_roll_comp = -56.0343 mrad 
msg =  102, time steps =   10, qsz =    2, switch = on, t =     2042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6173, ay = -0.5370, az =  9.9411, gx = -0.0158 rad/s, gy =  0.0006 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = 1398, I_w_pitch = -0.0000 A, I_w_roll =  5.4558 A, theta_roll_comp = -56.3244 mrad 
msg =  103, time steps =   10, qsz =    2, switch = on, t =     2062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6353, ay = -0.4903, az =  9.9591, gx = -0.0143 rad/s, gy =  0.0014 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 1439, I_w_pitch = -0.0000 A, I_w_roll =  5.2282 A, theta_roll_comp = -56.5497 mrad 
msg =  104, time steps =   10, qsz =    2, switch = on, t =     2082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6102, ay = -0.5874, az =  9.9087, gx = -0.0163 rad/s, gy =  0.0020 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 1439, I_w_pitch = -0.0000 A, I_w_roll =  5.6380 A, theta_roll_comp = -56.8634 mrad 
msg =  105, time steps =   10, qsz =    2, switch = on, t =     2102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5718, ay = -0.6197, az =  9.9279, gx = -0.0214 rad/s, gy =  0.0031 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = 1545, I_w_pitch = -0.0000 A, I_w_roll =  6.6213 A, theta_roll_comp = -57.3172 mrad 
msg =  106, time steps =   10, qsz =    2, switch = on, t =     2122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5406, ay = -0.5886, az =  9.9615, gx = -0.0206 rad/s, gy =  0.0030 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = 1545, I_w_pitch = -0.0000 A, I_w_roll =  6.5569 A, theta_roll_comp = -57.8133 mrad 
msg =  107, time steps =   10, qsz =    2, switch = on, t =     2142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5322, ay = -0.6737, az =  9.9051, gx = -0.0189 rad/s, gy =  0.0010 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 1717, I_w_pitch = -0.0000 A, I_w_roll =  6.3329 A, theta_roll_comp = -58.3604 mrad 
msg =  108, time steps =   10, qsz =    2, switch = on, t =     2162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.7312, az =  9.9003, gx = -0.0207 rad/s, gy =  0.0003 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 1826, I_w_pitch = -0.0000 A, I_w_roll =  6.7701 A, theta_roll_comp = -58.9962 mrad 
msg =  109, time steps =   10, qsz =    2, switch = on, t =     2182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5526, ay = -0.6977, az =  9.9447, gx = -0.0194 rad/s, gy = -0.0009 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 1826, I_w_pitch = -0.0000 A, I_w_roll =  6.6360 A, theta_roll_comp = -59.6557 mrad 
msg =  110, time steps =   10, qsz =    2, switch = on, t =     2202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5826, ay = -0.6761, az =  9.9351, gx = -0.0159 rad/s, gy = -0.0010 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 2104, I_w_pitch = -0.0000 A, I_w_roll =  6.1033 A, theta_roll_comp = -60.2210 mrad 
msg =  111, time steps =   10, qsz =    2, switch = on, t =     2222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6114, ay = -0.6845, az =  9.9063, gx = -0.0165 rad/s, gy = -0.0009 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = 2253, I_w_pitch = -0.0000 A, I_w_roll =  6.2885 A, theta_roll_comp = -60.7793 mrad 
msg =  112, time steps =   10, qsz =    2, switch = on, t =     2242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6353, ay = -0.6821, az =  9.9339, gx = -0.0161 rad/s, gy =  0.0007 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 2253, I_w_pitch = -0.0000 A, I_w_roll =  6.3038 A, theta_roll_comp = -61.3247 mrad 
msg =  113, time steps =   10, qsz =    2, switch = on, t =     2262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6185, ay = -0.6833, az =  9.9387, gx = -0.0122 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 2572, I_w_pitch = -0.0000 A, I_w_roll =  5.6839 A, theta_roll_comp = -61.7945 mrad 
msg =  114, time steps =   10, qsz =    2, switch = on, t =     2282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.6066, ay = -0.7001, az =  9.9183, gx = -0.0115 rad/s, gy =  0.0020 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 2572, I_w_pitch = -0.0000 A, I_w_roll =  5.6335 A, theta_roll_comp = -62.2281 mrad 
msg =  115, time steps =   10, qsz =    2, switch = on, t =     2302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5994, ay = -0.6881, az =  9.9411, gx = -0.0122 rad/s, gy =  0.0028 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = 2883, I_w_pitch = -0.0000 A, I_w_roll =  5.8153 A, theta_roll_comp = -62.6155 mrad 
msg =  116, time steps =   10, qsz =    2, switch = on, t =     2322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5742, ay = -0.7037, az =  9.9459, gx = -0.0113 rad/s, gy =  0.0030 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = 3026, I_w_pitch = -0.0000 A, I_w_roll =  5.6909 A, theta_roll_comp = -62.8869 mrad 
msg =  117, time steps =   10, qsz =    2, switch = on, t =     2342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.6749, az =  9.9195, gx = -0.0125 rad/s, gy =  0.0023 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 3026, I_w_pitch = -0.0000 A, I_w_roll =  5.9423 A, theta_roll_comp = -63.1098 mrad 
msg =  118, time steps =   10, qsz =    2, switch = on, t =     2362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0600, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.5922, az =  9.9075, gx = -0.0154 rad/s, gy =  0.0015 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 3307, I_w_pitch = -0.0000 A, I_w_roll =  6.5111 A, theta_roll_comp = -63.3694 mrad 
