picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, ax =  0.5622, ay = -2.1050, az =  9.8584, gx = -0.0482 rad/s, gy = -0.0032 rad/s, gz = -0.0324 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 32.1848 A, theta_roll_comp = -186.9796 mrad, theta_setpoint = -40.0000 mrad, 
msg =  191, time steps =   10, qsz =    2, switch = on, t =     3822 ms, ax =  0.6126, ay = -1.9503, az =  9.7049, gx = -0.0043 rad/s, gy =  0.0015 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.0464 A, theta_roll_comp = -204.1483 mrad, theta_setpoint = -40.0000 mrad, 
msg =  192, time steps =   10, qsz =    2, switch = on, t =     3842 ms, ax =  0.6821, ay = -2.0247, az =  9.6953, gx = -0.0055 rad/s, gy =  0.0014 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = 11691, I_w_pitch = -0.0000 A, I_w_roll = 27.2722 A, theta_roll_comp = -204.2113 mrad, theta_setpoint = -40.0000 mrad, 
msg =  193, time steps =   10, qsz =    2, switch = on, t =     3862 ms, ax =  0.5766, ay = -1.9911, az =  9.7577, gx = -0.0054 rad/s, gy =  0.0036 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.2738 A, theta_roll_comp = -204.3711 mrad, theta_setpoint = -40.0000 mrad, 
msg =  194, time steps =   10, qsz =    2, switch = on, t =     3882 ms, ax =  0.4699, ay = -1.9491, az =  9.7804, gx = -0.0049 rad/s, gy =  0.0020 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.1849 A, theta_roll_comp = -204.4144 mrad, theta_setpoint = -40.0000 mrad, 
msg =  195, time steps =   10, qsz =    2, switch = on, t =     3902 ms, ax =  0.6305, ay = -1.9324, az =  9.7625, gx = -0.0042 rad/s, gy =  0.0010 rad/s, gz = -0.0021 rad/s, erpm_pitch =    0, erpm_roll = 11690, I_w_pitch = -0.0000 A, I_w_roll = 27.0561 A, theta_roll_comp = -204.3583 mrad, theta_setpoint = -40.0000 mrad, 
msg =  196, time steps =   10, qsz =    2, switch = on, t =     3922 ms, ax =  0.7156, ay = -2.0091, az =  9.7313, gx = -0.0051 rad/s, gy =  0.0012 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = 11690, I_w_pitch = -0.0000 A, I_w_roll = 27.2327 A, theta_roll_comp = -204.4137 mrad, theta_setpoint = -40.0000 mrad, 
msg =  197, time steps =   10, qsz =    2, switch = on, t =     3942 ms, ax =  0.4903, ay = -1.9911, az =  9.7517, gx = -0.0062 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = 11690, I_w_pitch = -0.0000 A, I_w_roll = 27.4395 A, theta_roll_comp = -204.5077 mrad, theta_setpoint = -40.0000 mrad, 
msg =  198, time steps =   10, qsz =    2, switch = on, t =     3962 ms, ax =  0.5742, ay = -1.9276, az =  9.7385, gx = -0.0050 rad/s, gy =  0.0006 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.2289 A, theta_roll_comp = -204.5399 mrad, theta_setpoint = -40.0000 mrad, 
msg =  199, time steps =   10, qsz =    2, switch = on, t =     3982 ms, ax =  0.7013, ay = -1.9731, az =  9.7289, gx = -0.0049 rad/s, gy =  0.0006 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.2064 A, theta_roll_comp = -204.5488 mrad, theta_setpoint = -40.0000 mrad, 
msg =  200, time steps =   10, qsz =    2, switch = on, t =     4002 ms, ax =  0.6701, ay = -2.0582, az =  9.7732, gx = -0.0055 rad/s, gy =  0.0028 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.3447 A, theta_roll_comp = -204.6640 mrad, theta_setpoint = -40.0000 mrad, 
msg =  201, time steps =   10, qsz =    2, switch = on, t =     4022 ms, ax =  0.5490, ay = -2.0534, az =  9.7205, gx = -0.0058 rad/s, gy =  0.0010 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.4137 A, theta_roll_comp = -204.7958 mrad, theta_setpoint = -40.0000 mrad, 
msg =  202, time steps =   10, qsz =    2, switch = on, t =     4042 ms, ax =  0.5778, ay = -1.9935, az =  9.7157, gx = -0.0050 rad/s, gy =  0.0004 rad/s, gz = -0.0037 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.2756 A, theta_roll_comp = -204.8319 mrad, theta_setpoint = -40.0000 mrad, 
msg =  203, time steps =   10, qsz =    2, switch = on, t =     4062 ms, ax =  0.6701, ay = -2.0199, az =  9.7193, gx = -0.0050 rad/s, gy =  0.0018 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.2874 A, theta_roll_comp = -204.9055 mrad, theta_setpoint = -40.0000 mrad, 
msg =  204, time steps =   10, qsz =    2, switch = on, t =     4082 ms, ax =  0.6905, ay = -2.0654, az =  9.6929, gx = -0.0059 rad/s, gy =  0.0038 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.4768 A, theta_roll_comp = -205.0404 mrad, theta_setpoint = -40.0000 mrad, 
msg =  205, time steps =   10, qsz =    2, switch = on, t =     4102 ms, ax =  0.6006, ay = -2.0798, az =  9.6869, gx = -0.0058 rad/s, gy = -0.0002 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.4804 A, theta_roll_comp = -205.2126 mrad, theta_setpoint = -40.0000 mrad, 
msg =  206, time steps =   10, qsz =    2, switch = on, t =     4122 ms, ax =  0.6713, ay = -1.9491, az =  9.7589, gx = -0.0047 rad/s, gy =  0.0006 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.2956 A, theta_roll_comp = -205.2560 mrad, theta_setpoint = -40.0000 mrad, 
msg =  207, time steps =   10, qsz =    2, switch = on, t =     4142 ms, ax =  0.6377, ay = -2.0474, az =  9.7625, gx = -0.0046 rad/s, gy =  0.0026 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.2801 A, theta_roll_comp = -205.3089 mrad, theta_setpoint = -40.0000 mrad, 
msg =  208, time steps =   10, qsz =    2, switch = on, t =     4162 ms, ax =  0.7516, ay = -2.0103, az =  9.7457, gx = -0.0055 rad/s, gy =  0.0024 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11691, I_w_pitch = -0.0000 A, I_w_roll = 27.4649 A, theta_roll_comp = -205.4154 mrad, theta_setpoint = -40.0000 mrad, 
msg =  209, time steps =   10, qsz =    2, switch = on, t =     4182 ms, ax =  0.5658, ay = -1.9923, az =  9.7181, gx = -0.0055 rad/s, gy =  0.0000 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = 11691, I_w_pitch = -0.0000 A, I_w_roll = 27.4787 A, theta_roll_comp = -205.5018 mrad, theta_setpoint = -40.0000 mrad, 
msg =  210, time steps =   10, qsz =    2, switch = on, t =     4202 ms, ax =  0.5838, ay = -2.0127, az =  9.7661, gx = -0.0045 rad/s, gy =  0.0014 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.2924 A, theta_roll_comp = -205.5355 mrad, theta_setpoint = -40.0000 mrad, 
msg =  211, time steps =   10, qsz =    2, switch = on, t =     4222 ms, ax =  0.6857, ay = -2.0714, az =  9.7721, gx = -0.0054 rad/s, gy =  0.0024 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.4717 A, theta_roll_comp = -205.6079 mrad, theta_setpoint = -40.0000 mrad, 
msg =  212, time steps =   10, qsz =    2, switch = on, t =     4242 ms, ax =  0.5059, ay = -2.0318, az =  9.7517, gx = -0.0062 rad/s, gy =  0.0012 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = 11692, I_w_pitch = -0.0000 A, I_w_roll = 27.6395 A, theta_roll_comp = -205.7578 mrad, theta_setpoint = -40.0000 mrad, 
msg =  213, time steps =   10, qsz =    2, switch = on, t =     4262 ms, ax =  0.5982, ay = -1.9695, az =  9.7493, gx = -0.0051 rad/s, gy = -0.0008 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.4658 A, theta_roll_comp = -205.8707 mrad, theta_setpoint = -40.0000 mrad, 
msg =  214, time steps =   10, qsz =    2, switch = on, t =     4282 ms, ax =  0.6833, ay = -1.9899, az =  9.7900, gx = -0.0046 rad/s, gy =  0.0007 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.3631 A, theta_roll_comp = -205.8280 mrad, theta_setpoint = -40.0000 mrad, 
msg =  215, time steps =   10, qsz =    2, switch = on, t =     4302 ms, ax =  0.6605, ay = -1.9971, az =  9.7960, gx = -0.0058 rad/s, gy =  0.0026 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.5860 A, theta_roll_comp = -205.8731 mrad, theta_setpoint = -40.0000 mrad, 
msg =  216, time steps =   10, qsz =    2, switch = on, t =     4322 ms, ax =  0.5754, ay = -2.0426, az =  9.7529, gx = -0.0055 rad/s, gy =  0.0008 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.5512 A, theta_roll_comp = -205.9551 mrad, theta_setpoint = -40.0000 mrad, 
msg =  217, time steps =   10, qsz =    2, switch = on, t =     4342 ms, ax =  0.5754, ay = -1.9611, az =  9.7625, gx = -0.0053 rad/s, gy = -0.0006 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.5119 A, theta_roll_comp = -206.0087 mrad, theta_setpoint = -40.0000 mrad, 
msg =  218, time steps =   10, qsz =    2, switch = on, t =     4362 ms, ax =  0.6713, ay = -2.0091, az =  9.7780, gx = -0.0050 rad/s, gy =  0.0012 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.4677 A, theta_roll_comp = -206.0324 mrad, theta_setpoint = -40.0000 mrad, 
msg =  219, time steps =   10, qsz =    2, switch = on, t =     4382 ms, ax =  0.5994, ay = -2.0366, az =  9.7169, gx = -0.0058 rad/s, gy =  0.0032 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = 11694, I_w_pitch = -0.0000 A, I_w_roll = 27.6298 A, theta_roll_comp = -206.1463 mrad, theta_setpoint = -40.0000 mrad, 
msg =  220, time steps =   10, qsz =    2, switch = on, t =     4402 ms, ax =  0.5730, ay = -2.0486, az =  9.7109, gx = -0.0055 rad/s, gy =  0.0004 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = 11695, I_w_pitch = -0.0000 A, I_w_roll = 27.6000 A, theta_roll_comp = -206.2599 mrad, theta_setpoint = -40.0000 mrad, 
msg =  221, time steps =   10, qsz =    2, switch = on, t =     4422 ms, ax =  0.6485, ay = -1.9671, az =  9.7445, gx = -0.0049 rad/s, gy = -0.0002 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.4761 A, theta_roll_comp = -206.2345 mrad, theta_setpoint = -40.0000 mrad, 
msg =  222, time steps =   10, qsz =    2, switch = on, t =     4442 ms, ax =  0.6725, ay = -1.9875, az =  9.7517, gx = -0.0051 rad/s, gy =  0.0016 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.5223 A, theta_roll_comp = -206.2238 mrad, theta_setpoint = -40.0000 mrad, 
msg =  223, time steps =   10, qsz =    2, switch = on, t =     4462 ms, ax =  0.6773, ay = -2.0378, az =  9.7577, gx = -0.0057 rad/s, gy =  0.0020 rad/s, gz =  0.0031 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.6230 A, theta_roll_comp = -206.2540 mrad, theta_setpoint = -40.0000 mrad, 
msg =  224, time steps =   10, qsz =    2, switch = on, t =     4482 ms, ax =  0.5610, ay = -1.9096, az =  9.7505, gx = -0.0058 rad/s, gy =  0.0003 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.6516 A, theta_roll_comp = -206.2828 mrad, theta_setpoint = -40.0000 mrad, 
msg =  225, time steps =   10, qsz =    2, switch = on, t =     4502 ms, ax =  0.6281, ay = -1.9875, az =  9.7505, gx = -0.0049 rad/s, gy =  0.0007 rad/s, gz = -0.0035 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.4797 A, theta_roll_comp = -206.2568 mrad, theta_setpoint = -40.0000 mrad, 
msg =  226, time steps =   10, qsz =    2, switch = on, t =     4522 ms, ax =  0.7073, ay = -2.0318, az =  9.7756, gx = -0.0051 rad/s, gy =  0.0027 rad/s, gz =  0.0044 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.5270 A, theta_roll_comp = -206.2530 mrad, theta_setpoint = -40.0000 mrad, 
msg =  227, time steps =   10, qsz =    2, switch = on, t =     4542 ms, ax =  0.6221, ay = -1.9599, az =  9.7013, gx = -0.0059 rad/s, gy =  0.0023 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = 11693, I_w_pitch = -0.0000 A, I_w_roll = 27.6805 A, theta_roll_comp = -206.3134 mrad, theta_setpoint = -40.0000 mrad, 
msg =  228, time steps =   10, qsz =    2, switch = on, t =     4562 ms, ax =  0.6018, ay = -1.9863, az =  9.7457, gx = -0.0053 rad/s, gy =  0.0006 rad/s, gz = -0.0028 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.5618 A, theta_roll_comp = -206.3210 mrad, theta_setpoint = -40.0000 mrad, 
msg =  229, time steps =   10, qsz =    2, switch = on, t =     4582 ms, ax =  0.7049, ay = -1.9599, az =  9.7625, gx = -0.0045 rad/s, gy =  0.0003 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.4053 A, theta_roll_comp = -206.2414 mrad, theta_setpoint = -40.0000 mrad, 
msg =  230, time steps =   10, qsz =    2, switch = on, t =     4602 ms, ax =  0.6653, ay = -1.9875, az =  9.7553, gx = -0.0053 rad/s, gy =  0.0022 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 11698, I_w_pitch = -0.0000 A, I_w_roll = 27.5445 A, theta_roll_comp = -206.2129 mrad, theta_setpoint = -40.0000 mrad, 
msg =  231, time steps =   10, qsz =    2, switch = on, t =     4622 ms, ax =  0.6114, ay = -2.0019, az =  9.7025, gx = -0.0051 rad/s, gy =  0.0012 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.5260 A, theta_roll_comp = -206.2468 mrad, theta_setpoint = -40.0000 mrad, 
msg =  232, time steps =   10, qsz =    2, switch = on, t =     4642 ms, ax =  0.5742, ay = -1.9096, az =  9.7217, gx = -0.0051 rad/s, gy =  0.0010 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11699, I_w_pitch = -0.0000 A, I_w_roll = 27.5201 A, theta_roll_comp = -206.2102 mrad, theta_setpoint = -40.0000 mrad, 
msg =  233, time steps =   10, qsz =    2, switch = on, t =     4662 ms, ax =  0.6737, ay = -1.9491, az =  9.7565, gx = -0.0053 rad/s, gy =  0.0016 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 11702, I_w_pitch = -0.0000 A, I_w_roll = 27.5374 A, theta_roll_comp = -206.1683 mrad, theta_setpoint = -40.0000 mrad, 
msg =  234, time steps =   10, qsz =    2, switch = on, t =     4682 ms, ax =  0.5874, ay = -2.0115, az =  9.6845, gx = -0.0061 rad/s, gy =  0.0027 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = 11702, I_w_pitch = -0.0000 A, I_w_roll = 27.6835 A, theta_roll_comp = -206.1823 mrad, theta_setpoint = -40.0000 mrad, 
msg =  235, time steps =   10, qsz =    2, switch = off, t =     4702 ms, ax =  0.5155, ay = -2.0414, az =  9.6893, gx = -0.0059 rad/s, gy =  0.0004 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 11703, I_w_pitch = -0.0000 A, I_w_roll = 27.6776 A, theta_roll_comp = -206.2958 mrad, theta_setpoint = -40.0000 mrad, 
msg =  236, time steps =   10, qsz =    2, switch = off, t =     4722 ms, ax =  0.6629, ay = -1.9479, az =  9.7157, gx = -0.0043 rad/s, gy =  0.0012 rad/s, gz = -0.0039 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 27.3826 A, theta_roll_comp = -206.2493 mrad, theta_setpoint = -40.0000 mrad, 
msg =  237, time steps =   10, qsz =    2, switch = off, t =     4742 ms, ax =  0.6893, ay = -1.9851, az =  9.7277, gx = -0.0049 rad/s, gy =  0.0027 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11700, I_w_pitch = -0.0000 A, I_w_roll = 27.4641 A, theta_roll_comp = -206.1598 mrad, theta_setpoint = -40.0000 mrad, 
msg =  238, time steps =   10, qsz =    2, switch = off, t =     4762 ms, ax =  0.6941, ay = -2.0642, az =  9.7277, gx = -0.0061 rad/s, gy =  0.0026 rad/s, gz =  0.0049 rad/s, erpm_pitch =    0, erpm_roll = 11696, I_w_pitch = -0.0000 A, I_w_roll = 27.6980 A, theta_roll_comp = -206.2735 mrad, theta_setpoint = -40.0000 mrad, 
msg =  239, time steps =   10, qsz =    2, switch = off, t =     4782 ms, ax =  0.5706, ay = -1.9851, az =  9.7313, gx = -0.0057 rad/s, gy =  0.0016 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = 11687, I_w_pitch = -0.0000 A, I_w_roll = 27.6352 A, theta_roll_comp = -206.3304 mrad, theta_setpoint = -40.0000 mrad, 
msg =  240, time steps =   10, qsz =    2, switch = off, t =     4802 ms, ax =  0.5658, ay = -1.9683, az =  9.7553, gx = -0.0045 rad/s, gy =  0.0020 rad/s, gz = -0.0025 rad/s, erpm_pitch =    0, erpm_roll = 11687, I_w_pitch = -0.0000 A, I_w_roll = 27.4142 A, theta_roll_comp = -206.2967 mrad, theta_setpoint = -40.0000 mrad, 
msg =  241, time steps =   10, qsz =    2, switch = off, t =     4822 ms, ax =  0.6809, ay = -1.9995, az =  9.7193, gx = -0.0057 rad/s, gy =  0.0024 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = 11663, I_w_pitch = -0.0000 A, I_w_roll = 27.6324 A, theta_roll_comp = -206.3128 mrad, theta_setpoint = -40.0000 mrad, 
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.4891, ay = -2.0690, az =  9.7169, gx = -0.0058 rad/s, gy =  0.0030 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11663, I_w_pitch = -0.0000 A, I_w_roll = 27.6796 A, theta_roll_comp = -206.4580 mrad, theta_setpoint = -40.0000 mrad, 
msg =  243, time steps =   10, qsz =    2, switch = off, t =     4862 ms, ax =  0.5334, ay = -1.9228, az =  9.7816, gx = -0.0050 rad/s, gy =  0.0028 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11631, I_w_pitch = -0.0000 A, I_w_roll = 27.5463 A, theta_roll_comp = -206.5237 mrad, theta_setpoint = -40.0000 mrad, 
msg =  244, time steps =   10, qsz =    2, switch = off, t =     4882 ms, ax =  0.6737, ay = -1.9755, az =  9.7780, gx = -0.0043 rad/s, gy =  0.0026 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 11613, I_w_pitch = -0.0000 A, I_w_roll = 27.4174 A, theta_roll_comp = -206.4669 mrad, theta_setpoint = -40.0000 mrad, 
msg =  245, time steps =   10, qsz =    2, switch = off, t =     4902 ms, ax =  0.6521, ay = -2.0618, az =  9.7445, gx = -0.0058 rad/s, gy =  0.0032 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll = 11613, I_w_pitch = -0.0000 A, I_w_roll = 27.6892 A, theta_roll_comp = -206.5179 mrad, theta_setpoint = -40.0000 mrad, 
msg =  246, time steps =   10, qsz =    2, switch = off, t =     4922 ms, ax =  0.5502, ay = -2.0043, az =  9.7709, gx = -0.0058 rad/s, gy =  0.0026 rad/s, gz =  0.0063 rad/s, erpm_pitch =    0, erpm_roll = 11576, I_w_pitch = -0.0000 A, I_w_roll = 27.7059 A, theta_roll_comp = -206.6224 mrad, theta_setpoint = -40.0000 mrad, 
msg =  247, time steps =   10, qsz =    2, switch = off, t =     4942 ms, ax =  0.5155, ay = -1.9815, az =  9.7888, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11576, I_w_pitch = -0.0000 A, I_w_roll = 27.4854 A, theta_roll_comp = -206.5920 mrad, theta_setpoint = -40.0000 mrad, 
msg =  248, time steps =   10, qsz =    2, switch = off, t =     4962 ms, ax =  0.6066, ay = -1.9935, az =  9.7613, gx = -0.0049 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = 11539, I_w_pitch = -0.0000 A, I_w_roll = 27.5268 A, theta_roll_comp = -206.5511 mrad, theta_setpoint = -40.0000 mrad, 
msg =  249, time steps =   10, qsz =    2, switch = off, t =     4982 ms, ax =  0.7013, ay = -2.0330, az =  9.7253, gx = -0.0061 rad/s, gy =  0.0019 rad/s, gz =  0.0060 rad/s, erpm_pitch =    0, erpm_roll = 11520, I_w_pitch = -0.0000 A, I_w_roll = 27.7493 A, theta_roll_comp = -206.5941 mrad, theta_setpoint = -40.0000 mrad, 
msg =  250, time steps =   10, qsz =    2, switch = off, t =     5002 ms, ax =  0.5526, ay = -2.0163, az =  9.7265, gx = -0.0058 rad/s, gy =  0.0011 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 11520, I_w_pitch = -0.0000 A, I_w_roll = 27.7143 A, theta_roll_comp = -206.6748 mrad, theta_setpoint = -40.0000 mrad, 
msg =  251, time steps =   10, qsz =    2, switch = off, t =     5022 ms, ax =  0.5430, ay = -1.9539, az =  9.7625, gx = -0.0051 rad/s, gy =  0.0000 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = 11480, I_w_pitch = -0.0000 A, I_w_roll = 27.5941 A, theta_roll_comp = -206.6722 mrad, theta_setpoint = -40.0000 mrad, 
msg =  252, time steps =   10, qsz =    2, switch = off, t =     5042 ms, ax =  0.6833, ay = -1.9635, az =  9.7756, gx = -0.0053 rad/s, gy =  0.0008 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = 11480, I_w_pitch = -0.0000 A, I_w_roll = 27.6124 A, theta_roll_comp = -206.6373 mrad, theta_setpoint = -40.0000 mrad, 
msg =  253, time steps =   10, qsz =    2, switch = off, t =     5062 ms, ax =  0.6773, ay = -2.0990, az =  9.6750, gx = -0.0066 rad/s, gy =  0.0031 rad/s, gz =  0.0055 rad/s, erpm_pitch =    0, erpm_roll = 11441, I_w_pitch = -0.0000 A, I_w_roll = 27.8694 A, theta_roll_comp = -206.7452 mrad, theta_setpoint = -40.0000 mrad, 
msg =  254, time steps =   10, qsz =    2, switch = off, t =     5082 ms, ax =  0.4903, ay = -2.0582, az =  9.7145, gx = -0.0069 rad/s, gy =  0.0020 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 11422, I_w_pitch = -0.0000 A, I_w_roll = 27.9419 A, theta_roll_comp = -206.8988 mrad, theta_setpoint = -40.0000 mrad, 
msg =  255, time steps =   10, qsz =    2, switch = off, t =     5102 ms, ax =  0.5826, ay = -1.9683, az =  9.7756, gx = -0.0053 rad/s, gy =  0.0012 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 11422, I_w_pitch = -0.0000 A, I_w_roll = 27.6557 A, theta_roll_comp = -206.9078 mrad, theta_setpoint = -40.0000 mrad, 
msg =  256, time steps =   10, qsz =    2, switch = off, t =     5122 ms, ax =  0.6293, ay = -1.9683, az =  9.7984, gx = -0.0050 rad/s, gy =  0.0015 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = 11381, I_w_pitch = -0.0000 A, I_w_roll = 27.5951 A, theta_roll_comp = -206.8282 mrad, theta_setpoint = -40.0000 mrad, 
msg =  257, time steps =   10, qsz =    2, switch = off, t =     5142 ms, ax =  0.4675, ay = -1.9395, az =  9.7481, gx = -0.0059 rad/s, gy =  0.0031 rad/s, gz =  0.0059 rad/s, erpm_pitch =    0, erpm_roll = 11342, I_w_pitch = -0.0000 A, I_w_roll = 27.7624 A, theta_roll_comp = -206.8252 mrad, theta_setpoint = -40.0000 mrad, 
msg =  258, time steps =   10, qsz =    2, switch = off, t =     5162 ms, ax =  0.6413, ay = -2.0235, az =  9.6821, gx = -0.0061 rad/s, gy = -0.0006 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 11342, I_w_pitch = -0.0000 A, I_w_roll = 27.7937 A, theta_roll_comp = -206.8714 mrad, theta_setpoint = -40.0000 mrad, 
msg =  259, time steps =   10, qsz =    2, switch = off, t =     5182 ms, ax =  0.6593, ay = -1.9264, az =  9.7421, gx = -0.0051 rad/s, gy = -0.0008 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = 11321, I_w_pitch = -0.0000 A, I_w_roll = 27.6246 A, theta_roll_comp = -206.8631 mrad, theta_setpoint = -40.0000 mrad, 
