picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  307, time steps =   10, qsz =    2, switch = on, t =     6142 ms, ax =  0.4795, ay = -0.5286, az =  9.9507, gx =  0.0150 rad/s, gy = -0.0005 rad/s, gz = -0.0185 rad/s, erpm_pitch =    0, erpm_roll = 8958, I_w_pitch = -0.0000 A, I_w_roll = -0.8243 A, theta_roll_comp = -48.5430 mrad, theta_setpoint = -36.8663 mrad, 
msg =  375, time steps =   10, qsz =    2, switch = on, t =     7502 ms, ax =  0.4112, ay = -0.2505, az =  9.9519, gx =  0.0047 rad/s, gy =  0.0015 rad/s, gz = -0.0103 rad/s, erpm_pitch =    0, erpm_roll = 7564, I_w_pitch = -0.0000 A, I_w_roll = -1.4437 A, theta_roll_comp = -33.6254 mrad, theta_setpoint = -37.3539 mrad, 
msg =  376, time steps =   10, qsz =    2, switch = on, t =     7522 ms, ax =  0.4939, ay = -0.3081, az =  9.9615, gx =  0.0043 rad/s, gy =  0.0018 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = 7475, I_w_pitch = -0.0000 A, I_w_roll = -1.4134 A, theta_roll_comp = -33.3961 mrad, theta_setpoint = -37.3851 mrad, 
msg =  377, time steps =   10, qsz =    2, switch = on, t =     7542 ms, ax =  0.5095, ay = -0.2985, az =  9.9555, gx =  0.0048 rad/s, gy =  0.0016 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 7428, I_w_pitch = -0.0000 A, I_w_roll = -1.5379 A, theta_roll_comp = -33.2336 mrad, theta_setpoint = -37.4015 mrad, 
msg =  378, time steps =   10, qsz =    2, switch = on, t =     7562 ms, ax =  0.5167, ay = -0.2805, az =  9.9291, gx =  0.0052 rad/s, gy =  0.0015 rad/s, gz =  0.0103 rad/s, erpm_pitch =    0, erpm_roll = 7428, I_w_pitch = -0.0000 A, I_w_roll = -1.6386 A, theta_roll_comp = -33.0541 mrad, theta_setpoint = -37.4015 mrad, 
msg =  379, time steps =   10, qsz =    2, switch = on, t =     7582 ms, ax =  0.5502, ay = -0.3081, az =  9.9243, gx =  0.0058 rad/s, gy =  0.0014 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = 7329, I_w_pitch = -0.0000 A, I_w_roll = -1.7695 A, theta_roll_comp = -32.8695 mrad, theta_setpoint = -37.4362 mrad, 
msg =  380, time steps =   10, qsz =    2, switch = on, t =     7602 ms, ax =  0.5886, ay = -0.2733, az =  9.9267, gx =  0.0059 rad/s, gy =  0.0012 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = 7329, I_w_pitch = -0.0000 A, I_w_roll = -1.8239 A, theta_roll_comp = -32.6791 mrad, theta_setpoint = -37.4362 mrad, 
msg =  381, time steps =   10, qsz =    2, switch = on, t =     7622 ms, ax =  0.5898, ay = -0.2505, az =  9.8931, gx =  0.0050 rad/s, gy =  0.0011 rad/s, gz = -0.0079 rad/s, erpm_pitch =    0, erpm_roll = 7223, I_w_pitch = -0.0000 A, I_w_roll = -1.7074 A, theta_roll_comp = -32.3960 mrad, theta_setpoint = -37.4732 mrad, 
msg =  382, time steps =   10, qsz =    2, switch = on, t =     7642 ms, ax =  0.5478, ay = -0.3332, az =  9.8895, gx =  0.0042 rad/s, gy =  0.0006 rad/s, gz = -0.0060 rad/s, erpm_pitch =    0, erpm_roll = 7163, I_w_pitch = -0.0000 A, I_w_roll = -1.5931 A, theta_roll_comp = -32.2325 mrad, theta_setpoint = -37.4942 mrad, 
msg =  383, time steps =   10, qsz =    2, switch = on, t =     7662 ms, ax =  0.5802, ay = -0.2469, az =  9.9411, gx =  0.0039 rad/s, gy =  0.0014 rad/s, gz =  0.0051 rad/s, erpm_pitch =    0, erpm_roll = 7163, I_w_pitch = -0.0000 A, I_w_roll = -1.5703 A, theta_roll_comp = -32.0753 mrad, theta_setpoint = -37.4942 mrad, 
msg =  384, time steps =   10, qsz =    2, switch = on, t =     7682 ms, ax =  0.5778, ay = -0.3105, az =  9.9615, gx =  0.0050 rad/s, gy =  0.0031 rad/s, gz =  0.0091 rad/s, erpm_pitch =    0, erpm_roll = 7047, I_w_pitch = -0.0000 A, I_w_roll = -1.7923 A, theta_roll_comp = -31.9269 mrad, theta_setpoint = -37.5348 mrad, 
msg =  385, time steps =   10, qsz =    2, switch = on, t =     7702 ms, ax =  0.6185, ay = -0.3332, az =  9.9111, gx =  0.0059 rad/s, gy =  0.0022 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = 6932, I_w_pitch = -0.0000 A, I_w_roll = -1.9841 A, theta_roll_comp = -31.8169 mrad, theta_setpoint = -37.5750 mrad, 
msg =  386, time steps =   10, qsz =    2, switch = on, t =     7722 ms, ax =  0.5790, ay = -0.2505, az =  9.9291, gx =  0.0063 rad/s, gy =  0.0015 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = 6932, I_w_pitch = -0.0000 A, I_w_roll = -2.0877 A, theta_roll_comp = -31.6187 mrad, theta_setpoint = -37.5750 mrad, 
msg =  387, time steps =   10, qsz =    2, switch = on, t =     7742 ms, ax =  0.6066, ay = -0.2397, az =  9.9459, gx =  0.0062 rad/s, gy =  0.0015 rad/s, gz = -0.0059 rad/s, erpm_pitch =    0, erpm_roll = 6874, I_w_pitch = -0.0000 A, I_w_roll = -2.1093 A, theta_roll_comp = -31.3545 mrad, theta_setpoint = -37.5953 mrad, 
msg =  388, time steps =   10, qsz =    2, switch = on, t =     7762 ms, ax =  0.5790, ay = -0.2278, az =  9.9567, gx =  0.0059 rad/s, gy =  0.0022 rad/s, gz = -0.0065 rad/s, erpm_pitch =    0, erpm_roll = 6874, I_w_pitch = -0.0000 A, I_w_roll = -2.1072 A, theta_roll_comp = -31.0679 mrad, theta_setpoint = -37.5953 mrad, 
msg =  389, time steps =   10, qsz =    2, switch = on, t =     7782 ms, ax =  0.6281, ay = -0.2469, az =  9.9123, gx =  0.0058 rad/s, gy =  0.0011 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = 6749, I_w_pitch = -0.0000 A, I_w_roll = -2.1181 A, theta_roll_comp = -30.8935 mrad, theta_setpoint = -37.6391 mrad, 
msg =  390, time steps =   10, qsz =    2, switch = on, t =     7802 ms, ax =  0.5838, ay = -0.2421, az =  9.9195, gx =  0.0056 rad/s, gy =  0.0022 rad/s, gz =  0.0072 rad/s, erpm_pitch =    0, erpm_roll = 6687, I_w_pitch = -0.0000 A, I_w_roll = -2.1325 A, theta_roll_comp = -30.6754 mrad, theta_setpoint = -37.6607 mrad, 
msg =  391, time steps =   10, qsz =    2, switch = on, t =     7822 ms, ax =  0.5946, ay = -0.2817, az =  9.9207, gx =  0.0063 rad/s, gy =  0.0022 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = 6687, I_w_pitch = -0.0000 A, I_w_roll = -2.2839 A, theta_roll_comp = -30.4786 mrad, theta_setpoint = -37.6607 mrad, 
msg =  392, time steps =   10, qsz =    2, switch = on, t =     7842 ms, ax =  0.5634, ay = -0.2517, az =  9.9471, gx =  0.0075 rad/s, gy =  0.0019 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 6554, I_w_pitch = -0.0000 A, I_w_roll = -2.5400 A, theta_roll_comp = -30.2725 mrad, theta_setpoint = -37.7073 mrad, 
msg =  393, time steps =   10, qsz =    2, switch = on, t =     7862 ms, ax =  0.5406, ay = -0.2230, az =  9.9507, gx =  0.0075 rad/s, gy =  0.0016 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = 6554, I_w_pitch = -0.0000 A, I_w_roll = -2.5863 A, theta_roll_comp = -29.9828 mrad, theta_setpoint = -37.7073 mrad, 
msg =  394, time steps =   10, qsz =    2, switch = on, t =     7882 ms, ax =  0.5418, ay = -0.2038, az =  9.9471, gx =  0.0071 rad/s, gy =  0.0006 rad/s, gz = -0.0040 rad/s, erpm_pitch =    0, erpm_roll = 6410, I_w_pitch = -0.0000 A, I_w_roll = -2.5741 A, theta_roll_comp = -29.6605 mrad, theta_setpoint = -37.7576 mrad, 
msg =  395, time steps =   10, qsz =    2, switch = on, t =     7902 ms, ax =  0.5418, ay = -0.2421, az =  9.9878, gx =  0.0066 rad/s, gy =  0.0019 rad/s, gz = -0.0044 rad/s, erpm_pitch =    0, erpm_roll = 6337, I_w_pitch = -0.0000 A, I_w_roll = -2.5321 A, theta_roll_comp = -29.3493 mrad, theta_setpoint = -37.7832 mrad, 
msg =  396, time steps =   10, qsz =    2, switch = on, t =     7922 ms, ax =  0.5334, ay = -0.2589, az =  9.9746, gx =  0.0068 rad/s, gy =  0.0030 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 6337, I_w_pitch = -0.0000 A, I_w_roll = -2.6108 A, theta_roll_comp = -29.1569 mrad, theta_setpoint = -37.7832 mrad, 
msg =  397, time steps =   10, qsz =    2, switch = on, t =     7942 ms, ax =  0.5478, ay = -0.2445, az =  9.8955, gx =  0.0064 rad/s, gy =  0.0016 rad/s, gz =  0.0052 rad/s, erpm_pitch =    0, erpm_roll = 6182, I_w_pitch = -0.0000 A, I_w_roll = -2.5796 A, theta_roll_comp = -28.9569 mrad, theta_setpoint = -37.8374 mrad, 
msg =  398, time steps =   10, qsz =    2, switch = on, t =     7962 ms, ax =  0.5682, ay = -0.2841, az =  9.9255, gx =  0.0066 rad/s, gy =  0.0026 rad/s, gz =  0.0057 rad/s, erpm_pitch =    0, erpm_roll = 6182, I_w_pitch = -0.0000 A, I_w_roll = -2.6264 A, theta_roll_comp = -28.8139 mrad, theta_setpoint = -37.8374 mrad, 
msg =  399, time steps =   10, qsz =    2, switch = on, t =     7982 ms, ax =  0.6018, ay = -0.2529, az =  9.9519, gx =  0.0078 rad/s, gy =  0.0022 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 6020, I_w_pitch = -0.0000 A, I_w_roll = -2.8761 A, theta_roll_comp = -28.6583 mrad, theta_setpoint = -37.8941 mrad, 
msg =  400, time steps =   10, qsz =    2, switch = on, t =     8002 ms, ax =  0.5994, ay = -0.2445, az =  9.9363, gx =  0.0082 rad/s, gy =  0.0015 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = 5937, I_w_pitch = -0.0000 A, I_w_roll = -2.9936 A, theta_roll_comp = -28.4023 mrad, theta_setpoint = -37.9231 mrad, 
msg =  401, time steps =   10, qsz =    2, switch = on, t =     8022 ms, ax =  0.5778, ay = -0.2050, az =  9.9171, gx =  0.0075 rad/s, gy =  0.0008 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = 5937, I_w_pitch = -0.0000 A, I_w_roll = -2.9227 A, theta_roll_comp = -28.0966 mrad, theta_setpoint = -37.9231 mrad, 
msg =  402, time steps =   10, qsz =    2, switch = on, t =     8042 ms, ax =  0.4807, ay = -0.1618, az =  9.9027, gx =  0.0072 rad/s, gy =  0.0015 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = 5769, I_w_pitch = -0.0000 A, I_w_roll = -2.9428 A, theta_roll_comp = -27.7297 mrad, theta_setpoint = -37.9819 mrad, 
msg =  403, time steps =   10, qsz =    2, switch = on, t =     8062 ms, ax =  0.5059, ay = -0.2314, az =  9.9291, gx =  0.0072 rad/s, gy =  0.0018 rad/s, gz = -0.0029 rad/s, erpm_pitch =    0, erpm_roll = 5769, I_w_pitch = -0.0000 A, I_w_roll = -2.9931 A, theta_roll_comp = -27.4153 mrad, theta_setpoint = -37.9819 mrad, 
msg =  404, time steps =   10, qsz =    2, switch = on, t =     8082 ms, ax =  0.6114, ay = -0.2314, az =  9.9603, gx =  0.0068 rad/s, gy =  0.0023 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = 5598, I_w_pitch = -0.0000 A, I_w_roll = -2.9692 A, theta_roll_comp = -27.1754 mrad, theta_setpoint = -38.0417 mrad, 
msg =  405, time steps =   10, qsz =    2, switch = on, t =     8102 ms, ax =  0.5286, ay = -0.2829, az =  9.9471, gx =  0.0078 rad/s, gy =  0.0020 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = 5508, I_w_pitch = -0.0000 A, I_w_roll = -3.1617 A, theta_roll_comp = -27.0520 mrad, theta_setpoint = -38.0732 mrad, 
msg =  406, time steps =   10, qsz =    2, switch = on, t =     8122 ms, ax =  0.6269, ay = -0.2266, az =  9.9387, gx =  0.0086 rad/s, gy =  0.0018 rad/s, gz =  0.0029 rad/s, erpm_pitch =    0, erpm_roll = 5508, I_w_pitch = -0.0000 A, I_w_roll = -3.3333 A, theta_roll_comp = -26.8787 mrad, theta_setpoint = -38.0732 mrad, 
msg =  407, time steps =   10, qsz =    2, switch = on, t =     8142 ms, ax =  0.5790, ay = -0.1702, az =  9.9579, gx =  0.0086 rad/s, gy =  0.0018 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = 5322, I_w_pitch = -0.0000 A, I_w_roll = -3.3944 A, theta_roll_comp = -26.5618 mrad, theta_setpoint = -38.1382 mrad, 
msg =  408, time steps =   10, qsz =    2, switch = on, t =     8162 ms, ax =  0.5634, ay = -0.2757, az =  9.9447, gx =  0.0087 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 5234, I_w_pitch = -0.0000 A, I_w_roll = -3.4588 A, theta_roll_comp = -26.3398 mrad, theta_setpoint = -38.1690 mrad, 
msg =  409, time steps =   10, qsz =    2, switch = on, t =     8182 ms, ax =  0.5850, ay = -0.2338, az =  9.9375, gx =  0.0106 rad/s, gy =  0.0018 rad/s, gz = -0.0016 rad/s, erpm_pitch =    0, erpm_roll = 5234, I_w_pitch = -0.0000 A, I_w_roll = -3.8207 A, theta_roll_comp = -26.1750 mrad, theta_setpoint = -38.1690 mrad, 
msg =  410, time steps =   10, qsz =    2, switch = on, t =     8202 ms, ax =  0.5742, ay = -0.1103, az =  9.9603, gx =  0.0095 rad/s, gy =  0.0022 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = 5036, I_w_pitch = -0.0000 A, I_w_roll = -3.7015 A, theta_roll_comp = -25.7910 mrad, theta_setpoint = -38.2383 mrad, 
msg =  411, time steps =   10, qsz =    2, switch = on, t =     8222 ms, ax =  0.5382, ay = -0.2038, az =  9.9615, gx =  0.0088 rad/s, gy =  0.0028 rad/s, gz = -0.0052 rad/s, erpm_pitch =    0, erpm_roll = 5036, I_w_pitch = -0.0000 A, I_w_roll = -3.6390 A, theta_roll_comp = -25.4326 mrad, theta_setpoint = -38.2383 mrad, 
msg =  412, time steps =   10, qsz =    2, switch = on, t =     8242 ms, ax =  0.5262, ay = -0.1438, az =  9.9195, gx =  0.0087 rad/s, gy =  0.0026 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = 4828, I_w_pitch = -0.0000 A, I_w_roll = -3.6806 A, theta_roll_comp = -25.0959 mrad, theta_setpoint = -38.3111 mrad, 
msg =  413, time steps =   10, qsz =    2, switch = on, t =     8262 ms, ax =  0.4879, ay = -0.2529, az =  9.9171, gx =  0.0096 rad/s, gy =  0.0022 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 4724, I_w_pitch = -0.0000 A, I_w_roll = -3.8950 A, theta_roll_comp = -24.8405 mrad, theta_setpoint = -38.3474 mrad, 
msg =  414, time steps =   10, qsz =    2, switch = on, t =     8282 ms, ax =  0.5706, ay = -0.1474, az =  9.9339, gx =  0.0090 rad/s, gy =  0.0022 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = 4724, I_w_pitch = -0.0000 A, I_w_roll = -3.8204 A, theta_roll_comp = -24.5579 mrad, theta_setpoint = -38.3474 mrad, 
msg =  415, time steps =   10, qsz =    2, switch = on, t =     8302 ms, ax =  0.5622, ay = -0.1738, az =  9.9327, gx =  0.0091 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = 4503, I_w_pitch = -0.0000 A, I_w_roll = -3.9005 A, theta_roll_comp = -24.2846 mrad, theta_setpoint = -38.4248 mrad, 
msg =  416, time steps =   10, qsz =    2, switch = on, t =     8322 ms, ax =  0.5742, ay = -0.2158, az =  9.9459, gx =  0.0106 rad/s, gy =  0.0014 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = 4503, I_w_pitch = -0.0000 A, I_w_roll = -4.2039 A, theta_roll_comp = -24.0358 mrad, theta_setpoint = -38.4248 mrad, 
msg =  417, time steps =   10, qsz =    2, switch = on, t =     8342 ms, ax =  0.5466, ay = -0.1966, az =  9.9423, gx =  0.0104 rad/s, gy =  0.0014 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = 4269, I_w_pitch = -0.0000 A, I_w_roll = -4.2338 A, theta_roll_comp = -23.7809 mrad, theta_setpoint = -38.5066 mrad, 
msg =  418, time steps =   10, qsz =    2, switch = on, t =     8362 ms, ax =  0.5946, ay = -0.1714, az =  9.9351, gx =  0.0104 rad/s, gy =  0.0015 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = 4155, I_w_pitch = -0.0000 A, I_w_roll = -4.2875 A, theta_roll_comp = -23.4854 mrad, theta_setpoint = -38.5465 mrad, 
msg =  419, time steps =   10, qsz =    2, switch = on, t =     8382 ms, ax =  0.5850, ay = -0.1990, az =  9.9411, gx =  0.0118 rad/s, gy =  0.0022 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = 4155, I_w_pitch = -0.0000 A, I_w_roll = -4.5779 A, theta_roll_comp = -23.1685 mrad, theta_setpoint = -38.5465 mrad, 
msg =  420, time steps =   10, qsz =    2, switch = on, t =     8402 ms, ax =  0.5862, ay = -0.2637, az =  9.9399, gx =  0.0115 rad/s, gy =  0.0026 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 3909, I_w_pitch = -0.0000 A, I_w_roll = -4.5956 A, theta_roll_comp = -22.8444 mrad, theta_setpoint = -38.6325 mrad, 
msg =  421, time steps =   10, qsz =    2, switch = on, t =     8422 ms, ax =  0.5682, ay = -0.2218, az =  9.9375, gx =  0.0100 rad/s, gy =  0.0031 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = 3909, I_w_pitch = -0.0000 A, I_w_roll = -4.3807 A, theta_roll_comp = -22.5395 mrad, theta_setpoint = -38.6325 mrad, 
msg =  422, time steps =   10, qsz =    2, switch = on, t =     8442 ms, ax =  0.5658, ay = -0.1223, az =  9.9195, gx =  0.0096 rad/s, gy =  0.0023 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 3658, I_w_pitch = -0.0000 A, I_w_roll = -4.3789 A, theta_roll_comp = -22.1891 mrad, theta_setpoint = -38.7204 mrad, 
msg =  423, time steps =   10, qsz =    2, switch = on, t =     8462 ms, ax =  0.5706, ay = -0.1271, az =  9.9303, gx =  0.0102 rad/s, gy =  0.0018 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 3529, I_w_pitch = -0.0000 A, I_w_roll = -4.5345 A, theta_roll_comp = -21.8611 mrad, theta_setpoint = -38.7655 mrad, 
msg =  424, time steps =   10, qsz =    2, switch = on, t =     8482 ms, ax =  0.5622, ay = -0.0456, az =  9.9555, gx =  0.0099 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll = 3529, I_w_pitch = -0.0000 A, I_w_roll = -4.5366 A, theta_roll_comp = -21.5483 mrad, theta_setpoint = -38.7655 mrad, 
msg =  425, time steps =   10, qsz =    2, switch = on, t =     8502 ms, ax =  0.5454, ay = -0.0108, az =  9.9327, gx =  0.0096 rad/s, gy =  0.0015 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 3267, I_w_pitch = -0.0000 A, I_w_roll = -4.5624 A, theta_roll_comp = -21.1788 mrad, theta_setpoint = -38.8571 mrad, 
msg =  426, time steps =   10, qsz =    2, switch = on, t =     8522 ms, ax =  0.5706, ay = -0.0264, az =  9.9315, gx =  0.0103 rad/s, gy =  0.0010 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = 3267, I_w_pitch = -0.0000 A, I_w_roll = -4.7408 A, theta_roll_comp = -20.8130 mrad, theta_setpoint = -38.8571 mrad, 
msg =  427, time steps =   10, qsz =    2, switch = on, t =     8542 ms, ax =  0.5886, ay = -0.1103, az =  9.9339, gx =  0.0112 rad/s, gy =  0.0011 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = 2993, I_w_pitch = -0.0000 A, I_w_roll = -4.9704 A, theta_roll_comp = -20.5225 mrad, theta_setpoint = -38.9530 mrad, 
msg =  428, time steps =   10, qsz =    2, switch = on, t =     8562 ms, ax =  0.6018, ay = -0.1606, az =  9.9255, gx =  0.0118 rad/s, gy =  0.0016 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = 2854, I_w_pitch = -0.0000 A, I_w_roll = -5.1211 A, theta_roll_comp = -20.2282 mrad, theta_setpoint = -39.0016 mrad, 
msg =  429, time steps =   10, qsz =    2, switch = on, t =     8582 ms, ax =  0.6054, ay = -0.1846, az =  9.9339, gx =  0.0127 rad/s, gy =  0.0022 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = 2854, I_w_pitch = -0.0000 A, I_w_roll = -5.3397 A, theta_roll_comp = -19.9106 mrad, theta_setpoint = -39.0016 mrad, 
msg =  430, time steps =   10, qsz =    2, switch = on, t =     8602 ms, ax =  0.5802, ay = -0.1283, az =  9.9495, gx =  0.0132 rad/s, gy =  0.0026 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = 2587, I_w_pitch = -0.0000 A, I_w_roll = -5.5018 A, theta_roll_comp = -19.5905 mrad, theta_setpoint = -39.0950 mrad, 
msg =  431, time steps =   10, qsz =    2, switch = on, t =     8622 ms, ax =  0.5634, ay = -0.1486, az =  9.9363, gx =  0.0132 rad/s, gy =  0.0026 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = 2441, I_w_pitch = -0.0000 A, I_w_roll = -5.5642 A, theta_roll_comp = -19.2515 mrad, theta_setpoint = -39.1461 mrad, 
msg =  432, time steps =   10, qsz =    2, switch = on, t =     8642 ms, ax =  0.5562, ay = -0.1678, az =  9.9411, gx =  0.0139 rad/s, gy =  0.0024 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 2441, I_w_pitch = -0.0000 A, I_w_roll = -5.7457 A, theta_roll_comp = -18.8661 mrad, theta_setpoint = -39.1461 mrad, 
msg =  433, time steps =   10, qsz =    2, switch = on, t =     8662 ms, ax =  0.5610, ay = -0.1546, az =  9.9423, gx =  0.0136 rad/s, gy =  0.0023 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = 2146, I_w_pitch = -0.0000 A, I_w_roll = -5.7744 A, theta_roll_comp = -18.4902 mrad, theta_setpoint = -39.2493 mrad, 
msg =  434, time steps =   10, qsz =    2, switch = on, t =     8682 ms, ax =  0.5610, ay = -0.1714, az =  9.9399, gx =  0.0134 rad/s, gy =  0.0024 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = 2146, I_w_pitch = -0.0000 A, I_w_roll = -5.7842 A, theta_roll_comp = -18.1291 mrad, theta_setpoint = -39.2493 mrad, 
msg =  435, time steps =   10, qsz =    2, switch = on, t =     8702 ms, ax =  0.5718, ay = -0.1391, az =  9.9291, gx =  0.0132 rad/s, gy =  0.0018 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 1824, I_w_pitch = -0.0000 A, I_w_roll = -5.8368 A, theta_roll_comp = -17.7634 mrad, theta_setpoint = -39.3619 mrad, 
msg =  436, time steps =   10, qsz =    2, switch = on, t =     8722 ms, ax =  0.5802, ay = -0.1187, az =  9.9375, gx =  0.0128 rad/s, gy =  0.0012 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = 1636, I_w_pitch = -0.0000 A, I_w_roll = -5.8417 A, theta_roll_comp = -17.3491 mrad, theta_setpoint = -39.4277 mrad, 
msg =  437, time steps =   10, qsz =    2, switch = on, t =     8742 ms, ax =  0.5766, ay = -0.1355, az =  9.9339, gx =  0.0136 rad/s, gy =  0.0011 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 1636, I_w_pitch = -0.0000 A, I_w_roll = -6.0461 A, theta_roll_comp = -16.9703 mrad, theta_setpoint = -39.4277 mrad, 
msg =  438, time steps =   10, qsz =    2, switch = on, t =     8762 ms, ax =  0.5826, ay = -0.1187, az =  9.9363, gx =  0.0126 rad/s, gy =  0.0014 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = 1318, I_w_pitch = -0.0000 A, I_w_roll = -5.9249 A, theta_roll_comp = -16.6405 mrad, theta_setpoint = -39.5389 mrad, 
msg =  439, time steps =   10, qsz =    2, switch = on, t =     8782 ms, ax =  0.5778, ay = -0.0623, az =  9.9567, gx =  0.0120 rad/s, gy =  0.0023 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 1318, I_w_pitch = -0.0000 A, I_w_roll = -5.8871 A, theta_roll_comp = -16.2779 mrad, theta_setpoint = -39.5389 mrad, 
msg =  440, time steps =   10, qsz =    2, switch = on, t =     8802 ms, ax =  0.5718, ay = -0.0827, az =  9.9411, gx =  0.0154 rad/s, gy =  0.0022 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll =  905, I_w_pitch = -0.0000 A, I_w_roll = -6.5759 A, theta_roll_comp = -15.8620 mrad, theta_setpoint = -39.6834 mrad, 
msg =  441, time steps =   10, qsz =    2, switch = on, t =     8822 ms, ax =  0.5490, ay = -0.1486, az =  9.9555, gx =  0.0208 rad/s, gy =  0.0018 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll =  681, I_w_pitch = -0.0000 A, I_w_roll = -7.6350 A, theta_roll_comp = -15.4631 mrad, theta_setpoint = -39.7618 mrad, 
msg =  442, time steps =   10, qsz =    2, switch = on, t =     8842 ms, ax =  0.5262, ay = -0.4076, az =  9.9231, gx =  0.0267 rad/s, gy =  0.0011 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =  681, I_w_pitch = -0.0000 A, I_w_roll = -8.7176 A, theta_roll_comp = -15.2877 mrad, theta_setpoint = -39.7618 mrad, 
msg =  443, time steps =   10, qsz =    2, switch = on, t =     8862 ms, ax =  0.5334, ay = -0.3728, az =  9.9171, gx =  0.0247 rad/s, gy =  0.0010 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll =  180, I_w_pitch = -0.0000 A, I_w_roll = -8.3797 A, theta_roll_comp = -15.3281 mrad, theta_setpoint = -39.9370 mrad, 
