picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch =  0.0020 A, I_w_roll =  0.0000 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = 1221724868382616705607437123584.0000 mrad, 
msg =  169, time steps =   10, qsz =    2, switch = on, t =     3382 ms, ax =  0.6425, ay = -0.2050, az =  9.9794, gx = -0.0050 rad/s, gy =  0.0022 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = -8622, I_w_pitch = -0.0000 A, I_w_roll =  0.0704 A, theta_roll_comp = -34.7993 mrad, theta_setpoint = -40.0000 mrad, 
msg =  170, time steps =   10, qsz =    2, switch = on, t =     3402 ms, ax =  0.5262, ay = -0.3440, az =  9.9159, gx = -0.0047 rad/s, gy =  0.0031 rad/s, gz =  0.0222 rad/s, erpm_pitch =    0, erpm_roll = -8622, I_w_pitch = -0.0000 A, I_w_roll =  0.0300 A, theta_roll_comp = -34.8465 mrad, theta_setpoint = -40.0000 mrad, 
msg =  171, time steps =   10, qsz =    2, switch = on, t =     3422 ms, ax =  0.5430, ay = -0.2338, az =  9.9123, gx = -0.0049 rad/s, gy =  0.0023 rad/s, gz =  0.0085 rad/s, erpm_pitch =    0, erpm_roll = -8735, I_w_pitch = -0.0000 A, I_w_roll =  0.0463 A, theta_roll_comp = -34.7981 mrad, theta_setpoint = -40.0000 mrad, 
msg =  172, time steps =   10, qsz =    2, switch = on, t =     3442 ms, ax =  0.5826, ay = -0.3452, az =  9.8871, gx = -0.0046 rad/s, gy =  0.0011 rad/s, gz = -0.0184 rad/s, erpm_pitch =    0, erpm_roll = -8793, I_w_pitch = -0.0000 A, I_w_roll = -0.0065 A, theta_roll_comp = -34.7679 mrad, theta_setpoint = -40.0000 mrad, 
msg =  173, time steps =   10, qsz =    2, switch = on, t =     3462 ms, ax =  0.5466, ay = -0.2469, az =  9.9770, gx = -0.0043 rad/s, gy =  0.0008 rad/s, gz = -0.0200 rad/s, erpm_pitch =    0, erpm_roll = -8793, I_w_pitch = -0.0000 A, I_w_roll = -0.0559 A, theta_roll_comp = -34.7585 mrad, theta_setpoint = -40.0000 mrad, 
msg =  174, time steps =   10, qsz =    2, switch = on, t =     3482 ms, ax =  0.5286, ay = -0.2937, az =  9.9818, gx = -0.0039 rad/s, gy =  0.0020 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll = -8907, I_w_pitch = -0.0000 A, I_w_roll = -0.1279 A, theta_roll_comp = -34.7583 mrad, theta_setpoint = -40.0000 mrad, 
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, ax =  0.6018, ay = -0.2529, az =  9.9375, gx = -0.0050 rad/s, gy =  0.0022 rad/s, gz =  0.0277 rad/s, erpm_pitch =    0, erpm_roll = -8963, I_w_pitch = -0.0000 A, I_w_roll =  0.0619 A, theta_roll_comp = -34.7459 mrad, theta_setpoint = -40.0000 mrad, 
msg =  176, time steps =   10, qsz =    2, switch = on, t =     3522 ms, ax =  0.6533, ay = -0.2445, az =  9.9111, gx = -0.0050 rad/s, gy =  0.0015 rad/s, gz =  0.0073 rad/s, erpm_pitch =    0, erpm_roll = -8963, I_w_pitch = -0.0000 A, I_w_roll =  0.0485 A, theta_roll_comp = -34.6625 mrad, theta_setpoint = -40.0000 mrad, 
msg =  177, time steps =   10, qsz =    2, switch = on, t =     3542 ms, ax =  0.5706, ay = -0.3009, az =  9.9123, gx = -0.0041 rad/s, gy =  0.0006 rad/s, gz = -0.0240 rad/s, erpm_pitch =    0, erpm_roll = -9076, I_w_pitch = -0.0000 A, I_w_roll = -0.1268 A, theta_roll_comp = -34.6151 mrad, theta_setpoint = -40.0000 mrad, 
msg =  178, time steps =   10, qsz =    2, switch = on, t =     3562 ms, ax =  0.5167, ay = -0.3189, az =  9.9650, gx = -0.0035 rad/s, gy =  0.0007 rad/s, gz = -0.0213 rad/s, erpm_pitch =    0, erpm_roll = -9076, I_w_pitch = -0.0000 A, I_w_roll = -0.2154 A, theta_roll_comp = -34.6609 mrad, theta_setpoint = -40.0000 mrad, 
msg =  179, time steps =   10, qsz =    2, switch = on, t =     3582 ms, ax =  0.6173, ay = -0.3237, az =  9.9710, gx = -0.0037 rad/s, gy =  0.0020 rad/s, gz =  0.0142 rad/s, erpm_pitch =    0, erpm_roll = -9191, I_w_pitch = -0.0000 A, I_w_roll = -0.1888 A, theta_roll_comp = -34.6769 mrad, theta_setpoint = -40.0000 mrad, 
msg =  180, time steps =   10, qsz =    2, switch = on, t =     3602 ms, ax =  0.6173, ay = -0.2673, az =  9.9255, gx = -0.0037 rad/s, gy =  0.0024 rad/s, gz =  0.0308 rad/s, erpm_pitch =    0, erpm_roll = -9247, I_w_pitch = -0.0000 A, I_w_roll = -0.1921 A, theta_roll_comp = -34.6564 mrad, theta_setpoint = -40.0000 mrad, 
msg =  181, time steps =   10, qsz =    2, switch = on, t =     3622 ms, ax =  0.5394, ay = -0.2733, az =  9.8931, gx = -0.0035 rad/s, gy =  0.0019 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = -9247, I_w_pitch = -0.0000 A, I_w_roll = -0.2307 A, theta_roll_comp = -34.5648 mrad, theta_setpoint = -40.0000 mrad, 
msg =  182, time steps =   10, qsz =    2, switch = on, t =     3642 ms, ax =  0.5802, ay = -0.3452, az =  9.9207, gx = -0.0029 rad/s, gy =  0.0008 rad/s, gz = -0.0338 rad/s, erpm_pitch =    0, erpm_roll = -9357, I_w_pitch = -0.0000 A, I_w_roll = -0.3583 A, theta_roll_comp = -34.5164 mrad, theta_setpoint = -40.0000 mrad, 
msg =  183, time steps =   10, qsz =    2, switch = on, t =     3662 ms, ax =  0.5107, ay = -0.4100, az =  9.9662, gx = -0.0029 rad/s, gy =  0.0012 rad/s, gz = -0.0127 rad/s, erpm_pitch =    0, erpm_roll = -9357, I_w_pitch = -0.0000 A, I_w_roll = -0.3481 A, theta_roll_comp = -34.5802 mrad, theta_setpoint = -40.0000 mrad, 
msg =  184, time steps =   10, qsz =    2, switch = on, t =     3682 ms, ax =  0.6629, ay = -0.3285, az =  9.9423, gx = -0.0030 rad/s, gy =  0.0032 rad/s, gz =  0.0293 rad/s, erpm_pitch =    0, erpm_roll = -9470, I_w_pitch = -0.0000 A, I_w_roll = -0.3146 A, theta_roll_comp = -34.6397 mrad, theta_setpoint = -40.0000 mrad, 
msg =  185, time steps =   10, qsz =    2, switch = on, t =     3702 ms, ax =  0.6581, ay = -0.2769, az =  9.9099, gx = -0.0034 rad/s, gy =  0.0027 rad/s, gz =  0.0300 rad/s, erpm_pitch =    0, erpm_roll = -9526, I_w_pitch = -0.0000 A, I_w_roll = -0.2519 A, theta_roll_comp = -34.5825 mrad, theta_setpoint = -40.0000 mrad, 
msg =  186, time steps =   10, qsz =    2, switch = on, t =     3722 ms, ax =  0.5814, ay = -0.2709, az =  9.8871, gx = -0.0033 rad/s, gy =  0.0012 rad/s, gz = -0.0214 rad/s, erpm_pitch =    0, erpm_roll = -9526, I_w_pitch = -0.0000 A, I_w_roll = -0.2926 A, theta_roll_comp = -34.4776 mrad, theta_setpoint = -40.0000 mrad, 
msg =  187, time steps =   10, qsz =    2, switch = on, t =     3742 ms, ax =  0.5286, ay = -0.3392, az =  9.9399, gx = -0.0034 rad/s, gy = -0.0001 rad/s, gz = -0.0381 rad/s, erpm_pitch =    0, erpm_roll = -9642, I_w_pitch = -0.0000 A, I_w_roll = -0.2716 A, theta_roll_comp = -34.4590 mrad, theta_setpoint = -40.0000 mrad, 
msg =  188, time steps =   10, qsz =    2, switch = on, t =     3762 ms, ax =  0.5838, ay = -0.3320, az =  9.9938, gx = -0.0037 rad/s, gy =  0.0012 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = -9642, I_w_pitch = -0.0000 A, I_w_roll = -0.2147 A, theta_roll_comp = -34.5151 mrad, theta_setpoint = -40.0000 mrad, 
msg =  189, time steps =   10, qsz =    2, switch = on, t =     3782 ms, ax =  0.5958, ay = -0.2409, az =  9.9303, gx = -0.0034 rad/s, gy =  0.0034 rad/s, gz =  0.0459 rad/s, erpm_pitch =    0, erpm_roll = -9760, I_w_pitch = -0.0000 A, I_w_roll = -0.2646 A, theta_roll_comp = -34.5028 mrad, theta_setpoint = -40.0000 mrad, 
msg =  190, time steps =   10, qsz =    2, switch = on, t =     3802 ms, ax =  0.6257, ay = -0.2361, az =  9.8979, gx = -0.0031 rad/s, gy =  0.0028 rad/s, gz =  0.0138 rad/s, erpm_pitch =    0, erpm_roll = -9816, I_w_pitch = -0.0000 A, I_w_roll = -0.3292 A, theta_roll_comp = -34.3990 mrad, theta_setpoint = -40.0000 mrad, 
msg =  191, time steps =   10, qsz =    2, switch = on, t =     3822 ms, ax =  0.5658, ay = -0.2709, az =  9.8919, gx = -0.0033 rad/s, gy =  0.0002 rad/s, gz = -0.0434 rad/s, erpm_pitch =    0, erpm_roll = -9816, I_w_pitch = -0.0000 A, I_w_roll = -0.3280 A, theta_roll_comp = -34.2563 mrad, theta_setpoint = -40.0000 mrad, 
msg =  192, time steps =   10, qsz =    2, switch = on, t =     3842 ms, ax =  0.5191, ay = -0.3512, az =  9.9986, gx = -0.0035 rad/s, gy = -0.0008 rad/s, gz = -0.0265 rad/s, erpm_pitch =    0, erpm_roll = -9933, I_w_pitch = -0.0000 A, I_w_roll = -0.2817 A, theta_roll_comp = -34.2464 mrad, theta_setpoint = -40.0000 mrad, 
msg =  193, time steps =   10, qsz =    2, switch = on, t =     3862 ms, ax =  0.4735, ay = -0.3776, az =  9.9746, gx = -0.0025 rad/s, gy =  0.0039 rad/s, gz =  0.0370 rad/s, erpm_pitch =    0, erpm_roll = -10049, I_w_pitch = -0.0000 A, I_w_roll = -0.4525 A, theta_roll_comp = -34.3774 mrad, theta_setpoint = -40.0000 mrad, 
msg =  194, time steps =   10, qsz =    2, switch = on, t =     3882 ms, ax =  0.5466, ay = -0.2026, az =  9.9135, gx = -0.0025 rad/s, gy =  0.0036 rad/s, gz =  0.0465 rad/s, erpm_pitch =    0, erpm_roll = -10049, I_w_pitch = -0.0000 A, I_w_roll = -0.4601 A, theta_roll_comp = -34.3295 mrad, theta_setpoint = -40.0000 mrad, 
msg =  195, time steps =   10, qsz =    2, switch = on, t =     3902 ms, ax =  0.6917, ay = -0.2086, az =  9.8524, gx = -0.0030 rad/s, gy =  0.0012 rad/s, gz = -0.0284 rad/s, erpm_pitch =    0, erpm_roll = -10107, I_w_pitch = -0.0000 A, I_w_roll = -0.4082 A, theta_roll_comp = -34.0548 mrad, theta_setpoint = -40.0000 mrad, 
msg =  196, time steps =   10, qsz =    2, switch = on, t =     3922 ms, ax =  0.6341, ay = -0.3416, az =  9.9363, gx = -0.0035 rad/s, gy = -0.0005 rad/s, gz = -0.0549 rad/s, erpm_pitch =    0, erpm_roll = -10107, I_w_pitch = -0.0000 A, I_w_roll = -0.3234 A, theta_roll_comp = -33.9856 mrad, theta_setpoint = -40.0000 mrad, 
msg =  197, time steps =   10, qsz =    2, switch = on, t =     3942 ms, ax =  0.4939, ay = -0.3944, az = 10.0238, gx = -0.0030 rad/s, gy =  0.0027 rad/s, gz =  0.0099 rad/s, erpm_pitch =    0, erpm_roll = -10226, I_w_pitch = -0.0000 A, I_w_roll = -0.4131 A, theta_roll_comp = -34.0239 mrad, theta_setpoint = -40.0000 mrad, 
msg =  198, time steps =   10, qsz =    2, switch = on, t =     3962 ms, ax =  0.5226, ay = -0.3872, az =  9.8931, gx = -0.0025 rad/s, gy =  0.0043 rad/s, gz =  0.0623 rad/s, erpm_pitch =    0, erpm_roll = -10289, I_w_pitch = -0.0000 A, I_w_roll = -0.4883 A, theta_roll_comp = -34.1534 mrad, theta_setpoint = -40.0000 mrad, 
msg =  199, time steps =   10, qsz =    2, switch = on, t =     3982 ms, ax =  0.6401, ay = -0.1438, az =  9.8440, gx = -0.0026 rad/s, gy =  0.0026 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = -10289, I_w_pitch = -0.0000 A, I_w_roll = -0.4833 A, theta_roll_comp = -34.0351 mrad, theta_setpoint = -40.0000 mrad, 
msg =  200, time steps =   10, qsz =    2, switch = on, t =     4002 ms, ax =  0.5994, ay = -0.2314, az =  9.9363, gx = -0.0030 rad/s, gy = -0.0006 rad/s, gz = -0.0648 rad/s, erpm_pitch =    0, erpm_roll = -10415, I_w_pitch = -0.0000 A, I_w_roll = -0.4511 A, theta_roll_comp = -33.7869 mrad, theta_setpoint = -40.0000 mrad, 
msg =  201, time steps =   10, qsz =    2, switch = on, t =     4022 ms, ax =  0.4891, ay = -0.4267, az = 10.0645, gx = -0.0022 rad/s, gy =  0.0014 rad/s, gz = -0.0238 rad/s, erpm_pitch =    0, erpm_roll = -10415, I_w_pitch = -0.0000 A, I_w_roll = -0.5864 A, theta_roll_comp = -33.8397 mrad, theta_setpoint = -40.0000 mrad, 
msg =  202, time steps =   10, qsz =    2, switch = on, t =     4042 ms, ax =  0.4999, ay = -0.4232, az =  9.9327, gx = -0.0016 rad/s, gy =  0.0036 rad/s, gz =  0.0635 rad/s, erpm_pitch =    0, erpm_roll = -10543, I_w_pitch = -0.0000 A, I_w_roll = -0.6751 A, theta_roll_comp = -34.0345 mrad, theta_setpoint = -40.0000 mrad, 
msg =  203, time steps =   10, qsz =    2, switch = on, t =     4062 ms, ax =  0.6725, ay = -0.1331, az =  9.8488, gx = -0.0033 rad/s, gy =  0.0027 rad/s, gz =  0.0362 rad/s, erpm_pitch =    0, erpm_roll = -10611, I_w_pitch = -0.0000 A, I_w_roll = -0.3847 A, theta_roll_comp = -33.9023 mrad, theta_setpoint = -40.0000 mrad, 
msg =  204, time steps =   10, qsz =    2, switch = on, t =     4082 ms, ax =  0.6641, ay = -0.1594, az =  9.9459, gx = -0.0046 rad/s, gy = -0.0004 rad/s, gz = -0.0606 rad/s, erpm_pitch =    0, erpm_roll = -10611, I_w_pitch = -0.0000 A, I_w_roll = -0.1856 A, theta_roll_comp = -33.6484 mrad, theta_setpoint = -40.0000 mrad, 
msg =  205, time steps =   10, qsz =    2, switch = on, t =     4102 ms, ax =  0.5514, ay = -0.4531, az =  9.9746, gx = -0.0037 rad/s, gy = -0.0016 rad/s, gz = -0.0495 rad/s, erpm_pitch =    0, erpm_roll = -10756, I_w_pitch = -0.0000 A, I_w_roll = -0.3603 A, theta_roll_comp = -33.6051 mrad, theta_setpoint = -40.0000 mrad, 
msg =  206, time steps =   10, qsz =    2, switch = on, t =     4122 ms, ax =  0.4735, ay = -0.4100, az =  9.9734, gx = -0.0028 rad/s, gy =  0.0023 rad/s, gz =  0.0545 rad/s, erpm_pitch =    0, erpm_roll = -10756, I_w_pitch = -0.0000 A, I_w_roll = -0.4859 A, theta_roll_comp = -33.8688 mrad, theta_setpoint = -40.0000 mrad, 
msg =  207, time steps =   10, qsz =    2, switch = on, t =     4142 ms, ax =  0.6018, ay = -0.1175, az =  9.9015, gx = -0.0039 rad/s, gy =  0.0044 rad/s, gz =  0.0543 rad/s, erpm_pitch =    0, erpm_roll = -10906, I_w_pitch = -0.0000 A, I_w_roll = -0.2672 A, theta_roll_comp = -33.8872 mrad, theta_setpoint = -40.0000 mrad, 
msg =  208, time steps =   10, qsz =    2, switch = on, t =     4162 ms, ax =  0.7025, ay = -0.0707, az =  9.8919, gx = -0.0053 rad/s, gy =  0.0008 rad/s, gz = -0.0505 rad/s, erpm_pitch =    0, erpm_roll = -10983, I_w_pitch = -0.0000 A, I_w_roll = -0.0850 A, theta_roll_comp = -33.5281 mrad, theta_setpoint = -40.0000 mrad, 
msg =  209, time steps =   10, qsz =    2, switch = on, t =     4182 ms, ax =  0.5982, ay = -0.3884, az =  9.9746, gx = -0.0049 rad/s, gy = -0.0017 rad/s, gz = -0.0599 rad/s, erpm_pitch =    0, erpm_roll = -10983, I_w_pitch = -0.0000 A, I_w_roll = -0.1704 A, theta_roll_comp = -33.4437 mrad, theta_setpoint = -40.0000 mrad, 
msg =  210, time steps =   10, qsz =    2, switch = on, t =     4202 ms, ax =  0.4651, ay = -0.4435, az = 10.0274, gx = -0.0035 rad/s, gy =  0.0023 rad/s, gz =  0.0433 rad/s, erpm_pitch =    0, erpm_roll = -11134, I_w_pitch = -0.0000 A, I_w_roll = -0.3629 A, theta_roll_comp = -33.7387 mrad, theta_setpoint = -40.0000 mrad, 
msg =  211, time steps =   10, qsz =    2, switch = on, t =     4222 ms, ax =  0.6725, ay = -0.1798, az =  9.9171, gx = -0.0047 rad/s, gy =  0.0048 rad/s, gz =  0.0577 rad/s, erpm_pitch =    0, erpm_roll = -11134, I_w_pitch = -0.0000 A, I_w_roll = -0.1399 A, theta_roll_comp = -33.7846 mrad, theta_setpoint = -40.0000 mrad, 
msg =  212, time steps =   10, qsz =    2, switch = on, t =     4242 ms, ax =  0.7216, ay = -0.1415, az =  9.8428, gx = -0.0055 rad/s, gy =  0.0011 rad/s, gz = -0.0409 rad/s, erpm_pitch =    0, erpm_roll = -11281, I_w_pitch = -0.0000 A, I_w_roll = -0.0416 A, theta_roll_comp = -33.5001 mrad, theta_setpoint = -40.0000 mrad, 
msg =  213, time steps =   10, qsz =    2, switch = on, t =     4262 ms, ax =  0.4411, ay = -0.4507, az =  9.9722, gx = -0.0042 rad/s, gy = -0.0014 rad/s, gz = -0.0518 rad/s, erpm_pitch =    0, erpm_roll = -11353, I_w_pitch = -0.0000 A, I_w_roll = -0.2973 A, theta_roll_comp = -33.3997 mrad, theta_setpoint = -40.0000 mrad, 
msg =  214, time steps =   10, qsz =    2, switch = on, t =     4282 ms, ax =  0.3956, ay = -0.4723, az = 10.0609, gx = -0.0026 rad/s, gy =  0.0016 rad/s, gz =  0.0374 rad/s, erpm_pitch =    0, erpm_roll = -11353, I_w_pitch = -0.0000 A, I_w_roll = -0.5312 A, theta_roll_comp = -33.7357 mrad, theta_setpoint = -40.0000 mrad, 
msg =  215, time steps =   10, qsz =    2, switch = on, t =     4302 ms, ax =  0.6365, ay = -0.1990, az =  9.9543, gx = -0.0033 rad/s, gy =  0.0044 rad/s, gz =  0.0451 rad/s, erpm_pitch =    0, erpm_roll = -11485, I_w_pitch = -0.0000 A, I_w_roll = -0.3987 A, theta_roll_comp = -33.8148 mrad, theta_setpoint = -40.0000 mrad, 
msg =  216, time steps =   10, qsz =    2, switch = on, t =     4322 ms, ax =  0.6701, ay = -0.1990, az =  9.9399, gx = -0.0039 rad/s, gy =  0.0004 rad/s, gz = -0.0357 rad/s, erpm_pitch =    0, erpm_roll = -11541, I_w_pitch = -0.0000 A, I_w_roll = -0.3160 A, theta_roll_comp = -33.5827 mrad, theta_setpoint = -40.0000 mrad, 
msg =  217, time steps =   10, qsz =    2, switch = on, t =     4342 ms, ax =  0.5286, ay = -0.5059, az = 10.0022, gx = -0.0014 rad/s, gy = -0.0006 rad/s, gz = -0.0325 rad/s, erpm_pitch =    0, erpm_roll = -11541, I_w_pitch = -0.0000 A, I_w_roll = -0.7580 A, theta_roll_comp = -33.6664 mrad, theta_setpoint = -40.0000 mrad, 
msg =  218, time steps =   10, qsz =    2, switch = on, t =     4362 ms, ax =  0.4747, ay = -0.4891, az =  9.9854, gx =  0.0004 rad/s, gy =  0.0015 rad/s, gz =  0.0377 rad/s, erpm_pitch =    0, erpm_roll = -11636, I_w_pitch = -0.0000 A, I_w_roll = -1.0448 A, theta_roll_comp = -33.9706 mrad, theta_setpoint = -40.0000 mrad, 
msg =  219, time steps =   10, qsz =    2, switch = on, t =     4382 ms, ax =  0.6353, ay = -0.2469, az =  9.8931, gx =  0.0010 rad/s, gy =  0.0030 rad/s, gz =  0.0228 rad/s, erpm_pitch =    0, erpm_roll = -11636, I_w_pitch = -0.0000 A, I_w_roll = -1.1430 A, theta_roll_comp = -33.9560 mrad, theta_setpoint = -40.0000 mrad, 
msg =  220, time steps =   10, qsz =    2, switch = on, t =     4402 ms, ax =  0.6449, ay = -0.1810, az =  9.9722, gx =  0.0027 rad/s, gy =  0.0006 rad/s, gz = -0.0401 rad/s, erpm_pitch =    0, erpm_roll = -11700, I_w_pitch = -0.0000 A, I_w_roll = -1.4967 A, theta_roll_comp = -33.6930 mrad, theta_setpoint = -40.0000 mrad, 
msg =  221, time steps =   10, qsz =    2, switch = on, t =     4422 ms, ax =  0.4903, ay = -0.5071, az =  9.9962, gx =  0.0055 rad/s, gy =  0.0006 rad/s, gz = -0.0075 rad/s, erpm_pitch =    0, erpm_roll = -11721, I_w_pitch = -0.0000 A, I_w_roll = -1.9971 A, theta_roll_comp = -33.7111 mrad, theta_setpoint = -40.0000 mrad, 
msg =  222, time steps =   10, qsz =    2, switch = on, t =     4442 ms, ax =  0.5274, ay = -0.5226, az =  9.9159, gx =  0.0072 rad/s, gy =  0.0040 rad/s, gz =  0.0393 rad/s, erpm_pitch =    0, erpm_roll = -11721, I_w_pitch = -0.0000 A, I_w_roll = -2.2772 A, theta_roll_comp = -33.9082 mrad, theta_setpoint = -40.0000 mrad, 
msg =  223, time steps =   10, qsz =    2, switch = on, t =     4462 ms, ax =  0.6449, ay = -0.2685, az =  9.8859, gx =  0.0091 rad/s, gy =  0.0031 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = -11748, I_w_pitch = -0.0000 A, I_w_roll = -2.6429 A, theta_roll_comp = -33.7196 mrad, theta_setpoint = -40.0000 mrad, 
msg =  224, time steps =   10, qsz =    2, switch = on, t =     4482 ms, ax =  0.5802, ay = -0.3464, az =  9.9890, gx =  0.0116 rad/s, gy =  0.0006 rad/s, gz = -0.0389 rad/s, erpm_pitch =    0, erpm_roll = -11748, I_w_pitch = -0.0000 A, I_w_roll = -3.1555 A, theta_roll_comp = -33.3618 mrad, theta_setpoint = -40.0000 mrad, 
msg =  225, time steps =   10, qsz =    2, switch = on, t =     4502 ms, ax =  0.4831, ay = -0.4555, az = 10.0130, gx =  0.0155 rad/s, gy =  0.0027 rad/s, gz =  0.0169 rad/s, erpm_pitch =    0, erpm_roll = -11753, I_w_pitch = -0.0000 A, I_w_roll = -3.8570 A, theta_roll_comp = -33.3219 mrad, theta_setpoint = -40.0000 mrad, 
msg =  226, time steps =   10, qsz =    2, switch = on, t =     4522 ms, ax =  0.5658, ay = -0.3201, az =  9.9087, gx =  0.0174 rad/s, gy =  0.0044 rad/s, gz =  0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11753, I_w_pitch = -0.0000 A, I_w_roll = -4.2110 A, theta_roll_comp = -33.2066 mrad, theta_setpoint = -40.0000 mrad, 
msg =  227, time steps =   10, qsz =    2, switch = on, t =     4542 ms, ax =  0.6018, ay = -0.2445, az =  9.8871, gx =  0.0192 rad/s, gy =  0.0018 rad/s, gz = -0.0257 rad/s, erpm_pitch =    0, erpm_roll = -11753, I_w_pitch = -0.0000 A, I_w_roll = -4.6304 A, theta_roll_comp = -32.6825 mrad, theta_setpoint = -40.0000 mrad, 
msg =  228, time steps =   10, qsz =    2, switch = on, t =     4562 ms, ax =  0.5298, ay = -0.4052, az =  9.9351, gx =  0.0232 rad/s, gy =  0.0008 rad/s, gz = -0.0322 rad/s, erpm_pitch =    0, erpm_roll = -11747, I_w_pitch = -0.0000 A, I_w_roll = -5.4221 A, theta_roll_comp = -32.2280 mrad, theta_setpoint = -40.0000 mrad, 
msg =  229, time steps =   10, qsz =    2, switch = on, t =     4582 ms, ax =  0.5167, ay = -0.4088, az =  9.9603, gx =  0.0263 rad/s, gy =  0.0036 rad/s, gz =  0.0344 rad/s, erpm_pitch =    0, erpm_roll = -11747, I_w_pitch = -0.0000 A, I_w_roll = -6.0126 A, theta_roll_comp = -31.9829 mrad, theta_setpoint = -40.0000 mrad, 
msg =  230, time steps =   10, qsz =    2, switch = on, t =     4602 ms, ax =  0.6857, ay = -0.2158, az =  9.8751, gx =  0.0283 rad/s, gy =  0.0052 rad/s, gz =  0.0216 rad/s, erpm_pitch =    0, erpm_roll = -11741, I_w_pitch = -0.0000 A, I_w_roll = -6.4465 A, theta_roll_comp = -31.5182 mrad, theta_setpoint = -40.0000 mrad, 
msg =  231, time steps =   10, qsz =    2, switch = on, t =     4622 ms, ax =  0.6737, ay = -0.2182, az =  9.9315, gx =  0.0313 rad/s, gy =  0.0010 rad/s, gz = -0.0399 rad/s, erpm_pitch =    0, erpm_roll = -11742, I_w_pitch = -0.0000 A, I_w_roll = -7.1237 A, theta_roll_comp = -30.7311 mrad, theta_setpoint = -40.0000 mrad, 
msg =  232, time steps =   10, qsz =    2, switch = on, t =     4642 ms, ax =  0.5191, ay = -0.4699, az =  9.9950, gx =  0.0356 rad/s, gy =  0.0016 rad/s, gz = -0.0189 rad/s, erpm_pitch =    0, erpm_roll = -11742, I_w_pitch = -0.0000 A, I_w_roll = -7.9848 A, theta_roll_comp = -30.1427 mrad, theta_setpoint = -40.0000 mrad, 
msg =  233, time steps =   10, qsz =    2, switch = on, t =     4662 ms, ax =  0.4555, ay = -0.4004, az =  9.9531, gx =  0.0389 rad/s, gy =  0.0047 rad/s, gz =  0.0417 rad/s, erpm_pitch =    0, erpm_roll = -11733, I_w_pitch = -0.0000 A, I_w_roll = -8.6616 A, theta_roll_comp = -29.6576 mrad, theta_setpoint = -40.0000 mrad, 
msg =  234, time steps =   10, qsz =    2, switch = on, t =     4682 ms, ax =  0.7108, ay = -0.1043, az =  9.8763, gx =  0.0392 rad/s, gy =  0.0044 rad/s, gz =  0.0029 rad/s, erpm_pitch =    0, erpm_roll = -11733, I_w_pitch = -0.0000 A, I_w_roll = -8.8530 A, theta_roll_comp = -28.7608 mrad, theta_setpoint = -40.0000 mrad, 
msg =  235, time steps =   10, qsz =    2, switch = on, t =     4702 ms, ax =  0.6221, ay = -0.1031, az =  9.9447, gx =  0.0400 rad/s, gy =  0.0026 rad/s, gz = -0.0509 rad/s, erpm_pitch =    0, erpm_roll = -11729, I_w_pitch = -0.0000 A, I_w_roll = -9.1797 A, theta_roll_comp = -27.6179 mrad, theta_setpoint = -40.0000 mrad, 
msg =  236, time steps =   10, qsz =    2, switch = on, t =     4722 ms, ax =  0.4423, ay = -0.3788, az =  9.9998, gx =  0.0420 rad/s, gy =  0.0036 rad/s, gz = -0.0047 rad/s, erpm_pitch =    0, erpm_roll = -11729, I_w_pitch = -0.0000 A, I_w_roll = -9.6743 A, theta_roll_comp = -26.7736 mrad, theta_setpoint = -40.0000 mrad, 
msg =  237, time steps =   10, qsz =    2, switch = on, t =     4742 ms, ax =  0.4963, ay = -0.2218, az =  9.9147, gx =  0.0424 rad/s, gy =  0.0062 rad/s, gz =  0.0427 rad/s, erpm_pitch =    0, erpm_roll = -11729, I_w_pitch = -0.0000 A, I_w_roll = -9.8853 A, theta_roll_comp = -25.9040 mrad, theta_setpoint = -40.0000 mrad, 
