picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -58.4279 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = -367.6851 mrad, 
msg =   68, time steps =   10, qsz =    2, switch = on, t =     1362 ms, ax =  0.5718, ay = -1.2407, az =  9.9698, gx =  0.0143 rad/s, gy =  0.0011 rad/s, gz =  0.0266 rad/s, erpm_pitch =    0, erpm_roll = -11966, I_w_pitch = -0.0000 A, I_w_roll = -51.4515 A, theta_roll_comp = -69.3854 mrad, theta_setpoint = -374.8773 mrad, 
msg =   69, time steps =   10, qsz =    2, switch = on, t =     1382 ms, ax =  0.6713, ay = -0.9937, az =  9.8727, gx =  0.0220 rad/s, gy =  0.0034 rad/s, gz =  0.0128 rad/s, erpm_pitch =    0, erpm_roll = -11894, I_w_pitch = -0.0000 A, I_w_roll = -52.4372 A, theta_roll_comp = -69.8981 mrad, theta_setpoint = -372.8624 mrad, 
msg =   70, time steps =   10, qsz =    2, switch = on, t =     1402 ms, ax =  0.7648, ay = -0.9997, az =  9.9015, gx =  0.0267 rad/s, gy =  0.0019 rad/s, gz = -0.0333 rad/s, erpm_pitch =    0, erpm_roll = -11863, I_w_pitch = -0.0000 A, I_w_roll = -53.1154 A, theta_roll_comp = -70.0349 mrad, theta_setpoint = -371.9948 mrad, 
msg =   71, time steps =   10, qsz =    2, switch = on, t =     1422 ms, ax =  0.5994, ay = -1.1460, az =  9.9998, gx =  0.0405 rad/s, gy =  0.0031 rad/s, gz = -0.0101 rad/s, erpm_pitch =    0, erpm_roll = -11863, I_w_pitch = -0.0000 A, I_w_roll = -55.5995 A, theta_roll_comp = -70.0878 mrad, theta_setpoint = -371.9948 mrad, 
msg =   72, time steps =   10, qsz =    2, switch = on, t =     1442 ms, ax =  0.6042, ay = -1.1064, az =  9.8859, gx =  0.0529 rad/s, gy =  0.0058 rad/s, gz =  0.0340 rad/s, erpm_pitch =    0, erpm_roll = -11816, I_w_pitch = -0.0000 A, I_w_roll = -57.6349 A, theta_roll_comp = -69.9826 mrad, theta_setpoint = -370.6795 mrad, 
msg =   73, time steps =   10, qsz =    2, switch = on, t =     1462 ms, ax =  0.6737, ay = -0.8343, az =  9.8356, gx =  0.0568 rad/s, gy =  0.0064 rad/s, gz = -0.0099 rad/s, erpm_pitch =    0, erpm_roll = -11816, I_w_pitch = -0.0000 A, I_w_roll = -58.4226 A, theta_roll_comp = -69.4035 mrad, theta_setpoint = -370.6795 mrad, 
msg =   74, time steps =   10, qsz =    2, switch = on, t =     1482 ms, ax =  0.5994, ay = -0.8847, az =  9.9411, gx =  0.0624 rad/s, gy =  0.0042 rad/s, gz = -0.0493 rad/s, erpm_pitch =    0, erpm_roll = -11777, I_w_pitch = -0.0000 A, I_w_roll = -59.3894 A, theta_roll_comp = -68.5613 mrad, theta_setpoint = -369.5880 mrad, 
msg =   75, time steps =   10, qsz =    2, switch = on, t =     1502 ms, ax =  0.4975, ay = -1.0129, az =  9.9938, gx =  0.0738 rad/s, gy =  0.0051 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -11764, I_w_pitch = -0.0000 A, I_w_roll = -61.5231 A, theta_roll_comp = -67.7448 mrad, theta_setpoint = -369.2242 mrad, 
msg =   76, time steps =   10, qsz =    2, switch = on, t =     1522 ms, ax =  0.5191, ay = -0.8295, az =  9.8679, gx =  0.0795 rad/s, gy =  0.0076 rad/s, gz =  0.0351 rad/s, erpm_pitch =    0, erpm_roll = -11764, I_w_pitch = -0.0000 A, I_w_roll = -62.7210 A, theta_roll_comp = -66.6989 mrad, theta_setpoint = -369.2242 mrad, 
msg =   77, time steps =   10, qsz =    2, switch = on, t =     1542 ms, ax =  0.6557, ay = -0.5766, az =  9.8272, gx =  0.0793 rad/s, gy =  0.0054 rad/s, gz = -0.0237 rad/s, erpm_pitch =    0, erpm_roll = -11738, I_w_pitch = -0.0000 A, I_w_roll = -62.8065 A, theta_roll_comp = -65.1374 mrad, theta_setpoint = -368.4966 mrad, 
msg =   78, time steps =   10, qsz =    2, switch = on, t =     1562 ms, ax =  0.5934, ay = -0.6605, az =  9.9603, gx =  0.0823 rad/s, gy =  0.0026 rad/s, gz = -0.0458 rad/s, erpm_pitch =    0, erpm_roll = -11738, I_w_pitch = -0.0000 A, I_w_roll = -63.6283 A, theta_roll_comp = -63.4467 mrad, theta_setpoint = -368.4966 mrad, 
