picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  242, time steps =   10, qsz =    2, switch = off, t =     4842 ms, ax =  0.5838, ay = -0.2853, az =  9.9351, gx = -0.0079 rad/s, gy =  0.0011 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll =  0.4015 A, theta_roll_comp = -33.5729 mrad, theta_setpoint = -40.0000 mrad, 
msg =  311, time steps =   10, qsz =    2, switch = on, t =     6222 ms, ax =  0.5778, ay = -0.2481, az =  9.9507, gx = -0.0024 rad/s, gy =  0.0022 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -327, I_w_pitch = -0.0000 A, I_w_roll = -0.9343 A, theta_roll_comp = -31.4013 mrad, theta_setpoint = -39.8856 mrad, 
msg =  312, time steps =   10, qsz =    2, switch = on, t =     6242 ms, ax =  0.5754, ay = -0.2314, az =  9.9579, gx = -0.0022 rad/s, gy =  0.0020 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -420, I_w_pitch = -0.0000 A, I_w_roll = -0.9705 A, theta_roll_comp = -31.2923 mrad, theta_setpoint = -39.8531 mrad, 
msg =  313, time steps =   10, qsz =    2, switch = on, t =     6262 ms, ax =  0.5742, ay = -0.2517, az =  9.9459, gx = -0.0025 rad/s, gy =  0.0018 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -447, I_w_pitch = -0.0000 A, I_w_roll = -0.9344 A, theta_roll_comp = -31.2087 mrad, theta_setpoint = -39.8436 mrad, 
msg =  314, time steps =   10, qsz =    2, switch = on, t =     6282 ms, ax =  0.5790, ay = -0.2613, az =  9.9363, gx = -0.0028 rad/s, gy =  0.0020 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -447, I_w_pitch = -0.0000 A, I_w_roll = -0.8975 A, theta_roll_comp = -31.1400 mrad, theta_setpoint = -39.8436 mrad, 
msg =  315, time steps =   10, qsz =    2, switch = on, t =     6302 ms, ax =  0.5862, ay = -0.2338, az =  9.9399, gx = -0.0033 rad/s, gy =  0.0018 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -521, I_w_pitch = -0.0000 A, I_w_roll = -0.8072 A, theta_roll_comp = -31.0791 mrad, theta_setpoint = -39.8177 mrad, 
msg =  316, time steps =   10, qsz =    2, switch = on, t =     6322 ms, ax =  0.5862, ay = -0.2098, az =  9.9375, gx = -0.0041 rad/s, gy =  0.0018 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -521, I_w_pitch = -0.0000 A, I_w_roll = -0.6793 A, theta_roll_comp = -30.9799 mrad, theta_setpoint = -39.8177 mrad, 
msg =  317, time steps =   10, qsz =    2, switch = on, t =     6342 ms, ax =  0.5886, ay = -0.2218, az =  9.9375, gx = -0.0041 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -629, I_w_pitch = -0.0000 A, I_w_roll = -0.6876 A, theta_roll_comp = -30.8902 mrad, theta_setpoint = -39.7800 mrad, 
msg =  318, time steps =   10, qsz =    2, switch = on, t =     6362 ms, ax =  0.5682, ay = -0.2409, az =  9.9207, gx = -0.0049 rad/s, gy =  0.0023 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -664, I_w_pitch = -0.0000 A, I_w_roll = -0.5497 A, theta_roll_comp = -30.8407 mrad, theta_setpoint = -39.7677 mrad, 
msg =  319, time steps =   10, qsz =    2, switch = on, t =     6382 ms, ax =  0.5634, ay = -0.2254, az =  9.9219, gx = -0.0059 rad/s, gy =  0.0022 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -664, I_w_pitch = -0.0000 A, I_w_roll = -0.3622 A, theta_roll_comp = -30.8146 mrad, theta_setpoint = -39.7677 mrad, 
msg =  320, time steps =   10, qsz =    2, switch = on, t =     6402 ms, ax =  0.5562, ay = -0.2373, az =  9.9387, gx = -0.0050 rad/s, gy =  0.0014 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -783, I_w_pitch = -0.0000 A, I_w_roll = -0.5296 A, theta_roll_comp = -30.7753 mrad, theta_setpoint = -39.7261 mrad, 
msg =  321, time steps =   10, qsz =    2, switch = on, t =     6422 ms, ax =  0.5562, ay = -0.2877, az =  9.9255, gx = -0.0045 rad/s, gy =  0.0011 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -867, I_w_pitch = -0.0000 A, I_w_roll = -0.6213 A, theta_roll_comp = -30.7719 mrad, theta_setpoint = -39.6967 mrad, 
msg =  322, time steps =   10, qsz =    2, switch = on, t =     6442 ms, ax =  0.5658, ay = -0.2841, az =  9.9339, gx = -0.0058 rad/s, gy =  0.0012 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = -867, I_w_pitch = -0.0000 A, I_w_roll = -0.3729 A, theta_roll_comp = -30.8266 mrad, theta_setpoint = -39.6967 mrad, 
msg =  323, time steps =   10, qsz =    2, switch = on, t =     6462 ms, ax =  0.5874, ay = -0.2721, az =  9.9459, gx = -0.0046 rad/s, gy =  0.0012 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = -929, I_w_pitch = -0.0000 A, I_w_roll = -0.5808 A, theta_roll_comp = -30.8535 mrad, theta_setpoint = -39.6750 mrad, 
msg =  324, time steps =   10, qsz =    2, switch = on, t =     6482 ms, ax =  0.5910, ay = -0.3129, az =  9.9291, gx = -0.0028 rad/s, gy =  0.0008 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = -929, I_w_pitch = -0.0000 A, I_w_roll = -0.9104 A, theta_roll_comp = -30.8907 mrad, theta_setpoint = -39.6750 mrad, 
msg =  325, time steps =   10, qsz =    2, switch = on, t =     6502 ms, ax =  0.5946, ay = -0.2913, az =  9.9387, gx = -0.0042 rad/s, gy =  0.0024 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -1028, I_w_pitch = -0.0000 A, I_w_roll = -0.6331 A, theta_roll_comp = -30.9412 mrad, theta_setpoint = -39.6404 mrad, 
msg =  326, time steps =   10, qsz =    2, switch = on, t =     6522 ms, ax =  0.6030, ay = -0.2781, az =  9.9471, gx = -0.0021 rad/s, gy =  0.0024 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -1079, I_w_pitch = -0.0000 A, I_w_roll = -1.0155 A, theta_roll_comp = -30.9304 mrad, theta_setpoint = -39.6225 mrad, 
msg =  327, time steps =   10, qsz =    2, switch = on, t =     6542 ms, ax =  0.5718, ay = -0.2553, az =  9.9435, gx = -0.0013 rad/s, gy =  0.0019 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -1079, I_w_pitch = -0.0000 A, I_w_roll = -1.1676 A, theta_roll_comp = -30.8788 mrad, theta_setpoint = -39.6225 mrad, 
msg =  328, time steps =   10, qsz =    2, switch = on, t =     6562 ms, ax =  0.5730, ay = -0.2745, az =  9.9423, gx = -0.0026 rad/s, gy =  0.0030 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -1197, I_w_pitch = -0.0000 A, I_w_roll = -0.9270 A, theta_roll_comp = -30.8427 mrad, theta_setpoint = -39.5813 mrad, 
msg =  329, time steps =   10, qsz =    2, switch = on, t =     6582 ms, ax =  0.5634, ay = -0.2326, az =  9.9531, gx = -0.0017 rad/s, gy =  0.0024 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1197, I_w_pitch = -0.0000 A, I_w_roll = -1.1070 A, theta_roll_comp = -30.7665 mrad, theta_setpoint = -39.5813 mrad, 
msg =  330, time steps =   10, qsz =    2, switch = on, t =     6602 ms, ax =  0.5526, ay = -0.2673, az =  9.9471, gx = -0.0010 rad/s, gy =  0.0020 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -1327, I_w_pitch = -0.0000 A, I_w_roll = -1.2329 A, theta_roll_comp = -30.6832 mrad, theta_setpoint = -39.5358 mrad, 
msg =  331, time steps =   10, qsz =    2, switch = on, t =     6622 ms, ax =  0.5886, ay = -0.2457, az =  9.9279, gx = -0.0028 rad/s, gy =  0.0020 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = -1394, I_w_pitch = -0.0000 A, I_w_roll = -0.9271 A, theta_roll_comp = -30.6236 mrad, theta_setpoint = -39.5123 mrad, 
msg =  332, time steps =   10, qsz =    2, switch = on, t =     6642 ms, ax =  0.5730, ay = -0.2685, az =  9.9339, gx = -0.0024 rad/s, gy =  0.0019 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -1394, I_w_pitch = -0.0000 A, I_w_roll = -1.0091 A, theta_roll_comp = -30.5603 mrad, theta_setpoint = -39.5123 mrad, 
msg =  333, time steps =   10, qsz =    2, switch = on, t =     6662 ms, ax =  0.5490, ay = -0.2793, az =  9.9351, gx = -0.0024 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -1558, I_w_pitch = -0.0000 A, I_w_roll = -1.0102 A, theta_roll_comp = -30.4965 mrad, theta_setpoint = -39.4550 mrad, 
msg =  334, time steps =   10, qsz =    2, switch = on, t =     6682 ms, ax =  0.5586, ay = -0.2182, az =  9.9363, gx = -0.0037 rad/s, gy =  0.0015 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -1558, I_w_pitch = -0.0000 A, I_w_roll = -0.7766 A, theta_roll_comp = -30.4584 mrad, theta_setpoint = -39.4550 mrad, 
msg =  335, time steps =   10, qsz =    2, switch = on, t =     6702 ms, ax =  0.5922, ay = -0.2577, az =  9.9159, gx = -0.0033 rad/s, gy =  0.0018 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -1725, I_w_pitch = -0.0000 A, I_w_roll = -0.8495 A, theta_roll_comp = -30.3939 mrad, theta_setpoint = -39.3966 mrad, 
msg =  336, time steps =   10, qsz =    2, switch = on, t =     6722 ms, ax =  0.5790, ay = -0.2577, az =  9.9255, gx = -0.0030 rad/s, gy =  0.0015 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -1812, I_w_pitch = -0.0000 A, I_w_roll = -0.9041 A, theta_roll_comp = -30.3217 mrad, theta_setpoint = -39.3661 mrad, 
msg =  337, time steps =   10, qsz =    2, switch = on, t =     6742 ms, ax =  0.5790, ay = -0.2194, az =  9.9567, gx = -0.0039 rad/s, gy =  0.0019 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -1812, I_w_pitch = -0.0000 A, I_w_roll = -0.7403 A, theta_roll_comp = -30.2967 mrad, theta_setpoint = -39.3661 mrad, 
msg =  338, time steps =   10, qsz =    2, switch = on, t =     6762 ms, ax =  0.5754, ay = -0.2230, az =  9.9387, gx = -0.0041 rad/s, gy =  0.0016 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -1984, I_w_pitch = -0.0000 A, I_w_roll = -0.7120 A, theta_roll_comp = -30.2638 mrad, theta_setpoint = -39.3060 mrad, 
msg =  339, time steps =   10, qsz =    2, switch = on, t =     6782 ms, ax =  0.5658, ay = -0.2697, az =  9.9099, gx = -0.0035 rad/s, gy =  0.0014 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -1984, I_w_pitch = -0.0000 A, I_w_roll = -0.8146 A, theta_roll_comp = -30.2216 mrad, theta_setpoint = -39.3060 mrad, 
msg =  340, time steps =   10, qsz =    2, switch = on, t =     6802 ms, ax =  0.5646, ay = -0.3117, az =  9.9159, gx = -0.0039 rad/s, gy =  0.0015 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -2176, I_w_pitch = -0.0000 A, I_w_roll = -0.7326 A, theta_roll_comp = -30.2178 mrad, theta_setpoint = -39.2388 mrad, 
msg =  341, time steps =   10, qsz =    2, switch = on, t =     6822 ms, ax =  0.5850, ay = -0.2601, az =  9.9626, gx = -0.0038 rad/s, gy =  0.0015 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -2267, I_w_pitch = -0.0000 A, I_w_roll = -0.7594 A, theta_roll_comp = -30.1683 mrad, theta_setpoint = -39.2070 mrad, 
msg =  342, time steps =   10, qsz =    2, switch = on, t =     6842 ms, ax =  0.5790, ay = -0.2481, az =  9.9734, gx = -0.0035 rad/s, gy =  0.0014 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -2267, I_w_pitch = -0.0000 A, I_w_roll = -0.8174 A, theta_roll_comp = -30.1052 mrad, theta_setpoint = -39.2070 mrad, 
msg =  343, time steps =   10, qsz =    2, switch = on, t =     6862 ms, ax =  0.5382, ay = -0.2577, az =  9.9782, gx = -0.0041 rad/s, gy =  0.0020 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -2451, I_w_pitch = -0.0000 A, I_w_roll = -0.7185 A, theta_roll_comp = -30.0593 mrad, theta_setpoint = -39.1426 mrad, 
msg =  344, time steps =   10, qsz =    2, switch = on, t =     6882 ms, ax =  0.5406, ay = -0.2469, az =  9.9615, gx = -0.0045 rad/s, gy =  0.0022 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -2548, I_w_pitch = -0.0000 A, I_w_roll = -0.6470 A, theta_roll_comp = -30.0234 mrad, theta_setpoint = -39.1087 mrad, 
msg =  345, time steps =   10, qsz =    2, switch = on, t =     6902 ms, ax =  0.5670, ay = -0.2493, az =  9.9519, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -2548, I_w_pitch = -0.0000 A, I_w_roll = -0.6311 A, theta_roll_comp = -29.9729 mrad, theta_setpoint = -39.1087 mrad, 
msg =  346, time steps =   10, qsz =    2, switch = on, t =     6922 ms, ax =  0.5826, ay = -0.2517, az =  9.9435, gx = -0.0051 rad/s, gy =  0.0008 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = -2749, I_w_pitch = -0.0000 A, I_w_roll = -0.5298 A, theta_roll_comp = -29.9364 mrad, theta_setpoint = -39.0383 mrad, 
msg =  347, time steps =   10, qsz =    2, switch = on, t =     6942 ms, ax =  0.6149, ay = -0.2505, az =  9.9758, gx = -0.0058 rad/s, gy =  0.0010 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -2749, I_w_pitch = -0.0000 A, I_w_roll = -0.4194 A, theta_roll_comp = -29.8774 mrad, theta_setpoint = -39.0383 mrad, 
msg =  348, time steps =   10, qsz =    2, switch = on, t =     6962 ms, ax =  0.6281, ay = -0.3428, az =  9.9722, gx = -0.0062 rad/s, gy =  0.0011 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll = -2952, I_w_pitch = -0.0000 A, I_w_roll = -0.3354 A, theta_roll_comp = -29.8819 mrad, theta_setpoint = -38.9673 mrad, 
msg =  349, time steps =   10, qsz =    2, switch = on, t =     6982 ms, ax =  0.5502, ay = -0.3201, az =  9.9555, gx = -0.0075 rad/s, gy =  0.0010 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -3054, I_w_pitch = -0.0000 A, I_w_roll = -0.0832 A, theta_roll_comp = -29.9247 mrad, theta_setpoint = -38.9316 mrad, 
msg =  350, time steps =   10, qsz =    2, switch = on, t =     7002 ms, ax =  0.5970, ay = -0.2805, az =  9.9039, gx = -0.0086 rad/s, gy =  0.0012 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -3054, I_w_pitch = -0.0000 A, I_w_roll =  0.1106 A, theta_roll_comp = -29.9375 mrad, theta_setpoint = -38.9316 mrad, 
msg =  351, time steps =   10, qsz =    2, switch = on, t =     7022 ms, ax =  0.5958, ay = -0.1882, az =  9.9195, gx = -0.0086 rad/s, gy =  0.0015 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll = -3244, I_w_pitch = -0.0000 A, I_w_roll =  0.1307 A, theta_roll_comp = -29.9967 mrad, theta_setpoint = -38.8652 mrad, 
msg =  352, time steps =   10, qsz =    2, switch = on, t =     7042 ms, ax =  0.6114, ay = -0.1774, az =  9.9435, gx = -0.0077 rad/s, gy =  0.0022 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = -3244, I_w_pitch = -0.0000 A, I_w_roll = -0.0260 A, theta_roll_comp = -30.0660 mrad, theta_setpoint = -38.8652 mrad, 
msg =  353, time steps =   10, qsz =    2, switch = on, t =     7062 ms, ax =  0.5742, ay = -0.2421, az =  9.9615, gx = -0.0069 rad/s, gy =  0.0024 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -3434, I_w_pitch = -0.0000 A, I_w_roll = -0.1481 A, theta_roll_comp = -30.1350 mrad, theta_setpoint = -38.7987 mrad, 
msg =  354, time steps =   10, qsz =    2, switch = on, t =     7082 ms, ax =  0.5814, ay = -0.2350, az =  9.9351, gx = -0.0071 rad/s, gy =  0.0020 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -3526, I_w_pitch = -0.0000 A, I_w_roll = -0.0929 A, theta_roll_comp = -30.1483 mrad, theta_setpoint = -38.7665 mrad, 
msg =  355, time steps =   10, qsz =    2, switch = on, t =     7102 ms, ax =  0.5634, ay = -0.2134, az =  9.9327, gx = -0.0065 rad/s, gy =  0.0019 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -3526, I_w_pitch = -0.0000 A, I_w_roll = -0.2089 A, theta_roll_comp = -30.1719 mrad, theta_setpoint = -38.7665 mrad, 
msg =  356, time steps =   10, qsz =    2, switch = on, t =     7122 ms, ax =  0.5886, ay = -0.2697, az =  9.9387, gx = -0.0063 rad/s, gy =  0.0011 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -3701, I_w_pitch = -0.0000 A, I_w_roll = -0.2198 A, theta_roll_comp = -30.1926 mrad, theta_setpoint = -38.7053 mrad, 
msg =  357, time steps =   10, qsz =    2, switch = on, t =     7142 ms, ax =  0.5598, ay = -0.2601, az =  9.9375, gx = -0.0066 rad/s, gy =  0.0007 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -3701, I_w_pitch = -0.0000 A, I_w_roll = -0.1707 A, theta_roll_comp = -30.2002 mrad, theta_setpoint = -38.7053 mrad, 
msg =  358, time steps =   10, qsz =    2, switch = on, t =     7162 ms, ax =  0.5562, ay = -0.2350, az =  9.9459, gx = -0.0069 rad/s, gy =  0.0012 rad/s, gz =  0.0019 rad/s, erpm_pitch =    0, erpm_roll = -3873, I_w_pitch = -0.0000 A, I_w_roll = -0.1093 A, theta_roll_comp = -30.2241 mrad, theta_setpoint = -38.6451 mrad, 
msg =  359, time steps =   10, qsz =    2, switch = on, t =     7182 ms, ax =  0.5766, ay = -0.2158, az =  9.9315, gx = -0.0079 rad/s, gy =  0.0011 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -3970, I_w_pitch = -0.0000 A, I_w_roll =  0.0907 A, theta_roll_comp = -30.2416 mrad, theta_setpoint = -38.6112 mrad, 
msg =  360, time steps =   10, qsz =    2, switch = on, t =     7202 ms, ax =  0.5910, ay = -0.2086, az =  9.9339, gx = -0.0083 rad/s, gy =  0.0014 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -3970, I_w_pitch = -0.0000 A, I_w_roll =  0.1642 A, theta_roll_comp = -30.2517 mrad, theta_setpoint = -38.6112 mrad, 
msg =  361, time steps =   10, qsz =    2, switch = on, t =     7222 ms, ax =  0.6161, ay = -0.2194, az =  9.9710, gx = -0.0085 rad/s, gy =  0.0018 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = -4151, I_w_pitch = -0.0000 A, I_w_roll =  0.2014 A, theta_roll_comp = -30.2709 mrad, theta_setpoint = -38.5479 mrad, 
msg =  362, time steps =   10, qsz =    2, switch = on, t =     7242 ms, ax =  0.6054, ay = -0.2673, az =  9.9411, gx = -0.0087 rad/s, gy =  0.0023 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = -4151, I_w_pitch = -0.0000 A, I_w_roll =  0.2652 A, theta_roll_comp = -30.3700 mrad, theta_setpoint = -38.5479 mrad, 
msg =  363, time steps =   10, qsz =    2, switch = on, t =     7262 ms, ax =  0.5862, ay = -0.2481, az =  9.9135, gx = -0.0087 rad/s, gy =  0.0016 rad/s, gz = -0.0023 rad/s, erpm_pitch =    0, erpm_roll = -4326, I_w_pitch = -0.0000 A, I_w_roll =  0.2913 A, theta_roll_comp = -30.4718 mrad, theta_setpoint = -38.4867 mrad, 
msg =  364, time steps =   10, qsz =    2, switch = on, t =     7282 ms, ax =  0.5562, ay = -0.2853, az =  9.9231, gx = -0.0082 rad/s, gy =  0.0016 rad/s, gz = -0.0020 rad/s, erpm_pitch =    0, erpm_roll = -4405, I_w_pitch = -0.0000 A, I_w_roll =  0.2167 A, theta_roll_comp = -30.5771 mrad, theta_setpoint = -38.4590 mrad, 
msg =  365, time steps =   10, qsz =    2, switch = on, t =     7302 ms, ax =  0.5802, ay = -0.2961, az =  9.9447, gx = -0.0075 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll = -4405, I_w_pitch = -0.0000 A, I_w_roll =  0.1225 A, theta_roll_comp = -30.7378 mrad, theta_setpoint = -38.4590 mrad, 
msg =  366, time steps =   10, qsz =    2, switch = on, t =     7322 ms, ax =  0.5598, ay = -0.2218, az =  9.9650, gx = -0.0073 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -4570, I_w_pitch = -0.0000 A, I_w_roll =  0.0938 A, theta_roll_comp = -30.8003 mrad, theta_setpoint = -38.4013 mrad, 
msg =  367, time steps =   10, qsz =    2, switch = on, t =     7342 ms, ax =  0.5826, ay = -0.2841, az =  9.9303, gx = -0.0074 rad/s, gy =  0.0014 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -4642, I_w_pitch = -0.0000 A, I_w_roll =  0.1292 A, theta_roll_comp = -30.8464 mrad, theta_setpoint = -38.3761 mrad, 
msg =  368, time steps =   10, qsz =    2, switch = on, t =     7362 ms, ax =  0.5958, ay = -0.2433, az =  9.9399, gx = -0.0077 rad/s, gy =  0.0015 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = -4642, I_w_pitch = -0.0000 A, I_w_roll =  0.1913 A, theta_roll_comp = -30.9351 mrad, theta_setpoint = -38.3761 mrad, 
msg =  369, time steps =   10, qsz =    2, switch = on, t =     7382 ms, ax =  0.5802, ay = -0.1654, az =  9.9770, gx = -0.0082 rad/s, gy =  0.0023 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll = -4806, I_w_pitch = -0.0000 A, I_w_roll =  0.2982 A, theta_roll_comp = -30.9462 mrad, theta_setpoint = -38.3188 mrad, 
msg =  370, time steps =   10, qsz =    2, switch = on, t =     7402 ms, ax =  0.5814, ay = -0.2397, az =  9.9591, gx = -0.0090 rad/s, gy =  0.0018 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = -4806, I_w_pitch = -0.0000 A, I_w_roll =  0.4361 A, theta_roll_comp = -30.9097 mrad, theta_setpoint = -38.3188 mrad, 
msg =  371, time steps =   10, qsz =    2, switch = on, t =     7422 ms, ax =  0.5538, ay = -0.3680, az =  9.9147, gx = -0.0086 rad/s, gy =  0.0015 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -4957, I_w_pitch = -0.0000 A, I_w_roll =  0.3975 A, theta_roll_comp = -31.0650 mrad, theta_setpoint = -38.2659 mrad, 
msg =  372, time steps =   10, qsz =    2, switch = on, t =     7442 ms, ax =  0.5682, ay = -0.2925, az =  9.9387, gx = -0.0073 rad/s, gy =  0.0014 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -5036, I_w_pitch = -0.0000 A, I_w_roll =  0.1942 A, theta_roll_comp = -31.2646 mrad, theta_setpoint = -38.2383 mrad, 
msg =  373, time steps =   10, qsz =    2, switch = on, t =     7462 ms, ax =  0.5622, ay = -0.1930, az =  9.9758, gx = -0.0067 rad/s, gy =  0.0014 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -5036, I_w_pitch = -0.0000 A, I_w_roll =  0.1009 A, theta_roll_comp = -31.2809 mrad, theta_setpoint = -38.2383 mrad, 
msg =  374, time steps =   10, qsz =    2, switch = on, t =     7482 ms, ax =  0.5167, ay = -0.2062, az =  9.9698, gx = -0.0069 rad/s, gy =  0.0016 rad/s, gz = -0.0012 rad/s, erpm_pitch =    0, erpm_roll = -5181, I_w_pitch = -0.0000 A, I_w_roll =  0.1280 A, theta_roll_comp = -31.2494 mrad, theta_setpoint = -38.1876 mrad, 
msg =  375, time steps =   10, qsz =    2, switch = on, t =     7502 ms, ax =  0.5071, ay = -0.2529, az =  9.9770, gx = -0.0059 rad/s, gy =  0.0026 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -5181, I_w_pitch = -0.0000 A, I_w_roll = -0.0421 A, theta_roll_comp = -31.2350 mrad, theta_setpoint = -38.1876 mrad, 
msg =  376, time steps =   10, qsz =    2, switch = on, t =     7522 ms, ax =  0.5838, ay = -0.2901, az =  9.8775, gx = -0.0066 rad/s, gy =  0.0008 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -5325, I_w_pitch = -0.0000 A, I_w_roll =  0.0973 A, theta_roll_comp = -31.3069 mrad, theta_setpoint = -38.1372 mrad, 
msg =  377, time steps =   10, qsz =    2, switch = on, t =     7542 ms, ax =  0.6126, ay = -0.2577, az =  9.9267, gx = -0.0078 rad/s, gy =  0.0022 rad/s, gz =  0.0016 rad/s, erpm_pitch =    0, erpm_roll = -5399, I_w_pitch = -0.0000 A, I_w_roll =  0.3200 A, theta_roll_comp = -31.3248 mrad, theta_setpoint = -38.1113 mrad, 
msg =  378, time steps =   10, qsz =    2, switch = on, t =     7562 ms, ax =  0.5454, ay = -0.2685, az =  9.9483, gx = -0.0079 rad/s, gy =  0.0027 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -5399, I_w_pitch = -0.0000 A, I_w_roll =  0.3550 A, theta_roll_comp = -31.3936 mrad, theta_setpoint = -38.1113 mrad, 
msg =  379, time steps =   10, qsz =    2, switch = on, t =     7582 ms, ax =  0.5202, ay = -0.2949, az =  9.9135, gx = -0.0071 rad/s, gy =  0.0024 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = -5548, I_w_pitch = -0.0000 A, I_w_roll =  0.2351 A, theta_roll_comp = -31.4912 mrad, theta_setpoint = -38.0592 mrad, 
msg =  380, time steps =   10, qsz =    2, switch = on, t =     7602 ms, ax =  0.4975, ay = -0.2769, az =  9.9339, gx = -0.0070 rad/s, gy =  0.0015 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = -5548, I_w_pitch = -0.0000 A, I_w_roll =  0.2273 A, theta_roll_comp = -31.5917 mrad, theta_setpoint = -38.0592 mrad, 
