picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  181, time steps =   10, qsz =    2, switch = off, t =     3622 ms, ax =  0.4279, ay =  2.7643, az =  9.5347, gx = -0.0047 rad/s, gy =  0.0020 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -48.6867 A, theta_roll_comp = 269.6335 mrad, theta_setpoint = -40.0000 mrad, 
msg =  250, time steps =   10, qsz =    2, switch = off, t =     5002 ms, ax =  0.4327, ay =  2.7463, az =  9.5443, gx = -0.0045 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6233 A, theta_roll_comp = 275.1875 mrad, theta_setpoint = -40.0000 mrad, 
msg =  251, time steps =   10, qsz =    2, switch = off, t =     5022 ms, ax =  0.4291, ay =  2.7571, az =  9.5359, gx = -0.0049 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5544 A, theta_roll_comp = 275.2061 mrad, theta_setpoint = -40.0000 mrad, 
msg =  252, time steps =   10, qsz =    2, switch = off, t =     5042 ms, ax =  0.4315, ay =  2.7583, az =  9.5251, gx = -0.0049 rad/s, gy =  0.0022 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5593 A, theta_roll_comp = 275.2369 mrad, theta_setpoint = -40.0000 mrad, 
msg =  253, time steps =   10, qsz =    2, switch = off, t =     5062 ms, ax =  0.4267, ay =  2.7655, az =  9.5407, gx = -0.0043 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6604 A, theta_roll_comp = 275.2695 mrad, theta_setpoint = -40.0000 mrad, 
msg =  254, time steps =   10, qsz =    2, switch = off, t =     5082 ms, ax =  0.4220, ay =  2.7679, az =  9.5395, gx = -0.0041 rad/s, gy =  0.0016 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7168 A, theta_roll_comp = 275.3224 mrad, theta_setpoint = -40.0000 mrad, 
msg =  255, time steps =   10, qsz =    2, switch = off, t =     5102 ms, ax =  0.4291, ay =  2.7667, az =  9.5455, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6054 A, theta_roll_comp = 275.3748 mrad, theta_setpoint = -40.0000 mrad, 
msg =  256, time steps =   10, qsz =    2, switch = off, t =     5122 ms, ax =  0.4220, ay =  2.7643, az =  9.5311, gx = -0.0045 rad/s, gy =  0.0012 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6604 A, theta_roll_comp = 275.4194 mrad, theta_setpoint = -40.0000 mrad, 
msg =  257, time steps =   10, qsz =    2, switch = off, t =     5142 ms, ax =  0.4267, ay =  2.7583, az =  9.5347, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6177 A, theta_roll_comp = 275.4521 mrad, theta_setpoint = -40.0000 mrad, 
msg =  258, time steps =   10, qsz =    2, switch = off, t =     5162 ms, ax =  0.4267, ay =  2.7595, az =  9.5347, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6465 A, theta_roll_comp = 275.4823 mrad, theta_setpoint = -40.0000 mrad, 
msg =  259, time steps =   10, qsz =    2, switch = off, t =     5182 ms, ax =  0.4244, ay =  2.7571, az =  9.5299, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6269 A, theta_roll_comp = 275.5092 mrad, theta_setpoint = -40.0000 mrad, 
msg =  260, time steps =   10, qsz =    2, switch = off, t =     5202 ms, ax =  0.4255, ay =  2.7583, az =  9.5287, gx = -0.0051 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5588 A, theta_roll_comp = 275.5334 mrad, theta_setpoint = -40.0000 mrad, 
msg =  261, time steps =   10, qsz =    2, switch = off, t =     5222 ms, ax =  0.4255, ay =  2.7643, az =  9.5407, gx = -0.0051 rad/s, gy =  0.0015 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.5637 A, theta_roll_comp = 275.5639 mrad, theta_setpoint = -40.0000 mrad, 
msg =  262, time steps =   10, qsz =    2, switch = off, t =     5242 ms, ax =  0.4267, ay =  2.7607, az =  9.5323, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6399 A, theta_roll_comp = 275.5906 mrad, theta_setpoint = -40.0000 mrad, 
msg =  263, time steps =   10, qsz =    2, switch = off, t =     5262 ms, ax =  0.4255, ay =  2.7583, az =  9.5359, gx = -0.0047 rad/s, gy =  0.0015 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6445 A, theta_roll_comp = 275.6194 mrad, theta_setpoint = -40.0000 mrad, 
msg =  264, time steps =   10, qsz =    2, switch = off, t =     5282 ms, ax =  0.4255, ay =  2.7487, az =  9.5347, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6709 A, theta_roll_comp = 275.6348 mrad, theta_setpoint = -40.0000 mrad, 
msg =  265, time steps =   10, qsz =    2, switch = off, t =     5302 ms, ax =  0.4267, ay =  2.7523, az =  9.5227, gx = -0.0045 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6976 A, theta_roll_comp = 275.6518 mrad, theta_setpoint = -40.0000 mrad, 
msg =  266, time steps =   10, qsz =    2, switch = off, t =     5322 ms, ax =  0.4327, ay =  2.7559, az =  9.5203, gx = -0.0043 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7265 A, theta_roll_comp = 275.6826 mrad, theta_setpoint = -40.0000 mrad, 
msg =  267, time steps =   10, qsz =    2, switch = off, t =     5342 ms, ax =  0.4291, ay =  2.7607, az =  9.5395, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6833 A, theta_roll_comp = 275.7120 mrad, theta_setpoint = -40.0000 mrad, 
msg =  268, time steps =   10, qsz =    2, switch = off, t =     5362 ms, ax =  0.4315, ay =  2.7679, az =  9.5419, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6642 A, theta_roll_comp = 275.7427 mrad, theta_setpoint = -40.0000 mrad, 
msg =  269, time steps =   10, qsz =    2, switch = off, t =     5382 ms, ax =  0.4267, ay =  2.7631, az =  9.5371, gx = -0.0047 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6692 A, theta_roll_comp = 275.7736 mrad, theta_setpoint = -40.0000 mrad, 
msg =  270, time steps =   10, qsz =    2, switch = off, t =     5402 ms, ax =  0.4303, ay =  2.7583, az =  9.5275, gx = -0.0047 rad/s, gy =  0.0019 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6746 A, theta_roll_comp = 275.8076 mrad, theta_setpoint = -40.0000 mrad, 
msg =  271, time steps =   10, qsz =    2, switch = off, t =     5422 ms, ax =  0.4267, ay =  2.7631, az =  9.5323, gx = -0.0045 rad/s, gy =  0.0018 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7277 A, theta_roll_comp = 275.8397 mrad, theta_setpoint = -40.0000 mrad, 
msg =  272, time steps =   10, qsz =    2, switch = off, t =     5442 ms, ax =  0.4255, ay =  2.7607, az =  9.5479, gx = -0.0047 rad/s, gy =  0.0022 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6842 A, theta_roll_comp = 275.8678 mrad, theta_setpoint = -40.0000 mrad, 
msg =  273, time steps =   10, qsz =    2, switch = off, t =     5462 ms, ax =  0.4196, ay =  2.7619, az =  9.5479, gx = -0.0045 rad/s, gy =  0.0015 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7357 A, theta_roll_comp = 275.8897 mrad, theta_setpoint = -40.0000 mrad, 
msg =  274, time steps =   10, qsz =    2, switch = off, t =     5482 ms, ax =  0.4232, ay =  2.7619, az =  9.5443, gx = -0.0047 rad/s, gy =  0.0012 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6923 A, theta_roll_comp = 275.9182 mrad, theta_setpoint = -40.0000 mrad, 
msg =  275, time steps =   10, qsz =    2, switch = off, t =     5502 ms, ax =  0.4291, ay =  2.7619, az =  9.5359, gx = -0.0049 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6709 A, theta_roll_comp = 275.9340 mrad, theta_setpoint = -40.0000 mrad, 
msg =  276, time steps =   10, qsz =    2, switch = off, t =     5522 ms, ax =  0.4303, ay =  2.7691, az =  9.5383, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7246 A, theta_roll_comp = 275.9700 mrad, theta_setpoint = -40.0000 mrad, 
msg =  277, time steps =   10, qsz =    2, switch = off, t =     5542 ms, ax =  0.4327, ay =  2.7667, az =  9.5311, gx = -0.0050 rad/s, gy =  0.0015 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6583 A, theta_roll_comp = 276.0050 mrad, theta_setpoint = -40.0000 mrad, 
msg =  278, time steps =   10, qsz =    2, switch = off, t =     5562 ms, ax =  0.4327, ay =  2.7655, az =  9.5275, gx = -0.0051 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6395 A, theta_roll_comp = 276.0374 mrad, theta_setpoint = -40.0000 mrad, 
msg =  279, time steps =   10, qsz =    2, switch = off, t =     5582 ms, ax =  0.4327, ay =  2.7727, az =  9.5215, gx = -0.0050 rad/s, gy =  0.0022 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6702 A, theta_roll_comp = 276.0796 mrad, theta_setpoint = -40.0000 mrad, 
msg =  280, time steps =   10, qsz =    2, switch = off, t =     5602 ms, ax =  0.4279, ay =  2.7619, az =  9.5251, gx = -0.0050 rad/s, gy =  0.0018 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6758 A, theta_roll_comp = 276.1148 mrad, theta_setpoint = -40.0000 mrad, 
msg =  281, time steps =   10, qsz =    2, switch = off, t =     5622 ms, ax =  0.4244, ay =  2.7571, az =  9.5275, gx = -0.0054 rad/s, gy =  0.0020 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6060 A, theta_roll_comp = 276.1277 mrad, theta_setpoint = -40.0000 mrad, 
msg =  282, time steps =   10, qsz =    2, switch = off, t =     5642 ms, ax =  0.4351, ay =  2.7679, az =  9.5371, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7281 A, theta_roll_comp = 276.1418 mrad, theta_setpoint = -40.0000 mrad, 
msg =  283, time steps =   10, qsz =    2, switch = off, t =     5662 ms, ax =  0.4315, ay =  2.7643, az =  9.5395, gx = -0.0049 rad/s, gy =  0.0018 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7083 A, theta_roll_comp = 276.1677 mrad, theta_setpoint = -40.0000 mrad, 
msg =  284, time steps =   10, qsz =    2, switch = off, t =     5682 ms, ax =  0.4291, ay =  2.7607, az =  9.5479, gx = -0.0047 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7345 A, theta_roll_comp = 276.1820 mrad, theta_setpoint = -40.0000 mrad, 
msg =  285, time steps =   10, qsz =    2, switch = off, t =     5702 ms, ax =  0.4315, ay =  2.7571, az =  9.5443, gx = -0.0050 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6871 A, theta_roll_comp = 276.1853 mrad, theta_setpoint = -40.0000 mrad, 
msg =  286, time steps =   10, qsz =    2, switch = off, t =     5722 ms, ax =  0.4232, ay =  2.7607, az =  9.5395, gx = -0.0049 rad/s, gy =  0.0020 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7127 A, theta_roll_comp = 276.1955 mrad, theta_setpoint = -40.0000 mrad, 
msg =  287, time steps =   10, qsz =    2, switch = off, t =     5742 ms, ax =  0.4232, ay =  2.7547, az =  9.5323, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7386 A, theta_roll_comp = 276.2073 mrad, theta_setpoint = -40.0000 mrad, 
msg =  288, time steps =   10, qsz =    2, switch = off, t =     5762 ms, ax =  0.4232, ay =  2.7535, az =  9.5455, gx = -0.0045 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7879 A, theta_roll_comp = 276.2162 mrad, theta_setpoint = -40.0000 mrad, 
msg =  289, time steps =   10, qsz =    2, switch = off, t =     5782 ms, ax =  0.4291, ay =  2.7547, az =  9.5443, gx = -0.0047 rad/s, gy =  0.0019 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7410 A, theta_roll_comp = 276.2229 mrad, theta_setpoint = -40.0000 mrad, 
msg =  290, time steps =   10, qsz =    2, switch = off, t =     5802 ms, ax =  0.4267, ay =  2.7559, az =  9.5371, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7663 A, theta_roll_comp = 276.2310 mrad, theta_setpoint = -40.0000 mrad, 
msg =  291, time steps =   10, qsz =    2, switch = off, t =     5822 ms, ax =  0.4291, ay =  2.7607, az =  9.5563, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7676 A, theta_roll_comp = 276.2389 mrad, theta_setpoint = -40.0000 mrad, 
msg =  292, time steps =   10, qsz =    2, switch = off, t =     5842 ms, ax =  0.4375, ay =  2.7655, az =  9.5491, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7458 A, theta_roll_comp = 276.2524 mrad, theta_setpoint = -40.0000 mrad, 
msg =  293, time steps =   10, qsz =    2, switch = off, t =     5862 ms, ax =  0.4339, ay =  2.7643, az =  9.5407, gx = -0.0050 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6995 A, theta_roll_comp = 276.2626 mrad, theta_setpoint = -40.0000 mrad, 
msg =  294, time steps =   10, qsz =    2, switch = off, t =     5882 ms, ax =  0.4387, ay =  2.7655, az =  9.5371, gx = -0.0053 rad/s, gy =  0.0020 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6544 A, theta_roll_comp = 276.2804 mrad, theta_setpoint = -40.0000 mrad, 
msg =  295, time steps =   10, qsz =    2, switch = off, t =     5902 ms, ax =  0.4315, ay =  2.7691, az =  9.5419, gx = -0.0051 rad/s, gy =  0.0019 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.6815 A, theta_roll_comp = 276.3000 mrad, theta_setpoint = -40.0000 mrad, 
msg =  296, time steps =   10, qsz =    2, switch = off, t =     5922 ms, ax =  0.4363, ay =  2.7535, az =  9.5335, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7797 A, theta_roll_comp = 276.3144 mrad, theta_setpoint = -40.0000 mrad, 
msg =  297, time steps =   10, qsz =    2, switch = off, t =     5942 ms, ax =  0.4303, ay =  2.7619, az =  9.5263, gx = -0.0049 rad/s, gy =  0.0015 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7338 A, theta_roll_comp = 276.3273 mrad, theta_setpoint = -40.0000 mrad, 
msg =  298, time steps =   10, qsz =    2, switch = off, t =     5962 ms, ax =  0.4363, ay =  2.7667, az =  9.5311, gx = -0.0050 rad/s, gy =  0.0016 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7131 A, theta_roll_comp = 276.3481 mrad, theta_setpoint = -40.0000 mrad, 
msg =  299, time steps =   10, qsz =    2, switch = off, t =     5982 ms, ax =  0.4351, ay =  2.7751, az =  9.5347, gx = -0.0049 rad/s, gy =  0.0016 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7423 A, theta_roll_comp = 276.3806 mrad, theta_setpoint = -40.0000 mrad, 
msg =  300, time steps =   10, qsz =    2, switch = off, t =     6002 ms, ax =  0.4303, ay =  2.7751, az =  9.5287, gx = -0.0049 rad/s, gy =  0.0015 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7484 A, theta_roll_comp = 276.4185 mrad, theta_setpoint = -40.0000 mrad, 
msg =  301, time steps =   10, qsz =    2, switch = off, t =     6022 ms, ax =  0.4351, ay =  2.7643, az =  9.5431, gx = -0.0049 rad/s, gy =  0.0016 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7528 A, theta_roll_comp = 276.4463 mrad, theta_setpoint = -40.0000 mrad, 
msg =  302, time steps =   10, qsz =    2, switch = off, t =     6042 ms, ax =  0.4255, ay =  2.7619, az =  9.5407, gx = -0.0049 rad/s, gy =  0.0019 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7541 A, theta_roll_comp = 276.4543 mrad, theta_setpoint = -40.0000 mrad, 
msg =  303, time steps =   10, qsz =    2, switch = off, t =     6062 ms, ax =  0.4267, ay =  2.7607, az =  9.5431, gx = -0.0049 rad/s, gy =  0.0020 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7558 A, theta_roll_comp = 276.4651 mrad, theta_setpoint = -40.0000 mrad, 
msg =  304, time steps =   10, qsz =    2, switch = off, t =     6082 ms, ax =  0.4208, ay =  2.7583, az =  9.5455, gx = -0.0050 rad/s, gy =  0.0019 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7326 A, theta_roll_comp = 276.4696 mrad, theta_setpoint = -40.0000 mrad, 
msg =  305, time steps =   10, qsz =    2, switch = off, t =     6102 ms, ax =  0.4232, ay =  2.7559, az =  9.5383, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0007 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7794 A, theta_roll_comp = 276.4625 mrad, theta_setpoint = -40.0000 mrad, 
msg =  306, time steps =   10, qsz =    2, switch = off, t =     6122 ms, ax =  0.4303, ay =  2.7667, az =  9.5443, gx = -0.0047 rad/s, gy =  0.0019 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7806 A, theta_roll_comp = 276.4699 mrad, theta_setpoint = -40.0000 mrad, 
msg =  307, time steps =   10, qsz =    2, switch = off, t =     6142 ms, ax =  0.4327, ay =  2.7619, az =  9.5395, gx = -0.0046 rad/s, gy =  0.0019 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8068 A, theta_roll_comp = 276.4841 mrad, theta_setpoint = -40.0000 mrad, 
msg =  308, time steps =   10, qsz =    2, switch = off, t =     6162 ms, ax =  0.4196, ay =  2.7619, az =  9.5335, gx = -0.0049 rad/s, gy =  0.0022 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7617 A, theta_roll_comp = 276.5016 mrad, theta_setpoint = -40.0000 mrad, 
msg =  309, time steps =   10, qsz =    2, switch = off, t =     6182 ms, ax =  0.4291, ay =  2.7595, az =  9.5395, gx = -0.0049 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7632 A, theta_roll_comp = 276.5109 mrad, theta_setpoint = -40.0000 mrad, 
msg =  310, time steps =   10, qsz =    2, switch = off, t =     6202 ms, ax =  0.4279, ay =  2.7607, az =  9.5323, gx = -0.0046 rad/s, gy =  0.0015 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8128 A, theta_roll_comp = 276.5217 mrad, theta_setpoint = -40.0000 mrad, 
msg =  311, time steps =   10, qsz =    2, switch = off, t =     6222 ms, ax =  0.4315, ay =  2.7571, az =  9.5347, gx = -0.0050 rad/s, gy =  0.0014 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7425 A, theta_roll_comp = 276.5318 mrad, theta_setpoint = -40.0000 mrad, 
msg =  312, time steps =   10, qsz =    2, switch = off, t =     6242 ms, ax =  0.4315, ay =  2.7547, az =  9.5347, gx = -0.0049 rad/s, gy =  0.0016 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7657 A, theta_roll_comp = 276.5268 mrad, theta_setpoint = -40.0000 mrad, 
msg =  313, time steps =   10, qsz =    2, switch = off, t =     6262 ms, ax =  0.4279, ay =  2.7499, az =  9.5455, gx = -0.0047 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7876 A, theta_roll_comp = 276.5135 mrad, theta_setpoint = -40.0000 mrad, 
msg =  314, time steps =   10, qsz =    2, switch = off, t =     6282 ms, ax =  0.4315, ay =  2.7571, az =  9.5359, gx = -0.0049 rad/s, gy =  0.0018 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7635 A, theta_roll_comp = 276.5129 mrad, theta_setpoint = -40.0000 mrad, 
msg =  315, time steps =   10, qsz =    2, switch = off, t =     6302 ms, ax =  0.4303, ay =  2.7547, az =  9.5287, gx = -0.0045 rad/s, gy =  0.0015 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8362 A, theta_roll_comp = 276.5178 mrad, theta_setpoint = -40.0000 mrad, 
msg =  316, time steps =   10, qsz =    2, switch = off, t =     6322 ms, ax =  0.4303, ay =  2.7571, az =  9.5287, gx = -0.0046 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8141 A, theta_roll_comp = 276.5299 mrad, theta_setpoint = -40.0000 mrad, 
msg =  317, time steps =   10, qsz =    2, switch = off, t =     6342 ms, ax =  0.4160, ay =  2.7607, az =  9.5335, gx = -0.0049 rad/s, gy =  0.0015 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.7681 A, theta_roll_comp = 276.5418 mrad, theta_setpoint = -40.0000 mrad, 
msg =  318, time steps =   10, qsz =    2, switch = off, t =     6362 ms, ax =  0.4184, ay =  2.7607, az =  9.5287, gx = -0.0046 rad/s, gy =  0.0018 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8183 A, theta_roll_comp = 276.5562 mrad, theta_setpoint = -40.0000 mrad, 
msg =  319, time steps =   10, qsz =    2, switch = off, t =     6382 ms, ax =  0.4244, ay =  2.7691, az =  9.5287, gx = -0.0045 rad/s, gy =  0.0016 rad/s, gz =  0.0001 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -49.8456 A, theta_roll_comp = 276.5766 mrad, theta_setpoint = -40.0000 mrad, 
