picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  262, time steps =   10, qsz =    2, switch = on, t =     5242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2733, az =  9.9890, gx = -0.0041 rad/s, gy = -0.0009 rad/s, gz = -0.0474 rad/s, erpm_pitch =    0, erpm_roll = -11368, I_w_pitch = -0.0000 A, I_w_roll = -0.1513 A, theta_roll_comp = -34.4618 mrad 
msg =  321, time steps =   10, qsz =    2, switch = on, t =     6422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6173, ay =  0.5059, az =  9.8787, gx = -0.1367 rad/s, gy = -0.0045 rad/s, gz =  0.0110 rad/s, erpm_pitch =    0, erpm_roll = -11398, I_w_pitch = -0.0000 A, I_w_roll = 15.5197 A, theta_roll_comp = 16.7933 mrad 
msg =  322, time steps =   10, qsz =    2, switch = on, t =     6442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5850, ay =  0.4327, az =  9.9255, gx = -0.1597 rad/s, gy = -0.0010 rad/s, gz = -0.0277 rad/s, erpm_pitch =    0, erpm_roll = -11398, I_w_pitch = -0.0000 A, I_w_roll = 20.0597 A, theta_roll_comp = 14.3337 mrad 
msg =  323, time steps =   10, qsz =    2, switch = on, t =     6462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5322, ay =  0.1654, az =  9.9447, gx = -0.1540 rad/s, gy = -0.0020 rad/s, gz =  0.0099 rad/s, erpm_pitch =    0, erpm_roll = -11114, I_w_pitch = -0.0000 A, I_w_roll = 19.5101 A, theta_roll_comp = 11.3272 mrad 
msg =  324, time steps =   10, qsz =    2, switch = on, t =     6482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5131, ay = -0.0803, az =  9.9495, gx = -0.1430 rad/s, gy = -0.0052 rad/s, gz =  0.0507 rad/s, erpm_pitch =    0, erpm_roll = -11114, I_w_pitch = -0.0000 A, I_w_roll = 18.0333 A, theta_roll_comp =  8.1238 mrad 
msg =  325, time steps =   10, qsz =    2, switch = on, t =     6502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.1331, az =  9.8739, gx = -0.1559 rad/s, gy = -0.0014 rad/s, gz =  0.0088 rad/s, erpm_pitch =    0, erpm_roll = -10188, I_w_pitch = -0.0000 A, I_w_roll = 20.9124 A, theta_roll_comp =  4.6601 mrad 
msg =  326, time steps =   10, qsz =    2, switch = on, t =     6522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5898, ay = -0.0827, az =  9.9662, gx = -0.1580 rad/s, gy =  0.0003 rad/s, gz = -0.0353 rad/s, erpm_pitch =    0, erpm_roll = -10188, I_w_pitch = -0.0000 A, I_w_roll = 21.8688 A, theta_roll_comp =  1.0794 mrad 
msg =  327, time steps =   10, qsz =    2, switch = on, t =     6542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6102, ay = -0.2050, az = 10.0010, gx = -0.1392 rad/s, gy = -0.0040 rad/s, gz = -0.0069 rad/s, erpm_pitch =    0, erpm_roll = -8967, I_w_pitch = -0.0000 A, I_w_roll = 19.0429 A, theta_roll_comp = -2.3801 mrad 
msg =  328, time steps =   10, qsz =    2, switch = on, t =     6562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3500, ay = -0.2158, az =  9.9950, gx = -0.1299 rad/s, gy = -0.0022 rad/s, gz =  0.0433 rad/s, erpm_pitch =    0, erpm_roll = -8237, I_w_pitch = -0.0000 A, I_w_roll = 17.8527 A, theta_roll_comp = -5.4273 mrad 
msg =  329, time steps =   10, qsz =    2, switch = on, t =     6582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4136, ay = -0.7552, az =  9.9722, gx = -0.1267 rad/s, gy =  0.0044 rad/s, gz =  0.0198 rad/s, erpm_pitch =    0, erpm_roll = -8237, I_w_pitch = -0.0000 A, I_w_roll = 17.8841 A, theta_roll_comp = -9.2190 mrad 
msg =  330, time steps =   10, qsz =    2, switch = on, t =     6602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6221, ay = -0.0491, az =  9.9662, gx = -0.1191 rad/s, gy = -0.0032 rad/s, gz = -0.0111 rad/s, erpm_pitch =    0, erpm_roll = -6726, I_w_pitch = -0.0000 A, I_w_roll = 17.0388 A, theta_roll_comp = -12.4743 mrad 
msg =  331, time steps =   10, qsz =    2, switch = on, t =     6622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6761, ay =  0.4399, az = 10.0981, gx = -0.1071 rad/s, gy = -0.0017 rad/s, gz = -0.0115 rad/s, erpm_pitch =    0, erpm_roll = -5888, I_w_pitch = -0.0000 A, I_w_roll = 15.3279 A, theta_roll_comp = -15.2629 mrad 
msg =  332, time steps =   10, qsz =    2, switch = on, t =     6642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4531, ay = -0.1355, az =  9.7529, gx = -0.0992 rad/s, gy = -0.0022 rad/s, gz =  0.0156 rad/s, erpm_pitch =    0, erpm_roll = -4418, I_w_pitch = -0.0000 A, I_w_roll = 14.2910 A, theta_roll_comp = -17.7705 mrad 
msg =  333, time steps =   10, qsz =    2, switch = on, t =     6662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4208, ay = -0.3177, az = 10.2108, gx = -0.0984 rad/s, gy =  0.0016 rad/s, gz =  0.0156 rad/s, erpm_pitch =    0, erpm_roll = -3550, I_w_pitch = -0.0000 A, I_w_roll = 14.5148 A, theta_roll_comp = -20.0677 mrad 
msg =  334, time steps =   10, qsz =    2, switch = on, t =     6682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6845, ay = -0.2086, az = 10.1820, gx = -0.0822 rad/s, gy =  0.0046 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = -3550, I_w_pitch = -0.0000 A, I_w_roll = 12.0094 A, theta_roll_comp = -22.5345 mrad 
msg =  335, time steps =   10, qsz =    2, switch = on, t =     6702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5047, ay = -0.4891, az =  9.7613, gx = -0.0692 rad/s, gy = -0.0054 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = -2025, I_w_pitch = -0.0000 A, I_w_roll =  9.9807 A, theta_roll_comp = -24.5359 mrad 
msg =  336, time steps =   10, qsz =    2, switch = on, t =     6722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4939, ay = -0.4423, az =  9.9171, gx = -0.1083 rad/s, gy = -0.0042 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -1463, I_w_pitch = -0.0000 A, I_w_roll = 17.3887 A, theta_roll_comp = -26.7949 mrad 
msg =  337, time steps =   10, qsz =    2, switch = on, t =     6742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6090, ay = -0.0503, az = 10.0526, gx = -0.1179 rad/s, gy =  0.0059 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -1023, I_w_pitch = -0.0000 A, I_w_roll = 19.4464 A, theta_roll_comp = -28.8699 mrad 
msg =  338, time steps =   10, qsz =    2, switch = on, t =     6762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6881, ay =  0.3512, az =  9.9075, gx = -0.1101 rad/s, gy = -0.0044 rad/s, gz =  0.0241 rad/s, erpm_pitch =    0, erpm_roll = -674, I_w_pitch = -0.0000 A, I_w_roll = 18.2446 A, theta_roll_comp = -30.1971 mrad 
msg =  339, time steps =   10, qsz =    2, switch = on, t =     6782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4771, ay =  0.2385, az = 10.1077, gx = -0.1103 rad/s, gy = -0.0057 rad/s, gz =  0.0065 rad/s, erpm_pitch =    0, erpm_roll = -674, I_w_pitch = -0.0000 A, I_w_roll = 18.3929 A, theta_roll_comp = -30.8243 mrad 
msg =  340, time steps =   10, qsz =    2, switch = on, t =     6802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5107, ay = -0.3404, az =  9.9375, gx = -0.0957 rad/s, gy =  0.0004 rad/s, gz = -0.0210 rad/s, erpm_pitch =    0, erpm_roll = -197, I_w_pitch = -0.0000 A, I_w_roll = 15.9894 A, theta_roll_comp = -32.2801 mrad 
msg =  341, time steps =   10, qsz =    2, switch = on, t =     6822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4531, ay = -0.8835, az =  9.7385, gx = -0.0973 rad/s, gy = -0.0125 rad/s, gz =  0.0164 rad/s, erpm_pitch =    0, erpm_roll = -126, I_w_pitch = -0.0000 A, I_w_roll = 16.6975 A, theta_roll_comp = -34.9082 mrad 
msg =  342, time steps =   10, qsz =    2, switch = on, t =     6842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4567, ay = -0.8103, az =  9.9339, gx = -0.1173 rad/s, gy = -0.0070 rad/s, gz =  0.0204 rad/s, erpm_pitch =    0, erpm_roll = -126, I_w_pitch = -0.0000 A, I_w_roll = 20.8015 A, theta_roll_comp = -38.0886 mrad 
msg =  343, time steps =   10, qsz =    2, switch = on, t =     6862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7061, ay = -0.6533, az =  9.9638, gx = -0.1059 rad/s, gy = -0.0026 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll =  338, I_w_pitch = -0.0000 A, I_w_roll = 19.2282 A, theta_roll_comp = -40.9879 mrad 
msg =  344, time steps =   10, qsz =    2, switch = on, t =     6882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7084, ay = -0.8295, az =  9.9710, gx = -0.0732 rad/s, gy = -0.0111 rad/s, gz =  0.0158 rad/s, erpm_pitch =    0, erpm_roll =  652, I_w_pitch = -0.0000 A, I_w_roll = 13.7249 A, theta_roll_comp = -43.4432 mrad 
msg =  345, time steps =   10, qsz =    2, switch = on, t =     6902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6257, ay = -1.0405, az =  9.8811, gx = -0.0685 rad/s, gy = -0.0038 rad/s, gz =  0.0076 rad/s, erpm_pitch =    0, erpm_roll =  652, I_w_pitch = -0.0000 A, I_w_roll = 13.2658 A, theta_roll_comp = -45.8166 mrad 
msg =  346, time steps =   10, qsz =    2, switch = on, t =     6922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7264, ay = -0.9614, az =  9.8739, gx = -0.0804 rad/s, gy =  0.0052 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = 1426, I_w_pitch = -0.0000 A, I_w_roll = 15.8070 A, theta_roll_comp = -48.3670 mrad 
msg =  347, time steps =   10, qsz =    2, switch = on, t =     6942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7336, ay = -0.6341, az = 10.0885, gx = -0.0609 rad/s, gy =  0.0048 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = 1426, I_w_pitch = -0.0000 A, I_w_roll = 12.6185 A, theta_roll_comp = -50.3096 mrad 
msg =  348, time steps =   10, qsz =    2, switch = on, t =     6962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5934, ay = -0.7972, az =  9.9279, gx = -0.0315 rad/s, gy =  0.0066 rad/s, gz = -0.0075 rad/s, erpm_pitch =    0, erpm_roll = 2265, I_w_pitch = -0.0000 A, I_w_roll =  7.5267 A, theta_roll_comp = -51.5913 mrad 
msg =  349, time steps =   10, qsz =    2, switch = on, t =     6982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5191, ay = -1.0441, az =  9.7529, gx = -0.0387 rad/s, gy =  0.0066 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 2639, I_w_pitch = -0.0000 A, I_w_roll =  9.0526 A, theta_roll_comp = -53.0387 mrad 
msg =  350, time steps =   10, qsz =    2, switch = on, t =     7002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5202, ay = -0.5358, az = 10.0058, gx = -0.0499 rad/s, gy =  0.0083 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll = 2639, I_w_pitch = -0.0000 A, I_w_roll = 11.2660 A, theta_roll_comp = -54.2897 mrad 
msg =  351, time steps =   10, qsz =    2, switch = on, t =     7022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5658, ay = -0.3620, az = 10.0430, gx = -0.0275 rad/s, gy =  0.0062 rad/s, gz = -0.0108 rad/s, erpm_pitch =    0, erpm_roll = 3279, I_w_pitch = -0.0000 A, I_w_roll =  7.3226 A, theta_roll_comp = -54.8093 mrad 
msg =  352, time steps =   10, qsz =    2, switch = on, t =     7042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.3824, ay = -0.6737, az =  9.8739, gx = -0.0151 rad/s, gy = -0.0004 rad/s, gz =  0.0057 rad/s, erpm_pitch =    0, erpm_roll = 3279, I_w_pitch = -0.0000 A, I_w_roll =  5.1459 A, theta_roll_comp = -55.1363 mrad 
msg =  353, time steps =   10, qsz =    2, switch = on, t =     7062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4699, ay = -0.5694, az =  9.8332, gx = -0.0348 rad/s, gy =  0.0003 rad/s, gz =  0.0076 rad/s, erpm_pitch =    0, erpm_roll = 3710, I_w_pitch = -0.0000 A, I_w_roll =  8.7956 A, theta_roll_comp = -55.7769 mrad 
msg =  354, time steps =   10, qsz =    2, switch = on, t =     7082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.3225, az =  9.9962, gx = -0.0410 rad/s, gy =  0.0007 rad/s, gz =  0.0033 rad/s, erpm_pitch =    0, erpm_roll = 3851, I_w_pitch = -0.0000 A, I_w_roll =  9.9743 A, theta_roll_comp = -56.2528 mrad 
msg =  355, time steps =   10, qsz =    2, switch = on, t =     7102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6006, ay = -0.3117, az = 10.0166, gx = -0.0215 rad/s, gy = -0.0037 rad/s, gz =  0.0075 rad/s, erpm_pitch =    0, erpm_roll = 3851, I_w_pitch = -0.0000 A, I_w_roll =  6.4922 A, theta_roll_comp = -56.3600 mrad 
msg =  356, time steps =   10, qsz =    2, switch = on, t =     7122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5095, ay = -0.7420, az =  9.8200, gx = -0.0206 rad/s, gy = -0.0032 rad/s, gz =  0.0105 rad/s, erpm_pitch =    0, erpm_roll = 4056, I_w_pitch = -0.0000 A, I_w_roll =  6.3767 A, theta_roll_comp = -56.6870 mrad 
msg =  357, time steps =   10, qsz =    2, switch = on, t =     7142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6185, ay = -0.5155, az =  9.8488, gx = -0.0431 rad/s, gy =  0.0000 rad/s, gz =  0.0087 rad/s, erpm_pitch =    0, erpm_roll = 4056, I_w_pitch = -0.0000 A, I_w_roll = 10.5383 A, theta_roll_comp = -57.3813 mrad 
msg =  358, time steps =   10, qsz =    2, switch = on, t =     7162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6857, ay = -0.2985, az = 10.0741, gx = -0.0400 rad/s, gy =  0.0020 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = 4216, I_w_pitch = -0.0000 A, I_w_roll = 10.0663 A, theta_roll_comp = -57.8763 mrad 
msg =  359, time steps =   10, qsz =    2, switch = on, t =     7182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6365, ay = -0.4651, az =  9.9615, gx = -0.0210 rad/s, gy =  0.0018 rad/s, gz = -0.0031 rad/s, erpm_pitch =    0, erpm_roll = 4291, I_w_pitch = -0.0000 A, I_w_roll =  6.6834 A, theta_roll_comp = -58.1545 mrad 
msg =  360, time steps =   10, qsz =    2, switch = on, t =     7202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5179, ay = -0.7216, az =  9.7996, gx = -0.0299 rad/s, gy =  0.0016 rad/s, gz =  0.0027 rad/s, erpm_pitch =    0, erpm_roll = 4291, I_w_pitch = -0.0000 A, I_w_roll =  8.3806 A, theta_roll_comp = -58.7255 mrad 
msg =  361, time steps =   10, qsz =    2, switch = on, t =     7222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.5634, az =  9.9087, gx = -0.0456 rad/s, gy =  0.0038 rad/s, gz = -0.0049 rad/s, erpm_pitch =    0, erpm_roll = 4483, I_w_pitch = -0.0000 A, I_w_roll = 11.3501 A, theta_roll_comp = -59.6087 mrad 
msg =  362, time steps =   10, qsz =    2, switch = on, t =     7242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5778, ay = -0.3428, az = 10.0597, gx = -0.0314 rad/s, gy =  0.0018 rad/s, gz = -0.0080 rad/s, erpm_pitch =    0, erpm_roll = 4483, I_w_pitch = -0.0000 A, I_w_roll =  8.8611 A, theta_roll_comp = -60.0808 mrad 
msg =  363, time steps =   10, qsz =    2, switch = on, t =     7262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4687, ay = -0.6521, az =  9.9123, gx = -0.0175 rad/s, gy = -0.0008 rad/s, gz =  0.0020 rad/s, erpm_pitch =    0, erpm_roll = 4730, I_w_pitch = -0.0000 A, I_w_roll =  6.4254 A, theta_roll_comp = -60.4370 mrad 
msg =  364, time steps =   10, qsz =    2, switch = on, t =     7282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4447, ay = -0.8487, az =  9.8092, gx = -0.0319 rad/s, gy = -0.0001 rad/s, gz =  0.0125 rad/s, erpm_pitch =    0, erpm_roll = 4878, I_w_pitch = -0.0000 A, I_w_roll =  9.1368 A, theta_roll_comp = -61.2050 mrad 
msg =  365, time steps =   10, qsz =    2, switch = on, t =     7302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6102, ay = -0.5394, az =  9.9698, gx = -0.0379 rad/s, gy = -0.0001 rad/s, gz =  0.0071 rad/s, erpm_pitch =    0, erpm_roll = 4878, I_w_pitch = -0.0000 A, I_w_roll = 10.3475 A, theta_roll_comp = -62.0308 mrad 
msg =  366, time steps =   10, qsz =    2, switch = on, t =     7322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6173, ay = -0.5586, az = 10.0286, gx = -0.0170 rad/s, gy = -0.0025 rad/s, gz =  0.0047 rad/s, erpm_pitch =    0, erpm_roll = 5205, I_w_pitch = -0.0000 A, I_w_roll =  6.6515 A, theta_roll_comp = -62.4494 mrad 
msg =  367, time steps =   10, qsz =    2, switch = on, t =     7342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5550, ay = -0.8271, az =  9.8524, gx = -0.0113 rad/s, gy = -0.0022 rad/s, gz =  0.0109 rad/s, erpm_pitch =    0, erpm_roll = 5366, I_w_pitch = -0.0000 A, I_w_roll =  5.6922 A, theta_roll_comp = -62.8948 mrad 
msg =  368, time steps =   10, qsz =    2, switch = on, t =     7362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6329, ay = -0.6965, az =  9.8524, gx = -0.0292 rad/s, gy =  0.0003 rad/s, gz =  0.0060 rad/s, erpm_pitch =    0, erpm_roll = 5366, I_w_pitch = -0.0000 A, I_w_roll =  9.0360 A, theta_roll_comp = -63.5705 mrad 
msg =  369, time steps =   10, qsz =    2, switch = on, t =     7382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7204, ay = -0.4435, az =  9.9950, gx = -0.0265 rad/s, gy =  0.0020 rad/s, gz = -0.0123 rad/s, erpm_pitch =    0, erpm_roll = 5693, I_w_pitch = -0.0000 A, I_w_roll =  8.6001 A, theta_roll_comp = -63.9921 mrad 
msg =  370, time steps =   10, qsz =    2, switch = on, t =     7402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6413, ay = -0.5850, az = 10.0010, gx = -0.0066 rad/s, gy =  0.0022 rad/s, gz = -0.0150 rad/s, erpm_pitch =    0, erpm_roll = 5693, I_w_pitch = -0.0000 A, I_w_roll =  5.0457 A, theta_roll_comp = -64.0972 mrad 
msg =  371, time steps =   10, qsz =    2, switch = on, t =     7422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5418, ay = -0.8247, az =  9.8524, gx = -0.0107 rad/s, gy =  0.0036 rad/s, gz =  0.0035 rad/s, erpm_pitch =    0, erpm_roll = 5975, I_w_pitch = -0.0000 A, I_w_roll =  5.8379 A, theta_roll_comp = -64.4047 mrad 
msg =  372, time steps =   10, qsz =    2, switch = on, t =     7442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5694, ay = -0.6509, az =  9.9003, gx = -0.0265 rad/s, gy =  0.0059 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = 6110, I_w_pitch = -0.0000 A, I_w_roll =  8.7551 A, theta_roll_comp = -64.9612 mrad 
msg =  373, time steps =   10, qsz =    2, switch = on, t =     7462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5322, ay = -0.4543, az = 10.0262, gx = -0.0137 rad/s, gy =  0.0039 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = 6110, I_w_pitch = -0.0000 A, I_w_roll =  6.4924 A, theta_roll_comp = -65.1996 mrad 
msg =  374, time steps =   10, qsz =    2, switch = on, t =     7482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4675, ay = -0.7612, az =  9.8799, gx =  0.0020 rad/s, gy = -0.0001 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = 6363, I_w_pitch = -0.0000 A, I_w_roll =  3.6693 A, theta_roll_comp = -65.2314 mrad 
msg =  375, time steps =   10, qsz =    2, switch = on, t =     7502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.4639, ay = -0.7852, az =  9.7840, gx = -0.0094 rad/s, gy = -0.0017 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = 6363, I_w_pitch = -0.0000 A, I_w_roll =  5.7751 A, theta_roll_comp = -65.5102 mrad 
msg =  376, time steps =   10, qsz =    2, switch = on, t =     7522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7216, ay = -0.5071, az =  9.9519, gx = -0.0175 rad/s, gy = -0.0021 rad/s, gz = -0.0044 rad/s, erpm_pitch =    0, erpm_roll = 6589, I_w_pitch = -0.0000 A, I_w_roll =  7.2820 A, theta_roll_comp = -65.7908 mrad 
msg =  377, time steps =   10, qsz =    2, switch = on, t =     7542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6042, ay = -0.5562, az = 10.0118, gx =  0.0006 rad/s, gy = -0.0041 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = 6687, I_w_pitch = -0.0000 A, I_w_roll =  4.0124 A, theta_roll_comp = -65.7279 mrad 
msg =  378, time steps =   10, qsz =    2, switch = on, t =     7562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.5274, ay = -0.8955, az =  9.8428, gx =  0.0087 rad/s, gy = -0.0034 rad/s, gz =  0.0149 rad/s, erpm_pitch =    0, erpm_roll = 6687, I_w_pitch = -0.0000 A, I_w_roll =  2.5592 A, theta_roll_comp = -65.7830 mrad 
msg =  379, time steps =   10, qsz =    2, switch = on, t =     7582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.6449, ay = -0.7432, az =  9.8799, gx = -0.0053 rad/s, gy =  0.0015 rad/s, gz =  0.0198 rad/s, erpm_pitch =    0, erpm_roll = 6851, I_w_pitch = -0.0000 A, I_w_roll =  5.1175 A, theta_roll_comp = -66.0437 mrad 
msg =  380, time steps =   10, qsz =    2, switch = on, t =     7602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 = -0.0350, setpoint_theta_0 = -0.0400, ax =  0.7540, ay = -0.5358, az = 10.0226, gx = -0.0043 rad/s, gy =  0.0048 rad/s, gz =  0.0017 rad/s, erpm_pitch =    0, erpm_roll = 6851, I_w_pitch = -0.0000 A, I_w_roll =  4.9577 A, theta_roll_comp = -66.0936 mrad 
