picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -12.2518 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = -84.2874 mrad, 
msg =   68, time steps =   10, qsz =    2, switch = on, t =     1362 ms, ax =  0.6389, ay = -0.3153, az =  9.9135, gx =  0.1063 rad/s, gy =  0.0063 rad/s, gz = -0.0459 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -409.9106 A, theta_roll_comp = -56.3365 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   69, time steps =   10, qsz =    2, switch = on, t =     1382 ms, ax =  0.4855, ay = -0.5262, az =  9.9806, gx =  0.1072 rad/s, gy =  0.0056 rad/s, gz = -0.0170 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -410.5549 A, theta_roll_comp = -53.9875 mrad, theta_setpoint = -2499.3167 mrad, 
msg =   70, time steps =   10, qsz =    2, switch = on, t =     1402 ms, ax =  0.4975, ay = -0.5059, az =  9.8859, gx =  0.1070 rad/s, gy =  0.0063 rad/s, gz =  0.0353 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -410.7890 A, theta_roll_comp = -51.8053 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   71, time steps =   10, qsz =    2, switch = on, t =     1422 ms, ax =  0.6006, ay = -0.2637, az =  9.8560, gx =  0.1007 rad/s, gy =  0.0036 rad/s, gz = -0.0075 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -410.0420 A, theta_roll_comp = -49.4335 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   72, time steps =   10, qsz =    2, switch = on, t =     1442 ms, ax =  0.5538, ay = -0.2697, az =  9.9603, gx =  0.0987 rad/s, gy =  0.0008 rad/s, gz = -0.0447 rad/s, erpm_pitch =    0, erpm_roll = -11718, I_w_pitch = -0.0000 A, I_w_roll = -410.1755 A, theta_roll_comp = -46.9813 mrad, theta_setpoint = -2499.5266 mrad, 
msg =   73, time steps =   10, qsz =    2, switch = on, t =     1462 ms, ax =  0.4831, ay = -0.4783, az = 10.0094, gx =  0.0996 rad/s, gy =  0.0020 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -11718, I_w_pitch = -0.0000 A, I_w_roll = -410.6722 A, theta_roll_comp = -44.9259 mrad, theta_setpoint = -2499.5266 mrad, 
msg =   74, time steps =   10, qsz =    2, switch = on, t =     1482 ms, ax =  0.5766, ay = -0.2913, az =  9.8883, gx =  0.0959 rad/s, gy =  0.0047 rad/s, gz =  0.0390 rad/s, erpm_pitch =    0, erpm_roll = -11719, I_w_pitch = -0.0000 A, I_w_roll = -410.3563 A, theta_roll_comp = -42.9160 mrad, theta_setpoint = -2499.7366 mrad, 
msg =   75, time steps =   10, qsz =    2, switch = on, t =     1502 ms, ax =  0.6737, ay = -0.1510, az =  9.8823, gx =  0.0921 rad/s, gy =  0.0038 rad/s, gz = -0.0237 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.9304 A, theta_roll_comp = -40.6041 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   76, time steps =   10, qsz =    2, switch = on, t =     1522 ms, ax =  0.6149, ay = -0.2769, az =  9.9495, gx =  0.0911 rad/s, gy =  0.0031 rad/s, gz = -0.0442 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -410.1166 A, theta_roll_comp = -38.3916 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   77, time steps =   10, qsz =    2, switch = on, t =     1542 ms, ax =  0.4627, ay = -0.4064, az =  9.9794, gx =  0.0910 rad/s, gy =  0.0052 rad/s, gz =  0.0222 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -410.3815 A, theta_roll_comp = -36.5865 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   78, time steps =   10, qsz =    2, switch = on, t =     1562 ms, ax =  0.6137, ay = -0.1966, az =  9.9039, gx =  0.0867 rad/s, gy =  0.0078 rad/s, gz =  0.0282 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.9087 A, theta_roll_comp = -34.7475 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   79, time steps =   10, qsz =    2, switch = on, t =     1582 ms, ax =  0.6365, ay = -0.0743, az =  9.9063, gx =  0.0827 rad/s, gy =  0.0051 rad/s, gz = -0.0386 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -409.4997 A, theta_roll_comp = -32.5996 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   80, time steps =   10, qsz =    2, switch = on, t =     1602 ms, ax =  0.4687, ay = -0.3237, az =  9.8979, gx =  0.0831 rad/s, gy =  0.0030 rad/s, gz = -0.0308 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -409.7752 A, theta_roll_comp = -30.6975 mrad, theta_setpoint = -2498.2671 mrad, 
msg =   81, time steps =   10, qsz =    2, switch = on, t =     1622 ms, ax =  0.4447, ay = -0.2913, az =  9.9495, gx =  0.0825 rad/s, gy =  0.0042 rad/s, gz =  0.0354 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -409.9148 A, theta_roll_comp = -29.0764 mrad, theta_setpoint = -2498.2671 mrad, 
msg =   82, time steps =   10, qsz =    2, switch = on, t =     1642 ms, ax =  0.5970, ay = -0.0456, az =  9.9195, gx =  0.0783 rad/s, gy =  0.0050 rad/s, gz =  0.0176 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -409.5311 A, theta_roll_comp = -27.2503 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   83, time steps =   10, qsz =    2, switch = on, t =     1662 ms, ax =  0.6401, ay = -0.0827, az =  9.9207, gx =  0.0746 rad/s, gy =  0.0022 rad/s, gz = -0.0453 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -409.1680 A, theta_roll_comp = -25.3257 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   84, time steps =   10, qsz =    2, switch = on, t =     1682 ms, ax =  0.5598, ay = -0.2925, az =  9.9626, gx =  0.0755 rad/s, gy =  0.0014 rad/s, gz = -0.0128 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.6662 A, theta_roll_comp = -23.6804 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   85, time steps =   10, qsz =    2, switch = on, t =     1702 ms, ax =  0.5406, ay = -0.2865, az =  9.9267, gx =  0.0763 rad/s, gy =  0.0035 rad/s, gz =  0.0425 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -410.0699 A, theta_roll_comp = -22.2655 mrad, theta_setpoint = -2499.3167 mrad, 
msg =   86, time steps =   10, qsz =    2, switch = on, t =     1722 ms, ax =  0.6701, ay = -0.0240, az =  9.8943, gx =  0.0721 rad/s, gy =  0.0055 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -409.5731 A, theta_roll_comp = -20.5770 mrad, theta_setpoint = -2499.3167 mrad, 
msg =   87, time steps =   10, qsz =    2, switch = on, t =     1742 ms, ax =  0.5946, ay = -0.0887, az =  9.9818, gx =  0.0682 rad/s, gy =  0.0038 rad/s, gz = -0.0491 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -409.0860 A, theta_roll_comp = -18.8576 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   88, time steps =   10, qsz =    2, switch = on, t =     1762 ms, ax =  0.4771, ay = -0.2553, az =  9.9722, gx =  0.0708 rad/s, gy =  0.0035 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.7958 A, theta_roll_comp = -17.4777 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   89, time steps =   10, qsz =    2, switch = on, t =     1782 ms, ax =  0.5274, ay = -0.1199, az =  9.9183, gx =  0.0717 rad/s, gy =  0.0047 rad/s, gz =  0.0394 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -410.1849 A, theta_roll_comp = -16.0942 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   90, time steps =   10, qsz =    2, switch = on, t =     1802 ms, ax =  0.6161, ay =  0.0623, az =  9.8931, gx =  0.0660 rad/s, gy =  0.0056 rad/s, gz = -0.0154 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -409.4544 A, theta_roll_comp = -14.4280 mrad, theta_setpoint = -2499.3167 mrad, 
msg =   91, time steps =   10, qsz =    2, switch = on, t =     1822 ms, ax =  0.5202, ay = -0.0575, az =  9.9567, gx =  0.0640 rad/s, gy =  0.0032 rad/s, gz = -0.0439 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -409.3520 A, theta_roll_comp = -12.8216 mrad, theta_setpoint = -2499.3167 mrad, 
msg =   92, time steps =   10, qsz =    2, switch = on, t =     1842 ms, ax =  0.4423, ay = -0.1810, az =  9.9746, gx =  0.0681 rad/s, gy =  0.0018 rad/s, gz =  0.0173 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -410.2939 A, theta_roll_comp = -11.5777 mrad, theta_setpoint = -2499.3167 mrad, 
msg =   93, time steps =   10, qsz =    2, switch = on, t =     1862 ms, ax =  0.5382, ay = -0.0300, az =  9.9459, gx =  0.0666 rad/s, gy =  0.0040 rad/s, gz =  0.0344 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -410.2165 A, theta_roll_comp = -10.2044 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   94, time steps =   10, qsz =    2, switch = on, t =     1882 ms, ax =  0.6521, ay =  0.0983, az =  9.9051, gx =  0.0585 rad/s, gy =  0.0035 rad/s, gz = -0.0274 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.0124 A, theta_roll_comp = -8.5922 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   95, time steps =   10, qsz =    2, switch = on, t =     1902 ms, ax =  0.5862, ay = -0.0360, az =  9.9483, gx =  0.0565 rad/s, gy =  0.0022 rad/s, gz = -0.0322 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -408.8862 A, theta_roll_comp = -7.1339 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   96, time steps =   10, qsz =    2, switch = on, t =     1922 ms, ax =  0.4927, ay = -0.0468, az =  9.9734, gx =  0.0598 rad/s, gy =  0.0027 rad/s, gz =  0.0293 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -409.6806 A, theta_roll_comp = -5.9138 mrad, theta_setpoint = -2499.1069 mrad, 
msg =   97, time steps =   10, qsz =    2, switch = on, t =     1942 ms, ax =  0.6197, ay =  0.2014, az =  9.9159, gx =  0.0549 rad/s, gy =  0.0052 rad/s, gz =  0.0205 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -408.9560 A, theta_roll_comp = -4.4804 mrad, theta_setpoint = -2498.6870 mrad, 
msg =   98, time steps =   10, qsz =    2, switch = on, t =     1962 ms, ax =  0.6233, ay =  0.2553, az =  9.9183, gx =  0.0445 rad/s, gy =  0.0046 rad/s, gz = -0.0388 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -407.3674 A, theta_roll_comp = -2.9344 mrad, theta_setpoint = -2498.8967 mrad, 
msg =   99, time steps =   10, qsz =    2, switch = on, t =     1982 ms, ax =  0.5250, ay =  0.0719, az =  9.9411, gx =  0.0428 rad/s, gy =  0.0038 rad/s, gz = -0.0181 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -407.2551 A, theta_roll_comp = -1.6893 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  100, time steps =   10, qsz =    2, switch = on, t =     2002 ms, ax =  0.5179, ay =  0.0935, az =  9.9423, gx =  0.0429 rad/s, gy =  0.0043 rad/s, gz =  0.0369 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -407.4876 A, theta_roll_comp = -0.5956 mrad, theta_setpoint = -2499.1069 mrad, 
msg =  101, time steps =   10, qsz =    2, switch = on, t =     2022 ms, ax =  0.6102, ay =  0.3261, az =  9.8883, gx =  0.0315 rad/s, gy =  0.0051 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll = -11716, I_w_pitch = -0.0000 A, I_w_roll = -405.6241 A, theta_roll_comp =  0.6400 mrad, theta_setpoint = -2499.1069 mrad, 
msg =  102, time steps =   10, qsz =    2, switch = on, t =     2042 ms, ax =  0.5706, ay =  0.3692, az =  9.9291, gx =  0.0198 rad/s, gy =  0.0038 rad/s, gz = -0.0418 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -403.6145 A, theta_roll_comp =  1.8918 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  103, time steps =   10, qsz =    2, switch = on, t =     2062 ms, ax =  0.4687, ay =  0.2230, az =  9.9722, gx =  0.0172 rad/s, gy =  0.0015 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -403.2980 A, theta_roll_comp =  2.7598 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  104, time steps =   10, qsz =    2, switch = on, t =     2082 ms, ax =  0.5202, ay =  0.2973, az =  9.9219, gx =  0.0122 rad/s, gy =  0.0028 rad/s, gz =  0.0411 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -402.5088 A, theta_roll_comp =  3.5193 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  105, time steps =   10, qsz =    2, switch = on, t =     2102 ms, ax =  0.6209, ay =  0.4124, az =  9.9015, gx = -0.0041 rad/s, gy =  0.0035 rad/s, gz = -0.0124 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -399.7160 A, theta_roll_comp =  4.3405 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  106, time steps =   10, qsz =    2, switch = on, t =     2122 ms, ax =  0.5766, ay =  0.3716, az =  9.9291, gx = -0.0145 rad/s, gy =  0.0023 rad/s, gz = -0.0405 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -397.9398 A, theta_roll_comp =  4.9232 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  107, time steps =   10, qsz =    2, switch = on, t =     2142 ms, ax =  0.5035, ay =  0.2685, az =  9.9591, gx = -0.0161 rad/s, gy =  0.0006 rad/s, gz =  0.0185 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -397.6449 A, theta_roll_comp =  5.0874 mrad, theta_setpoint = -2498.2671 mrad, 
msg =  108, time steps =   10, qsz =    2, switch = on, t =     2162 ms, ax =  0.5646, ay =  0.3680, az =  9.9147, gx = -0.0253 rad/s, gy =  0.0018 rad/s, gz =  0.0370 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -396.0005 A, theta_roll_comp =  5.1464 mrad, theta_setpoint = -2498.2671 mrad, 
msg =  109, time steps =   10, qsz =    2, switch = on, t =     2182 ms, ax =  0.6389, ay =  0.4663, az =  9.9063, gx = -0.0416 rad/s, gy =  0.0026 rad/s, gz = -0.0236 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -393.0632 A, theta_roll_comp =  5.2136 mrad, theta_setpoint = -2498.2671 mrad, 
msg =  110, time steps =   10, qsz =    2, switch = on, t =     2202 ms, ax =  0.5358, ay =  0.2673, az =  9.9423, gx = -0.0475 rad/s, gy = -0.0008 rad/s, gz = -0.0277 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -392.0667 A, theta_roll_comp =  4.9468 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  111, time steps =   10, qsz =    2, switch = on, t =     2222 ms, ax =  0.4351, ay =  0.1486, az =  9.9315, gx = -0.0486 rad/s, gy = -0.0017 rad/s, gz =  0.0359 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -391.7663 A, theta_roll_comp =  4.2677 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  112, time steps =   10, qsz =    2, switch = on, t =     2242 ms, ax =  0.5754, ay =  0.3237, az =  9.8967, gx = -0.0599 rad/s, gy = -0.0002 rad/s, gz =  0.0261 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -389.6120 A, theta_roll_comp =  3.5362 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  113, time steps =   10, qsz =    2, switch = on, t =     2262 ms, ax =  0.6377, ay =  0.3356, az =  9.9159, gx = -0.0732 rad/s, gy = -0.0010 rad/s, gz = -0.0321 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -387.0987 A, theta_roll_comp =  2.8079 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  114, time steps =   10, qsz =    2, switch = on, t =     2282 ms, ax =  0.5382, ay =  0.0276, az =  9.9447, gx = -0.0736 rad/s, gy = -0.0025 rad/s, gz = -0.0100 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -386.8474 A, theta_roll_comp =  1.6863 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  115, time steps =   10, qsz =    2, switch = on, t =     2302 ms, ax =  0.5370, ay =  0.0048, az =  9.9291, gx = -0.0745 rad/s, gy = -0.0016 rad/s, gz =  0.0463 rad/s, erpm_pitch =    0, erpm_roll = -11717, I_w_pitch = -0.0000 A, I_w_roll = -386.5193 A, theta_roll_comp =  0.2649 mrad, theta_setpoint = -2499.3167 mrad, 
msg =  116, time steps =   10, qsz =    2, switch = on, t =     2322 ms, ax =  0.6449, ay =  0.1391, az =  9.8739, gx = -0.0845 rad/s, gy =  0.0016 rad/s, gz =  0.0093 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -384.4359 A, theta_roll_comp = -1.1018 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  117, time steps =   10, qsz =    2, switch = on, t =     2342 ms, ax =  0.5886, ay =  0.0755, az =  9.9531, gx = -0.0905 rad/s, gy =  0.0004 rad/s, gz = -0.0373 rad/s, erpm_pitch =    0, erpm_roll = -11715, I_w_pitch = -0.0000 A, I_w_roll = -383.1165 A, theta_roll_comp = -2.6077 mrad, theta_setpoint = -2498.8967 mrad, 
msg =  118, time steps =   10, qsz =    2, switch = on, t =     2362 ms, ax =  0.5478, ay = -0.1654, az =  9.9746, gx = -0.0868 rad/s, gy = -0.0012 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -383.4602 A, theta_roll_comp = -4.4437 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  119, time steps =   10, qsz =    2, switch = on, t =     2382 ms, ax =  0.4951, ay = -0.1858, az =  9.9171, gx = -0.0872 rad/s, gy =  0.0007 rad/s, gz =  0.0459 rad/s, erpm_pitch =    0, erpm_roll = -11714, I_w_pitch = -0.0000 A, I_w_roll = -383.0725 A, theta_roll_comp = -6.4171 mrad, theta_setpoint = -2498.6870 mrad, 
msg =  120, time steps =   10, qsz =    2, switch = on, t =     2402 ms, ax =  0.6701, ay = -0.0348, az =  9.8500, gx = -0.0946 rad/s, gy =  0.0016 rad/s, gz = -0.0103 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -381.4105 A, theta_roll_comp = -8.2065 mrad, theta_setpoint = -2498.4773 mrad, 
msg =  121, time steps =   10, qsz =    2, switch = on, t =     2422 ms, ax =  0.5646, ay = -0.0959, az =  9.9531, gx = -0.0938 rad/s, gy = -0.0005 rad/s, gz = -0.0353 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -381.2274 A, theta_roll_comp = -10.0394 mrad, theta_setpoint = -2498.2671 mrad, 
msg =  122, time steps =   10, qsz =    2, switch = on, t =     2442 ms, ax =  0.4759, ay = -0.3045, az =  9.9854, gx = -0.0881 rad/s, gy = -0.0016 rad/s, gz =  0.0281 rad/s, erpm_pitch =    0, erpm_roll = -11712, I_w_pitch = -0.0000 A, I_w_roll = -381.9204 A, theta_roll_comp = -12.1493 mrad, theta_setpoint = -2498.2671 mrad, 
msg =  123, time steps =   10, qsz =    2, switch = on, t =     2462 ms, ax =  0.5610, ay = -0.2409, az =  9.9039, gx = -0.0894 rad/s, gy =  0.0010 rad/s, gz =  0.0393 rad/s, erpm_pitch =    0, erpm_roll = -11711, I_w_pitch = -0.0000 A, I_w_roll = -381.3143 A, theta_roll_comp = -14.2304 mrad, theta_setpoint = -2498.0574 mrad, 
msg =  124, time steps =   10, qsz =    2, switch = on, t =     2482 ms, ax =  0.6821, ay = -0.1738, az =  9.8859, gx = -0.0933 rad/s, gy = -0.0008 rad/s, gz = -0.0241 rad/s, erpm_pitch =    0, erpm_roll = -11711, I_w_pitch = -0.0000 A, I_w_roll = -380.3232 A, theta_roll_comp = -16.0801 mrad, theta_setpoint = -2498.0574 mrad, 
msg =  125, time steps =   10, qsz =    2, switch = on, t =     2502 ms, ax =  0.5394, ay = -0.3332, az =  9.9615, gx = -0.0877 rad/s, gy = -0.0026 rad/s, gz = -0.0225 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -380.9217 A, theta_roll_comp = -18.0012 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  126, time steps =   10, qsz =    2, switch = on, t =     2522 ms, ax =  0.4615, ay = -0.4100, az =  9.9351, gx = -0.0832 rad/s, gy = -0.0002 rad/s, gz =  0.0414 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -381.3931 A, theta_roll_comp = -20.1480 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  127, time steps =   10, qsz =    2, switch = on, t =     2542 ms, ax =  0.6473, ay = -0.2517, az =  9.8811, gx = -0.0857 rad/s, gy =  0.0026 rad/s, gz =  0.0241 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -380.6212 A, theta_roll_comp = -22.1267 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  128, time steps =   10, qsz =    2, switch = on, t =     2562 ms, ax =  0.7204, ay = -0.2505, az =  9.9243, gx = -0.0845 rad/s, gy = -0.0005 rad/s, gz = -0.0342 rad/s, erpm_pitch =    0, erpm_roll = -11705, I_w_pitch = -0.0000 A, I_w_roll = -380.4631 A, theta_roll_comp = -23.8332 mrad, theta_setpoint = -2496.7981 mrad, 
msg =  129, time steps =   10, qsz =    2, switch = on, t =     2582 ms, ax =  0.4999, ay = -0.5071, az =  9.9794, gx = -0.0782 rad/s, gy = -0.0008 rad/s, gz = -0.0073 rad/s, erpm_pitch =    0, erpm_roll = -11704, I_w_pitch = -0.0000 A, I_w_roll = -381.2440 A, theta_roll_comp = -25.7831 mrad, theta_setpoint = -2496.5881 mrad, 
msg =  130, time steps =   10, qsz =    2, switch = on, t =     2602 ms, ax =  0.5346, ay = -0.5334, az =  9.8703, gx = -0.0765 rad/s, gy =  0.0020 rad/s, gz =  0.0453 rad/s, erpm_pitch =    0, erpm_roll = -11704, I_w_pitch = -0.0000 A, I_w_roll = -381.2171 A, theta_roll_comp = -27.8987 mrad, theta_setpoint = -2496.5881 mrad, 
msg =  131, time steps =   10, qsz =    2, switch = on, t =     2622 ms, ax =  0.6881, ay = -0.3692, az =  9.8464, gx = -0.0756 rad/s, gy =  0.0014 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -381.2309 A, theta_roll_comp = -29.7009 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  132, time steps =   10, qsz =    2, switch = on, t =     2642 ms, ax =  0.6401, ay = -0.4507, az =  9.9447, gx = -0.0700 rad/s, gy = -0.0026 rad/s, gz = -0.0398 rad/s, erpm_pitch =    0, erpm_roll = -11708, I_w_pitch = -0.0000 A, I_w_roll = -381.9704 A, theta_roll_comp = -31.3699 mrad, theta_setpoint = -2497.4277 mrad, 
msg =  133, time steps =   10, qsz =    2, switch = on, t =     2662 ms, ax =  0.5191, ay = -0.7168, az =  9.9878, gx = -0.0629 rad/s, gy = -0.0014 rad/s, gz =  0.0134 rad/s, erpm_pitch =    0, erpm_roll = -11710, I_w_pitch = -0.0000 A, I_w_roll = -383.0048 A, theta_roll_comp = -33.2642 mrad, theta_setpoint = -2497.8477 mrad, 
msg =  134, time steps =   10, qsz =    2, switch = on, t =     2682 ms, ax =  0.5430, ay = -0.6329, az =  9.8703, gx = -0.0579 rad/s, gy =  0.0006 rad/s, gz =  0.0482 rad/s, erpm_pitch =    0, erpm_roll = -11711, I_w_pitch = -0.0000 A, I_w_roll = -383.6382 A, theta_roll_comp = -35.2075 mrad, theta_setpoint = -2498.0574 mrad, 
msg =  135, time steps =   10, qsz =    2, switch = on, t =     2702 ms, ax =  0.6509, ay = -0.5119, az =  9.8608, gx = -0.0519 rad/s, gy = -0.0022 rad/s, gz = -0.0139 rad/s, erpm_pitch =    0, erpm_roll = -11711, I_w_pitch = -0.0000 A, I_w_roll = -384.4789 A, theta_roll_comp = -36.6940 mrad, theta_setpoint = -2498.0574 mrad, 
msg =  136, time steps =   10, qsz =    2, switch = on, t =     2722 ms, ax =  0.6605, ay = -0.7037, az =  9.9770, gx = -0.0442 rad/s, gy = -0.0046 rad/s, gz = -0.0362 rad/s, erpm_pitch =    0, erpm_roll = -11713, I_w_pitch = -0.0000 A, I_w_roll = -385.7061 A, theta_roll_comp = -38.1323 mrad, theta_setpoint = -2498.4773 mrad, 
