picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  324, time steps =   10, qsz =    2, switch = on, t =     6482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5670, ay = -0.1990, az =  9.9207, gx =  0.0066 rad/s, gy =  0.0028 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = 1027, I_w_pitch = -0.0000 A, I_w_roll = -3.1025 A, theta_roll_comp = -28.0010 mrad 
msg =  325, time steps =   10, qsz =    2, switch = on, t =     6502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.1642, az =  9.9483, gx =  0.0092 rad/s, gy =  0.0015 rad/s, gz =  0.0012 rad/s, erpm_pitch =    0, erpm_roll =  782, I_w_pitch = -0.0000 A, I_w_roll = -3.6388 A, theta_roll_comp = -27.6451 mrad 
msg =  326, time steps =   10, qsz =    2, switch = on, t =     6522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.2050, az =  9.9423, gx =  0.0114 rad/s, gy =  0.0012 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll =  664, I_w_pitch = -0.0000 A, I_w_roll = -4.0820 A, theta_roll_comp = -27.2720 mrad 
msg =  327, time steps =   10, qsz =    2, switch = on, t =     6542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5478, ay = -0.2553, az =  9.9351, gx =  0.0086 rad/s, gy =  0.0022 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =  664, I_w_pitch = -0.0000 A, I_w_roll = -3.6186 A, theta_roll_comp = -27.0224 mrad 
msg =  328, time steps =   10, qsz =    2, switch = on, t =     6562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.2254, az =  9.9579, gx =  0.0091 rad/s, gy =  0.0019 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll =  476, I_w_pitch = -0.0000 A, I_w_roll = -3.7533 A, theta_roll_comp = -26.7798 mrad 
msg =  329, time steps =   10, qsz =    2, switch = on, t =     6582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.2326, az =  9.9591, gx =  0.0131 rad/s, gy =  0.0012 rad/s, gz =  0.0015 rad/s, erpm_pitch =    0, erpm_roll =  476, I_w_pitch = -0.0000 A, I_w_roll = -4.5207 A, theta_roll_comp = -26.4772 mrad 
msg =  330, time steps =   10, qsz =    2, switch = on, t =     6602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5502, ay = -0.2601, az =  9.9363, gx =  0.0123 rad/s, gy =  0.0018 rad/s, gz = -0.0001 rad/s, erpm_pitch =    0, erpm_roll =  279, I_w_pitch = -0.0000 A, I_w_roll = -4.4192 A, theta_roll_comp = -26.2132 mrad 
msg =  331, time steps =   10, qsz =    2, switch = on, t =     6622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5790, ay = -0.2565, az =  9.9399, gx =  0.0127 rad/s, gy =  0.0028 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll =  185, I_w_pitch = -0.0000 A, I_w_roll = -4.5304 A, theta_roll_comp = -25.9675 mrad 
msg =  332, time steps =   10, qsz =    2, switch = on, t =     6642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5670, ay = -0.2685, az =  9.9363, gx =  0.0164 rad/s, gy =  0.0020 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll =  185, I_w_pitch = -0.0000 A, I_w_roll = -5.2480 A, theta_roll_comp = -25.6763 mrad 
msg =  333, time steps =   10, qsz =    2, switch = on, t =     6662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.3093, az =  9.9339, gx =  0.0180 rad/s, gy =  0.0024 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll =   21, I_w_pitch = -0.0000 A, I_w_roll = -5.5835 A, theta_roll_comp = -25.3772 mrad 
msg =  334, time steps =   10, qsz =    2, switch = on, t =     6682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5706, ay = -0.2829, az =  9.9327, gx =  0.0182 rad/s, gy =  0.0027 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll =   21, I_w_pitch = -0.0000 A, I_w_roll = -5.6564 A, theta_roll_comp = -25.0713 mrad 
msg =  335, time steps =   10, qsz =    2, switch = on, t =     6702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5778, ay = -0.2745, az =  9.9351, gx =  0.0206 rad/s, gy =  0.0022 rad/s, gz =  0.0008 rad/s, erpm_pitch =    0, erpm_roll = -111, I_w_pitch = -0.0000 A, I_w_roll = -6.1479 A, theta_roll_comp = -24.6963 mrad 
msg =  336, time steps =   10, qsz =    2, switch = on, t =     6722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5622, ay = -0.2350, az =  9.9375, gx =  0.0215 rad/s, gy =  0.0024 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -177, I_w_pitch = -0.0000 A, I_w_roll = -6.3868 A, theta_roll_comp = -24.2516 mrad 
msg =  337, time steps =   10, qsz =    2, switch = on, t =     6742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.1822, az =  9.9411, gx =  0.0202 rad/s, gy =  0.0034 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -177, I_w_pitch = -0.0000 A, I_w_roll = -6.2278 A, theta_roll_comp = -23.7471 mrad 
msg =  338, time steps =   10, qsz =    2, switch = on, t =     6762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.1115, az =  9.9555, gx =  0.0196 rad/s, gy =  0.0028 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -177, I_w_pitch = -0.0000 A, I_w_roll = -6.2305 A, theta_roll_comp = -23.1313 mrad 
msg =  339, time steps =   10, qsz =    2, switch = on, t =     6782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.0827, az =  9.9459, gx =  0.0188 rad/s, gy =  0.0030 rad/s, gz = -0.0008 rad/s, erpm_pitch =    0, erpm_roll = -328, I_w_pitch = -0.0000 A, I_w_roll = -6.1950 A, theta_roll_comp = -22.4541 mrad 
msg =  340, time steps =   10, qsz =    2, switch = on, t =     6802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.0731, az =  9.9435, gx =  0.0154 rad/s, gy =  0.0031 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = -647, I_w_pitch = -0.0000 A, I_w_roll = -5.6785 A, theta_roll_comp = -21.7879 mrad 
msg =  341, time steps =   10, qsz =    2, switch = on, t =     6822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.0168, az =  9.9267, gx =  0.0116 rad/s, gy =  0.0032 rad/s, gz = -0.0013 rad/s, erpm_pitch =    0, erpm_roll = -843, I_w_pitch = -0.0000 A, I_w_roll = -5.1091 A, theta_roll_comp = -21.1521 mrad 
msg =  342, time steps =   10, qsz =    2, switch = on, t =     6842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5538, ay =  0.0036, az =  9.9363, gx =  0.0094 rad/s, gy =  0.0028 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -843, I_w_pitch = -0.0000 A, I_w_roll = -4.8063 A, theta_roll_comp = -20.4978 mrad 
msg =  343, time steps =   10, qsz =    2, switch = on, t =     6862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5370, ay =  0.0360, az =  9.9543, gx =  0.0050 rad/s, gy =  0.0018 rad/s, gz = -0.0009 rad/s, erpm_pitch =    0, erpm_roll = -1335, I_w_pitch = -0.0000 A, I_w_roll = -4.1102 A, theta_roll_comp = -19.9053 mrad 
msg =  344, time steps =   10, qsz =    2, switch = on, t =     6882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5538, ay =  0.0587, az =  9.9459, gx = -0.0001 rad/s, gy =  0.0010 rad/s, gz =  0.0009 rad/s, erpm_pitch =    0, erpm_roll = -1603, I_w_pitch = -0.0000 A, I_w_roll = -3.2745 A, theta_roll_comp = -19.4363 mrad 
msg =  345, time steps =   10, qsz =    2, switch = on, t =     6902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5658, ay =  0.0731, az =  9.9291, gx = -0.0038 rad/s, gy =  0.0006 rad/s, gz = -0.0000 rad/s, erpm_pitch =    0, erpm_roll = -1603, I_w_pitch = -0.0000 A, I_w_roll = -2.6690 A, theta_roll_comp = -19.0259 mrad 
msg =  346, time steps =   10, qsz =    2, switch = on, t =     6922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5550, ay =  0.0911, az =  9.9279, gx = -0.0075 rad/s, gy =  0.0002 rad/s, gz = -0.0004 rad/s, erpm_pitch =    0, erpm_roll = -2169, I_w_pitch = -0.0000 A, I_w_roll = -2.0418 A, theta_roll_comp = -18.7519 mrad 
msg =  347, time steps =   10, qsz =    2, switch = on, t =     6942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay =  0.0899, az =  9.9495, gx = -0.0115 rad/s, gy =  0.0008 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = -2169, I_w_pitch = -0.0000 A, I_w_roll = -1.3508 A, theta_roll_comp = -18.5762 mrad 
msg =  348, time steps =   10, qsz =    2, switch = on, t =     6962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5814, ay = -0.0204, az =  9.9471, gx = -0.0141 rad/s, gy =  0.0011 rad/s, gz =  0.0053 rad/s, erpm_pitch =    0, erpm_roll = -2731, I_w_pitch = -0.0000 A, I_w_roll = -0.8999 A, theta_roll_comp = -18.5487 mrad 
msg =  349, time steps =   10, qsz =    2, switch = on, t =     6982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5910, ay = -0.0515, az =  9.9171, gx = -0.0166 rad/s, gy =  0.0007 rad/s, gz =  0.0011 rad/s, erpm_pitch =    0, erpm_roll = -3004, I_w_pitch = -0.0000 A, I_w_roll = -0.4399 A, theta_roll_comp = -18.5770 mrad 
msg =  350, time steps =   10, qsz =    2, switch = on, t =     7002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5478, ay = -0.0527, az =  9.9363, gx = -0.0194 rad/s, gy =  0.0010 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -3004, I_w_pitch = -0.0000 A, I_w_roll =  0.0886 A, theta_roll_comp = -18.7346 mrad 
msg =  351, time steps =   10, qsz =    2, switch = on, t =     7022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.0875, az =  9.9579, gx = -0.0210 rad/s, gy =  0.0012 rad/s, gz =  0.0024 rad/s, erpm_pitch =    0, erpm_roll = -3503, I_w_pitch = -0.0000 A, I_w_roll =  0.4137 A, theta_roll_comp = -18.9689 mrad 
msg =  352, time steps =   10, qsz =    2, switch = on, t =     7042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5706, ay = -0.1019, az =  9.9806, gx = -0.0207 rad/s, gy =  0.0011 rad/s, gz =  0.0004 rad/s, erpm_pitch =    0, erpm_roll = -3503, I_w_pitch = -0.0000 A, I_w_roll =  0.4135 A, theta_roll_comp = -19.2675 mrad 
msg =  353, time steps =   10, qsz =    2, switch = on, t =     7062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5958, ay = -0.1103, az =  9.9411, gx = -0.0218 rad/s, gy =  0.0011 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = -3950, I_w_pitch = -0.0000 A, I_w_roll =  0.6501 A, theta_roll_comp = -19.5477 mrad 
msg =  354, time steps =   10, qsz =    2, switch = on, t =     7082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5346, ay = -0.2002, az =  9.9399, gx = -0.0230 rad/s, gy =  0.0012 rad/s, gz = -0.0005 rad/s, erpm_pitch =    0, erpm_roll = -4150, I_w_pitch = -0.0000 A, I_w_roll =  0.9297 A, theta_roll_comp = -19.9471 mrad 
msg =  355, time steps =   10, qsz =    2, switch = on, t =     7102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4987, ay = -0.1235, az =  9.9567, gx = -0.0231 rad/s, gy =  0.0018 rad/s, gz =  0.0055 rad/s, erpm_pitch =    0, erpm_roll = -4150, I_w_pitch = -0.0000 A, I_w_roll =  1.0159 A, theta_roll_comp = -20.3356 mrad 
msg =  356, time steps =   10, qsz =    2, switch = on, t =     7122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5610, ay = -0.1127, az =  9.9447, gx = -0.0239 rad/s, gy =  0.0015 rad/s, gz =  0.0039 rad/s, erpm_pitch =    0, erpm_roll = -4521, I_w_pitch = -0.0000 A, I_w_roll =  1.2015 A, theta_roll_comp = -20.5969 mrad 
msg =  357, time steps =   10, qsz =    2, switch = on, t =     7142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5155, ay = -0.2266, az =  9.9471, gx = -0.0249 rad/s, gy =  0.0018 rad/s, gz =  0.0025 rad/s, erpm_pitch =    0, erpm_roll = -4521, I_w_pitch = -0.0000 A, I_w_roll =  1.4336 A, theta_roll_comp = -20.9990 mrad 
msg =  358, time steps =   10, qsz =    2, switch = on, t =     7162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5514, ay = -0.2529, az =  9.9327, gx = -0.0237 rad/s, gy =  0.0019 rad/s, gz =  0.0036 rad/s, erpm_pitch =    0, erpm_roll = -4850, I_w_pitch = -0.0000 A, I_w_roll =  1.3044 A, theta_roll_comp = -21.5400 mrad 
msg =  359, time steps =   10, qsz =    2, switch = on, t =     7182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6066, ay = -0.1954, az =  9.9291, gx = -0.0231 rad/s, gy =  0.0004 rad/s, gz =  0.0040 rad/s, erpm_pitch =    0, erpm_roll = -5001, I_w_pitch = -0.0000 A, I_w_roll =  1.2874 A, theta_roll_comp = -22.0326 mrad 
msg =  360, time steps =   10, qsz =    2, switch = on, t =     7202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.1810, az =  9.9603, gx = -0.0230 rad/s, gy =  0.0006 rad/s, gz = -0.0015 rad/s, erpm_pitch =    0, erpm_roll = -5001, I_w_pitch = -0.0000 A, I_w_roll =  1.3312 A, theta_roll_comp = -22.4561 mrad 
msg =  361, time steps =   10, qsz =    2, switch = on, t =     7222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6173, ay = -0.2158, az =  9.9351, gx = -0.0219 rad/s, gy =  0.0007 rad/s, gz = -0.0027 rad/s, erpm_pitch =    0, erpm_roll = -5277, I_w_pitch = -0.0000 A, I_w_roll =  1.2001 A, theta_roll_comp = -22.8356 mrad 
msg =  362, time steps =   10, qsz =    2, switch = on, t =     7242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6137, ay = -0.2098, az =  9.9051, gx = -0.0207 rad/s, gy = -0.0010 rad/s, gz =  0.0021 rad/s, erpm_pitch =    0, erpm_roll = -5277, I_w_pitch = -0.0000 A, I_w_roll =  1.0465 A, theta_roll_comp = -23.2236 mrad 
msg =  363, time steps =   10, qsz =    2, switch = on, t =     7262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5862, ay = -0.2218, az =  9.9531, gx = -0.0202 rad/s, gy =  0.0014 rad/s, gz =  0.0075 rad/s, erpm_pitch =    0, erpm_roll = -5528, I_w_pitch = -0.0000 A, I_w_roll =  1.0076 A, theta_roll_comp = -23.5798 mrad 
msg =  364, time steps =   10, qsz =    2, switch = on, t =     7282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5862, ay = -0.2170, az =  9.9411, gx = -0.0209 rad/s, gy =  0.0024 rad/s, gz =  0.0048 rad/s, erpm_pitch =    0, erpm_roll = -5648, I_w_pitch = -0.0000 A, I_w_roll =  1.1850 A, theta_roll_comp = -23.9393 mrad 
msg =  365, time steps =   10, qsz =    2, switch = on, t =     7302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.2457, az =  9.9591, gx = -0.0205 rad/s, gy =  0.0022 rad/s, gz =  0.0056 rad/s, erpm_pitch =    0, erpm_roll = -5648, I_w_pitch = -0.0000 A, I_w_roll =  1.1753 A, theta_roll_comp = -24.3284 mrad 
msg =  366, time steps =   10, qsz =    2, switch = on, t =     7322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5202, ay = -0.2469, az =  9.9423, gx = -0.0197 rad/s, gy =  0.0023 rad/s, gz =  0.0043 rad/s, erpm_pitch =    0, erpm_roll = -5878, I_w_pitch = -0.0000 A, I_w_roll =  1.0954 A, theta_roll_comp = -24.7272 mrad 
msg =  367, time steps =   10, qsz =    2, switch = on, t =     7342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.2086, az =  9.9027, gx = -0.0194 rad/s, gy = -0.0004 rad/s, gz = -0.0003 rad/s, erpm_pitch =    0, erpm_roll = -5991, I_w_pitch = -0.0000 A, I_w_roll =  1.1050 A, theta_roll_comp = -25.0872 mrad 
msg =  368, time steps =   10, qsz =    2, switch = on, t =     7362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5946, ay = -0.2182, az =  9.9291, gx = -0.0182 rad/s, gy = -0.0009 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = -5991, I_w_pitch = -0.0000 A, I_w_roll =  0.9405 A, theta_roll_comp = -25.4072 mrad 
msg =  369, time steps =   10, qsz =    2, switch = on, t =     7382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.2361, az =  9.9255, gx = -0.0169 rad/s, gy = -0.0010 rad/s, gz = -0.0024 rad/s, erpm_pitch =    0, erpm_roll = -6207, I_w_pitch = -0.0000 A, I_w_roll =  0.7498 A, theta_roll_comp = -25.7131 mrad 
msg =  370, time steps =   10, qsz =    2, switch = on, t =     7402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5862, ay = -0.2110, az =  9.9303, gx = -0.0171 rad/s, gy = -0.0006 rad/s, gz =  0.0096 rad/s, erpm_pitch =    0, erpm_roll = -6207, I_w_pitch = -0.0000 A, I_w_roll =  0.8428 A, theta_roll_comp = -25.9949 mrad 
msg =  371, time steps =   10, qsz =    2, switch = on, t =     7422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6293, ay = -0.2158, az =  9.9279, gx = -0.0173 rad/s, gy =  0.0010 rad/s, gz =  0.0093 rad/s, erpm_pitch =    0, erpm_roll = -6417, I_w_pitch = -0.0000 A, I_w_roll =  0.9097 A, theta_roll_comp = -26.2634 mrad 
msg =  372, time steps =   10, qsz =    2, switch = on, t =     7442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5598, ay = -0.2002, az =  9.9710, gx = -0.0169 rad/s, gy =  0.0016 rad/s, gz =  0.0068 rad/s, erpm_pitch =    0, erpm_roll = -6517, I_w_pitch = -0.0000 A, I_w_roll =  0.8729 A, theta_roll_comp = -26.4827 mrad 
msg =  373, time steps =   10, qsz =    2, switch = on, t =     7462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5850, ay = -0.2625, az =  9.9135, gx = -0.0165 rad/s, gy =  0.0022 rad/s, gz =  0.0003 rad/s, erpm_pitch =    0, erpm_roll = -6517, I_w_pitch = -0.0000 A, I_w_roll =  0.8445 A, theta_roll_comp = -26.7546 mrad 
msg =  374, time steps =   10, qsz =    2, switch = on, t =     7482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6066, ay = -0.2793, az =  9.9147, gx = -0.0155 rad/s, gy =  0.0010 rad/s, gz = -0.0053 rad/s, erpm_pitch =    0, erpm_roll = -6722, I_w_pitch = -0.0000 A, I_w_roll =  0.7250 A, theta_roll_comp = -27.0565 mrad 
msg =  375, time steps =   10, qsz =    2, switch = on, t =     7502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5298, ay = -0.2793, az =  9.9674, gx = -0.0139 rad/s, gy =  0.0016 rad/s, gz = -0.0072 rad/s, erpm_pitch =    0, erpm_roll = -6722, I_w_pitch = -0.0000 A, I_w_roll =  0.4807 A, theta_roll_comp = -27.3272 mrad 
msg =  376, time steps =   10, qsz =    2, switch = on, t =     7522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5250, ay = -0.2469, az =  9.9471, gx = -0.0135 rad/s, gy =  0.0010 rad/s, gz =  0.0005 rad/s, erpm_pitch =    0, erpm_roll = -6924, I_w_pitch = -0.0000 A, I_w_roll =  0.4455 A, theta_roll_comp = -27.5561 mrad 
msg =  377, time steps =   10, qsz =    2, switch = on, t =     7542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5634, ay = -0.2709, az =  9.8787, gx = -0.0146 rad/s, gy =  0.0022 rad/s, gz =  0.0091 rad/s, erpm_pitch =    0, erpm_roll = -7016, I_w_pitch = -0.0000 A, I_w_roll =  0.6628 A, theta_roll_comp = -27.7160 mrad 
msg =  378, time steps =   10, qsz =    2, switch = on, t =     7562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5023, ay = -0.2445, az =  9.9183, gx = -0.0143 rad/s, gy =  0.0007 rad/s, gz =  0.0091 rad/s, erpm_pitch =    0, erpm_roll = -7016, I_w_pitch = -0.0000 A, I_w_roll =  0.6508 A, theta_roll_comp = -27.9407 mrad 
msg =  379, time steps =   10, qsz =    2, switch = on, t =     7582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6149, ay = -0.1978, az =  9.9375, gx = -0.0142 rad/s, gy =  0.0011 rad/s, gz =  0.0013 rad/s, erpm_pitch =    0, erpm_roll = -7216, I_w_pitch = -0.0000 A, I_w_roll =  0.6579 A, theta_roll_comp = -28.1349 mrad 
msg =  380, time steps =   10, qsz =    2, switch = on, t =     7602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6317, ay = -0.2577, az =  9.9111, gx = -0.0138 rad/s, gy =  0.0004 rad/s, gz = -0.0071 rad/s, erpm_pitch =    0, erpm_roll = -7216, I_w_pitch = -0.0000 A, I_w_roll =  0.6189 A, theta_roll_comp = -28.3405 mrad 
msg =  381, time steps =   10, qsz =    2, switch = on, t =     7622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5574, ay = -0.3093, az =  9.9255, gx = -0.0127 rad/s, gy =  0.0004 rad/s, gz = -0.0093 rad/s, erpm_pitch =    0, erpm_roll = -7415, I_w_pitch = -0.0000 A, I_w_roll =  0.4687 A, theta_roll_comp = -28.5999 mrad 
msg =  382, time steps =   10, qsz =    2, switch = on, t =     7642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5850, ay = -0.2086, az =  9.9483, gx = -0.0126 rad/s, gy =  0.0014 rad/s, gz =  0.0069 rad/s, erpm_pitch =    0, erpm_roll = -7509, I_w_pitch = -0.0000 A, I_w_roll =  0.4692 A, theta_roll_comp = -28.7529 mrad 
msg =  383, time steps =   10, qsz =    2, switch = on, t =     7662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6461, ay = -0.1990, az =  9.9351, gx = -0.0135 rad/s, gy =  0.0020 rad/s, gz =  0.0141 rad/s, erpm_pitch =    0, erpm_roll = -7509, I_w_pitch = -0.0000 A, I_w_roll =  0.6611 A, theta_roll_comp = -28.9040 mrad 
